,experiment_ID,model_type,validation_dataset,individual_validation_loss,individual_baseline_loss,num_parameters,num_worms,num_time_steps,min_val_loss,val_baseline
0,exp0,FeatureFFNN,Kato2015,0.6697594059320787,0.0136508184820437,573742,5,2845,0.8728718816394537,0.0104822724021341
1,exp0,FeatureFFNN,Nichols2017,0.5987603205192665,0.0103306582875368,573742,5,2845,0.8728718816394537,0.0104822724021341
2,exp0,FeatureFFNN,Skora2018,0.7193309204497685,0.0075098035523903,573742,5,2845,0.8728718816394537,0.0104822724021341
3,exp0,FeatureFFNN,Uzel2022,1.1318605141714215,0.0075639537559861,573742,5,2845,0.8728718816394537,0.0104822724021341
4,exp0,FeatureFFNN,Yemini2021,1.0231853052213484,0.0108707598526368,573742,5,2845,0.8728718816394537,0.0104822724021341
5,exp0,FeatureFFNN,Kaplan2020,0.7192678289291891,0.0035063432111488,573742,5,2845,0.8728718816394537,0.0104822724021341
6,exp0,FeatureFFNN,Flavell2023,0.8803536395542324,0.0080915278922475,573742,5,2845,0.8728718816394537,0.0104822724021341
7,exp0,FeatureFFNN,Leifer2023,0.960130691345708,0.0124225373570773,573742,5,2845,0.8728718816394537,0.0104822724021341
8,exp1,FeatureFFNN,Kato2015,0.4361932675043742,0.0136508184820437,573742,10,6539,0.5431322654787923,0.0104822724021341
9,exp1,FeatureFFNN,Nichols2017,0.2766128333698196,0.0103306582875368,573742,10,6539,0.5431322654787923,0.0104822724021341
10,exp1,FeatureFFNN,Skora2018,0.4423300133785233,0.0075098035523903,573742,10,6539,0.5431322654787923,0.0104822724021341
11,exp1,FeatureFFNN,Uzel2022,0.5230604396589721,0.0075639537559861,573742,10,6539,0.5431322654787923,0.0104822724021341
12,exp1,FeatureFFNN,Yemini2021,0.8782942149484035,0.0108707598526368,573742,10,6539,0.5431322654787923,0.0104822724021341
13,exp1,FeatureFFNN,Kaplan2020,0.2547391296891299,0.0035063432111488,573742,10,6539,0.5431322654787923,0.0104822724021341
14,exp1,FeatureFFNN,Flavell2023,0.5489780479343608,0.0080915278922475,573742,10,6539,0.5431322654787923,0.0104822724021341
15,exp1,FeatureFFNN,Leifer2023,0.5614053243451624,0.0124225373570773,573742,10,6539,0.5431322654787923,0.0104822724021341
16,exp12,FeatureFFNN,Kato2015,0.0537574590465131,0.0136508184820437,573742,65,44054,0.0831935863259812,0.0104822724021341
17,exp12,FeatureFFNN,Nichols2017,0.0296469218539476,0.0103306582875368,573742,65,44054,0.0831935863259812,0.0104822724021341
18,exp12,FeatureFFNN,Skora2018,0.0384560600262678,0.0075098035523903,573742,65,44054,0.0831935863259812,0.0104822724021341
19,exp12,FeatureFFNN,Uzel2022,0.180192787044992,0.0075639537559861,573742,65,44054,0.0831935863259812,0.0104822724021341
20,exp12,FeatureFFNN,Yemini2021,0.156803492893826,0.0108707598526368,573742,65,44054,0.0831935863259812,0.0104822724021341
21,exp12,FeatureFFNN,Kaplan2020,0.0352363543777181,0.0035063432111488,573742,65,44054,0.0831935863259812,0.0104822724021341
22,exp12,FeatureFFNN,Flavell2023,0.0694512646368821,0.0080915278922475,573742,65,44054,0.0831935863259812,0.0104822724021341
23,exp12,FeatureFFNN,Leifer2023,0.084482171883471,0.0124225373570773,573742,65,44054,0.0831935863259812,0.0104822724021341
24,exp13,FeatureFFNN,Kato2015,0.0583353373901142,0.0136508184820437,573742,70,38617,0.0890533412793572,0.0104822724021341
25,exp13,FeatureFFNN,Nichols2017,0.038362265159032,0.0103306582875368,573742,70,38617,0.0890533412793572,0.0104822724021341
26,exp13,FeatureFFNN,Skora2018,0.0480930796475149,0.0075098035523903,573742,70,38617,0.0890533412793572,0.0104822724021341
27,exp13,FeatureFFNN,Uzel2022,0.133472362475004,0.0075639537559861,573742,70,38617,0.0890533412793572,0.0104822724021341
28,exp13,FeatureFFNN,Yemini2021,0.1254378786495867,0.0108707598526368,573742,70,38617,0.0890533412793572,0.0104822724021341
29,exp13,FeatureFFNN,Kaplan2020,0.1412659073210211,0.0035063432111488,573742,70,38617,0.0890533412793572,0.0104822724021341
30,exp13,FeatureFFNN,Flavell2023,0.080708139957278,0.0080915278922475,573742,70,38617,0.0890533412793572,0.0104822724021341
31,exp13,FeatureFFNN,Leifer2023,0.087682067808654,0.0124225373570773,573742,70,38617,0.0890533412793572,0.0104822724021341
32,exp14,FeatureFFNN,Kato2015,0.0485493872426256,0.0136508184820437,573742,75,46976,0.0728639484658627,0.0104822724021341
33,exp14,FeatureFFNN,Nichols2017,0.0312521627218467,0.0103306582875368,573742,75,46976,0.0728639484658627,0.0104822724021341
34,exp14,FeatureFFNN,Skora2018,0.0367238262891381,0.0075098035523903,573742,75,46976,0.0728639484658627,0.0104822724021341
35,exp14,FeatureFFNN,Uzel2022,0.1134430651145521,0.0075639537559861,573742,75,46976,0.0728639484658627,0.0104822724021341
36,exp14,FeatureFFNN,Yemini2021,0.1109327897762081,0.0108707598526368,573742,75,46976,0.0728639484658627,0.0104822724021341
37,exp14,FeatureFFNN,Kaplan2020,0.1402480978163351,0.0035063432111488,573742,75,46976,0.0728639484658627,0.0104822724021341
38,exp14,FeatureFFNN,Flavell2023,0.0544848740551969,0.0080915278922475,573742,75,46976,0.0728639484658627,0.0104822724021341
39,exp14,FeatureFFNN,Leifer2023,0.067339970113358,0.0124225373570773,573742,75,46976,0.0728639484658627,0.0104822724021341
40,exp15,FeatureFFNN,Kato2015,0.0364596230841319,0.0136508184820437,573742,80,47526,0.0668631177133237,0.0104822724021341
41,exp15,FeatureFFNN,Nichols2017,0.0261405961755372,0.0103306582875368,573742,80,47526,0.0668631177133237,0.0104822724021341
42,exp15,FeatureFFNN,Skora2018,0.0325503933139164,0.0075098035523903,573742,80,47526,0.0668631177133237,0.0104822724021341
43,exp15,FeatureFFNN,Uzel2022,0.0919336779431129,0.0075639537559861,573742,80,47526,0.0668631177133237,0.0104822724021341
44,exp15,FeatureFFNN,Yemini2021,0.1081075373590372,0.0108707598526368,573742,80,47526,0.0668631177133237,0.0104822724021341
45,exp15,FeatureFFNN,Kaplan2020,0.0332536607648331,0.0035063432111488,573742,80,47526,0.0668631177133237,0.0104822724021341
46,exp15,FeatureFFNN,Flavell2023,0.0662285811340552,0.0080915278922475,573742,80,47526,0.0668631177133237,0.0104822724021341
47,exp15,FeatureFFNN,Leifer2023,0.0733185572562255,0.0124225373570773,573742,80,47526,0.0668631177133237,0.0104822724021341
48,exp16,FeatureFFNN,Kato2015,0.0343538170321456,0.0136508184820437,573742,85,53478,0.0604297241956835,0.0104822724021341
49,exp16,FeatureFFNN,Nichols2017,0.0237808060198651,0.0103306582875368,573742,85,53478,0.0604297241956835,0.0104822724021341
50,exp16,FeatureFFNN,Skora2018,0.0330248637170977,0.0075098035523903,573742,85,53478,0.0604297241956835,0.0104822724021341
51,exp16,FeatureFFNN,Uzel2022,0.101600166070663,0.0075639537559861,573742,85,53478,0.0604297241956835,0.0104822724021341
52,exp16,FeatureFFNN,Yemini2021,0.0992891670214202,0.0108707598526368,573742,85,53478,0.0604297241956835,0.0104822724021341
53,exp16,FeatureFFNN,Kaplan2020,0.0602759438357009,0.0035063432111488,573742,85,53478,0.0604297241956835,0.0104822724021341
54,exp16,FeatureFFNN,Flavell2023,0.0501577731673023,0.0080915278922475,573742,85,53478,0.0604297241956835,0.0104822724021341
55,exp16,FeatureFFNN,Leifer2023,0.0623338049960747,0.0124225373570773,573742,85,53478,0.0604297241956835,0.0104822724021341
56,exp17,FeatureFFNN,Kato2015,0.035502133507786,0.0136508184820437,573742,90,56205,0.0528717797879182,0.0104822724021341
57,exp17,FeatureFFNN,Nichols2017,0.0241808433132643,0.0103306582875368,573742,90,56205,0.0528717797879182,0.0104822724021341
58,exp17,FeatureFFNN,Skora2018,0.0327549577317161,0.0075098035523903,573742,90,56205,0.0528717797879182,0.0104822724021341
59,exp17,FeatureFFNN,Uzel2022,0.0977854995968906,0.0075639537559861,573742,90,56205,0.0528717797879182,0.0104822724021341
60,exp17,FeatureFFNN,Yemini2021,0.0881579231342528,0.0108707598526368,573742,90,56205,0.0528717797879182,0.0104822724021341
61,exp17,FeatureFFNN,Kaplan2020,0.0276784935918648,0.0035063432111488,573742,90,56205,0.0528717797879182,0.0104822724021341
62,exp17,FeatureFFNN,Flavell2023,0.0428093304239155,0.0080915278922475,573742,90,56205,0.0528717797879182,0.0104822724021341
63,exp17,FeatureFFNN,Leifer2023,0.0562223676679423,0.0124225373570773,573742,90,56205,0.0528717797879182,0.0104822724021341
64,exp18,FeatureFFNN,Kato2015,0.0314466555646504,0.0136508184820437,573742,95,55573,0.0577911358772659,0.0104822724021341
65,exp18,FeatureFFNN,Nichols2017,0.0207467164952752,0.0103306582875368,573742,95,55573,0.0577911358772659,0.0104822724021341
66,exp18,FeatureFFNN,Skora2018,0.026651284999995,0.0075098035523903,573742,95,55573,0.0577911358772659,0.0104822724021341
67,exp18,FeatureFFNN,Uzel2022,0.2191833776499455,0.0075639537559861,573742,95,55573,0.0577911358772659,0.0104822724021341
68,exp18,FeatureFFNN,Yemini2021,0.0916889793149252,0.0108707598526368,573742,95,55573,0.0577911358772659,0.0104822724021341
69,exp18,FeatureFFNN,Kaplan2020,0.0241124020662697,0.0035063432111488,573742,95,55573,0.0577911358772659,0.0104822724021341
70,exp18,FeatureFFNN,Flavell2023,0.0517948940323549,0.0080915278922475,573742,95,55573,0.0577911358772659,0.0104822724021341
71,exp18,FeatureFFNN,Leifer2023,0.0615940607565468,0.0124225373570773,573742,95,55573,0.0577911358772659,0.0104822724021341
72,exp19,FeatureFFNN,Kato2015,0.0296985777992328,0.0136508184820437,573742,100,58130,0.0511400863187203,0.0104822724021341
73,exp19,FeatureFFNN,Nichols2017,0.0220668775255035,0.0103306582875368,573742,100,58130,0.0511400863187203,0.0104822724021341
74,exp19,FeatureFFNN,Skora2018,0.0260760227465652,0.0075098035523903,573742,100,58130,0.0511400863187203,0.0104822724021341
75,exp19,FeatureFFNN,Uzel2022,0.0985720234748441,0.0075639537559861,573742,100,58130,0.0511400863187203,0.0104822724021341
76,exp19,FeatureFFNN,Yemini2021,0.0786995858605,0.0108707598526368,573742,100,58130,0.0511400863187203,0.0104822724021341
77,exp19,FeatureFFNN,Kaplan2020,0.0261969954153755,0.0035063432111488,573742,100,58130,0.0511400863187203,0.0104822724021341
