Neuron,worm0,accuracy,Reference
M1,M,1.0,M
URXL,M,0.5,P
I5,M,0.5,I
VC5,M,1.0,M
RMDR,M,1.0,M
LUAR,M,0.5,I
AWCR,M,0.5,S
RIAL,M,0.5,I
URADR,M,0.5,P
PVNL,M,0.5,P
AWBL,M,0.5,S
DD6,M,1.0,M
SAADL,M,0.5,P
VA6,M,1.0,M
VA5,M,1.0,M
SDQR,M,0.5,P
ADLL,M,0.5,S
ASIL,M,0.5,S
ADLR,M,0.5,S
DVB,I,0.5,P
DVC,I,1.0,I
PHAL,I,0.5,S
PVDR,I,0.5,S
PVPL,I,1.0,I
PDER,I,0.5,S
PVNR,I,0.5,P
PDB,I,0.5,P
PVQL,I,1.0,I
IL2DL,I,0.5,S
RIH,I,1.0,I
RMER,I,0.5,M
AIBL,I,1.0,I
SIADL,I,0.5,P
VD3,I,0.5,M
ASGL,I,0.5,S
AVDR,I,1.0,I
DD2,I,0.5,M
PHCL,I,0.5,S
DA1,I,0.5,M
RIPR,I,1.0,I
PHBL,I,0.5,S
VD1,I,0.5,M
RMDVR,M,1.0,M
RMDL,M,1.0,M
RMFL,M,1.0,M
RIVR,M,0.5,P
URYVL,M,0.5,S
RIML,M,0.5,P
SIAVL,M,0.5,P
RICL,M,0.5,I
PLML,M,0.5,S
DB3,M,1.0,M
BDUL,M,0.5,I
CEPDL,M,0.5,S
CEPDR,M,0.5,S
DA2,M,1.0,M
ASHL,M,0.5,S
DB2,M,1.0,M
VD6,M,1.0,M
VC6,M,1.0,M
DB5,M,1.0,M
DD1,M,1.0,M
AS7,M,1.0,M
DVA,M,0.5,P
VC2,M,1.0,M
VB8,M,0.5,P
AS2,M,1.0,M
VA7,M,1.0,M
MI,M,0.5,P
OLLL,M,0.5,S
AVHR,M,0.5,I
ASJL,M,0.5,S
VD5,P,0.5,M
URYVR,P,0.5,S
URXR,P,1.0,P
VB3,P,1.0,P
URYDL,P,0.5,S
URAVR,P,1.0,P
SMDVR,P,0.5,M
ADER,P,0.5,S
SIBVL,P,1.0,P
AIYL,P,0.5,I
ASER,P,0.5,S
CANL,P,0.5,M
DB4,P,0.5,M
I6,P,1.0,P
IL1L,P,1.0,P
IL1R,P,1.0,P
IL2L,P,0.5,S
SMBVR,P,0.5,M
M2L,P,0.5,M
OLQVL,P,1.0,P
PLMR,P,0.5,S
PVCR,P,0.5,I
PVDL,P,0.5,S
RIAR,P,0.5,I
RIFR,P,0.5,I
RIVL,P,1.0,P
SIAVR,P,1.0,P
NSML,P,1.0,P
VD9,P,0.5,M
accuracy,0.37623762376237624,,
