EndNodes_1,EndNodes_2,Weight
I2L,I1L,2
I2L,I5,2
I2L,I2R,3
I2L,I6,2
I2L,M1,1
I2L,NSMR,24
I2L,I4,13
I2L,M4,4
I2L,NSML,14
I2L,M3R,3
I2L,pm3VL,1
I2L,pm4VL,2
I2L,pm5D,1
I2L,pm5VL,2
I2L,pm5VR,1
I2L,e3VL,1
I1L,I2L,10
I1L,I3,3
I1L,I5,2
I1L,MI,2
I1L,I6,1
I1L,M2L,3
I1L,NSML,3
I1L,M3L,8
I1L,M3R,2
I1L,MCL,2
I1L,MCR,2
I1L,pm1,2
I1L,pm3VL,7
I1L,pm4D,1
I1L,pm4VL,2
I3,I1L,1
I3,I5,2
I3,MI,1
I3,I1R,1
I3,I6,1
I3,M1,2
I3,NSMR,2
I3,M2L,2
I3,M4,2
I3,M3L,2
I3,M3R,2
I3,MCL,1
I3,MCR,2
I3,pm4D,2
I3,pm5D,4
I5,I2L,3
I5,I1L,2
I5,I3,1
I5,MI,4
I5,I2R,1
I5,M1,3
I5,NSMR,5
I5,I4,7
I5,M2L,4
I5,M4,19
I5,NSML,1
I5,M5,2
I5,M3L,4
I5,M3R,2
I5,pm5VL,4
I5,pm5VR,14
I5,pm6VL,1
I5,g1AL,9
I5,g1AR,6
MI,I1L,1
MI,I3,2
MI,M1,7
MI,NSMR,2
MI,I4,1
MI,M2L,3
MI,M2R,2
MI,NSML,1
MI,M3L,2
MI,M3R,2
MI,MCL,3
MI,pm4D,2
MI,pm4VL,1
MI,pm4VR,7
MI,pm5D,5
I2R,I2L,3
I2R,I5,2
I2R,I1R,1
I2R,I6,3
I2R,M1,3
I2R,NSMR,7
I2R,I4,20
I2R,M2R,2
I2R,M4,3
I2R,NSML,34
I2R,M3R,2
I2R,MCL,1
I2R,pm1,1
I2R,pm3VR,1
I2R,pm4D,2
I2R,pm4VL,1
I2R,pm5VL,1
I2R,pm5VR,4
I2R,e3VR,1
I1R,I3,1
I1R,I5,2
I1R,MI,1
I1R,I2R,6
I1R,M1,1
I1R,NSMR,2
I1R,M2L,1
I1R,M2R,3
I1R,NSML,1
I1R,M3L,1
I1R,M3R,6
I1R,MCL,3
I1R,MCR,4
I1R,pm1,2
I1R,pm3D,2
I1R,pm3VR,5
I1R,pm4D,1
I1R,pm4VR,2
I1R,pm5D,2
I1R,pm5VR,1
I6,I2L,1
I6,I3,12
I6,I2R,4
I6,I1R,1
I6,NSMR,23
I6,M4,15
I6,NSML,24
I6,M3L,10
I6,pm5D,13
I6,g1p,2
I6,bm,2
M1,I2L,3
M1,I3,8
M1,I5,2
M1,MI,6
M1,I2R,2
M1,I1R,1
M1,I4,1
M1,M4,1
M1,NSML,2
M1,M5,1
M1,pm2D,1
M1,pm2VL,1
M1,pm3VL,1
M1,RIPL,1
M1,pm4D,1
M1,pm5D,3
M1,e3D,3
M1,e3VL,1
M1,g1p,5
NSMR,I2L,1
NSMR,I2R,1
NSMR,I6,4
NSMR,I4,3
NSMR,M3R,24
NSMR,pm4D,3
NSMR,pm5D,9
NSMR,pm5VL,1
NSMR,pm5VR,53
NSMR,bm,72
I4,I5,2
I4,MI,1
I4,I2R,7
I4,NSMR,15
I4,M2L,5
I4,NSML,8
I4,M3L,6
I4,M3R,22
I4,pm4D,1
I4,pm5VL,11
I4,pm5VR,2
M2L,I3,2
M2L,I5,2
M2L,I4,8
M2L,M3L,3
M2L,M3R,1
M2L,pm4D,3
M2L,pm4VL,9
M2L,pm5D,2
M2L,pm5VL,21
M2L,g1AL,8
M2R,I5,3
M2R,NSMR,1
M2R,I4,1
M2R,M3L,2
M2R,M3R,1
M2R,pm4D,3
M2R,pm4VR,3
M2R,pm5VR,12
M2R,g1AR,3
M4,I5,1
M4,I4,5
M4,M2L,1
M4,M4,15
M4,M3L,1
M4,MCL,1
M4,pm4VR,1
M4,pm5D,69
M4,pm5VL,50
M4,pm5VR,72
M4,g1p,46
M4,g1AL,43
M4,g1AR,49
M4,g2L,3
NSML,I6,1
NSML,NSMR,7
NSML,I4,1
NSML,M4,13
NSML,M3L,21
NSML,M3R,1
NSML,pm4VL,2
NSML,pm5D,38
NSML,pm5VL,63
NSML,pm5VR,8
NSML,bm,88
M5,I5,1
M5,M1,1
M5,pm5VL,1
M5,pm5VR,3
M5,pm6D,2
M5,pm6VL,2
M5,pm6VR,2
M5,pm7D,3
M5,pm7VR,2
M5,mc3V,4
M5,g1AL,3
M5,g1AR,1
M5,g2L,2
M5,g2R,1
M3L,NSML,1
M3L,pm4D,17
M3L,pm4VL,6
M3L,pm5D,4
M3L,pm5VL,2
M3R,M4,2
M3R,pm4D,6
M3R,pm4VR,1
M3R,g1AR,3
M3R,bm,1
MCL,mc2DR,7
MCL,mc2V,13
MCR,mc2DL,6
MCR,mc2DR,4
MCR,mc2V,11
RIPL,pm3VL,4
RIPL,RIPL,3
RIPL,mc2DL,2
RIPL,ADFL,3
RIPL,BAGL,7
RIPL,RIH,2
RIPL,OLLL,4
RIPL,OLQVL,1
RIPL,OLQDR,2
RIPL,hyp,3
RIPR,pm3VR,6
RIPR,mc2DR,1
RIPR,ADFR,1
RIPR,RIH,1
RIPR,URBR,1
RIPR,BAGR,2
RIPR,IL1R,1
RIPR,URAVR,1
RIPR,OLQDR,3
RIPR,OLQVR,2
RIPR,AVBR,2
RIPR,hyp,4
AWAR,ASIL,2
AWAR,AIAR,3
AWAR,ASER,5
AWAR,ADFR,9
AWAR,AIYR,8
AWAR,AIZR,25
AWAR,ASGR,1
AWAR,AWBR,3
AWAR,RIR,2
AWAR,RIFR,5
AWAR,AFDR,23
AWAR,RIGR,6
AWAR,AUAR,1
ASIL,AWAR,2
ASIL,AWCL,3
ASIL,AWCR,4
ASIL,ASKL,3
ASIL,AIAL,2
ASIL,AIYL,3
ASIL,ASER,8
ASIL,AIYR,2
ASIL,ASGL,3
ASIL,CEPVR,1
ASIL,ADFL,1
ASIL,AIZL,1
ASIL,AIBL,3
ASIL,RMFL,1
ASIL,RIBL,1
ASIL,RIAL,3
ASIL,SAAVL,2
AWCL,ASIL,1
AWCL,AWCR,11
AWCL,AIAR,4
AWCL,AIAL,2
AWCL,AIYL,22
AWCL,ASER,1
AWCL,ASGR,1
AWCL,AFDL,2
AWCL,AIZL,1
AWCL,AIBR,2
AWCL,AIBL,12
AWCL,RIAL,6
AWCL,SMDVL,1
AWCL,AVAL,1
AWCR,ASIL,2
AWCR,AWCL,17
AWCR,ASIR,2
AWCR,AIAR,8
AWCR,ASEL,8
AWCR,AIAL,1
AWCR,AIYL,12
AWCR,ASER,5
AWCR,ADFR,1
AWCR,ASHR,1
AWCR,AIYR,22
AWCR,ASGR,3
AWCR,AIBR,18
AWCR,AIBL,3
AWCR,RIAL,3
AWCR,IL2L,2
AWCR,RIVL,3
URXL,ASIL,1
URXL,URXL,3
URXL,AIML,2
URXL,ADFL,1
URXL,HSNR,1
URXL,RIR,1
URXL,AIZL,1
URXL,ASHL,1
URXL,AUAL,14
URXL,RIGL,6
URXL,CEPDL,1
URXL,RMGL,5
URXL,ADAL,6
URXL,RICL,8
URXL,BAGR,2
URXL,RIAL,15
URXL,IL2L,1
URXL,AVBL,4
URXL,AVDR,1
URXL,AVJR,4
URXL,AVEL,9
URXL,RID,1
URXL,IL1DL,2
URXL,OLQVL,2
URXL,AVAL,1
AINL,ASIL,11
AINL,AIAR,1
AINL,ASEL,1
AINL,ASGR,1
AINL,AFDR,10
AINL,BAGL,5
AINL,AUAR,2
AINL,RIBR,3
AINL,RMFL,1
AINL,RIBL,2
AINL,RID,2
AINL,RMDVL,3
AINL,SAAVL,3
AINL,CEPshVR,2
AINL,hyp,1
ASIR,AWAR,1
ASIR,AWCL,2
ASIR,AWCR,5
ASIR,AIAR,4
ASIR,ASEL,2
ASIR,AIAL,1
ASIR,ASER,2
ASIR,ASHR,2
ASIR,ASGR,3
ASIR,CEPVR,1
ASIR,ADLR,1
ASIR,AIBR,3
ASIR,CEPshVR,4
ASIR,hyp,2
ADER,ASIR,1
ADER,CEPVR,1
ADER,URXR,2
ADER,RIGL,12
ADER,RIAR,1
ADER,RIGR,11
ADER,ADAR,1
ADER,RMGR,5
ADER,URBR,1
ADER,IL2R,1
ADER,CEPDR,5
ADER,IL1R,1
ADER,AVER,4
ADER,RMDL,1
ADER,ALNR,1
ADER,SMDVR,1
ADER,AVDR,5
ADER,ADEL,3
ADER,AVJR,1
ADER,FLPL,1
ADER,FLPR,4
ADER,OLLR,3
ADER,AVAR,4
ADER,RMDR,6
ADER,AVAL,9
ADER,dBWMR4,1
ADER,CEPshDR,1
AIAR,AWAR,4
AIAR,AWCL,6
AIAR,AWCR,6
AIAR,ASIR,2
AIAR,AIAR,1
AIAR,ASER,5
AIAR,ASKR,1
AIAR,AIZR,2
AIAR,ASGR,5
AIAR,RIFR,10
AIAR,ADLR,10
AIAR,AIBR,33
AIAR,ADAR,4
SAAVR,RIPL,12
SAAVR,ASIR,1
SAAVR,SAAVR,1
SAAVR,RIAR,1
SAAVR,AIBR,1
SAAVR,ALNR,1
SAAVR,SMBDL,1
SAAVR,AVBL,1
SAAVR,AVAR,39
SAAVR,IL1DL,12
SAAVR,SMDDL,17
SAAVR,RMEV,1
SAAVR,RIMR,7
SAAVR,RIML,12
SAAVR,vBWML3,7
SAAVR,vBWML4,3
SAAVR,vBWML6,2
SAAVR,hyp,2
ASEL,AWCL,16
ASEL,AWCR,11
ASEL,ASJL,1
ASEL,AIAL,6
ASEL,AWBL,1
ASEL,AIYL,32
ASEL,ASER,2
ASEL,ADFR,1
ASEL,AIYR,21
ASEL,RIR,1
ASEL,AFDR,3
ASEL,AIZL,1
ASEL,RIAR,2
ASEL,AIBR,13
ASEL,AIBL,16
ASEL,IL2R,1
ASEL,OLLR,1
ASJL,ASKL,12
ASJL,PVQL,34
ASJL,ALA,3
ASJL,HSNL,1
ASJL,ASKR,1
ASJL,HSNR,1
ASJL,CEPDL,1
ASKL,ASJL,1
ASKL,AIML,5
ASKL,AIAL,29
ASKL,ASER,4
ASKL,AIBL,9
AIML,URXL,1
AIML,ASJL,2
AIML,ASKL,7
AIML,AIAL,11
AIML,PVQL,1
AIML,ASGL,8
AIML,AVHR,1
AIML,AVHL,2
AIML,CEPDL,3
AIML,RMGL,3
AIML,AVFR,4
AIML,AVJL,1
AIML,SMBVL,4
AIML,ALML,1
AIML,RIFL,2
AIML,RID,2
AIML,AVFL,5
AIML,AVDL,1
AIML,CEPshDL,2
AIML,CEPshVL,1
AIAL,AWCL,1
AIAL,AWCR,6
AIAL,ASEL,5
AIAL,ASJL,4
AIAL,ASKL,9
AIAL,AIML,6
AIAL,PVQL,1
AIAL,ADLL,1
AIAL,ASER,10
AIAL,ASGL,1
AIAL,ADFL,2
AIAL,RIR,2
AIAL,AIZL,4
AIAL,ASHL,1
AIAL,RMGL,2
AIAL,AIBL,35
AIAL,ADAL,1
AIAL,RIFL,10
PVQL,ASJL,3
PVQL,ASKL,12
PVQL,AIAL,10
PVQL,HSNL,3
PVQL,AWAL,1
PVQL,AVHR,1
PVQL,HSNR,6
PVQL,RMGL,1
PVQL,PVPL,1
PVQL,DA08,1
PVQL,DD06,1
PVQL,vBWMR10,1
PVQL,hyp,3
PVQR,AWAR,4
PVQR,AIAR,12
PVQR,ASJL,1
PVQR,AIAL,1
PVQR,AIMR,2
PVQR,ASER,2
PVQR,ASKR,6
