EndNodes_1,EndNodes_2,Weight
I2L,I1L,2
I2L,I4,1
I2L,M2L,1
I2L,e3VL,2
I1L,M3L,2
I1L,MCR,1
I1L,NSML,3
I1L,pm4VL,1
I1L,RIPL,2
M3L,NSMR,1
M3L,pm4D,2
M3L,pm5D,1
M3L,pm5VL,1
M3L,g1AL,2
MCR,I2R,1
MCR,I1R,4
MCR,M2R,11
NSML,NSMR,2
pm4VL,M2L,1
pm4VL,pm5VL,2
pm4VL,pm3VL,2
pm4VL,mc1DL,2
pm4VL,mc1V,2
RIPL,RIPL,4
RIPL,RIPR,2
RIPL,ADFL,2
RIPL,RMED,2
RIPL,URAVL,1
RIPL,IL1L,1
I2R,I1R,1
I2R,NSMR,2
I2R,M1,1
I2R,M2R,1
I2R,e3VR,1
I1R,I3,1
I1R,NSMR,2
I1R,pm3VR,3
I1R,pm4VR,2
I1R,RIPR,2
I3,M1,1
I3,M2R,1
I3,MI,1
I3,pm4D,3
I3,pm5D,1
NSMR,pm5D,2
NSMR,M3R,2
pm3VR,pm4VR,2
pm3VR,pm2VR,2
pm3VR,mc1V,2
pm4VR,M3R,1
pm4VR,pm5VR,2
pm4VR,mc1DR,4
pm4VR,mc1V,2
RIPR,RMED,4
RIPR,GLRL,5
RIPR,GLRR,5
I4,M2R,2
I4,M4,1
I4,pm5VL,1
M2L,M4,1
M2L,pm5VL,1
M2L,I5,1
M2L,g1AL,2
M2L,MCL,1
e3VL,pm3VL,4
e3VL,e2VL,1
M1,pm5D,3
M2R,MI,5
M2R,pm5D,1
M2R,I5,1
M2R,g1AR,2
M2R,M3R,1
e3VR,e2VR,1
MI,pm4D,3
pm4D,pm5D,2
pm4D,pm3D,2
pm4D,mc1DL,2
pm4D,mc1DR,2
pm5D,M4,1
pm5D,M3R,1
pm5D,pm6D,2
pm5D,mc2DL,2
pm5D,mc2DR,2
M4,M4,1
M4,pm5VL,1
M4,M5,2
M4,g1AL,7
M4,g1AR,2
M4,I6,5
M4,pm5VR,1
pm5VL,M5,2
pm5VL,pm6VL,2
pm5VL,mc2DL,2
pm5VL,mc2V,2
I5,M5,1
I5,g1AL,4
I5,g1AR,2
M5,M5,1
M5,pm6VL,2
M5,pm6VR,2
g1AR,M3R,5
M3R,pm5VR,1
pm5VR,pm6VR,2
pm5VR,mc2DR,2
pm5VR,mc2V,2
pm6VL,mc3DL,2
pm6VL,mc3V,2
pm6VR,mc3DR,2
pm6VR,mc3V,2
