Name,Group,Subgroup
I2L,Pharynx,
I1L,Pharynx,
M3L,Pharynx,
MCR,Pharynx,
NSML,Pharynx,
pm4VL,Pharynx,
RIPL,InterNeurons,InterNeurons_0
I2R,Pharynx,
I1R,Pharynx,
I3,Pharynx,
NSMR,Pharynx,
pm3VR,Pharynx,
pm4VR,Pharynx,
RIPR,InterNeurons,InterNeurons_0
I4,Pharynx,
M2L,Pharynx,
e3VL,Pharynx,
M1,Pharynx,
M2R,Pharynx,
e3VR,Pharynx,
MI,Pharynx,
pm4D,Pharynx,
pm5D,Pharynx,
M4,Pharynx,
pm5VL,Pharynx,
I5,Pharynx,
M5,Pharynx,
g1AL,Pharynx,
g1AR,Pharynx,
I6,Pharynx,
MCL,Pharynx,
M3R,Pharynx,
pm5VR,Pharynx,
pm6VL,Pharynx,
pm6VR,Pharynx,
pm2D,Pharynx,
pm1,Pharynx,
pm2VL,Pharynx,
pm2VR,Pharynx,
e3D,Pharynx,
pm3D,Pharynx,
pm3VL,Pharynx,
mc1DL,Pharynx,
mc1DR,Pharynx,
mc1V,Pharynx,
pm6D,Pharynx,
mc2DL,Pharynx,
mc2DR,Pharynx,
mc2V,Pharynx,
mc3DL,Pharynx,
mc3DR,Pharynx,
mc3V,Pharynx,
pm8,Pharynx,
pm7D,Pharynx,
pm7VL,Pharynx,
pm7VR,Pharynx,
e2D,Pharynx,
e2VL,Pharynx,
e2VR,Pharynx,
ASIR,SensoryNeurons,SensoryNeurons_6
ASIL,SensoryNeurons,SensoryNeurons_6
AINR,InterNeurons,InterNeurons_4
AIAL,InterNeurons,InterNeurons_3
CEPshVL,OtherEndOrgans,
ASGR,SensoryNeurons,SensoryNeurons_6
AIYR,InterNeurons,InterNeurons_3
AIAR,InterNeurons,InterNeurons_3
ASJR,SensoryNeurons,SensoryNeurons_6
ASJL,SensoryNeurons,SensoryNeurons_6
IL2L,SensoryNeurons,SensoryNeurons_1
ALA,InterNeurons,InterNeurons_3
PVQL,InterNeurons,InterNeurons_3
SMDDR,MotorNeurons,MotorNeurons_Sublateral
AIMR,InterNeurons,InterNeurons_4
PVQR,InterNeurons,InterNeurons_3
AWAR,SensoryNeurons,SensoryNeurons_6
AWAL,SensoryNeurons,SensoryNeurons_6
ADLL,SensoryNeurons,SensoryNeurons_5
AIZL,InterNeurons,InterNeurons_3
ADFR,SensoryNeurons,SensoryNeurons_6
AIZR,InterNeurons,InterNeurons_3
AWBL,SensoryNeurons,SensoryNeurons_6
ASGL,SensoryNeurons,SensoryNeurons_6
ASEL,SensoryNeurons,SensoryNeurons_6
AIML,InterNeurons,InterNeurons_4
ASER,SensoryNeurons,SensoryNeurons_6
AWCR,SensoryNeurons,SensoryNeurons_6
ADLR,SensoryNeurons,SensoryNeurons_5
AINL,InterNeurons,InterNeurons_4
AWBR,SensoryNeurons,SensoryNeurons_6
AUAL,InterNeurons,InterNeurons_3
RMGL,InterNeurons,InterNeurons_2
AUAR,InterNeurons,InterNeurons_3
RMGR,InterNeurons,InterNeurons_2
RICL,InterNeurons,InterNeurons_2
AFDL,SensoryNeurons,SensoryNeurons_6
AFDR,SensoryNeurons,SensoryNeurons_6
AWCL,SensoryNeurons,SensoryNeurons_6
hyp,OtherEndOrgans,
ADFL,SensoryNeurons,SensoryNeurons_6
ASHL,SensoryNeurons,SensoryNeurons_5
URBL,InterNeurons,InterNeurons_4
ADAL,InterNeurons,InterNeurons_3
RIAL,InterNeurons,InterNeurons_1
GLRVR,OtherEndOrgans,
exc_gl,OtherEndOrgans,
RIH,InterNeurons,InterNeurons_4
ADAR,InterNeurons,InterNeurons_3
SMDVR,MotorNeurons,MotorNeurons_Sublateral
SMBVR,MotorNeurons,MotorNeurons_Sublateral
AIYL,InterNeurons,InterNeurons_3
AIBL,InterNeurons,InterNeurons_2
AVEL,InterNeurons,InterNeurons_1
ASHR,SensoryNeurons,SensoryNeurons_5
URBR,InterNeurons,InterNeurons_4
AIBR,InterNeurons,InterNeurons_2
RMDVR,MotorNeurons,MotorNeurons_Head
ASKR,SensoryNeurons,SensoryNeurons_6
ASKL,SensoryNeurons,SensoryNeurons_6
AVHL,InterNeurons,InterNeurons_3
HSNL,SexSpecificCells,SexSpecificCells_MotorNeurons
AVHR,InterNeurons,InterNeurons_3
HSNR,SexSpecificCells,SexSpecificCells_MotorNeurons
RICR,InterNeurons,InterNeurons_2
AVER,InterNeurons,InterNeurons_1
AVAR,InterNeurons,InterNeurons_1
AVDR,InterNeurons,InterNeurons_2
BAGR,SensoryNeurons,SensoryNeurons_4
BAGL,SensoryNeurons,SensoryNeurons_4
RIR,InterNeurons,InterNeurons_4
RIGL,InterNeurons,InterNeurons_2
RIGR,InterNeurons,InterNeurons_2
URXL,SensoryNeurons,SensoryNeurons_4
IL2R,SensoryNeurons,SensoryNeurons_1
URXR,SensoryNeurons,SensoryNeurons_4
ALNL,SensoryNeurons,SensoryNeurons_4
SMDVL,MotorNeurons,MotorNeurons_Sublateral
SMBDR,MotorNeurons,MotorNeurons_Sublateral
ADER,SensoryNeurons,SensoryNeurons_3
ALNR,SensoryNeurons,SensoryNeurons_4
PVR,InterNeurons,InterNeurons_3
SMDDL,MotorNeurons,MotorNeurons_Sublateral
PHAL,SensoryNeurons,SensoryNeurons_2
PLNL,SensoryNeurons,SensoryNeurons_4
PHBL,SensoryNeurons,SensoryNeurons_2
PHCL,SensoryNeurons,SensoryNeurons_2
PLMR,SensoryNeurons,SensoryNeurons_3
PLNR,SensoryNeurons,SensoryNeurons_4
PHAR,SensoryNeurons,SensoryNeurons_2
VA02,MotorNeurons,MotorNeurons_VentralCord
SDQR,SensoryNeurons,SensoryNeurons_4
SDQL,SensoryNeurons,SensoryNeurons_4
FLPL,SensoryNeurons,SensoryNeurons_3
DVA,SensoryNeurons,SensoryNeurons_3
SIADR,MotorNeurons,MotorNeurons_Sublateral
ALMR,SensoryNeurons,SensoryNeurons_3
SAADL,InterNeurons,InterNeurons_2
AVBL,InterNeurons,InterNeurons_1
RIVL,MotorNeurons,MotorNeurons_Head
RIVR,MotorNeurons,MotorNeurons_Head
SIBVL,MotorNeurons,MotorNeurons_Sublateral
SIAVR,MotorNeurons,MotorNeurons_Sublateral
PVPL,InterNeurons,InterNeurons_3
AQR,SensoryNeurons,SensoryNeurons_4
PVPR,InterNeurons,InterNeurons_3
AVKL,InterNeurons,InterNeurons_2
AVKR,InterNeurons,InterNeurons_2
PQR,SensoryNeurons,SensoryNeurons_4
PVNL,InterNeurons,InterNeurons_3
PVNR,InterNeurons,InterNeurons_3
