Name,Group,Subgroup
I2L,Pharynx,
I1L,Pharynx,
I3,Pharynx,
I5,Pharynx,
MI,Pharynx,
I2R,Pharynx,
I1R,Pharynx,
I6,Pharynx,
M1,Pharynx,
NSMR,Pharynx,
I4,Pharynx,
M2L,Pharynx,
M2R,Pharynx,
M4,Pharynx,
NSML,Pharynx,
M5,Pharynx,
M3L,Pharynx,
M3R,Pharynx,
MCL,Pharynx,
MCR,Pharynx,
pm1,Pharynx,
pm2D,Pharynx,
pm2VL,Pharynx,
pm3D,Pharynx,
pm3VL,Pharynx,
RIPL,InterNeurons,InterNeurons_0
pm3VR,Pharynx,
RIPR,InterNeurons,InterNeurons_0
pm4D,Pharynx,
pm4VL,Pharynx,
pm4VR,Pharynx,
pm5D,Pharynx,
pm5VL,Pharynx,
pm5VR,Pharynx,
pm6D,Pharynx,
pm6VL,Pharynx,
pm6VR,Pharynx,
pm7D,Pharynx,
pm7VR,Pharynx,
mc2DL,Pharynx,
mc2DR,Pharynx,
mc2V,Pharynx,
mc3V,Pharynx,
e3D,Pharynx,
e3VL,Pharynx,
e3VR,Pharynx,
g1p,Pharynx,
g1AL,Pharynx,
g1AR,Pharynx,
g2L,Pharynx,
g2R,Pharynx,
bm,Pharynx,
AWAR,SensoryNeurons,SensoryNeurons_6
ASIL,SensoryNeurons,SensoryNeurons_6
AWCL,SensoryNeurons,SensoryNeurons_6
AWCR,SensoryNeurons,SensoryNeurons_6
URXL,SensoryNeurons,SensoryNeurons_4
AINL,InterNeurons,InterNeurons_4
ASIR,SensoryNeurons,SensoryNeurons_6
ADER,SensoryNeurons,SensoryNeurons_3
AIAR,InterNeurons,InterNeurons_3
SAAVR,InterNeurons,InterNeurons_2
ASEL,SensoryNeurons,SensoryNeurons_6
ASJL,SensoryNeurons,SensoryNeurons_6
ASKL,SensoryNeurons,SensoryNeurons_6
AIML,InterNeurons,InterNeurons_4
AIAL,InterNeurons,InterNeurons_3
PVQL,InterNeurons,InterNeurons_3
PVQR,InterNeurons,InterNeurons_3
SMDDR,MotorNeurons,MotorNeurons_Sublateral
AIMR,InterNeurons,InterNeurons_4
ASJR,SensoryNeurons,SensoryNeurons_6
ALA,InterNeurons,InterNeurons_3
HSNL,SexSpecificCells,
AWBL,SensoryNeurons,SensoryNeurons_6
AWAL,SensoryNeurons,SensoryNeurons_6
ADLL,SensoryNeurons,SensoryNeurons_5
AIYL,InterNeurons,InterNeurons_3
ASER,SensoryNeurons,SensoryNeurons_6
ADFR,SensoryNeurons,SensoryNeurons_6
ASKR,SensoryNeurons,SensoryNeurons_6
ASHR,SensoryNeurons,SensoryNeurons_5
AIYR,InterNeurons,InterNeurons_3
AIZR,InterNeurons,InterNeurons_3
ASGL,SensoryNeurons,SensoryNeurons_6
AINR,InterNeurons,InterNeurons_4
ASGR,SensoryNeurons,SensoryNeurons_6
AWBR,SensoryNeurons,SensoryNeurons_6
CEPVR,SensoryNeurons,SensoryNeurons_1
ADFL,SensoryNeurons,SensoryNeurons_6
AFDL,SensoryNeurons,SensoryNeurons_6
AVHR,InterNeurons,InterNeurons_3
HSNR,SexSpecificCells,
URXR,SensoryNeurons,SensoryNeurons_4
RIR,InterNeurons,InterNeurons_4
RIFR,InterNeurons,InterNeurons_3
AVHL,InterNeurons,InterNeurons_3
AFDR,SensoryNeurons,SensoryNeurons_6
AIZL,InterNeurons,InterNeurons_3
ADLR,SensoryNeurons,SensoryNeurons_5
ASHL,SensoryNeurons,SensoryNeurons_5
AUAL,InterNeurons,InterNeurons_3
RIGL,InterNeurons,InterNeurons_2
BAGL,SensoryNeurons,SensoryNeurons_4
RIH,InterNeurons,InterNeurons_4
PVPR,InterNeurons,InterNeurons_3
RIAR,InterNeurons,InterNeurons_1
CEPDL,SensoryNeurons,SensoryNeurons_1
RIGR,InterNeurons,InterNeurons_2
URYDR,SensoryNeurons,SensoryNeurons_1
AIBR,InterNeurons,InterNeurons_2
RMGL,InterNeurons,InterNeurons_2
AIBL,InterNeurons,InterNeurons_2
ADAR,InterNeurons,InterNeurons_3
AVFR,InterNeurons,InterNeurons_3
RMGR,InterNeurons,InterNeurons_2
AVJL,InterNeurons,InterNeurons_2
PVCL,InterNeurons,InterNeurons_1
SDQR,SensoryNeurons,SensoryNeurons_4
ADAL,InterNeurons,InterNeurons_3
IL2VR,SensoryNeurons,SensoryNeurons_1
URBR,InterNeurons,InterNeurons_4
RICL,InterNeurons,InterNeurons_2
SMBVR,MotorNeurons,MotorNeurons_Sublateral
BAGR,SensoryNeurons,SensoryNeurons_4
AQR,SensoryNeurons,SensoryNeurons_4
AUAR,InterNeurons,InterNeurons_3
RIBR,InterNeurons,InterNeurons_2
RMFL,InterNeurons,InterNeurons_1
IL2VL,SensoryNeurons,SensoryNeurons_1
RIBL,InterNeurons,InterNeurons_2
RIAL,InterNeurons,InterNeurons_1
DVA,SensoryNeurons,SensoryNeurons_3
IL2L,SensoryNeurons,SensoryNeurons_1
CEPVL,SensoryNeurons,SensoryNeurons_1
URYVL,SensoryNeurons,SensoryNeurons_1
URBL,InterNeurons,InterNeurons_4
PVNR,InterNeurons,InterNeurons_3
IL2R,SensoryNeurons,SensoryNeurons_1
CEPDR,SensoryNeurons,SensoryNeurons_1
IL1R,SensoryNeurons,SensoryNeurons_1
AVER,InterNeurons,InterNeurons_1
RMDL,MotorNeurons,MotorNeurons_Head
RMHL,MotorNeurons,MotorNeurons_Head
ALNL,SensoryNeurons,SensoryNeurons_4
SMDVL,MotorNeurons,MotorNeurons_Sublateral
SMBDR,MotorNeurons,MotorNeurons_Sublateral
ALNR,SensoryNeurons,SensoryNeurons_4
SMBDL,MotorNeurons,MotorNeurons_Sublateral
SIBVL,MotorNeurons,MotorNeurons_Sublateral
SIADL,MotorNeurons,MotorNeurons_Sublateral
PLNL,SensoryNeurons,SensoryNeurons_4
SMDVR,MotorNeurons,MotorNeurons_Sublateral
SMBVL,MotorNeurons,MotorNeurons_Sublateral
SIAVL,MotorNeurons,MotorNeurons_Sublateral
SAADR,InterNeurons,InterNeurons_2
PLNR,SensoryNeurons,SensoryNeurons_4
SIAVR,MotorNeurons,MotorNeurons_Sublateral
SDQL,SensoryNeurons,SensoryNeurons_4
ALML,SensoryNeurons,SensoryNeurons_3
BDUR,InterNeurons,InterNeurons_3
AVBL,InterNeurons,InterNeurons_1
SIADR,MotorNeurons,MotorNeurons_Sublateral
PVR,InterNeurons,InterNeurons_3
PVPL,InterNeurons,InterNeurons_3
PVCR,InterNeurons,InterNeurons_1
LUAR,InterNeurons,InterNeurons_3
