Neuron,worm0,Reference
ADAL,P,I
CEPVR,P,S
SDQR,P,P
CEPDR,P,S
PHCL,P,S
CANL,P,I
SIAVR,P,P
BAGR,P,S
SIBDR,P,P
AVL,P,P
DA2,P,M
SMDDR,P,M
AVHL,P,I
SMDVR,P,M
URAVL,P,P
URAVR,P,P
URXL,P,P
URXR,P,P
VA10,P,M
VA11,P,M
AUAR,P,I
SMDVL,P,M
DA9,P,M
SAADL,P,P
RMGL,P,I
PDER,P,S
PQR,P,S
PVCL,P,I
PVCR,P,I
OLLR,P,S
PVDR,P,S
PVR,P,I
PVWL,P,I
PVWR,P,I
M1,P,M
LUAR,P,I
IL2VL,P,S
RID,P,P
IL2L,P,S
RIML,P,P
IL1L,P,P
IL1DR,P,P
I1R,P,P
I1L,P,P
RMDL,P,M
RMDR,P,M
ASKR,P,S
ASJR,P,S
CANR,P,M
AS4,P,M
VD12,P,M
AS2,P,M
VD11,P,M
AINR,P,I
AIYL,P,I
VB3,P,P
AIML,P,I
AIZR,P,I
VD5,P,M
VB6,P,P
ADER,P,S
ADEL,P,S
ASIL,P,S
ASGL,P,S
DD2,M,M
RIGL,M,I
DD3,M,M
AIMR,M,I
RMEV,M,M
IL1DL,M,P
DVB,M,P
RMDVR,M,M
RMDVL,M,M
VD10,M,M
HSNL,M,M
RMDDL,M,M
VD1,M,M
I6,M,P
I5,M,I
ASKL,M,S
RMFR,M,M
PLML,M,S
PLMR,M,S
PHAR,M,S
PDEL,M,S
PLNR,M,P
ADFL,M,S
OLQDR,M,P
OLQDL,M,P
ADFR,M,S
PVM,M,S
PVNR,M,P
MCR,M,P
MCL,M,P
PVPR,M,I
AFDR,M,S
M2R,M,M
M2L,M,M
AIAL,M,I
AIAR,M,I
IL1VR,M,P
ALA,M,P
RMFL,M,M
AWCL,M,S
AWCR,M,S
RMHR,M,M
SIBVL,M,P
SMBDL,M,M
SMBVL,M,M
SMBVR,M,M
AS5,M,M
AVKR,M,I
VB4,M,P
AVJR,M,I
AVHR,M,I
AS8,M,M
VB1,M,P
VA8,M,M
URBL,M,I
AVEL,M,I
AVDL,M,I
VA6,M,M
ASHR,M,S
AUAL,M,I
ASIR,M,S
BAGL,M,S
VB8,M,P
PHCR,M,S
SIAVL,M,P
SAADR,M,P
DB3,M,M
DB2,M,M
SAAVL,M,P
DA6,M,M
SABVR,M,P
DA4,M,M
AS10,M,M
ALNL,M,S
DA1,M,M
SDQL,M,P
AS1,M,M
VC1,M,M
AQR,M,S
RIS,M,I
SIBDL,M,P
RIFR,M,I
PLNL,M,P
VD6,M,M
VA3,M,M
URYVL,M,S
VA2,M,M
RIFL,M,I
VC2,M,M
SAAVR,M,P
SABVL,M,P
VB10,M,P
PVNL,M,P
VD13,M,M
RICR,M,I
RIVR,M,P
RIAL,M,I
VD4,M,M
VD2,M,M
RIMR,M,P
RIVL,M,P
RIPL,M,I
VC4,M,M
NSMR,M,P
VD9,M,M
IL1VL,M,P
AS3,M,M
AS7,M,M
I3,M,P
I2R,M,P
FLPR,M,S
FLPL,M,S
ASJL,M,S
DD4,M,M
DD1,M,M
IL2DL,M,S
AVAL,M,I
DB4,M,M
AVBR,M,I
AVDR,M,I
DA3,M,M
PHBR,M,S
AWBR,M,S
AWBL,M,S
AWAR,M,S
AVG,M,I
AWAL,M,S
AVAR,M,I
AS11,M,M
ASEL,M,S
AVKL,M,I
AIBL,M,I
AIZL,M,I
MI,M,P
OLLL,M,S
IL2VR,M,S
LUAL,M,I
AIBR,M,I
OLQVR,M,P
PDA,M,M
ADLL,M,S
URADR,M,P
VD7,M,M
VA1,M,M
ADAR,M,I
URYVR,M,S
AVBL,M,I
URYDR,M,S
URYDL,M,S
VD3,M,M
URADL,M,P
AVER,M,I
AVFL,M,I
ADLR,M,S
AVFR,M,I
AFDL,M,S
URBR,M,I
VB7,M,P
AIYR,M,I
VB9,M,P
ALNR,M,S
ALMR,M,S
VB5,M,P
AS6,M,M
VC3,M,M
VB2,M,P
VB11,M,P
ALML,M,S
AINL,M,I
AS9,M,M
VC5,M,M
VA9,M,M
VC6,M,M
ASER,M,S
VA7,M,M
ASGR,M,S
VA5,M,M
VA4,M,M
ASHL,M,S
AVJL,M,I
VA12,M,M
PHBL,M,S
AVM,M,S
I4,M,I
IL1R,M,P
RIH,M,I
RIGR,M,I
IL2DR,M,S
IL2R,M,S
RICL,M,I
RIBR,M,I
RIBL,M,I
RIAR,M,I
M3L,M,P
RIPR,M,I
M3R,M,P
M4,M,M
PVQR,M,I
PVQL,M,I
M5,M,M
PVPL,M,I
NSML,M,P
VD8,M,M
PVDL,M,S
OLQVL,M,P
PDB,M,P
PHAL,M,S
PVT,M,I
RIR,M,I
I2L,M,P
HSNR,M,M
SMBDR,M,M
SIBVR,M,P
BDUL,M,I
BDUR,M,I
SIADR,M,P
SIADL,M,P
CEPVL,M,S
DA5,M,M
DA7,M,M
SABD,M,P
DA8,M,M
DB1,M,M
DB5,M,M
DB6,M,M
RMHL,M,M
RMGR,M,I
DB7,M,M
DD5,M,M
RMER,M,M
RMEL,M,M
RMED,M,M
DD6,M,M
DVA,M,P
DVC,M,I
RMDDR,M,M
SMDDL,M,M
CEPDL,M,S
