,epochs,base_train_losses,base_test_losses,train_losses,test_losses,num_train_samples,num_test_samples,centered_train_losses,centered_test_losses
0,1,0.006509338399205009,0.004784511206037251,0.32558296399597986,0.2917652135844966,1609,1609,0.3190736255967748,0.28698070237845935
1,2,0.006570290619036611,0.005537085188092117,0.30073177095593245,0.3105729599219375,1608,1608,0.2941614803368958,0.3050358747338454
2,3,0.006516277203345411,0.00478547577327449,0.24351492806249972,0.23042311396259058,1609,1609,0.2369986508591543,0.2256376381893161
3,4,0.004623510098239056,0.003444931269686229,0.23377349592542465,0.20308243200023104,1654,1654,0.2291499858271856,0.19963750073054481
4,5,0.003257692113209194,0.0023459148097434513,0.23326505639235906,0.2736433086183368,1654,1654,0.23000736427914986,0.27129739380859336
5,6,0.006123252352569398,0.004733307770881282,0.2365128858984865,0.23166758707584498,1654,1654,0.23038963354591713,0.22693427930496368
6,7,0.0032583697324398047,0.0023463251634015967,0.19106161544908598,0.22028983197304386,1654,1654,0.18780324571664617,0.21794350680964225
7,8,0.0032577718246106367,0.002346185972270315,0.16960037344311835,0.20506123837284196,1654,1654,0.1663426016185077,0.20271505240057164
8,9,0.004623120214113845,0.0034446789850352817,0.15355420960525323,0.13607840919748423,1654,1654,0.1489310893911394,0.13263373021244895
9,10,0.006565248770415876,0.0055387468791054375,0.1565354194502324,0.16534785661689697,1608,1608,0.14997017067981652,0.15980910973779153
10,11,0.006575133596776593,0.005538897598425343,0.13146129926766154,0.14878512623517784,1608,1608,0.12488616567088494,0.1432462286367525
11,12,0.006122775757945953,0.004732699994466659,0.1562933252779963,0.13965553982059753,1654,1654,0.15017054952005035,0.13492283982613087
12,13,0.003258046789363407,0.0023462017621560076,0.1374278841706415,0.15921117123164025,1654,1654,0.1341698373812781,0.15686496946948425
13,14,0.006501861883678724,0.004785893487064551,0.1266100594828927,0.12551402813683138,1609,1609,0.12010819759921397,0.12072813464976682
14,15,0.0061228445324353065,0.00473315567316245,0.12685689049277915,0.11579640388074633,1654,1654,0.12073404596034384,0.11106324820758388
15,16,0.005667572429513364,0.0057689896161350895,0.14292674416259815,0.15003056492988895,1609,1609,0.1372591717330848,0.14426157531375386
16,17,0.006122183104088342,0.004733002779698587,0.10756241498346288,0.10623329324584628,1654,1654,0.10144023187937454,0.1015002904661477
17,18,0.006122706523711603,0.004732947916829747,0.09726074063695987,0.10297405298791053,1654,1654,0.09113803411324826,0.09824110507108078
18,19,0.006122169556316732,0.004733495922210972,0.09018326354446776,0.1014906178474871,1654,1654,0.08406109398815104,0.09675712192527612
19,20,0.0032581103850619257,0.00234609362569757,0.12233379048816032,0.13793070237584842,1654,1654,0.1190756801030984,0.13558460875015085
