,AIBL,AIBR,ALA,ALNL,ALNR,AS10,ASKL,AVAL,AVAR,AVBL,AVBR,AVER,AVFL,AVFR,DA1,DA7,DB1,DB2,DB7,DVA,DVB,DVC,PDA,PHAL,PHAR,RID,RIML,RIMR,RIVR,RMED,RMEL,RMEV,SABVL,SABVR,SIADL,SIADR,SIAVR,SMDDL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB11,VD13,train_test_label,time_in_seconds,tau
0,-0.23707696790779453,-0.2984652928019751,-0.08432850948880241,0.0499937700690068,-0.17020091813759097,-0.171942277903221,-0.17355302818478774,-0.19026879520369672,-0.2963914763254241,-0.06355883031805364,-0.13835099761479142,-0.3169782621419893,-0.07879723810182429,-0.13101746084442048,-0.24777147240156894,-0.21088829180396826,-0.10733201728935705,-0.10173285855973796,-0.23331996259202514,-0.1824818858100597,-0.19293580412040948,-0.20600059493532435,-0.10955790289230691,-0.25580148989382734,-0.17870744159356305,-0.11545779609848875,-0.2957449541442869,-0.24684299210121646,-0.2935520191478782,-0.14448175527785928,0.005118841213434054,-0.2086634272368677,-0.15421148047611632,-0.271395452587727,-0.06130775088271731,-0.13128631996414913,-0.09074615435407646,-0.28660119717400423,-0.2592724234326882,-0.11621158362354775,-0.046925553568033164,-0.2904124744780745,-0.14134610077037715,-0.23080588002882318,-0.271258874681196,-0.2836682883069861,-0.3065876432486764,-0.0333001514780467,-0.16371504382900642,train,0.0,1
1,-0.32458650763145563,-0.3794477707109458,-0.07759408427882807,0.039552942934749216,-0.17656527782099102,-0.25691384489261343,-0.20104619855285943,-0.29937892256061455,-0.413104126673276,-0.036406333012140704,-0.11593328296159351,-0.4097792017588303,-0.05698166780866147,-0.1757508487515373,-0.33739611486420434,-0.2842839431246699,-0.12830389769609876,-0.10404549503798227,-0.2857721327154583,-0.16393263538746736,-0.2703048239428071,-0.2478968554823331,-0.08611812511451147,-0.3008333654543668,-0.2338590734138992,-0.13461736446412909,-0.40863531991719704,-0.3391603534439881,-0.3798835811671118,-0.1115635476196961,-0.011982022089768701,-0.23014004311860609,-0.21741370066392635,-0.3762868087400497,-0.046298961173011396,-0.14651994500320517,-0.07976135880410729,-0.34672147952076404,-0.3540920596136448,-0.149815851010567,-0.08363537464546988,-0.38375259753218427,-0.19698144373168686,-0.32885299172446575,-0.3292050243737543,-0.34874699767494827,-0.357858173574109,-0.06430635866426854,-0.24003606405274636,train,0.32598853003320255,1
2,-0.391488920348388,-0.45239335531289643,-0.08445540415976918,0.03191559417856486,-0.16904703965910878,-0.32539481985269414,-0.21853584434302015,-0.37771702973748283,-0.4862209870432085,-0.03537632090867415,-0.11417536708330973,-0.4667728933608715,-0.04366282725049683,-0.19957809279050756,-0.3907694007396413,-0.34338286548326535,-0.16372472255941706,-0.11158224686338163,-0.32038520737588655,-0.15698194705671803,-0.3290937461656777,-0.27908030348720836,-0.07271119141352055,-0.3253816947429461,-0.27145066066681356,-0.14224967963275,-0.483964716895674,-0.40425342932041275,-0.43477815735142195,-0.08634626190356522,-0.035893725870270995,-0.2416756957587099,-0.26193574381018964,-0.44085079810595584,-0.027630142168265537,-0.14105202646797715,-0.06159309054987209,-0.392148158192308,-0.40877433745809516,-0.16295553458072984,-0.11652649251839267,-0.44322719342795086,-0.22633749561530217,-0.3796284260499079,-0.37273302640080075,-0.38624199294740647,-0.3887180305025053,-0.0963023354894037,-0.2928085777449079,train,0.6519770600664051,1
3,-0.4395070617178596,-0.49205030463922267,-0.09425412273220823,0.02616128639465234,-0.16451034777582513,-0.3617653431752717,-0.23307837753312938,-0.4297585176211476,-0.5212605120818943,-0.033214675515778544,-0.11336263569194527,-0.5168245699952433,-0.04792103074390312,-0.2091805748583257,-0.432422502989241,-0.3764258535545665,-0.1870373520645734,-0.12231560805731195,-0.348016204539889,-0.15637661021642504,-0.37427922682437686,-0.29658979965280374,-0.06867854182970642,-0.34815141188673526,-0.29691742046776237,-0.1487032539403147,-0.5335658562166582,-0.44825836561494264,-0.47299683012531635,-0.08474314685212295,-0.04051742288774432,-0.2534018853397001,-0.289221161595579,-0.4776054890810437,-0.02438388183760303,-0.14333990054388965,-0.060519452947775304,-0.4252655778143384,-0.45181241916878523,-0.17678266883075247,-0.13162630931897976,-0.4858778046666989,-0.24688858951483703,-0.4234518905503188,-0.41950204179987094,-0.41602276865078347,-0.40918853195008953,-0.12340210113846532,-0.33210057485568023,train,0.9779655900996076,1
4,-0.48255116788425056,-0.5234736726419565,-0.10465402735094875,0.02934876746108706,-0.14043121569195247,-0.4038864357174101,-0.24160677419413934,-0.4870504202685118,-0.5769289659188663,-0.018933868782798943,-0.09782318035622904,-0.5484882205193078,-0.04609451636521472,-0.22922102336285305,-0.4629809677009971,-0.40828728131015757,-0.1952582791772529,-0.11805112076283131,-0.3625683852774314,-0.14130775518208344,-0.40379300201150187,-0.30933043823872386,-0.05544355177809929,-0.36801900230464785,-0.319408366707544,-0.15221183628932633,-0.5810218258872571,-0.4958453388211076,-0.503606750544343,-0.06636944009428078,-0.05330741815091926,-0.24779131513470654,-0.3213763044441151,-0.5096906450239116,-0.014746308068318205,-0.1273056403376102,-0.04668010425385799,-0.4506852884116713,-0.4741171691463431,-0.19380844933527955,-0.1527493966587326,-0.5266330403530781,-0.2630801560612216,-0.44294736134234297,-0.4401564597847643,-0.4368033400984531,-0.4226020533201922,-0.13044859545644547,-0.3616051550479448,train,1.3039541201328102,1
5,-0.5103356098898721,-0.5374589358466051,-0.1053186661037737,0.026827653494357406,-0.13440573961927682,-0.41650848719225597,-0.2466933194386593,-0.5077506183209727,-0.5994742790853481,-0.013498158146750872,-0.09577819055865545,-0.5659868205370662,-0.04527542657515393,-0.23026379751035453,-0.4734239760674941,-0.4159175942789103,-0.19799231994415528,-0.11135862156894447,-0.36614785436661595,-0.12498776030694408,-0.4155050741826831,-0.3100563905299092,-0.04782961120443788,-0.37337156013136696,-0.32796435164993976,-0.14731894438031368,-0.5989705372514728,-0.5133304432537783,-0.5021002526675085,-0.06258728243703052,-0.05388866980266953,-0.2417011557018493,-0.33162141046231297,-0.5193717384952008,-0.007312966120416063,-0.120317848209086,-0.04196585119191268,-0.4701680775115753,-0.48219134803891195,-0.1971349629662874,-0.16220555365293174,-0.5421224625142237,-0.26734164475117494,-0.4516763780793627,-0.4524130975500227,-0.43913168858500484,-0.41894959777408636,-0.1319891376735888,-0.37041036918240205,train,1.6299426501660126,1
6,-0.541014365471229,-0.5500955697089154,-0.10397807138058991,0.024057092535542432,-0.12125896829752401,-0.4353228951371553,-0.2508135988810618,-0.5343743955664875,-0.6246850461999669,-0.005770981098999095,-0.08048170221494093,-0.5849479167879966,-0.04161891633727083,-0.2279091592704273,-0.4844825642133192,-0.4134262117757407,-0.19288675365364777,-0.09309435422364823,-0.36337843257935687,-0.10090669941432877,-0.41767954403222346,-0.3072711138554608,-0.03908232639541456,-0.3824475702349679,-0.33245473735897235,-0.14143703396443094,-0.6161507584194865,-0.5363625408021108,-0.499135854686255,-0.049427495148303885,-0.0501885114234214,-0.23123804314639268,-0.34381077053170256,-0.5269920290164193,-0.00346607118335486,-0.11066350085258114,-0.03355506744926699,-0.4731596040858407,-0.48484944240728256,-0.20138771551860576,-0.16799221343201326,-0.5543225568746022,-0.27337735692582554,-0.45575344142581287,-0.4592208449229682,-0.44428688307221487,-0.4175912935851253,-0.12996435019893499,-0.3736651498572963,train,1.9559311801992152,1
7,-0.5536081894281782,-0.5615745723777625,-0.10378103717289142,0.026510584863085475,-0.11562360549871056,-0.438803560592014,-0.25942190656926667,-0.5443299009188871,-0.6354758778706773,0.0019225806232901765,-0.07240127420143064,-0.5916777166033952,-0.040911766789438794,-0.2358411118785315,-0.49243602846570284,-0.4128656358145001,-0.18771483445770182,-0.08467979312328218,-0.3564784765369864,-0.08332041718269459,-0.42102102366958677,-0.30126864800301323,-0.03115008513470298,-0.3852383670643302,-0.32706912166309415,-0.13649212446570114,-0.6206715519901248,-0.5422101748920175,-0.4962503030485076,-0.045836734499175996,-0.045257403524723114,-0.22627385998474842,-0.3496910532780162,-0.5294306398748176,0.00034765492041999996,-0.10887963841412379,-0.02977243784689304,-0.47850119700198024,-0.484186232334446,-0.1975853683486437,-0.17025725158148142,-0.5584819827854689,-0.2726467872128585,-0.4536458803774834,-0.46222270969373225,-0.44276052654237075,-0.4144208631471307,-0.1270595911304669,-0.3690134144609714,train,2.2819197102324176,1
8,-0.5685771335761998,-0.5656721531512046,-0.10350843882828892,0.03131042890941721,-0.11460433531244274,-0.44863319460990425,-0.26328869601901517,-0.5505020732810968,-0.6489303943782077,0.011866478294495247,-0.06761340459570195,-0.599754009205061,-0.041270697781016136,-0.23611136796428,-0.4898199237201358,-0.41345098422722015,-0.1860756550974291,-0.07868281331799212,-0.35163228810244673,-0.07168068853648739,-0.41944666392463115,-0.29587977573235463,-0.019375469642669285,-0.385929631800948,-0.32563254235769223,-0.1350908062315231,-0.6292025613203776,-0.5454281772086824,-0.48982616881677554,-0.040123092978590125,-0.040041282930975114,-0.21826163515482883,-0.3588562865573025,-0.5295413622490942,0.0013393956036569094,-0.10534859534391013,-0.01706425500083665,-0.4834159421460863,-0.47769815383864267,-0.19990219758620262,-0.17080293764440418,-0.559110293614146,-0.2754129605676884,-0.45538945666972164,-0.46622063019579807,-0.4476727819912346,-0.4027582445220549,-0.12029564762903057,-0.36533924320389094,train,2.6079082402656204,1
9,-0.5837774225586143,-0.5719314253323131,-0.11275747507931083,0.030093406242021243,-0.11202285674721424,-0.4591969627591485,-0.26643914860148504,-0.5671063243347874,-0.6637258907855024,0.022034588919633114,-0.06224013229106892,-0.6121792613223551,-0.03809658216723723,-0.22241100142784723,-0.49033199472015143,-0.42314225371691505,-0.1874994042508958,-0.07619319335979483,-0.3489716586082622,-0.06172406417939108,-0.4232145341146541,-0.2985615945083443,-0.015893346168400657,-0.3866820036562036,-0.3251419679842148,-0.1188368862714882,-0.6365701737907558,-0.5519081111069484,-0.48881076349093905,-0.02660780153568723,-0.028980300571990802,-0.2004203538507846,-0.35789573126812213,-0.5253460606649757,0.014393899309746813,-0.09873553933837112,-0.00437685517360098,-0.48158332554975913,-0.47567770066215637,-0.18985826404099004,-0.17895282217091832,-0.5557745426390063,-0.27331930731382703,-0.45512369437013117,-0.46587232442636245,-0.4542214450219497,-0.39417774828042307,-0.12549780001719177,-0.36603459253119097,train,2.933896770298823,1
