,AIBL,AIBR,ALA,ALNR,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA9,DB1,DB2,DVA,DVC,PDA,PHAR,RIBL,RIBR,RID,RIMR,RIVL,RIVR,RMED,RMER,RMEV,SIADL,SIADR,SIAVL,SIAVR,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA11,VB1,VB2,VD13,train_test_label,time_in_seconds,tau
0,-0.15861527768810207,-0.2610713005428654,-0.16637287639162412,-0.13447182360220938,-0.22377381648978434,-0.028735574372395857,-0.11321994181250825,-0.19036538752688453,-0.1319706946802906,-0.15564201607872116,-0.2635389275243515,-0.20438839718933777,-0.07495682244597517,-0.05417786973183257,-0.20415311450755913,-0.09721335381539603,-0.14732553790659497,-0.0797846970845584,-0.13623787995860703,-0.1936193832696901,-0.1288930526125741,-0.163927435702154,-0.11469184997353285,-0.07882204799322759,-0.12401060126253888,-0.1854128644675304,-0.17494756136425818,-0.21738107464026885,-0.1453431167417204,-0.07489934764744645,-0.21816948421624321,-0.039485947467508144,-0.11914589704109148,-0.1473239063779119,-0.08294450273755143,-0.19075747045182664,-0.022742661815826494,-0.325901858166789,-0.14787876980063203,0.004542853382286181,-0.0390328692150148,-0.21328624259930962,-0.11958823340592364,-0.20039467752808585,-0.2843181045952847,-0.1509040085889274,-0.11367977874971219,train,0.0,1
1,-0.2041051409450683,-0.3386751083725137,-0.1973764108720798,-0.13941482030433305,-0.29667212067999926,-0.09223130260090168,-0.19858084798220302,-0.2681092689824556,-0.10661490610838413,-0.13558694333649868,-0.32031815397050045,-0.2657529807821688,-0.06711166438118493,-0.07623509589048653,-0.28022202642829075,-0.13584857970012584,-0.1934240383137988,-0.09489527368659989,-0.09926515118073097,-0.2349422370179236,-0.12874670178769443,-0.21598249790149598,-0.13607671333385826,-0.05316360521994858,-0.17999652132963795,-0.25884842702066585,-0.21449805083094042,-0.2884104191561521,-0.11853451341645277,-0.036794890670583155,-0.24778134122416554,-0.028509897382264577,-0.10398473517579856,-0.11287561176041999,-0.0735048323987922,-0.21555641755361887,-0.04954377216684275,-0.3857086169341961,-0.20271939496751745,0.016338579079406994,-0.06467624787312434,-0.2649107796528519,-0.17918932089833273,-0.23045186875716073,-0.3134322428534999,-0.15166195430405946,-0.16933933830749734,train,0.32618544246451225,1
2,-0.24370614232203455,-0.370734264512219,-0.2530747937206757,-0.13520090897203124,-0.3362009777639614,-0.1417317428917709,-0.27711388644254054,-0.3237564209473144,-0.10868339105150765,-0.15080240602303163,-0.38589739957965746,-0.32294823878364876,-0.08538864375251384,-0.1252709909754083,-0.3596085855664586,-0.19027924880691266,-0.25869729325868324,-0.13075208678781622,-0.0999993660639512,-0.2749819375913043,-0.1421054507004831,-0.2634152940748937,-0.17534238166828603,-0.08054702048924428,-0.2303286867369676,-0.3173324258102382,-0.2697140879006583,-0.36508559651156874,-0.1315610977513031,-0.019265814648142213,-0.29422583306695255,-0.03348361056018697,-0.07588117997173034,-0.10275742042942063,-0.09776556821549172,-0.2679782020000982,-0.09332604622202387,-0.4478139819949045,-0.26877880702825696,-0.009401296535098844,-0.11235579163975236,-0.33818551871575236,-0.22123844672448723,-0.26971812525521943,-0.34034697232974487,-0.15535250221895472,-0.23831168582954873,train,0.6523708849290245,1
3,-0.27712961711875184,-0.3938446063578613,-0.2777780542087118,-0.11623019222813631,-0.3478361129174777,-0.1632261054179431,-0.3217752561194233,-0.3484035096603436,-0.11320139115453182,-0.1592359038011941,-0.4256634191627878,-0.36019585141259425,-0.09470246631481471,-0.14005268637685958,-0.40400215054972205,-0.21607490229753967,-0.29540034135814663,-0.14224344011471418,-0.09736890596729783,-0.2957319801702756,-0.1471795512602258,-0.29206755089401104,-0.17891230719137133,-0.09197006270902142,-0.24390357378340677,-0.3552209512803176,-0.29255224091997656,-0.39612763282919566,-0.12590005401473672,-0.009591136355744101,-0.30501815650424374,-0.03019305658585627,-0.047036994783814325,-0.09538231924923128,-0.1038414998261952,-0.2913547015785871,-0.12105671952498583,-0.47667621606505406,-0.2875724391312857,-0.031627055676692176,-0.1497891587439958,-0.3768732833162942,-0.2343972201195027,-0.29160449077099265,-0.34453574813714993,-0.14556911580143045,-0.2676090192929636,train,0.9785563273935367,1
4,-0.31161869174672985,-0.4219650596354032,-0.3015161355604491,-0.10725351053637698,-0.36607092186738266,-0.20996656998023305,-0.37375842110188845,-0.4014437647932364,-0.10696798797694368,-0.15903648974491155,-0.47047125701600345,-0.40450263766402783,-0.12162433397214385,-0.17802349613909776,-0.4541064570167963,-0.24113154668881143,-0.3114420133615797,-0.15389510504942577,-0.08607002616605207,-0.304877846362798,-0.14922324725902203,-0.3130103956391308,-0.1918593954061778,-0.10124078966457593,-0.2615525655170069,-0.39992182629955536,-0.34333195600782884,-0.4375356391954482,-0.13764772028123587,-0.0006716910244791985,-0.3298118045078659,-0.04860512536469116,-0.040637227570420875,-0.08592299711771649,-0.11420380814713575,-0.3437230220681997,-0.1503809957421195,-0.5114183853802652,-0.3230218914367844,-0.07852695445905883,-0.18483794160630954,-0.4276004618188854,-0.26525459378129285,-0.319093733663494,-0.35466835875458336,-0.15167304610592725,-0.3122259667262188,train,1.304741769858049,1
5,-0.3503364577272541,-0.4378793135852791,-0.3134771393304119,-0.09550236642151884,-0.37701731410151657,-0.22808395413054905,-0.42167824288692113,-0.4439382547471914,-0.09213672755042226,-0.16172721729022915,-0.5063391345705618,-0.437451231806927,-0.1275435358298794,-0.1976177479226623,-0.4926888991854853,-0.2578301968547662,-0.33419217111704835,-0.14498081837069807,-0.07804395057346186,-0.3206662356889098,-0.1405044984070454,-0.33394369068181623,-0.18716692246217573,-0.09503763583446115,-0.2681039620420073,-0.44429375346359085,-0.35690074234609703,-0.44963778222535805,-0.13988373329785408,0.008751430813590144,-0.3226942479758179,-0.04085664641280723,-0.02609026005192383,-0.07379810302221201,-0.12033404927111556,-0.3769009673455036,-0.17442732261639887,-0.5410831383977789,-0.3355923272996381,-0.09475820994755077,-0.2115656101389214,-0.4525486399159154,-0.2884560970926681,-0.3449482290699195,-0.36640022536773154,-0.14520134553094238,-0.34970132883282184,train,1.630927212322561,1
6,-0.3668606797580378,-0.4395960088024264,-0.3034524536640263,-0.08169454393174266,-0.3858068770808971,-0.23281590997399795,-0.44204536104751385,-0.46433453715009265,-0.07580299701345881,-0.15534141284118685,-0.527047694028563,-0.45673828249573034,-0.11885223881672599,-0.20016653492948724,-0.5101451051226712,-0.26205154393661295,-0.33012795524086636,-0.13571975739732656,-0.06680018190857259,-0.32032398706194987,-0.13476647763615168,-0.34048091017916027,-0.16845514467497608,-0.08403979533608738,-0.2578704481726002,-0.4689924308032006,-0.35349796877824996,-0.44833978783960926,-0.13843895701454156,0.018743632166315416,-0.302455889517828,-0.024379361992596375,-0.013287796106482452,-0.05106383607076484,-0.11853295876714345,-0.39776509211004235,-0.1665593761892966,-0.5425215009234278,-0.3226074934104829,-0.09555993418637002,-0.22872034209225856,-0.4641982453353895,-0.29278326529349946,-0.3533701841990542,-0.36898892140693484,-0.12329858174138537,-0.3639928525465301,train,1.9571126547870734,1
7,-0.38235158254105456,-0.4524307777924302,-0.3109340165705762,-0.07558159337134798,-0.3878994428260186,-0.24267736622178845,-0.470440322398822,-0.49043062470930077,-0.06958357625117564,-0.15081866886290923,-0.5504022564567893,-0.47213941156800854,-0.11194043095123356,-0.2047673955372386,-0.5231686939742518,-0.26940319318491796,-0.3337255270414028,-0.13326103695476915,-0.06302010554030069,-0.3252433169744823,-0.12363180414880613,-0.348335806012503,-0.15460300044960826,-0.07778903447607102,-0.25361494203686347,-0.4954710855333949,-0.3580749996508482,-0.44431048127758,-0.13269068114790894,0.026025965273811208,-0.29127849731796895,-0.0074176181720150905,0.009802070662625326,-0.04330831477901091,-0.11257327995811227,-0.4220688545828126,-0.1749641334648405,-0.5477180826145954,-0.31887298313068835,-0.10813658257936928,-0.25558460952468043,-0.48020611361432847,-0.30306840052759865,-0.35662063798144883,-0.36737103195124177,-0.11047157694912038,-0.38123701695841844,train,2.2832980972515857,1
8,-0.4103333896648993,-0.46614550897616824,-0.3143221410500424,-0.0727217172474162,-0.3928250919928704,-0.2564330944496187,-0.4983945185458117,-0.5130230862135252,-0.049002893660405444,-0.14234431555159785,-0.5644819935111335,-0.49215499082540975,-0.12356941840946295,-0.21215765443908874,-0.5430650352956146,-0.27596901840918403,-0.3302211412496253,-0.12851063535323168,-0.05463361704178682,-0.33643386550566706,-0.11780053689704338,-0.35999505829834694,-0.14620628332131555,-0.06406813014729952,-0.25419042652688917,-0.5154868208270618,-0.3704808393627276,-0.45390478868802736,-0.1264360850129484,0.031553022289893956,-0.28434381249710905,-0.00575184277185619,0.013314907636579304,-0.03244034405715715,-0.11470361843202673,-0.43242270621727086,-0.18427949230209079,-0.5593356093486764,-0.33460974887301514,-0.12280797694749504,-0.2713214679301328,-0.496429014380475,-0.30871166576836573,-0.3629415635375493,-0.3746382885262757,-0.11089934686188438,-0.398470533244683,train,2.609483539716098,1
9,-0.42428374786210177,-0.4641861476399749,-0.3018439555387226,-0.055988027622117006,-0.400043564057567,-0.24250072731730357,-0.5003343922292851,-0.5209801695618721,-0.01952992294517128,-0.12165407564346106,-0.5637373148826009,-0.48137433757317366,-0.09933678465818455,-0.20467243507232522,-0.5393462131116962,-0.2616112983125214,-0.3088662875760203,-0.10442183025350371,-0.0355631219077534,-0.33545565198170335,-0.09954221002281123,-0.34296889618143134,-0.11852930748287296,-0.03440587047119331,-0.24311693565890558,-0.5175518794890408,-0.3559705781626181,-0.4368808003779864,-0.0996045136104224,0.04803712619049999,-0.25516943476167875,0.0198910253450889,0.02231395903912195,-0.0025826300274354175,-0.10118588748756198,-0.425860701138295,-0.16293627827025445,-0.5526734357017198,-0.30532889024675824,-0.10605615659247992,-0.26644004036866775,-0.49440007920731927,-0.3057442584189833,-0.34859355620997284,-0.3692143763424586,-0.08503039276114861,-0.4004190142558315,train,2.9356689821806103,1
