,epochs,base_train_losses,base_test_losses,train_losses,test_losses,num_train_samples,num_test_samples,centered_train_losses,centered_test_losses
0,1,0.006572747762418383,0.0055428192730496186,0.33601255172265837,0.34463843063005356,1608,1608,0.32943980396024,0.33909561135700395
1,2,0.004624263360095032,0.0034451912796488646,0.25693106883724937,0.25937823209414634,1654,1654,0.25230680547715434,0.25593304081449747
2,3,0.006122654629631573,0.004733382368315977,0.2648704392240323,0.3099289216794482,1654,1654,0.25874778459440073,0.3051955393111322
3,4,0.006122435832706526,0.004733292593598991,0.22822408105091208,0.2678313578101725,1654,1654,0.22210164521820555,0.2630980652165735
4,5,0.0032577346736129137,0.002346208653700533,0.22869739607362624,0.27983336575974826,1654,1654,0.2254396614000133,0.2774871571060477
5,6,0.003257939317328156,0.002345935630238743,0.20575515341548287,0.2606196980160852,1654,1654,0.20249721409815472,0.2582737623858465
6,7,0.0032580767265000645,0.00234608792951715,0.18612159146429347,0.24523889513017363,1654,1654,0.18286351473779341,0.24289280720065648
7,8,0.00657135198990529,0.005541082329190953,0.208501787837629,0.20799692625733643,1608,1608,0.2019304358477237,0.20245584392814547
8,9,0.005663011575283031,0.005757018384347978,0.1834194182802483,0.17786414188046987,1609,1609,0.17775640670496526,0.1721071234961219
9,10,0.004622673469536847,0.0034449484828315575,0.15385777718440488,0.1529912742290579,1654,1654,0.14923510371486803,0.14954632574622634
