,AIBL,AIBR,ALA,AS1,ASKL,AVAL,AVAR,AVBL,AVEL,AVER,AVFL,AVFR,AWCL,BAGL,BAGR,DB2,OLQDL,RIBL,RIBR,RID,RIFL,RIML,RIMR,RIS,RIVL,RMED,RMEL,RMER,RMEV,SABD,SABVL,SABVR,SIBDL,SIBVL,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVR,URXL,URXR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.07200006224592015,-0.06667579964346809,-0.036712857484025536,-0.03367691891463985,-0.1497374302192435,-0.018005042818990694,-0.07690031006759893,-0.11260569303332038,-0.19422537775938525,-0.010724591672311289,-0.06583612202971724,-0.17233801078806504,-0.10794529455980949,-0.43449747400790406,-0.41801150704519485,-0.30600837737210695,-0.17835271598359903,-0.36200349663143655,-0.23255367978159708,-0.19435380433891883,-0.2730943438060653,-0.2181521500525282,-0.11391151202319488,-0.283436395155096,-0.290140008740478,-0.3056641702793157,-0.30548909088842113,-0.255880086194205,-0.26700416736356164,-0.06496250498559081,-0.15144863759508184,-0.12824929540420424,-0.12461556334110557,-0.25852259880801903,-0.17343538068198636,-0.29152908212432493,-0.31854428127196116,-0.3971876071613035,-0.27493470716398327,-0.32536067617782916,-0.326991004828425,-0.35245499257734253,-0.25721677690833605,-0.32085911525662636,-0.15142438760455962,-0.12275718602751778,-0.05365253214620229,-0.23866382756484542,-0.36956447196154607,train,0.0,1
1,-0.06637913542156307,-0.05528045488645105,-0.06349513853803519,-0.054377878970276954,-0.2348534220822365,-0.03725169471965373,-0.09510160510013549,-0.18628522534325742,-0.20805889443483983,-0.024409135593550166,-0.13917690961960763,-0.21440056407209326,-0.1045613265379796,-0.5373353058904735,-0.542346609408309,-0.40318276711945067,-0.24357800426042386,-0.45310636796625947,-0.32372847878581346,-0.296495064190648,-0.34005790695011184,-0.24644276338804183,-0.1376497407760978,-0.41128687060573643,-0.3277615729239668,-0.37089513405813135,-0.40948774483778394,-0.36790011353419383,-0.3461934108193744,-0.07271614161849013,-0.16049755723136186,-0.16348564842050037,-0.1807631862646867,-0.30020063521301243,-0.2346346345882,-0.4085247315974417,-0.4296565645259023,-0.5021459489393629,-0.3648882574847499,-0.4005557065907308,-0.39304084183465815,-0.42615906536332016,-0.3435142418760588,-0.40572924900976853,-0.1770690642706707,-0.16399513921997794,-0.08381891166236749,-0.3047930269520011,-0.4646974595133783,train,0.43286573146292584,1
2,-0.07724879386845222,-0.06210264932880076,-0.06945201955870069,-0.0715324291204665,-0.27640115728265463,-0.06006686847821197,-0.10614156236778599,-0.2360585723161971,-0.21813809663471467,-0.03918557632129586,-0.18655570784746092,-0.23369339407225592,-0.10472196970639623,-0.5864127246686065,-0.6247261424115734,-0.4547823422469278,-0.2738657133912799,-0.5138262307329146,-0.37760620281709967,-0.3323594922267272,-0.3771991549851127,-0.25932226017321086,-0.16549174664231772,-0.4760145380790316,-0.3527391035806531,-0.39974833284480565,-0.4631943956728517,-0.4468370006120107,-0.3811263447406986,-0.08205063958063682,-0.1489405064570663,-0.19149706667741315,-0.20682549705639253,-0.31755371528601506,-0.27835708080618005,-0.47950300474108004,-0.5012896109431566,-0.54905529641631,-0.40192024759627376,-0.4422912302710367,-0.4325928568399978,-0.4688601807000932,-0.3946322384525629,-0.4491583617937553,-0.18841495829190538,-0.1859670840988446,-0.10787827602739727,-0.33986087283401883,-0.5140468078157014,train,0.8657314629258517,1
3,-0.08602584795222237,-0.07152627422261712,-0.07591380035860658,-0.08544394710894475,-0.30329821784964783,-0.07347380083850757,-0.11288657662365048,-0.2604675360219426,-0.21459418381206963,-0.04729718417884563,-0.2024459177789184,-0.2390127620191558,-0.1033265143395906,-0.6000633450808651,-0.66362576187688,-0.4604370410437323,-0.27812122894570424,-0.5330859797550109,-0.3912772311166156,-0.3428027248946273,-0.39881520037392015,-0.2717335192815944,-0.17614448229185337,-0.5063272183029232,-0.36325048937023163,-0.41533163253562166,-0.4854871707707713,-0.48485163076604165,-0.39685984437541355,-0.08495638819156731,-0.13605377423776135,-0.20596905249482228,-0.22154440034971656,-0.3248283830932141,-0.3024654996364196,-0.5113571143537232,-0.5311409270724758,-0.5681050722361134,-0.4117527134118875,-0.4558290023877719,-0.44812819739525994,-0.48797572694109304,-0.41138747371749296,-0.46750901789527255,-0.19931158106407676,-0.20074363637846426,-0.11551999128545183,-0.360289492144097,-0.545906224483148,train,1.2985971943887775,1
4,-0.0975892266112473,-0.08398328306963249,-0.08213066486730447,-0.09568645476491655,-0.32667329032052184,-0.09460325434904697,-0.13609976629212087,-0.2808183701922031,-0.2302669714698916,-0.07489680256650089,-0.20574949928388064,-0.24105983618795077,-0.09304934754455672,-0.6119095723327607,-0.6851729381954831,-0.46173571098438093,-0.2787341755021942,-0.5320722936211091,-0.39420507963402807,-0.3431288392789129,-0.4076722930648414,-0.29169672622388254,-0.19292564741960944,-0.5213802238419484,-0.3720344207719081,-0.41744060304731145,-0.48158248598918574,-0.5071481478028648,-0.4064285595552042,-0.09914847300329074,-0.13333235020174472,-0.21381165674279723,-0.22284094430103413,-0.3380551997891003,-0.3128327096140551,-0.5428063913238816,-0.5486553160012242,-0.5866498274271994,-0.4289913465661766,-0.4714711157879514,-0.48156464750091754,-0.512567739343047,-0.42217684946524614,-0.48876275556877397,-0.20747605163566163,-0.22053387943958142,-0.13056489424735357,-0.3695379694282386,-0.5596607581900562,train,1.7314629258517034,1
5,-0.11257986854723924,-0.09962376195452347,-0.07567374796921068,-0.1138674993330277,-0.3217509309275582,-0.12089446214236185,-0.14579622839717632,-0.29685909349858064,-0.24419815215970675,-0.09947858900642992,-0.2041652679901076,-0.24692692033027655,-0.09930552412769518,-0.6087441018232804,-0.6928501591618222,-0.44036416535315226,-0.28651065071211906,-0.5305717650453465,-0.3846480339990058,-0.32566073205436635,-0.4001908602337867,-0.30064476448213573,-0.20383579557181916,-0.5137852241722236,-0.37247604785493627,-0.4142629713337103,-0.4607478675911755,-0.5025339293144057,-0.39604123697103444,-0.10632860547620025,-0.11827910524313923,-0.2177393251963658,-0.21918869135045357,-0.3112706668710697,-0.3032634298602585,-0.5560825549848283,-0.568821016934183,-0.5838933596513304,-0.40524421114415365,-0.4689609992415251,-0.4848524781835003,-0.5258402434950338,-0.404701089608308,-0.4861783781617622,-0.2069912747218235,-0.2474942867964198,-0.1378185820639316,-0.36250216910686084,-0.5608530895996608,train,2.164328657314629,1
6,-0.12670991399047382,-0.1144219575858384,-0.06016746894893301,-0.12760151034048572,-0.3157107594941413,-0.14678991026385652,-0.154768935067508,-0.2947343264170511,-0.26329734286035944,-0.11727515383487871,-0.18270477634469925,-0.24852276829203845,-0.08873038912546014,-0.5889877348949228,-0.6970215069769832,-0.4161472597320933,-0.2772208881751343,-0.5098904358398477,-0.35848616233747843,-0.30241576099652706,-0.38907860433436253,-0.31491788165242685,-0.21498547207831947,-0.492341180390093,-0.3725257567221635,-0.3945380471586022,-0.42797264638556687,-0.4885567273440864,-0.3779528816756337,-0.1148095441981318,-0.10009168703478147,-0.20830912430103354,-0.20305805996423082,-0.30220736292660233,-0.29592368836670657,-0.5547225300902233,-0.5676516337095425,-0.5747919555129478,-0.37788706238674413,-0.463898242112297,-0.47364145491914167,-0.5352718416843467,-0.38894936009250003,-0.4830736330007216,-0.20890467366927934,-0.26204056710899387,-0.1450274032531854,-0.34501651862139215,-0.5393081569055471,train,2.597194388777555,1
7,-0.14007079808824008,-0.12488522675354176,-0.03163839145741685,-0.14148146565349035,-0.310176001050536,-0.1892946914665534,-0.17565840866985022,-0.2962616680779553,-0.28539836954385234,-0.15005555873620793,-0.15368311669304086,-0.23881701773642178,-0.06604783624552807,-0.5672755556126099,-0.6897761125385381,-0.3721707566184252,-0.27421530619085943,-0.47565049400726245,-0.31157203581452453,-0.28063775770454524,-0.3723469898033159,-0.35610847350978936,-0.2283743066843647,-0.4496164605027275,-0.3734310892468439,-0.3770125058599036,-0.38922596855634695,-0.4563938664644117,-0.3498174276866689,-0.12119080471816655,-0.09682202252151041,-0.19642233644477372,-0.19493403701906512,-0.29401047052495066,-0.2745310901373939,-0.5482450239666545,-0.5434135671179323,-0.5685060361487702,-0.34255758991675556,-0.46686396543738695,-0.4690876035737118,-0.5208465549672499,-0.3653097954410356,-0.4821451254424377,-0.21963882372217913,-0.28766481957263806,-0.15643866250189675,-0.34000713393016657,-0.5011728386311057,train,3.030060120240481,1
8,-0.16847190803976048,-0.14258299422757503,-0.025838557476020298,-0.15586943639874462,-0.31383267163111295,-0.21953629638758515,-0.1979045757288834,-0.30093011555751914,-0.29711007275801404,-0.1707297511441507,-0.1258267815470993,-0.23523066468667475,-0.06355163390930943,-0.5498471303193941,-0.6667565532118992,-0.33978916763904266,-0.26647273363878415,-0.45119923263545014,-0.2582968001835112,-0.26274636090112885,-0.35641233296845026,-0.38465914038976534,-0.24092261840765394,-0.4006007207785639,-0.3749931483222116,-0.35201997427586285,-0.34202270082662156,-0.41947571220904745,-0.33407899486827203,-0.13679725087476857,-0.09133512436196804,-0.1795803664696115,-0.18460683781052095,-0.2770221508048436,-0.24662512717912133,-0.5402387323508724,-0.5277657483696392,-0.565918309215616,-0.31841724992968995,-0.45966064291960196,-0.46793584515209197,-0.5313592957092366,-0.3325425204674051,-0.4643538214717471,-0.22126960930782266,-0.30257003451721187,-0.1676943958188628,-0.3158588079803658,-0.4709164917275153,train,3.4629258517034067,1
9,-0.19433854557412306,-0.16295700475962263,-0.023875249326312582,-0.17665144353815934,-0.3119695086498979,-0.2532015465870418,-0.22870020533641144,-0.3028342896783163,-0.3030295226730106,-0.19208523206817674,-0.10127753735234966,-0.22017186344092493,-0.06280441752408707,-0.5389831812893904,-0.6365319975942433,-0.31128588738278395,-0.26452661389826215,-0.4390047483281513,-0.22588716237028741,-0.24886921323335623,-0.3467468420954256,-0.41493674105883227,-0.27237061669190077,-0.3569526090833407,-0.37732070350944624,-0.3305900971918979,-0.3128301568252001,-0.3909756794632665,-0.32108517191560737,-0.15156792603631214,-0.08053741721302338,-0.17039462817248358,-0.18374880118718048,-0.2598163960749757,-0.23539486509743224,-0.5375997831112538,-0.5156182598181572,-0.5697500673230946,-0.3132217630903542,-0.46026677774574676,-0.4674407129949385,-0.5345140057503566,-0.30776416381307214,-0.4554224681610024,-0.22459452781563818,-0.3162971253156152,-0.1886007852464826,-0.30795074123671784,-0.44113888607684104,train,3.8957915831663326,1
