,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVEL,AVER,AVFL,AVFR,AWCR,BAGL,BAGR,DB1,DB2,RIBL,RIBR,RIFL,RIML,RIMR,RIS,RIVR,RMED,RMEL,RMER,RMEV,SABD,SABVR,SIBDR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.11933304160140719,-0.14314939532745888,-0.07487509005125874,-0.2318970823972243,-0.0954392674180724,-0.23303818914452928,-0.28683812402559994,-0.16192903980103818,-0.2866982097535971,-0.23103301707741822,-0.04007443734206337,-0.10663451987241859,0.03625136687516807,-0.48164803836752534,-0.45516444797295275,-0.2914129586755098,-0.39102537697292983,-0.39252410259119885,-0.31235094455846735,-0.3633924010506605,-0.3153858749885745,-0.29405927246222635,-0.23435380585889495,-0.31572398821110137,-0.302925282282911,-0.3632526396974235,-0.30720959218805005,-0.33864706188453686,-0.18194094253910154,-0.19364420180854747,-0.1122458702379698,-0.36838299047022594,-0.39057538416033116,-0.4912566058136031,-0.4466477991951878,-0.43800082971917453,-0.46105197198553916,-0.3104570318299622,-0.4157356489370725,-0.3533721136637625,-0.16977370018524737,-0.14761132809418653,-0.15064866351802453,-0.36059638867297594,-0.31211464798339766,train,0.0,1
1,-0.13280507837434533,-0.18165285762836977,-0.09531251680623057,-0.35777668289544395,-0.18229138178488066,-0.3605427345639891,-0.40115140182297193,-0.2611313470169495,-0.37557267241595416,-0.35124718560891416,-0.08547153408253456,-0.1244773357038387,0.05120646027964725,-0.613342675719518,-0.6015224673935012,-0.4055501968907278,-0.5448918954960132,-0.4942907094663791,-0.44680587902862756,-0.4641696728622054,-0.4199680694984719,-0.4269381518196217,-0.34845578562850765,-0.440146504790472,-0.34813445812877236,-0.4909498810944507,-0.4264153424836693,-0.42487657917449073,-0.27112905806451304,-0.2327270238343784,-0.16149989759772948,-0.5142715041154239,-0.5398495165130425,-0.6444655228022333,-0.6317882532043102,-0.5885929763028864,-0.5847328588846256,-0.43732782914010054,-0.5434009496943352,-0.4813857443682491,-0.19336284372086004,-0.2028422028395731,-0.2368554112597796,-0.460454246400959,-0.3502161330449045,train,0.4900181488203267,1
2,-0.14890288463230905,-0.211840879469283,-0.09261359596021045,-0.4282639030272094,-0.24066460093664443,-0.4353527830876997,-0.46091641617511986,-0.31590249207443155,-0.4448155490076416,-0.4181164075511909,-0.10582300928027151,-0.12513385544619582,0.056658569173565064,-0.6903562035893458,-0.6818285905403646,-0.4589008359233795,-0.6303016581850309,-0.545931995924337,-0.5191175588651408,-0.5194598920042703,-0.49663681405886917,-0.5168794598967849,-0.40415930068777295,-0.5038998737817248,-0.36832413869516356,-0.5522389323028377,-0.4806513880293678,-0.45846769044018876,-0.3340944671543492,-0.25780577625097434,-0.19295729911073684,-0.6015721869144617,-0.6267089551958704,-0.7279008879871103,-0.7269757767555076,-0.6712867876111879,-0.6478810065129526,-0.5166671563753179,-0.6231710112747495,-0.5477449745073364,-0.20105795918367753,-0.24623450499724228,-0.29071268468017886,-0.5062618018584732,-0.36740083347625985,train,0.9800362976406534,1
3,-0.15003898818769074,-0.22770180276278118,-0.07871503618477686,-0.4657672381793942,-0.2745586018460551,-0.47444903160932617,-0.49213903299509315,-0.3392718403459982,-0.48129923964641913,-0.4423322856417313,-0.12092600034978317,-0.11480241800235735,0.05190683096090571,-0.7245344106783562,-0.7225659696188266,-0.48506350232648643,-0.6687817503913828,-0.5757680917864715,-0.564721053737853,-0.5517829366524185,-0.5447415522699519,-0.5632688207662527,-0.4293962036787846,-0.5304295544001174,-0.3818188657458156,-0.5807163744007309,-0.5113359598985412,-0.4668185395155433,-0.3617692065109438,-0.2638002772875291,-0.19984995691157637,-0.6540711866490009,-0.6636451108847551,-0.7757533661262639,-0.767796029737174,-0.7129419218965725,-0.6628431741427905,-0.5486187438466105,-0.6615290589455086,-0.5929717000712396,-0.2062458978036989,-0.27338596066592835,-0.31295398233503713,-0.5226496447892488,-0.3768501049784062,train,1.47005444646098,1
4,-0.1493629286351543,-0.23581778290386785,-0.07188903239115775,-0.48409182756046093,-0.2932785500463983,-0.4921421067796342,-0.5059243579662096,-0.35217935388932436,-0.5006726724016228,-0.46088058394732384,-0.12945057480050093,-0.10959400420097395,0.05149043996403254,-0.748629314083417,-0.7487593283369578,-0.49582842133906646,-0.6907856040677107,-0.5838207450086478,-0.5862249087746064,-0.5594517819219023,-0.5670133585371667,-0.5907917020389444,-0.45232999337322577,-0.5447100096127964,-0.39978318863647844,-0.6044110291891257,-0.5304399152592912,-0.46593770925445577,-0.37570875160865025,-0.2767547729261935,-0.20961184452298023,-0.6880842753057879,-0.6859871721124569,-0.7962281989512694,-0.7925927082843756,-0.7308756184324733,-0.6794882865252669,-0.573335390139667,-0.6850268764738285,-0.6194458574883047,-0.2070786021950094,-0.2907784744312556,-0.3257224497946198,-0.5368903753024874,-0.37721284817348755,train,1.9600725952813067,1
5,-0.14639849820064535,-0.24089948082877427,-0.061393696109700246,-0.4952501328321155,-0.3052060408175667,-0.4993119528805861,-0.5108945753605001,-0.35843653194325026,-0.509548134997256,-0.4668269115567812,-0.13166015655912464,-0.10483120977733715,0.05303724133351076,-0.7578131372280746,-0.7578987684521494,-0.5012838424794106,-0.7038007184674583,-0.5846815616796646,-0.593472002290724,-0.5648411558997093,-0.5763202454008973,-0.6055787441021862,-0.4562554129447779,-0.5496389399137265,-0.4107093175188881,-0.6134948322636673,-0.537119071208878,-0.4597084257838303,-0.3851173667225559,-0.27959574768091267,-0.21712516718584138,-0.7054020559669486,-0.6913678946596007,-0.8062869085772166,-0.8010897906058985,-0.7366997428709772,-0.6849609140899715,-0.5875122855279002,-0.6971165884827677,-0.6340564670832733,-0.2070436973376069,-0.295409777902164,-0.3331124790478823,-0.5380397729736595,-0.3687076024022751,train,2.4500907441016335,1
6,-0.14132518360637442,-0.2385985354933976,-0.05506794379094885,-0.5043665802332763,-0.3155890494031973,-0.49324057009350863,-0.5084252980943157,-0.3626869935034603,-0.505012235947411,-0.4603078295892288,-0.1438119206649116,-0.0996951124750304,0.046994595878993704,-0.7630065592745691,-0.7683142722491689,-0.5131303671781695,-0.708382697328605,-0.5976261013475979,-0.6063009915069149,-0.5754419829729257,-0.5792660105701686,-0.6113092059454733,-0.4643706710662153,-0.5478897895973032,-0.416733089375217,-0.6221886474987435,-0.5534549684690662,-0.4590765860661573,-0.38478925049299284,-0.28226808429663,-0.22187851986442117,-0.7154396854717282,-0.6950633238874664,-0.8117760952507039,-0.8073307397171989,-0.7432187643931765,-0.6855831326397182,-0.586977617572776,-0.6994381285382527,-0.6467449972327034,-0.2096843526424691,-0.2953272177580379,-0.33795617152532303,-0.5480818687926556,-0.37822632163885145,train,2.94010889292196,1
7,-0.13043226568594343,-0.23163078703086448,-0.04294467381474456,-0.5108496504428597,-0.32090415634639224,-0.48071272821938643,-0.5009221777065581,-0.3678018814888474,-0.49927569546760314,-0.44146785231034724,-0.15840026182386419,-0.09399428379612192,0.0473764078390542,-0.7695039894040873,-0.7640506994164257,-0.5218253913929846,-0.7211668863901598,-0.6055994735279107,-0.6126232368293953,-0.5832867399683762,-0.5693548369070013,-0.6082329180852932,-0.4732434935123525,-0.5386985782204698,-0.43433680603739844,-0.6304187944354086,-0.5647526840538433,-0.45274751265795077,-0.3753826630327731,-0.28511395140457513,-0.22914393087086185,-0.7233806047141957,-0.6870591863179139,-0.8116810430390181,-0.8118203029814033,-0.7383391227144585,-0.681325306217675,-0.5826720694286489,-0.6910197525946558,-0.6628737963885764,-0.22176645507525486,-0.29078416672394736,-0.33919510666607705,-0.5503353124099577,-0.3845266926666211,train,3.4301270417422867,1
8,-0.12321998888733188,-0.22036081833351728,-0.03825604579656218,-0.520761319997459,-0.32459989571171766,-0.4629142616478448,-0.4842665640520252,-0.3752816291872968,-0.4775764785958819,-0.42191618068412157,-0.1755238498278806,-0.09733308876583507,0.04447906518647053,-0.7785218537960031,-0.7645621748515941,-0.5316078982705015,-0.7274799974894648,-0.6146739259670652,-0.6233657899874906,-0.5960434097817325,-0.5476185360796824,-0.5949995144219794,-0.49318455095356295,-0.5310747731597402,-0.4470873115562396,-0.6445382327750998,-0.5810740300072555,-0.45292999516770593,-0.36482673142022926,-0.28789315996584963,-0.23526545008325486,-0.7286466177868124,-0.6873083092744352,-0.8091375130075756,-0.8180590778638144,-0.7314239477536827,-0.6852664409215358,-0.5791425645246994,-0.6859947563655103,-0.6676023011794587,-0.22935971520763335,-0.2854141546948107,-0.3410183917211479,-0.5618665149764575,-0.404702960022598,train,3.9201451905626135,1
9,-0.11620675413716183,-0.2081627008664174,-0.029228375978234862,-0.5268613786014635,-0.32928633045892586,-0.4383506281487457,-0.46007281229518643,-0.3811154370855512,-0.4665858551418801,-0.39542493381147725,-0.19941564803986594,-0.09652926454429432,0.041253845226341596,-0.7864748056519635,-0.7727230363602362,-0.5477843639078451,-0.7403186241728688,-0.6263926367627941,-0.6346092223756633,-0.6165664983479968,-0.5305141059984274,-0.5771393189451826,-0.5115306595204537,-0.5253504269180986,-0.4656508115015122,-0.6526551405699339,-0.5990241369706981,-0.4564587668846377,-0.3463120261861159,-0.28565257797404775,-0.23850599393060773,-0.731651369483644,-0.6861445310861355,-0.8085939953896125,-0.821932039609215,-0.728836318983387,-0.6707894969291145,-0.5650716262254432,-0.683252599549486,-0.675595461442448,-0.23891664799296403,-0.2831295298183898,-0.3376105771531075,-0.5631962073411213,-0.42701519488257406,train,4.41016333938294,1
10,-0.11099696275934424,-0.19545492735389958,-0.03194636560907879,-0.5358679813677536,-0.33119924294672964,-0.41511110497856213,-0.4375447238723646,-0.3901405127818496,-0.44426867941542164,-0.3751475656763743,-0.22354411513375805,-0.09968301355973899,0.03693566829062304,-0.8029472986685968,-0.7847145070698428,-0.5645276489065054,-0.7520106522075335,-0.6364469146451424,-0.6470576209828656,-0.63209655723989,-0.5070006928921853,-0.5586278722708073,-0.5325516070118856,-0.5245795874217384,-0.47775378341213026,-0.6687641793109028,-0.6186790379676483,-0.46749406679502503,-0.3292613815948181,-0.2915798602159957,-0.246133133920411,-0.7382609800018982,-0.6919487463455958,-0.802459752540464,-0.8296733918189968,-0.7215582028276686,-0.6755169222722069,-0.5612519285767698,-0.6766063714390759,-0.6799431690613325,-0.2423776731657222,-0.28196223505698437,-0.33853529216253336,-0.5782533612125459,-0.4575459267933728,train,4.900181488203267,1
11,-0.09899799420786155,-0.18143390175736596,-0.014353734073190065,-0.5313717079593917,-0.3171569268621211,-0.39250021350508196,-0.41569761531276384,-0.3910509915329088,-0.4309889112835508,-0.3518191522190117,-0.23639218219207986,-0.10472219178670258,0.03996678439870713,-0.7971071176745038,-0.7750299433558232,-0.5603722451358452,-0.7567744674863159,-0.6323573656862461,-0.6469542057639917,-0.6353321972324355,-0.48071204911561227,-0.5349468804886578,-0.5484291112272913,-0.5093601699456269,-0.4975960864102674,-0.6666878357657693,-0.6230735686562751,-0.4582706211437183,-0.3103860464936955,-0.2931978602767101,-0.2454285584815802,-0.7225255414177995,-0.680589546877982,-0.7875791886789757,-0.8230329224914319,-0.7083321697645133,-0.6639025575137099,-0.5454262351306914,-0.6632757009142034,-0.6845350329200264,-0.2558360354517658,-0.27551060022869556,-0.3289440561121208,-0.5647106420153625,-0.46005016902993734,train,5.390199637023594,1
