,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AWCL,BAGR,RIBL,RIBR,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVR,SIBVL,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URYDL,URYDR,URYVL,URYVR,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.09108094786319833,-0.09433046858988861,-0.09486098228038582,-0.17483420079375686,0.0007103652302890076,-0.09999108901308998,-0.13127340911185428,-0.165010436321723,-0.29015097978152016,-0.20150803857008787,-0.12993736759173455,-0.08596916342367655,-0.4218153463882586,-0.3563932544572126,-0.2759579837061016,0.028559408963371804,-0.21869534378660116,-0.1616706015437879,-0.3318896050168274,-0.31043078088173054,-0.26213548070183756,-0.31382948415657375,-0.36704725037697583,-0.2508977995939694,-0.32322495011698005,-0.1959105034455163,-0.29685954663715836,-0.3039334594690324,-0.37915628148957137,-0.38298870693963155,-0.3978406158302833,-0.3939679200713113,-0.4362896226276173,-0.22132023018364222,-0.3683641307082469,-0.2896642382742589,-0.11295813587898143,-0.14228464493464724,-0.11199536967943627,-0.17039253115013253,-0.3124322022840734,-0.37339276909957997,train,0.0,1
1,-0.09391778538938664,-0.09953315749354472,-0.14090602983391065,-0.2914994143592094,-0.058443021777059095,-0.16398390662538517,-0.1775543690992523,-0.27754638530430015,-0.409750836319244,-0.23492928895447812,-0.2092176652388938,-0.06569595778388533,-0.5699205916812995,-0.45225480016667685,-0.38543817091908883,0.01315120813222272,-0.2657778958822259,-0.22445117264099373,-0.4845206592042878,-0.3683723910647418,-0.37267052042374815,-0.3829715014853369,-0.49917430277368546,-0.37400311378621987,-0.4268122474478586,-0.25921590562588576,-0.35178383055880985,-0.418777095550885,-0.5214999847468579,-0.49872149908637453,-0.5598504106762829,-0.5205685465856795,-0.566412875751243,-0.30697304832935735,-0.4651303004921129,-0.3976080840896098,-0.12149763224425081,-0.18787371365237474,-0.169117968722103,-0.24056505094798025,-0.4104516685377967,-0.4609410384076694,train,0.3843416370106762,1
2,-0.09459360544778204,-0.11580047967610638,-0.1563476392037214,-0.3463179056271156,-0.10186464805378745,-0.21031015833171815,-0.2053400300671965,-0.3383416569748342,-0.47501205929532464,-0.26941065362354544,-0.2588480934831114,-0.0402811685460088,-0.665680731661441,-0.5079716309761957,-0.4541857565955223,0.01007548983448349,-0.2905970349863982,-0.2642478497266917,-0.5657909238118399,-0.3967742116552778,-0.4301216917843349,-0.4114657516293296,-0.5705024169522223,-0.4374184481252029,-0.4707044780796611,-0.3073335357972573,-0.3862520148849352,-0.48470692248225633,-0.6015914766797341,-0.5516099008120569,-0.6429964313238534,-0.5841318797058639,-0.6406729852601714,-0.3659329903384243,-0.5165695118672933,-0.4643025032771225,-0.1274220193554794,-0.22040595696628035,-0.19439165912649947,-0.28740054229492984,-0.4601507379077504,-0.5091267093008698,train,0.7686832740213524,1
3,-0.09931334301327088,-0.138098919339688,-0.16569043962513774,-0.3824966751520004,-0.13177325151513805,-0.2401972555694276,-0.21663909168821838,-0.37668049772748713,-0.5113845860267712,-0.298177437356567,-0.2834078709734758,-0.028330674887850557,-0.7179817668331732,-0.5380249175111326,-0.49545356503940274,0.0026398457469220503,-0.30721573078320646,-0.2841269169091363,-0.5973985327841138,-0.4132158506101318,-0.46409649614479404,-0.4257767596890434,-0.6014311207174113,-0.46976085202006956,-0.48889428369983956,-0.3333291929222168,-0.41479083424771857,-0.5157315614099338,-0.6434484668778656,-0.5822336670433635,-0.6829161624221538,-0.6165419305470039,-0.6799637162385941,-0.3886069099625678,-0.5377916595085768,-0.5104568096511131,-0.1276892258145598,-0.23869900657704587,-0.20819082713666606,-0.31965012254782443,-0.4958026890748001,-0.5393617534118443,train,1.1530249110320285,1
4,-0.11390149737344585,-0.15652823485941975,-0.17244513203604167,-0.40831373528578796,-0.15703189867214262,-0.26592712308180205,-0.24217679063468828,-0.40136472680588614,-0.538058558681364,-0.31958813842729583,-0.3059390494362326,-0.02283720659510631,-0.7471575126255297,-0.5556020973130438,-0.5209072779624018,-0.00894973797832812,-0.3272280822740372,-0.3129483565054652,-0.6204769134120011,-0.4327187374081898,-0.4907153469448874,-0.4295784301463577,-0.6220133160472212,-0.49139960373594527,-0.49938138424951306,-0.3523226711799313,-0.42513350633329494,-0.5441875182111687,-0.6766892925344097,-0.6069479398863665,-0.7254387710752243,-0.6382531494261996,-0.7161843651566108,-0.41781089380450726,-0.5619744092750207,-0.5330982034670775,-0.12386972279380276,-0.2593567971011128,-0.2304404997889217,-0.33629321356207814,-0.5258471584778526,-0.546293370221869,train,1.5373665480427048,1
5,-0.12790161082845786,-0.18232372791872287,-0.1765405890325323,-0.43206837237394874,-0.16902517688958693,-0.29805722130853757,-0.2664134676945248,-0.41456462816253353,-0.559461070136801,-0.34259771195612565,-0.3434054634117072,-0.010818454297052832,-0.7711390965399195,-0.5677633081278987,-0.5280583860266674,-0.014933078810110648,-0.3642347833912807,-0.335708344567886,-0.6154961322005424,-0.4438262954373441,-0.5164547628691887,-0.4224947195247152,-0.625138005873594,-0.4926537668902661,-0.5092505523150812,-0.3639296516438998,-0.4304207279629672,-0.5647443628318682,-0.7029350862525607,-0.6373204826631946,-0.7464522998746502,-0.6580638927230474,-0.7503401602706733,-0.43386962059558853,-0.5963830428416358,-0.5436331470171717,-0.12793252891525572,-0.27497895029984476,-0.2418573522613622,-0.3524801048837969,-0.5325700425425526,-0.5430879324914422,train,1.921708185053381,1
6,-0.14287381904219976,-0.2024051406701592,-0.17031448669416277,-0.43325094781388257,-0.1796320563998863,-0.32384936716775936,-0.27285018686954676,-0.4221892975718134,-0.5805289113393036,-0.362785863805319,-0.3621051029853319,-0.01681300435077568,-0.7873837009730383,-0.5782726009955798,-0.5337060078802921,-0.021189986256057954,-0.3817291031708462,-0.36428822391936627,-0.6134012645506757,-0.4542159498708722,-0.5330117905971485,-0.4105375583615305,-0.6178310649141512,-0.4874880779368689,-0.5036647458610515,-0.3673183054521203,-0.4306021074931814,-0.5696324414770959,-0.7175008419791191,-0.646900983581325,-0.7503306792952178,-0.6792297034220801,-0.757438123724587,-0.44889292671318215,-0.6205811668883977,-0.5486867743520001,-0.12547910586523814,-0.2876208124998589,-0.24964098325328501,-0.3541794977467546,-0.5186168965943087,-0.5313265086049653,train,2.306049822064057,1
7,-0.15563348770006208,-0.21142867248449398,-0.17185570375988687,-0.44861479424463224,-0.19057504398592573,-0.3443435891491487,-0.2944481728857622,-0.43972121272498543,-0.6001186872756462,-0.3767579774500996,-0.3824617691166557,-0.011760993597455402,-0.8013483573597172,-0.5879734727210223,-0.5440870631591939,-0.03200135263273834,-0.4036950799152005,-0.387970724175933,-0.6138832816416624,-0.4661155970813693,-0.5534669908825114,-0.4039984509951817,-0.6208983632747939,-0.49868558003847907,-0.5054232781449972,-0.37419263781961853,-0.4286457031132426,-0.5943608359801397,-0.7406868205780631,-0.6739184040433387,-0.7678235569125473,-0.6901500287094324,-0.7840019239440065,-0.4617806112276897,-0.6509790056286753,-0.5555213899933664,-0.123708192078787,-0.2976555576900278,-0.26067221687615844,-0.36743712176383064,-0.5243245034995451,-0.5257544987509695,train,2.6903914590747333,1
8,-0.16850475162071163,-0.22829155931861192,-0.17306211837327262,-0.44887304282502277,-0.1913649733783444,-0.3690651446559218,-0.30985997154365563,-0.4315078260711387,-0.6105272297624473,-0.388790596629234,-0.40034944866216465,-0.004348322131857346,-0.7987279783060571,-0.5962140769414955,-0.5449820045840258,-0.04592682143106646,-0.44098581712410334,-0.40988104519087487,-0.5997489435127773,-0.4765098441188078,-0.5696880058134571,-0.40339656701370363,-0.6134740731841983,-0.4899298537543647,-0.5027171656824672,-0.38300275701010245,-0.42468344396742463,-0.5987361166301235,-0.7540813589210336,-0.6960903202158056,-0.7698497361883017,-0.7108690451550894,-0.7837772333947863,-0.46553435435866936,-0.668044784639671,-0.5678208198156219,-0.11948153188190977,-0.3139880347474824,-0.2638960136942794,-0.37517960574898956,-0.520370085273349,-0.5126044415703954,train,3.0747330960854096,1
9,-0.17927939132011345,-0.22842118855439544,-0.17290002444428473,-0.45334212847847283,-0.20870019777537246,-0.3801368459063509,-0.3164616784657973,-0.45131583859818136,-0.6118693042183071,-0.4032457085839346,-0.40188223776044024,-0.0088157430762357,-0.8022698998568297,-0.6023145361409055,-0.5546331732655979,-0.05912352334232667,-0.44956147849440453,-0.42577107831362787,-0.5916869619274194,-0.4824906307462964,-0.5672315782672257,-0.4015108078838441,-0.6228007133162968,-0.498118934971564,-0.49056473439548887,-0.38963193463828916,-0.42624895424214526,-0.620541668935021,-0.7556664946669681,-0.6978610307606481,-0.7835752668699735,-0.7123532137197884,-0.8010784421763474,-0.4790814229986464,-0.6785315222030339,-0.5821817277927428,-0.11680274453369642,-0.32548074927368,-0.2719255995855425,-0.3891318143976909,-0.5335090912370276,-0.505075942293017,train,3.459074733096086,1
