,AIBL,AIBR,ALA,ASKL,ASKR,AUAR,AVAL,AVAR,AVEL,AVER,AVFR,AWCR,BAGL,BAGR,DA1,DB1,DB2,OLQDL,OLQDR,RIBL,RIBR,RID,RIFR,RIML,RIMR,RIS,RIVL,RIVR,RMDL,RMED,RMER,RMEV,SABD,SABVL,SABVR,SIAVL,SIBDL,SIBVL,SMDDR,SMDVL,SMDVR,URADR,URAVR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.20407481688953272,-0.14283484590488266,-0.09018278396709958,-0.2733277270074606,-0.09096760818329389,-0.33390232511807294,-0.2726482660743745,-0.33900245119396444,-0.40057074585444064,-0.28582229354926975,-0.14600893952760424,0.03437435258635172,-0.5182376674523475,-0.49503552226895964,-0.2796460576586868,-0.2822893058770148,-0.42440918236825687,-0.3965689776751343,-0.04585731255313879,-0.39201891669931926,-0.31031511662329286,-0.22298303279484719,-0.27422491988123304,-0.41905325949810934,-0.3732281526468104,-0.2953061777037307,-0.4414040480517297,-0.39257838670397843,-0.15446619186865423,-0.2892434376992673,-0.2981729314658357,-0.34662062392081894,-0.27411534017921907,-0.26428980760308385,-0.2051512731045273,-0.005580669490439054,-0.19414669674804652,-0.28421226333800986,-0.5140809337972959,-0.5166175402778367,-0.47560682256392545,-0.48230868268512295,-0.5202754816378183,-0.33688764002524374,-0.506782200076831,-0.13598916463899585,-0.1849000773937171,-0.18545096869662955,-0.27690237624404723,-0.17745130550235577,-0.32368670724596005,-0.30612121189435204,train,0.0,1
1,-0.25948000810375343,-0.1756526464443006,-0.10705329478567932,-0.4119164045239959,-0.19786054203300757,-0.4428139391290347,-0.4369809142966612,-0.48271602327990465,-0.5434360527637712,-0.4478921687826348,-0.19090344149615576,0.041016002401825596,-0.6590279106960235,-0.672285740198065,-0.4321803745209041,-0.4075466898175629,-0.5980141291904163,-0.5943471954477345,-0.0434521006499215,-0.5029456751389161,-0.45208250559420604,-0.3129292562761223,-0.41869421646445015,-0.5656932255789335,-0.5407131161525358,-0.44431568032736135,-0.5620020309240202,-0.5450327942147625,-0.2858194980711938,-0.35288685665490616,-0.4285161022978089,-0.4214798287087068,-0.40080591562926404,-0.33581905532880807,-0.2754866135070213,-0.020893347158993717,-0.2671419960718323,-0.33902527122572795,-0.7242341814960133,-0.6986921832068322,-0.6623023056814986,-0.6246945207592455,-0.7091042195754007,-0.4670080894364529,-0.6996177353179072,-0.13927546539570854,-0.2748245885126779,-0.2704019059812758,-0.43149491738886975,-0.2890686624918596,-0.41053134880122577,-0.34678840259296423,train,0.4572396274343776,1
2,-0.28398558153259273,-0.1938079324575956,-0.10548702978600637,-0.4947676576396549,-0.2780857960570987,-0.5055906736346512,-0.5296206279246145,-0.548433079354204,-0.6153097803202096,-0.5288998205516363,-0.20423097779717841,0.02425345248478787,-0.7413672428451297,-0.7547094105171839,-0.5081095188445863,-0.4745809158600012,-0.6956206330342358,-0.6916700084133511,-0.03031660172292277,-0.5618702373051132,-0.5405108014967592,-0.3476457288460014,-0.4807067187479894,-0.6411027953326176,-0.6327432144158294,-0.528699708061412,-0.6198459472022779,-0.6149020610409262,-0.34616716154114,-0.3893059617236996,-0.4899345754896449,-0.46203056737392123,-0.47540821552413537,-0.3762365730432705,-0.3135825794555031,-0.04282991743508545,-0.30362352550282706,-0.3728952759379755,-0.8272991419574021,-0.7944903917878294,-0.7737618670705289,-0.7047401083863685,-0.811588034351495,-0.5382282765679043,-0.8149837024874913,-0.136117722229164,-0.3399721603011828,-0.3226071378947077,-0.5161656620862358,-0.34896740887330824,-0.4608669293850057,-0.3831172606109292,train,0.9144792548687553,1
3,-0.299175350933749,-0.21312411103546455,-0.10130035675781283,-0.5374352918500725,-0.3276660359675682,-0.5365452959542277,-0.5770195892242205,-0.5666464245315488,-0.6456101502541698,-0.5612562015822521,-0.19733894624578208,0.0266817642381317,-0.7783930522926074,-0.7931688063984016,-0.5544087998839574,-0.5043662901015618,-0.7356193356144605,-0.7318025996081113,-0.024690355988174435,-0.5951094973652818,-0.5928932945222269,-0.35137508282187696,-0.5065950019485045,-0.683265930643571,-0.6886747700748101,-0.5712503267537387,-0.6452093962950716,-0.6485854469112515,-0.3811715441544401,-0.4107254276160339,-0.5292570457717383,-0.45718464239141665,-0.5146266211472811,-0.3884237511146046,-0.3417102541133092,-0.04323631518180557,-0.31863617627385377,-0.3895495604806123,-0.8847958911338528,-0.838731336813987,-0.8257668686732441,-0.7494376365049795,-0.8652577254771459,-0.5865633120273916,-0.8636511189267295,-0.1224535896429578,-0.37727712537164493,-0.347966073983317,-0.5658184418102606,-0.3807563772503144,-0.48931015008480727,-0.39121035059172526,train,1.371718882303133,1
4,-0.3095359544406308,-0.22719333407784406,-0.09033798153976576,-0.5647012706285577,-0.3631438688189013,-0.5619455617901565,-0.613870320838633,-0.5806955409397971,-0.6759814998375404,-0.5898810705452685,-0.19381896668789617,0.01472265266439614,-0.7945463882633375,-0.8212163461412018,-0.5873934768030197,-0.5220929671021852,-0.7628948966624534,-0.7573334838512167,-0.025678426369917667,-0.6171752625160558,-0.6255764653571365,-0.36097533213464794,-0.5162767635514116,-0.7136193738979247,-0.7262402791637673,-0.5858966286281255,-0.6529163374233403,-0.6654412445214937,-0.4003482270703367,-0.41404517595883683,-0.5421719186471079,-0.4600373420816164,-0.5452654691444736,-0.4004139765289014,-0.35815822911098005,-0.049963708852559775,-0.3342866583793243,-0.40242116861448907,-0.9166857312046136,-0.8701482692499188,-0.8472613045071957,-0.7675186353154888,-0.9055337476675778,-0.6145222796289384,-0.8993241072793745,-0.11875568167135628,-0.40023275359866733,-0.36879912890215505,-0.5943274893328707,-0.40848907126405704,-0.5069533169826956,-0.40365695490180475,train,1.8289585097375105,1
5,-0.309135405406917,-0.23146401100764932,-0.08801393935595349,-0.5760197766484648,-0.38539294509094846,-0.5785280375134034,-0.6355255210906025,-0.5838267810121094,-0.6857304779602187,-0.5989436839463865,-0.1879776474709638,0.008545776357835553,-0.8162709727084764,-0.8413270634244018,-0.6032640635763227,-0.5290873696596725,-0.7738318701505655,-0.77095826292612,-0.01770474891015178,-0.6281047666682721,-0.6575203487124295,-0.369717798122228,-0.5229277769770043,-0.7293579626428764,-0.7461822876762455,-0.603607851679452,-0.6493833391971986,-0.6762495611543098,-0.4063944658732516,-0.4217670689071494,-0.5529143009193447,-0.4627611138604445,-0.5532054096386501,-0.40185437110028355,-0.37262714164995425,-0.04847502563276324,-0.3393828423727329,-0.4089174106838268,-0.9361860943972549,-0.889993105767136,-0.8591072878408456,-0.7737754276062109,-0.920143579493625,-0.6330336153288914,-0.914948454333677,-0.12275956349329886,-0.4206711533191233,-0.38294023000859573,-0.6191061094348903,-0.4242823187311492,-0.5225013284654212,-0.41734422560953627,train,2.2861981371718882,1
6,-0.3130699678483974,-0.23761910475320208,-0.08356317558007106,-0.5903205669336161,-0.3970610813798465,-0.5801140869307615,-0.6406930282539123,-0.5930002785413933,-0.6913728422376046,-0.6065573081187352,-0.1839037299675772,0.006678376241218688,-0.8138046718955876,-0.8399248276383969,-0.6134487101547352,-0.5393319136457964,-0.7871721899194524,-0.778393404620006,-0.0216614090301102,-0.6368627111287892,-0.657393269517106,-0.3647609165756848,-0.5297360038796388,-0.7416653297799308,-0.7583065400655435,-0.6138606152987878,-0.6615412399408479,-0.6773702110133555,-0.41874907389899846,-0.4316230994875344,-0.5630803741617149,-0.46070239442262817,-0.5626848964048714,-0.407916400459602,-0.3820903845328786,-0.05362529318354712,-0.33553379012179035,-0.40783255828041887,-0.9452023020075564,-0.8970160836004425,-0.8725583873822058,-0.7865119293737536,-0.9339340933421856,-0.6392829936926628,-0.9323853541407603,-0.11630096483573792,-0.42458431816777487,-0.3860335772904843,-0.6292209234157086,-0.4327125029992685,-0.528869505882668,-0.4183968735279606,train,2.743437764606266,1
7,-0.31693841081993773,-0.24842754991365443,-0.08228518280518063,-0.589827414733748,-0.40488183277473727,-0.5912898987474526,-0.6451817208751359,-0.5894038097400187,-0.6919084402545113,-0.6098000069980125,-0.1839750714438474,0.014611779150061076,-0.8207932135416165,-0.8483024357448309,-0.623866305447844,-0.5389680793894285,-0.7838023338060826,-0.7824744780350231,-0.019073433112316615,-0.6418722771958096,-0.6568739776780095,-0.36441392173595966,-0.5355622931154609,-0.7521133194482293,-0.7648440391604027,-0.6232680830644481,-0.6624072963681529,-0.6831057682599879,-0.42158258797272274,-0.4369146949293501,-0.5659425760870682,-0.4538709085953455,-0.5668056970937092,-0.4017054984649463,-0.3820589721231562,-0.06187532115086099,-0.3325474267521855,-0.40235387737307715,-0.9538106037053432,-0.9050372638596139,-0.8719068366712314,-0.7874085787173467,-0.9454385560122636,-0.6408103604239296,-0.9340357469206348,-0.11586692612319394,-0.43230109090068536,-0.38491484944985505,-0.6349243052119838,-0.4335505146991604,-0.5229451629710695,-0.41376870432423973,train,3.2006773920406433,1
8,-0.3241044319485591,-0.24821878646914625,-0.0812515628139767,-0.5938576286940626,-0.4110455480840565,-0.589615695134956,-0.652639184299991,-0.5840161946466969,-0.6881841679454956,-0.6137861439530868,-0.18121116613607435,0.018847249116455675,-0.8377714134312063,-0.8641806990781898,-0.6320584669473889,-0.5450451208599727,-0.7905918120257865,-0.792704756567207,-0.015424174552590292,-0.6402851913901362,-0.6658535448474492,-0.37368467816098677,-0.531931503609974,-0.7543821313834139,-0.7614174802183866,-0.624535039122495,-0.6633141366156456,-0.6902208754892223,-0.4320152661062724,-0.44573146201898006,-0.5627703501608311,-0.4561485040668989,-0.5652309132556848,-0.39315111659986735,-0.3897880891202733,-0.06150646622152298,-0.3349080905295812,-0.4053680183300987,-0.9667973494560588,-0.9083265146729547,-0.8636342429748444,-0.7692881865393324,-0.9487175607646001,-0.6335990896372763,-0.9402633722199973,-0.11704189031216228,-0.4510132441933966,-0.38423047442413344,-0.6373854020773925,-0.43398044177177064,-0.5366884570012149,-0.42111788415973406,train,3.657917019475021,1
9,-0.3238649840705758,-0.2518210616508756,-0.07822717939119903,-0.6019100514481724,-0.413985823095088,-0.5929709962674662,-0.6570624591412196,-0.5828377141923098,-0.6889252477935512,-0.6176776660213622,-0.18075573739176548,0.021878137700101045,-0.8333790570828955,-0.866422469930483,-0.6371368668425585,-0.5431099866608036,-0.7902627284917184,-0.7923697047134001,-0.018708812143701004,-0.6380300206310772,-0.6632199728529148,-0.3750925001591509,-0.5337620614109824,-0.7593870417460393,-0.7605187839554022,-0.6270668651376257,-0.6661047225906878,-0.6938472505741691,-0.43869503105023044,-0.44325704654486,-0.5654357261543131,-0.452849829300384,-0.5662288640228726,-0.3976577762121546,-0.3898363121178896,-0.05012812195912849,-0.33794478088671087,-0.404880126891929,-0.9687791010145689,-0.9083323436655073,-0.866787521892627,-0.7730511908797725,-0.9557539816356568,-0.6337568221981652,-0.9441280576579292,-0.1193400009247548,-0.4486613229773708,-0.38718806889100593,-0.6451012318699465,-0.4313769947388286,-0.5350632332531833,-0.42181278466643507,train,4.115156646909399,1
