,AFDR,AIBL,AIBR,ALA,AS1,ASKL,ASKR,AVAL,AVAR,AVBR,AVEL,AVER,AVFR,AWCL,AWCR,BAGL,DB2,IL2DR,OLQDL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABD,SABVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URXR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.1534706069160071,-0.10093598805585377,-0.048762413080642636,-0.06534153776607612,-0.00903301689002756,-0.1192703494821744,-0.0015497115221457594,-0.02682422487130759,-0.09052127267771416,-0.2279808786200208,-0.1727653251027172,-0.05943478245777704,-0.14990684495973683,-0.14540027260976118,0.0386384634183857,-0.4275607027008992,-0.32578962968359515,-0.12350990891000986,-0.2004606070348896,-0.32418573374643767,-0.107892403902531,-0.11648854790972944,-0.1351038674671982,-0.27895818048471993,-0.26843615602655047,-0.20076020658837238,-0.3136532504205484,-0.29361975856734157,-0.2767897334357661,-0.2659415214248315,-0.11434541930854053,-0.17804605712791027,-0.30429126298994524,-0.35497471186388097,-0.33484917324359154,-0.3214960688877392,-0.2723166843341184,-0.38911177466504565,-0.15042776895465598,-0.35375115230031634,-0.2689019013130555,-0.27448054458945154,-0.04073737359827934,-0.2850151060460316,-0.34222725963495665,train,0.0,1
1,-0.1596892923293353,-0.10366383102562776,-0.041567963034968805,-0.09783654468446837,-0.026165095052444277,-0.19762033017346745,-0.06245959379158142,-0.042787599250800945,-0.10661950535616947,-0.29868258081576804,-0.19092053922552538,-0.10462910974994305,-0.1887992686916322,-0.16482682950717994,0.04012879275680975,-0.538707424736451,-0.45279839474329464,-0.18428201181961992,-0.2831050871659489,-0.4545129342569507,-0.16918248660521712,-0.09941903174601119,-0.17220415775838566,-0.40351461910768405,-0.2958321745659989,-0.2677087395033948,-0.376129762034639,-0.39132021632158087,-0.4022634992908177,-0.34348467885049194,-0.1575612396176309,-0.23919979905515443,-0.4342320932351293,-0.4833800389346734,-0.42627233343589754,-0.431577123679929,-0.3286319365530201,-0.4798920652365096,-0.19901160283442904,-0.4507648214775012,-0.35034564088157516,-0.35823444191430104,-0.07710859464618741,-0.36431363579253473,-0.42776191232029626,train,0.4589885252868678,1
2,-0.15581118543804443,-0.10396011336381784,-0.035906410173438305,-0.10928170405752398,-0.033469946605435244,-0.24291597998678088,-0.10983905393289675,-0.03208010501375543,-0.09572328702863844,-0.3123582426696324,-0.1969063713172953,-0.11942778342436178,-0.20537305062822522,-0.17779883673431068,0.026392817573693564,-0.5947162519913582,-0.5118790549232894,-0.20944905322211724,-0.3102655927639615,-0.5320878432874888,-0.1915595361447863,-0.0851059329641009,-0.17638825304638345,-0.4664791993170285,-0.3044582714215236,-0.2978762640442657,-0.403959700250349,-0.44344370778263476,-0.4820888195158075,-0.3828660243882922,-0.17652260442850504,-0.2690477901356478,-0.5064884451905157,-0.5480266234385396,-0.46951575108529,-0.47918823531232574,-0.344057890536164,-0.5239277084436536,-0.21777272006653497,-0.5036430952065207,-0.39418296505574846,-0.3913859096506509,-0.08746622360745926,-0.3987941720817662,-0.4832318470357756,train,0.9179770505737356,1
3,-0.15668604765173244,-0.1049764388061007,-0.03832755649571391,-0.11508905910281998,-0.03841698096732845,-0.25955226300689066,-0.1316002699132131,-0.036074527677122444,-0.08990942312653465,-0.3151579727293384,-0.20210982477118988,-0.1234985331680088,-0.2183267755735257,-0.17528103285602295,0.021771928164402106,-0.6162099690735139,-0.5474842078051719,-0.22611188134801438,-0.3275523904620348,-0.5705420730688906,-0.20353526010660167,-0.07801410574811612,-0.17475817996248152,-0.5022604094224279,-0.3004574829517144,-0.3085693154948355,-0.4031153585680253,-0.4796469722335702,-0.5215500730730509,-0.40194493866421444,-0.1856909999197524,-0.2955589121745841,-0.5463895954272422,-0.5851779753385027,-0.48685582181306797,-0.4971818234002298,-0.345698840480424,-0.5536889689856554,-0.23166779126925213,-0.5378104137708819,-0.42004724800133664,-0.4175976530164019,-0.08860722999549057,-0.41310019372444834,-0.5190804085623523,train,1.3769655758606034,1
4,-0.14449833530232464,-0.09329967363404572,-0.03923512044435014,-0.10227713216098039,-0.03300568520935449,-0.27262486413625886,-0.15587439098490768,-0.032006079239507705,-0.09168977976285389,-0.3212798565052848,-0.2093974074194881,-0.12325795992384536,-0.21732015726287132,-0.1666710385783687,0.00640058745836662,-0.6242167793423441,-0.5684588422760225,-0.22992634499873468,-0.33435671283215423,-0.599045744887906,-0.208815411260956,-0.0749135236616645,-0.17826447786483118,-0.5125042223176562,-0.3048594608033442,-0.3132402394353263,-0.4047077543136126,-0.4885734937882923,-0.5579780117473473,-0.3985620003716559,-0.18476911040060004,-0.3074419061744306,-0.562511668975554,-0.5943018381293095,-0.49060067295376375,-0.5123386196710196,-0.34130403039866775,-0.5706501159347738,-0.2322742468514789,-0.5454821236713643,-0.4353355100203852,-0.4354626136594521,-0.08942998130573397,-0.4293008500078741,-0.5352216004066477,train,1.8359541011474712,1
5,-0.14502093377790323,-0.10151092479948416,-0.04292225614014739,-0.11656269044955614,-0.028587264668937747,-0.26536996756275205,-0.16583243558129837,-0.01651453390568332,-0.08802399123140156,-0.31692640510715964,-0.2101781095335917,-0.11872560386317085,-0.21653784256865435,-0.17541366746911347,0.0030764811677098346,-0.6285670625944559,-0.5659436563217555,-0.24610465408304916,-0.3365398279576442,-0.6242785764792088,-0.2085149195807542,-0.06605292828005956,-0.1672201116031719,-0.5184908728557427,-0.297178073911768,-0.3140908182647746,-0.4172272421230001,-0.4775150395024621,-0.5708766093686953,-0.3862967801053928,-0.17730416153624667,-0.3214589091050174,-0.5804230371534838,-0.6000443874904499,-0.4974445952052191,-0.5034754102629144,-0.331994610457077,-0.5712033642265698,-0.22236202877537525,-0.5422338053135818,-0.42547161098733033,-0.4185022721937417,-0.09925227775918292,-0.433545908841657,-0.5477399152134006,train,2.294942626434339,1
6,-0.14202727011312458,-0.12000732582833884,-0.04916537100365834,-0.10653726997458317,-0.027315796395579517,-0.25811318805606703,-0.2000268962619853,-0.03328656388382087,-0.07179621664485619,-0.32049263868059696,-0.2079397217415442,-0.1231965877442196,-0.20614725788917687,-0.1727665498472343,-0.025756402848512903,-0.6353738541779879,-0.5736297155494096,-0.23607676369271915,-0.3559865300048629,-0.6360802277574896,-0.189931359708217,-0.07108756927585672,-0.16588698215333542,-0.5202252442057969,-0.3038302361520371,-0.3295062283744583,-0.4143411961226904,-0.4676146815504256,-0.5821157244100255,-0.36768026618208216,-0.18276211775526843,-0.33061309895028523,-0.6067395383804,-0.6141667161665184,-0.49375442896002164,-0.4926060605331187,-0.324715627648842,-0.5771823761760276,-0.23747094274933866,-0.554059190350624,-0.412648506192977,-0.4125122190125523,-0.09516692423612948,-0.4383222361071134,-0.5339651879935473,train,2.753931151721207,1
7,-0.12980802331388086,-0.1270141855390108,-0.06895482430233076,-0.10509279254024487,-0.03313119023546588,-0.2698504279073295,-0.21174730591617552,-0.05198996228943366,-0.08270939521369058,-0.31986279494253667,-0.21371713599454883,-0.12849998679296978,-0.20205205323424594,-0.172158274972331,-0.021418766793143355,-0.6332181963565313,-0.5665179421972739,-0.24035190794758612,-0.3600605272487882,-0.6308515799127279,-0.17657122785150217,-0.06752074844766492,-0.16378623728465752,-0.5014333022318045,-0.29588835266720637,-0.3329419380258601,-0.3982978674291726,-0.4668475447094641,-0.579032929407809,-0.3759713653876805,-0.18746498680691384,-0.32562847544511986,-0.6078320444982455,-0.6069703250352529,-0.4982242480467136,-0.5025426222699948,-0.32148221665794174,-0.5909524336487654,-0.24408371352420127,-0.554411782976505,-0.41500041676936095,-0.42423808008006186,-0.0977560585621455,-0.44368946321275016,-0.5397968441540579,train,3.212919677008075,1
8,-0.14101654705492478,-0.13654804978149016,-0.09090990129745057,-0.11669895418890018,-0.037714922897408035,-0.2719795741489673,-0.21966646407860163,-0.06652419509486408,-0.09868852984550397,-0.32530818630000446,-0.22477946336977161,-0.14003824625521225,-0.19061533752974422,-0.17612133391082813,-0.025589048403094186,-0.6435297714038286,-0.5596418508312554,-0.24629969451376746,-0.36330971350603747,-0.6328666505903356,-0.17266135976649793,-0.09369852387899691,-0.18328863438765303,-0.4911639887556407,-0.3002443996645285,-0.3383296093279758,-0.4005363188877212,-0.4572233467405161,-0.5785061104224628,-0.3767421015496139,-0.19713126042954712,-0.3268773136298794,-0.6191683315865333,-0.6112325792080964,-0.5145864407225265,-0.501348982105661,-0.33570071984033967,-0.5909307733017228,-0.24943015562517118,-0.5631127734537551,-0.42161207479118656,-0.42940758751678343,-0.09925414160230797,-0.4441069403230424,-0.5308816023156145,train,3.6719082022949423,1
9,-0.14968681593488206,-0.15224721890360915,-0.11734937036946226,-0.12615702959785577,-0.04828390317585033,-0.26718218458776166,-0.2340570066224663,-0.09657252534409667,-0.1175048409016648,-0.3359739268813188,-0.24020834761684473,-0.1646296150509481,-0.1802353298630296,-0.16785753490979577,-0.02450260421590924,-0.6556264262385416,-0.5601977407223574,-0.2528840930643357,-0.37853719579609885,-0.6326741080457227,-0.1736889204472631,-0.1249887158619836,-0.20076680323786833,-0.4856168284335062,-0.31051583012024475,-0.3538340057143141,-0.39340636200092827,-0.4543794989850165,-0.5693670515883767,-0.37649574470333597,-0.214928270560838,-0.3410992480416142,-0.6294170314354515,-0.62515632146944,-0.525458404748912,-0.4982526692876745,-0.353435174454291,-0.6036848159894418,-0.2707423165180985,-0.5807257547067675,-0.42727396958037855,-0.4389083008193525,-0.10665648081904548,-0.4370644822376362,-0.5171681834740661,train,4.13089672758181,1
