,epochs,base_train_losses,base_test_losses,train_losses,test_losses,num_train_samples,num_test_samples,centered_train_losses,centered_test_losses
0,1,0.011333432887138013,0.009153459493766352,0.3015277402728152,0.3374183555805686,1654,1654,0.2901943073856772,0.32826489608680226
1,2,0.004751401847372239,0.0018152053468929491,0.35250231326069836,0.46342781222247365,1654,1654,0.34775091141332615,0.4616126068755807
2,3,0.002648587522047386,0.001787379571320705,0.340116527889684,0.3539910594016754,1654,1654,0.3374679403676366,0.3522036798303547
3,4,0.004752895900138555,0.0018151368172133198,0.2750068723090562,0.3802760823328764,1654,1654,0.27025397640891763,0.3784609455156631
4,5,0.012911688973931848,0.011871391597455629,0.27213397155895214,0.24346760851981994,1587,1587,0.2592222825850203,0.23159621692236432
5,6,0.008139061237314303,0.005406606825394276,0.2129206924965745,0.20340902778715905,1534,1534,0.2047816312592602,0.19800242096176476
6,7,0.00935675012220622,0.008302261002509735,0.23642272709921908,0.2315799650915942,1423,1423,0.22706597697701286,0.22327770408908446
7,8,0.010970791508301287,0.009547664310699849,0.17069121382614735,0.1209864008059395,1654,1654,0.15972042231784606,0.11143873649523965
8,9,0.0035804076765716328,0.0014063669564494835,0.26468204722473154,0.237923081404662,1654,1654,0.2611016395481599,0.2365167144482125
9,10,0.008391540573466043,0.007242276128611503,0.16709002063058478,0.1417495608255054,1531,1531,0.15869848005711873,0.1345072846968939
10,11,0.008544471889403797,0.006331823162557575,0.1426146381915692,0.11369554084768224,1411,1411,0.1340701663021654,0.10736371768512466
11,12,0.008138766369597006,0.005406436758122777,0.12953932955684352,0.12185968620524461,1534,1534,0.12140056318724651,0.11645324944712183
12,13,0.009727581087404182,0.010204161568705579,0.12281024391460575,0.11381582892041467,1350,1350,0.11308266282720157,0.1036116673517091
13,14,0.010196844240228375,0.008587602262683364,0.12034217973657638,0.1301890801567904,1654,1654,0.110145335496348,0.12160147789410704
14,15,0.0026487780069320475,0.0017878666229581707,0.18561797134115635,0.17861401528838305,1654,1654,0.1829691933342243,0.17682614866542487
15,16,0.012916268190893837,0.011874622063947467,0.1280564700693381,0.12643463083232656,1587,1587,0.11514020187844426,0.1145600087683791
16,17,0.009737173776107319,0.010192477545323517,0.09610511195569589,0.10893321776676776,1350,1350,0.08636793817958857,0.09874074022144425
17,18,0.0026487070786576656,0.001787798030318102,0.15261395711816683,0.1619100058740561,1654,1654,0.14996525003950917,0.160122207843738
18,19,0.009479334291207456,0.007809523918788207,0.13563977834588534,0.09846025402903588,1654,1654,0.12616044405467788,0.09065073011024767
19,20,0.010970516912618695,0.009546427039067409,0.11043415233013701,0.08363888532639058,1654,1654,0.09946363541751832,0.07409245828732317
