,AFDR,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,AWBL,AWBR,BAGL,BAGR,CEPDL,CEPDR,DB1,DB2,OLQDR,OLQVR,RIBL,RIBR,RID,RIFR,RIML,RIMR,RIVL,RIVR,RMDVL,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VB1,VB2,VD2,train_test_label,time_in_seconds,tau
0,-0.04385793838182306,-0.3703038621945308,-0.46219135096506336,0.0016538817278727858,-0.3283268644355197,-0.09840942947310953,-0.4270565860013823,-0.44395284964958365,-0.13256719920266005,-0.08189811160937929,-0.3336183287406636,-0.3255553494766688,-0.12619664983675857,-0.04169847012576825,0.012993299833489652,-0.23438574136679183,-0.008582964970510372,0.005639155058334448,-0.17318267409602706,-0.08000050633136493,-0.350084794929153,-0.3354672169531657,-0.1773370866285445,-0.33666392295245706,-0.17772204272435815,-0.0696202773162968,-0.1572350301826364,-0.15866445103387825,-0.42039815283004767,-0.46825546910139715,-0.3478986965195714,-0.37357251400441005,0.013057402024860068,0.021267539396497254,-0.12360065707262868,-0.030103173517493503,-0.1465874519910395,-0.3947357670241985,-0.37901491945681376,-0.4829867696592769,-0.3733129714238027,-0.39454469569672224,-0.3572137810981975,-0.38340286955642217,-0.3467607058142645,-0.325845911931701,-0.14732259712720205,-0.046612067215095074,train,0.0,1
1,-0.08319372374894096,-0.5480480843372036,-0.6053101539602124,-0.007449874960744727,-0.38224028818023104,-0.11763156631627161,-0.6260757294004266,-0.596552562148875,-0.08395536392722888,-0.08428383129357561,-0.4653013552124341,-0.4822412056902749,-0.18486257166948694,-0.08482486638639859,0.05331897419609273,-0.2983238620608232,0.016150799863248542,-0.02984403956416897,-0.23458407888070854,-0.15561218628150914,-0.4211517687303712,-0.3624080032923357,-0.21235550994358035,-0.450219015246013,-0.1668438103602723,-0.02524193495494062,-0.15639619458984433,-0.17534023880374697,-0.5801278554121092,-0.654962419559714,-0.42554606349307345,-0.4586838828380092,-0.01182686118286002,0.0898367634369176,-0.09606011150935051,0.019343332039422817,-0.10609160386370473,-0.4888455935950595,-0.4673942447291711,-0.5793468214933108,-0.4715445724144119,-0.5538408795070577,-0.484559797318724,-0.4951415766280899,-0.45044423531707445,-0.3546140215897893,-0.13606547155348148,-0.07194475796768664,train,0.6120556414219475,1
2,-0.10063895263620024,-0.6532373964953321,-0.6747276275077081,-0.018738864988098493,-0.4177076626969483,-0.13493764978431644,-0.7519539243592407,-0.6787287860258688,-0.04952717385168412,-0.08852970648555199,-0.5482477531629619,-0.5764868948173033,-0.23264633530316053,-0.10342068349624839,0.07092359545220862,-0.3279853780020824,0.02428480785530758,-0.04199821289316188,-0.258747491361244,-0.19599486214984246,-0.4643788037941889,-0.37396791772154525,-0.24216984769961308,-0.5186492641726606,-0.1492611788036228,-0.005286897983993399,-0.15945057493263204,-0.16922233649380145,-0.6725826074439524,-0.751583263850156,-0.4864789292151644,-0.520498493318371,-0.03182644083605568,0.0968466575864505,-0.06956585298288835,0.04541588907784799,-0.0605646932146128,-0.5612706953112192,-0.5241745849449528,-0.610344129900871,-0.5264451482500059,-0.6352344038994286,-0.5498560078693349,-0.5545555054131001,-0.520509444001245,-0.3760735293437588,-0.1272001169420566,-0.08481653066585963,train,1.224111282843895,1
3,-0.11120345532904437,-0.70319492860378,-0.6973315205423912,-0.028813320934782012,-0.436994455855513,-0.1500006800677535,-0.8207659025979219,-0.7136086401925228,-0.029961084190076842,-0.09680082747552689,-0.5905222722528307,-0.6159598782730127,-0.2561062565128391,-0.11762226628957645,0.0760863827946356,-0.34730276736184024,0.021650700814212658,-0.048347600766904454,-0.27026062865812556,-0.2215230852445089,-0.48125666793246025,-0.3854410811561263,-0.25308505274934656,-0.5624850421825628,-0.15110684897346605,0.007657257369169002,-0.16775438868044823,-0.15591170771111176,-0.7232679179230747,-0.8007996693294092,-0.5278984663087976,-0.5465149496495714,-0.037596603121028666,0.08687097521361081,-0.07106378367800412,0.06326195665989015,-0.036903172333014156,-0.6082738363801219,-0.5595110084327186,-0.6275278922910927,-0.5589060677806497,-0.6750060753671302,-0.5871037699954329,-0.5795218026578838,-0.5478632173692335,-0.3928059302832546,-0.11874865018012493,-0.08507560361162127,train,1.8361669242658423,1
4,-0.12406157352936661,-0.7275691282398103,-0.7076088245681756,-0.025070216497873714,-0.4417550117258944,-0.16014626858089018,-0.8697677591800662,-0.7437387146718529,-0.03228404702032475,-0.09791896977294284,-0.6264589982264037,-0.6478417296540746,-0.28228168559641004,-0.13231961813251666,0.07350801068035435,-0.34213662676782985,0.023252857757040238,-0.04256470868928366,-0.2687650099353203,-0.23652485412615926,-0.49682239082176183,-0.38856519544925416,-0.274377667588013,-0.5797156026731151,-0.14393662803461899,0.005577662930661614,-0.1698400752400246,-0.1314360921690558,-0.7658705384139762,-0.8445974974280038,-0.5642270491186048,-0.57623582059024,-0.045664633947575625,0.07237872584743338,-0.07113650909270255,0.06856684546669861,-0.007367201006283408,-0.6373515407861172,-0.5848982680108489,-0.6327090849078855,-0.5836261558307171,-0.7133865368008309,-0.6168727827734588,-0.5980452369898475,-0.5891866504339459,-0.40301527064719717,-0.11578981499500868,-0.10682713254454707,train,2.44822256568779,1
5,-0.12530856556162107,-0.7537719078490032,-0.7272311706216643,-0.022030564104578015,-0.45271449992104174,-0.1770010684537374,-0.9029440193639529,-0.7580451584851461,-0.028260376555063804,-0.10040099202392241,-0.6509717236508701,-0.6684854156749592,-0.28967790488369954,-0.13997659694984788,0.07608974932865072,-0.3485334274837769,0.019335785770525506,-0.05035034528375865,-0.2749246447513772,-0.24889207352866047,-0.5025380091246683,-0.38944389564068443,-0.28298987330020275,-0.5985510670572524,-0.13222124925205808,0.0083162276856929,-0.18364528229566007,-0.12261945693941312,-0.7856790943102846,-0.867534465826579,-0.5792562576279051,-0.5905671189175508,-0.041986675105131266,0.05842245404120561,-0.07123600552004745,0.08365118983777209,-0.0019496471736226983,-0.6496758832570724,-0.6048611796073171,-0.6354670758563841,-0.5934670706627869,-0.7298074003725509,-0.637312236379765,-0.6106113218098079,-0.6022337475987254,-0.40313502550059294,-0.11515350554965487,-0.11036378413571224,train,3.060278207109737,1
6,-0.13426500980259454,-0.7689092379053056,-0.7416014327389722,-0.01655554953891194,-0.4547185446372012,-0.15161175322277526,-0.9131041936079116,-0.7772018101500964,-0.02409045583882599,-0.1022586755637118,-0.657047581661143,-0.6689257524118974,-0.2981559426525114,-0.1480000878650896,0.07827159315132427,-0.3537686915472207,0.022472993805994164,-0.04503783799759877,-0.25316433959267265,-0.2502271420930744,-0.4998864323638071,-0.3813448267766862,-0.28866794830871884,-0.5924038523035666,-0.11878723533504454,0.009295551400166302,-0.18531972453109946,-0.1369830509442978,-0.8075924427970634,-0.8778035542909012,-0.5735734768388295,-0.5869984551841005,-0.060224163574272876,0.07271835105620322,-0.08059492042249661,0.06769715676023802,0.016008341811926147,-0.6560694038765263,-0.6243663069621712,-0.6402060182808574,-0.5953804289861993,-0.7482965728598931,-0.6426497980829062,-0.6244178319655702,-0.6145164702265606,-0.39447003683701043,-0.11358182054551919,-0.11485469381025953,train,3.6723338485316845,1
7,-0.14612776368984834,-0.7796865591866564,-0.7346708971883947,-0.03613901234562365,-0.45420570937850335,-0.15861616388032737,-0.910640385752578,-0.782642752483667,-0.03122700283097718,-0.11799808469963977,-0.6685990634771559,-0.6788066384099987,-0.3007917064402503,-0.15350292763341195,0.08762361519272525,-0.3462575220179625,0.011076319536308415,-0.047093937313510074,-0.2653118881355481,-0.27350211069983105,-0.5070104993665094,-0.3727167268110613,-0.2865775667944406,-0.6055584412146114,-0.14283929339220805,-0.004221329661057177,-0.17872939430278423,-0.13354461006743767,-0.8146876183812913,-0.8728936297761342,-0.58452221723112,-0.600415949215906,-0.06149968300863748,0.07270323779320323,-0.08988858878973308,0.06515506539144353,0.00456750402384179,-0.6879863131028339,-0.6416012305288292,-0.6538865115406077,-0.606873020419002,-0.7494037328060672,-0.6356542545751621,-0.6213904522180221,-0.62775227694772,-0.4129029613855234,-0.12685049109063581,-0.11454066839086588,train,4.284389489953632,1
8,-0.15365570697618075,-0.787435575605977,-0.7353144511620294,-0.027768680760525383,-0.4473999688073277,-0.16862954741467767,-0.9286388712843463,-0.7950700622997672,-0.03587015415385039,-0.12314799889804746,-0.6692134713173425,-0.7018595013794168,-0.32016940031007407,-0.14661127992052367,0.077864475106894,-0.3394200818008417,0.013742345953424301,-0.05189535061430999,-0.2664859009323467,-0.27261151038332343,-0.5244035796706712,-0.38252614991339634,-0.2856901745266084,-0.6185842069620987,-0.1420762274284354,-0.004314908656789601,-0.18006176644112717,-0.14052647478639949,-0.8226604133915361,-0.8816231441934765,-0.5950673456087329,-0.6190709652779773,-0.06901199848503692,0.0679048611953017,-0.083624656713953,0.05736088568513428,0.012653102466769234,-0.6988219105406804,-0.6530266058638732,-0.647152443968143,-0.6171237990461123,-0.7517197630422756,-0.6380429571653369,-0.6369186763921987,-0.6274150574362598,-0.4215053525392533,-0.13752871539507988,-0.1246529741486648,train,4.89644513137558,1
9,-0.15406716197992235,-0.8040380356475146,-0.7367849362012708,-0.019513073993045103,-0.44642040168406116,-0.18373194281097122,-0.9493145320772178,-0.8040754389703114,-0.03946003113034957,-0.13141178754276361,-0.6768728231799293,-0.7199718617780727,-0.34734254789308777,-0.14124828825266889,0.06868858963577472,-0.32526425147662585,0.009604269098457727,-0.05426437013291192,-0.274242035769126,-0.2837614212898144,-0.5380909299439585,-0.38867275203081986,-0.3024805098580381,-0.6232476713159603,-0.13815561064522713,-0.010322492223610008,-0.17427835246356324,-0.1361292204646006,-0.8366942280621503,-0.8911885401976096,-0.6174963949257659,-0.6411939103295934,-0.06834231108116053,0.055483404837313816,-0.07138968808242596,0.05164947800926581,0.028640242787897924,-0.7167271880082975,-0.6668988549070118,-0.6463330422079948,-0.6357344344334623,-0.763878054475138,-0.6498821745971667,-0.6434076425250733,-0.6480757414319629,-0.43931568437864166,-0.14209974026035732,-0.13404196677148345,train,5.508500772797527,1
