,epochs,base_train_losses,base_test_losses,train_losses,test_losses,num_train_samples,num_test_samples,centered_train_losses,centered_test_losses
0,1,0.009740425755867905,0.008673074142510897,0.3252661337731813,0.36001909238586305,1057,1057,0.3155257080173134,0.35134601824335215
1,2,0.018664941949706464,0.014393351345406757,0.3584070928314161,0.4509568412515675,899,899,0.3397421508817096,0.43656348990616073
2,3,0.01534395501858322,0.012659867333475537,0.316484226271268,0.35842107419704883,1136,1136,0.3011402712526848,0.3457612068635733
3,4,0.010416699372402544,0.009257078767118166,0.3324660226538787,0.3493726253163593,1129,1129,0.3220493232814762,0.34011554654924114
4,5,0.009280684714425379,0.009605874756276285,0.27672297488082676,0.26290967402823534,1358,1358,0.26744229016640136,0.25330379927195906
5,6,0.012182597460008784,0.00976889595193902,0.2588902758489221,0.2710338013340522,1151,1151,0.24670767838891333,0.26126490538211317
6,7,0.013197673061342218,0.010472786667788206,0.2267684576141357,0.2791514902971538,900,900,0.21357078455279346,0.2686787036293656
7,8,0.012182402152110744,0.009768885090625908,0.22463842860511563,0.23542182594619454,1151,1151,0.21245602645300488,0.22565294085556864
8,9,0.013007343953676542,0.012436398616091025,0.2227366434445702,0.23032583909305587,1245,1245,0.20972929949089367,0.21788944047696485
9,10,0.007556813962304702,0.007455743382402805,0.19509933342064104,0.18799311230537416,1055,1055,0.18754251945833633,0.18053736892297134
10,11,0.00976806805156935,0.00865200220707381,0.17258878511163725,0.18391061497249683,1057,1057,0.1628207170600679,0.175258612765423
11,12,0.01218237357238443,0.009768690310317064,0.17323894489574462,0.16773993260185244,1151,1151,0.16105657132336018,0.15797124229153536
12,13,0.009277582211938947,0.009605648355519707,0.13858956286290738,0.16057034541626997,1358,1358,0.12931198065096844,0.15096469706075025
13,14,0.012315845008413049,0.010382562002541434,0.17084528334168808,0.1672431232635696,1251,1251,0.15852943833327504,0.15686056126102818
14,15,0.012304654010671028,0.010383236002261537,0.14953553808075645,0.14853067610748438,1251,1251,0.13723088407008543,0.13814744010522284
15,16,0.018899092703293933,0.014425578352248223,0.17936270580276287,0.1250557936412617,899,899,0.16046361309946894,0.11063021528901348
16,17,0.009281661559260709,0.00959852679276245,0.10560243688430232,0.13714155363382968,1358,1358,0.09632077532504162,0.12754302684106722
17,18,0.013009518136187734,0.012438776831891565,0.13410090873924965,0.14773884447599545,1245,1245,0.12109139060306191,0.13530006764410388
18,19,0.009284425962363878,0.009615906023032347,0.08907965976681163,0.12787312465992198,1358,1358,0.07979523380444775,0.11825721863688964
19,20,0.012182380866789215,0.009768812523486816,0.12657615473202913,0.11027488978496258,1151,1151,0.11439377386523991,0.10050607726147577
20,21,0.015345481351878854,0.012655177885102054,0.1404532354584533,0.13241109503191367,1136,1136,0.12510775410657446,0.11975591714681162
21,22,0.01902040992044931,0.014513082859474096,0.15104244966460487,0.09729440991440091,899,899,0.13202203974415555,0.08278132705492681
22,23,0.007543962559758358,0.007443074257788566,0.1163646045267705,0.12158634253101305,1055,1055,0.10882064196701215,0.11414326827322449
23,24,0.0097476563194017,0.008671267968016521,0.11943500221337144,0.12266197157458773,1057,1057,0.10968734589396975,0.11399070360657121
24,25,0.012253186494271429,0.010291821282696352,0.11064818664890427,0.12455174519826803,1200,1200,0.09839500015463284,0.11425992391557169
25,26,0.01300450886141409,0.012431390689915934,0.1098337670579634,0.11929587622325892,1245,1245,0.0968292581965493,0.10686448553334299
26,27,0.015344276109724834,0.012657817525468068,0.12017632236135459,0.11248449142168153,1136,1136,0.10483204625162976,0.09982667389621346
27,28,0.009423624484818332,0.010182143493110064,0.12854163948385308,0.13753284545462072,1134,1134,0.11911801499903475,0.12735070196151066
28,29,0.010416646119895607,0.009260934417315828,0.1260295674533073,0.08628441747275072,1129,1129,0.11561292133341168,0.07702348305543488
29,30,0.012236812196931738,0.010264721928260312,0.10439859842050488,0.11025365799200952,1200,1200,0.09216178622357314,0.09998893606374921
