,AIBL,AIBR,ALA,ASJL,ASKL,ASKR,AVAL,AVAR,AVEL,AVFL,AVFR,AWBL,AWCL,AWCR,BAGL,BAGR,DB1,DB2,RIBL,RIBR,RID,RIML,RIMR,RMED,RMEL,RMER,RMEV,SABD,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.22134787719085242,-0.21751616787387698,-0.10077992213244694,-0.043279023707255684,-0.3017926097361493,-0.26035155511524266,-0.2751896488398518,-0.288159259078226,-0.36520096594995366,-0.2015239728940844,-0.11364146493361944,-0.046833900129087176,-0.16341843483586507,-0.018999527526688376,-0.5701800046398986,-0.5573811066892342,-0.2727780349590248,-0.2534437119298296,-0.3458806746116747,-0.2856985818445677,-0.20091379484636926,-0.339024861961198,-0.41360036695622826,-0.13264062097570684,-0.2565401633020705,-0.3508337291502353,-0.2511923321625772,-0.24111627687143738,-0.3342164772675583,-0.4661760043238635,-0.42655524023990254,-0.5006379346029832,-0.39636526694629154,-0.3125038525701227,-0.4130048662552907,-0.07108439582159227,-0.1271953660173556,-0.20064173769342988,-0.228834187146172,-0.3255891301572266,train,0.0,1
1,-0.3203258869384347,-0.3439362299294556,-0.11920145233816616,-0.07187176405194892,-0.40363971533716725,-0.37632376605271234,-0.3835034198666268,-0.4535678608441491,-0.525494021701048,-0.22947280331330946,-0.1316983436275736,-0.09691560929522015,-0.1981305149595337,-0.0655119557960055,-0.7352382864659307,-0.6964047754382181,-0.34409995565533524,-0.3333141873017701,-0.43687941054579094,-0.350879853886494,-0.2681858845345232,-0.5090092829850712,-0.5614408339063158,-0.17657088409784907,-0.28060607969633033,-0.44183101478127784,-0.291102658974965,-0.295015249231001,-0.475432863361547,-0.584147186159163,-0.5672281773283092,-0.7067625638625848,-0.5460570195924122,-0.4506922187987612,-0.5175548970223989,-0.09668035332611744,-0.18569014392627803,-0.305339861234408,-0.30857600969449905,-0.386036398035841,train,0.4158644589911436,1
2,-0.38760640650967026,-0.43046520165952107,-0.13763097566084875,-0.09141905353012053,-0.44982770602099753,-0.42656945711355937,-0.46863309593607144,-0.5677086197344826,-0.6352172848846842,-0.24908955380145817,-0.14326662942658042,-0.13097202640243322,-0.22658579923704258,-0.09082052762882845,-0.8170468373822843,-0.7649067728723014,-0.3883195059775517,-0.3701772411550661,-0.46972229209038036,-0.3758496839758152,-0.3008808130934522,-0.5999176825688147,-0.6609304396938444,-0.19882209079350843,-0.28109372866172155,-0.48191935030340327,-0.2935939889617475,-0.3238318455350393,-0.5679344377907367,-0.6422612127562317,-0.6548084452634169,-0.8058520811958598,-0.6423027755957811,-0.5427446356038754,-0.5763785003453101,-0.10884372695901298,-0.21623120597288087,-0.3775744454737361,-0.3409962610919233,-0.4091721768610644,train,0.8317289179822872,1
3,-0.4317696094196345,-0.46860858560591245,-0.16495743337271274,-0.10027924854299516,-0.4773953004695435,-0.46595946378318504,-0.5177172233940487,-0.614942765829033,-0.6860361953436567,-0.255453221589523,-0.15859405366961682,-0.15156049335330832,-0.2204097761101238,-0.10067770736539697,-0.8437957376684563,-0.791834931653724,-0.4114003453527836,-0.37958521512611465,-0.4906986324539778,-0.3778681992166243,-0.31893727009697836,-0.6454599085351215,-0.7030425996516508,-0.21479909637143282,-0.27727296062046314,-0.503835955374038,-0.28542306894241043,-0.3398920846994683,-0.6170113390232986,-0.6696049816887409,-0.6996344386029443,-0.846917514500253,-0.6954699250306023,-0.5923973876326849,-0.6017896673341742,-0.11714327277579437,-0.23063877368854457,-0.3977505694684366,-0.3457026100934048,-0.42794534901581405,train,1.2475933769734309,1
4,-0.4552233456294531,-0.4981036355721694,-0.16762483768029324,-0.09801498190159799,-0.4981611992680055,-0.4886540062746339,-0.5456947465451781,-0.6636693059636715,-0.7313029964688844,-0.26282707484396894,-0.16017623895740776,-0.163225313302787,-0.24613014157703858,-0.11490432248674234,-0.8821581693729801,-0.8087395148597688,-0.4343419701378821,-0.39812132176997816,-0.495900074687209,-0.3748340509939613,-0.3298972562457858,-0.6836493038145877,-0.7372299522240089,-0.21282973235887928,-0.27083248430574525,-0.50869657334408,-0.2842855867500036,-0.35083279412196117,-0.6512728573482872,-0.6903982307967604,-0.7286240307472112,-0.8869604933694841,-0.7267788849389633,-0.6332089822625602,-0.6253676990056736,-0.12495024671305902,-0.24280561825727465,-0.4230093480722159,-0.35649117672537145,-0.430740098681506,train,1.6634578359645744,1
5,-0.47096821673194655,-0.5124588518944971,-0.18060411643105717,-0.10107346281941768,-0.4987484482951592,-0.493377324003336,-0.5710097126278724,-0.6839520694874507,-0.7478892568473585,-0.2760221180315387,-0.16133773907419136,-0.17646641924531403,-0.24509319632028903,-0.12118728360269237,-0.8853215802611895,-0.8249968814233308,-0.43718064098057663,-0.39298660160922855,-0.498485807981174,-0.3726560617261771,-0.3385582896755147,-0.6997361072810561,-0.7553227252363679,-0.22450577334622954,-0.26413813240534356,-0.5099262779665518,-0.27737645544417733,-0.35911094014266165,-0.6761181355260935,-0.7131378968330797,-0.7464167339044946,-0.8880643506008289,-0.7529038042714081,-0.646860715612934,-0.6325730355162189,-0.12094829227726839,-0.24221625907024397,-0.43005078003447855,-0.3495020807991663,-0.4434544290486371,train,2.079322294955718,1
6,-0.48846335868467905,-0.5344189905008054,-0.18790197640191036,-0.10892775907298999,-0.4938151762011501,-0.5011364350616463,-0.5964883888436382,-0.7034097572995871,-0.7722128644711755,-0.2812778781392685,-0.1615657222988924,-0.17919216811349503,-0.2523985197541641,-0.1259676110970611,-0.8920579381002943,-0.8204761074930569,-0.44314573471259044,-0.3805715909569991,-0.48517157111606474,-0.3622736926293796,-0.33330669728298457,-0.7176104828390182,-0.771822129676006,-0.21143284834636022,-0.24254577564055788,-0.5001700678599104,-0.2613512605103432,-0.3675748272436892,-0.6778278747316313,-0.7241143197082249,-0.7587450144276767,-0.8898799825857515,-0.7667592293769651,-0.6657713025169103,-0.6392638069221802,-0.12845451718727013,-0.24337790061310477,-0.44501313749981375,-0.33996214781099254,-0.433485313530954,train,2.4951867539468617,1
7,-0.5019069242931256,-0.5487562470091302,-0.19851664354149604,-0.11681573776302259,-0.49320519276416763,-0.49990140648354,-0.6163711440876362,-0.7120970068377005,-0.7827041169293077,-0.2974636922744521,-0.16206942925350418,-0.18112837655818373,-0.253792821492463,-0.12792809594612226,-0.8954223781474934,-0.826993831682293,-0.43879935265551506,-0.370498444594227,-0.4816099273876224,-0.3540134654786661,-0.34417211675321346,-0.7208936437441771,-0.7832789324950076,-0.21634289791784872,-0.22998427110161268,-0.5064310620935841,-0.2555118998053208,-0.3739775880374063,-0.6772595028670025,-0.741562223480055,-0.7753373532728985,-0.8906663800882182,-0.7758382069920231,-0.6745020172171673,-0.6409580153292023,-0.1321074640571004,-0.23885787489044435,-0.4425363702025481,-0.32987856744157495,-0.4472436062278169,train,2.9110512129380055,1
8,-0.4968393170420921,-0.5595200372130522,-0.20653049789588682,-0.1026755646982998,-0.5084499501834593,-0.5032677110283337,-0.6241232355244111,-0.7442683489365307,-0.7929157663396279,-0.2970439460348291,-0.15578844745159248,-0.186312210768262,-0.2602934490808386,-0.1235647939683108,-0.9042939305460362,-0.8225430015813076,-0.44524621620980265,-0.3735259531189693,-0.4807110730519129,-0.3508004534100654,-0.3500459644189564,-0.7251295974901364,-0.7831717144279507,-0.2092263076415419,-0.22057108989758856,-0.49628434338288074,-0.258459556819221,-0.3760416527076616,-0.6770362229926792,-0.7500766290732768,-0.7844624714251905,-0.891183955977397,-0.7851412926986947,-0.6827516273388848,-0.6525579721981969,-0.13768655792098083,-0.2501209299005622,-0.44452694734926673,-0.3272032535292272,-0.44967179576503363,train,3.326915671929149,1
9,-0.5117967126463447,-0.568318781746757,-0.1962421429603583,-0.11560302765155156,-0.505436906388909,-0.5060690660791943,-0.6400161509171753,-0.7528670503639602,-0.8094628110250534,-0.29313652100419113,-0.1528715797856834,-0.18579863364564306,-0.26312792443256194,-0.124670300430891,-0.9071082158425922,-0.825838384204038,-0.4463827663224801,-0.37209634483416826,-0.4753217792674315,-0.34271893323352837,-0.3508021554209869,-0.7447149794917939,-0.795380104893072,-0.18941504767898432,-0.22418791990085768,-0.489970071656907,-0.24189204525763558,-0.37481384706245163,-0.6888889701763469,-0.7524600145478224,-0.7806387482186056,-0.8979227644782077,-0.7949054522745538,-0.696471358900183,-0.6623527533017718,-0.14388817605479332,-0.2539365358021083,-0.45654782840007213,-0.3275809191058522,-0.44191761947973146,train,3.7427801309202926,1
