,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFR,AWBR,AWCL,AWCR,BAGL,BAGR,DB2,IL2DL,OLQDL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVR,SIBDL,SIBVL,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URXR,URYDL,URYDR,URYVL,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.22885744589866575,-0.2351291015197635,-0.1059009805895164,-0.3518282660483326,-0.22444246625602693,-0.3646303326908037,-0.3561564495191724,-0.19023080681274662,-0.3623563805213945,-0.40219537152312174,-0.37180452324860536,-0.1151354380171775,-0.13571018958902595,-0.1817465088941801,0.0021788721893517757,-0.5696600247754964,-0.549337462033905,-0.2736091821276674,-0.33369705251724113,-0.24798192127788038,-0.25926752712792533,-0.2637587407859665,-0.2551850574161417,-0.34268247192233664,-0.45561971557943914,-0.30974335902870237,-0.4469771841861791,-0.4754895427098621,-0.12747792184873633,-0.3015578880785022,-0.4188953484321082,-0.1544203049457574,-0.3338091032974193,-0.22081105800912534,-0.2765233465170449,-0.39071953246264585,-0.4437276034021218,-0.5374664130738935,-0.43060907206421517,-0.46003079038027495,-0.4352628347659818,-0.3950885222122768,-0.4863881893696724,-0.5232127347194068,-0.49666994367888034,-0.05077596013434428,-0.15072187567140055,-0.17139731396675642,-0.2770767626070194,-0.268688665262547,-0.384172901592053,train,0.0,1
1,-0.3264081388084609,-0.3591628357090457,-0.12469897317876844,-0.46230082631296276,-0.33663869772433863,-0.5077392928750084,-0.5274565352136769,-0.2753479292030716,-0.4614234573649128,-0.5630172371489899,-0.5496522903743746,-0.138246506033747,-0.22287261911608924,-0.21306683572188279,-0.019252152388726768,-0.7331271203477068,-0.6945260198105858,-0.34436003109330926,-0.4314037063640608,-0.3464908864057999,-0.3188777873258192,-0.3204018002727288,-0.3383405742938335,-0.5344311659780207,-0.6017823163129835,-0.34324680906304206,-0.5819038562863945,-0.6058697932260613,-0.1552085248129712,-0.34687042876624324,-0.5101436847888198,-0.1527517154317235,-0.45405378623218945,-0.3462625413433334,-0.3762591739899574,-0.5333738199092863,-0.6097392144612507,-0.6836620302331671,-0.5620186279286054,-0.655518953112304,-0.588120830008453,-0.5584537659424733,-0.6184373094254925,-0.6704215341887245,-0.629339528303478,-0.07393601280415545,-0.210300610069599,-0.29603792409060453,-0.40813538062528404,-0.3721825289574203,-0.44902910761983084,train,0.4505632040050062,1
2,-0.4000347448566653,-0.4469345033369911,-0.1667443453064269,-0.5037766027102688,-0.40755445275605867,-0.6082865526031543,-0.6291095400661394,-0.31765852091788066,-0.5033143129558515,-0.679014473341075,-0.6500054578244832,-0.16549661133693921,-0.2829129259478733,-0.21361927561200073,-0.03738277476711448,-0.7885725416902417,-0.7716817750593095,-0.361180672337863,-0.4932645877545675,-0.43356666193615123,-0.33722994949924745,-0.3287666243533379,-0.3716468930514645,-0.6567113110788377,-0.6882669490418004,-0.32222644210719237,-0.6583756432862509,-0.6572010860016382,-0.17061138345624022,-0.3432182488804633,-0.5340492965893248,-0.12293899057040865,-0.5213806745591956,-0.39727110945187966,-0.4042507136694751,-0.5900975421689669,-0.6960185895532556,-0.742634679567505,-0.6356701157078481,-0.7532339339090628,-0.6626812364663437,-0.6346572240665662,-0.6877875149146012,-0.7391004536646958,-0.7053339422011491,-0.07625143366620532,-0.22211003183682815,-0.35045236672301777,-0.47380095499959074,-0.38721646718369246,-0.4707401568431343,train,0.9011264080100124,1
3,-0.4372603638298086,-0.4997728154124391,-0.17244024683724404,-0.5220970265668535,-0.44027155611674584,-0.6603059109536803,-0.6941760731308243,-0.33266745236652423,-0.5156974536377701,-0.7335594522249713,-0.716582643547921,-0.16454889521016297,-0.30664798575637897,-0.23314300504313845,-0.05483877244908106,-0.8271724240429461,-0.8087235521099475,-0.3670664493302259,-0.5308834126203801,-0.4773424292744935,-0.34341286062274795,-0.3293144523182976,-0.3952843811252602,-0.7235256141413408,-0.7479573137536514,-0.31440436631536184,-0.7005682550092074,-0.6817106700006917,-0.16158092147176614,-0.3266407121705902,-0.5314186462966548,-0.10289336297254043,-0.5589896610360373,-0.4256503667405803,-0.40613534353985253,-0.6255397787198889,-0.737556722710518,-0.7888744250850384,-0.6834349237276763,-0.8077067357184933,-0.7144953729815664,-0.6889149485534206,-0.725431478111974,-0.7651833917634021,-0.7258713846594826,-0.07651476117829326,-0.22854305106474276,-0.37835470099426716,-0.516809887530519,-0.3857928626601211,-0.47738603579680383,train,1.3516896120150188,1
4,-0.4701758095733767,-0.529325853174515,-0.1805171035504396,-0.5329666597305517,-0.45867887629863124,-0.7001563727654098,-0.743664261152528,-0.3435450846234299,-0.5208951568937867,-0.7791306192050081,-0.7527683681913604,-0.16448312800751883,-0.3176858451521656,-0.24260780356264852,-0.05404284199823832,-0.8591616600319615,-0.8303595285936844,-0.3678357733122376,-0.5517823828896037,-0.50285452905314,-0.35245944648662736,-0.32503201873451826,-0.4033272852439753,-0.7701325714227809,-0.7757135618155235,-0.2956818583270183,-0.7253709707727285,-0.7015867238921097,-0.15859574651504027,-0.32269601060936226,-0.5276813040190506,-0.10111466062762134,-0.5801706193089353,-0.45296645912598027,-0.4137810646279445,-0.6382895275881653,-0.7791640860921851,-0.8166535110894948,-0.7065173828797809,-0.8437514201235985,-0.7576429313670942,-0.7197486431285335,-0.7511122710398441,-0.7853070871401784,-0.7463500207121786,-0.08959853464352474,-0.2329853829130933,-0.4029233444371857,-0.5392447434691658,-0.39806635048558536,-0.47301132049312455,train,1.8022528160200249,1
5,-0.48931818097804636,-0.5531215159637302,-0.18406767751766948,-0.5303382841536207,-0.47525401959001257,-0.7151390029046504,-0.7688580390232316,-0.3484133316184144,-0.5207019619353611,-0.7943173009190587,-0.7794772618813706,-0.159162246150457,-0.3260457198398693,-0.2468474309943771,-0.057821701658605146,-0.8616727870803349,-0.8460687241458477,-0.37105911829100324,-0.5692370334522439,-0.5189745353075038,-0.3619466714542068,-0.32558332598819417,-0.40830243156120105,-0.7941628016824676,-0.8003762756089993,-0.293963047190213,-0.7548541786787824,-0.714868059760657,-0.15673937860504014,-0.3241617043708179,-0.5337479081935331,-0.09192888705388165,-0.5957859232134268,-0.46312159773571815,-0.41563227852380846,-0.6499816392051696,-0.8006658947205569,-0.8347762079385559,-0.7252234973272361,-0.869761205189644,-0.7673634108179634,-0.7327956667202211,-0.7590857028151667,-0.7996504470166041,-0.7603942422618882,-0.09476448305929293,-0.2313336917241488,-0.41224948770048075,-0.5573789711250794,-0.3978774173343983,-0.48196949578179327,train,2.252816020025031,1
6,-0.5033338239576901,-0.5619328629513649,-0.18841165118871428,-0.5310447349443164,-0.48180134499705785,-0.7375827244202501,-0.7750936223189671,-0.3515294509180732,-0.5130312831135504,-0.8072615196649089,-0.7909241253260637,-0.15815273454975715,-0.33115181269711635,-0.24172713298055795,-0.05498502174596309,-0.875117113398436,-0.8500499207583392,-0.3675633072621268,-0.5729312585815691,-0.5181591109985396,-0.36437356545285765,-0.31403313609455735,-0.40826894793582114,-0.8129437805424019,-0.8026589349418527,-0.2833844216213779,-0.761942822274803,-0.7234775102246576,-0.14879425170609362,-0.3179796111075342,-0.5292905368748866,-0.08558048231165301,-0.6072435526249197,-0.47237528875365214,-0.4181451082074278,-0.6569631795886408,-0.8030893386093083,-0.8477349712985274,-0.7240416682804937,-0.8763597344852688,-0.780066089649481,-0.7394182937718047,-0.7592779711672668,-0.8033222293601362,-0.7537098316384917,-0.10076955399444047,-0.23863638672086174,-0.4240649719313544,-0.5657250912725243,-0.39904575064361103,-0.48360083185466063,train,2.7033792240300376,1
7,-0.507972256802043,-0.5873979453493184,-0.18495560248939594,-0.5319727108876624,-0.4888057896561305,-0.7338443839459117,-0.8019303350939131,-0.35811793621571303,-0.5259086598280034,-0.8156983892291371,-0.8130746958811921,-0.14882348977385723,-0.33698896070129575,-0.25011749744663625,-0.059955875089323984,-0.871084647434477,-0.8528063112856805,-0.3671488054159815,-0.5880518811805052,-0.5274872000850376,-0.3634321413710886,-0.3142757613904429,-0.41936482664270847,-0.826198958314328,-0.8219991612949321,-0.2793363897434104,-0.7653506415885853,-0.7183571898621176,-0.1556973574735404,-0.30920334093714064,-0.5328199341626272,-0.0842764420065304,-0.6148362826500227,-0.47122627878238044,-0.41371497783884886,-0.6664125106583942,-0.8095467537690682,-0.8573905098160644,-0.7441694819701858,-0.8890401391961524,-0.7880093113023079,-0.7513011589290685,-0.768973849767769,-0.8014574538029915,-0.7530292587546766,-0.09884796867762219,-0.24634255785454567,-0.41845322259807,-0.5832205680060517,-0.38429685668788494,-0.48689865632272605,train,3.1539424280350437,1
8,-0.5079287933746622,-0.5810336926477733,-0.19318496162586163,-0.5277058374575051,-0.4892643481750618,-0.7458489652179265,-0.796371183436266,-0.35812841272037965,-0.5214143203415538,-0.8191148963486587,-0.8057814697387207,-0.15828622323670627,-0.3350300299615161,-0.2531101489897548,-0.044883100379711244,-0.8767608077751894,-0.8515875475755951,-0.3688193676296958,-0.5786362939103613,-0.5231157530406659,-0.3657947489801725,-0.30747209171449463,-0.41369941062679694,-0.8342452144038581,-0.8139346643269403,-0.27939715492421413,-0.7622822768408857,-0.7203824670883682,-0.1502216869642936,-0.31365349251253183,-0.5253744983408337,-0.08811715671237905,-0.6143796895265583,-0.486339494799863,-0.41091111573390743,-0.6694742755191694,-0.8196299690362925,-0.8536105087631431,-0.7370596060657977,-0.8804632815458756,-0.783124500012823,-0.7523104780250779,-0.7664344993787038,-0.799219470136581,-0.7509113889643133,-0.10713502850644806,-0.24521125327102294,-0.43267850014647946,-0.5709046056633249,-0.3911013353972007,-0.48487453014993676,train,3.6045056320400497,1
9,-0.5102538069540501,-0.5994123464772309,-0.18500088508004628,-0.5228669263818283,-0.494817160348001,-0.7443080254587136,-0.8166894356086221,-0.34950862464639293,-0.5276941785401114,-0.8231177852546518,-0.8171868095569181,-0.1539090019048976,-0.3341617431739598,-0.26222720952484335,-0.043905015202893985,-0.8760724279535974,-0.8507860428348801,-0.35736111187217134,-0.5887764334236066,-0.5320935724698913,-0.354252166216168,-0.3108820982343141,-0.4156107999865326,-0.8376687025821792,-0.8327662639651604,-0.2864494831618355,-0.7663624448912207,-0.7177998512022286,-0.14344869536792407,-0.3114232154040505,-0.5183538319293877,-0.07677543464417101,-0.6277168877687122,-0.4898749572881898,-0.40650833611047055,-0.6696364577771836,-0.8298046319813925,-0.867377261095317,-0.747282383765646,-0.8915205078418068,-0.7947313631701676,-0.7645493298059394,-0.7738688357026893,-0.799165074505265,-0.7470539954815169,-0.10374386051684242,-0.23847834701893594,-0.42557757353855585,-0.5838333938686835,-0.39298197537543267,-0.4800769168677176,train,4.055068836045056,1
