,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVEL,AVER,BAGL,BAGR,RID,RIML,RIMR,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,-0.47209192702211034,-0.40736355267622876,-0.05380407259617515,-0.18964765184836907,-0.1784263644081695,-0.42996960034813314,-0.5354799657415616,-0.526356442907217,-0.36001205318536034,-0.1290765326128615,-0.0867702493732925,-0.14771599849470823,-0.49862153361309647,-0.5094597440573583,-0.38583068811416216,-0.08424932398596977,-0.13972763047825223,-0.17211981304945767,-0.08750042475690493,-0.4000642826337338,-0.41992921163247116,-0.3637799716687889,-0.4341304986354889,-0.2719315991909869,-0.22835700986510402,-0.30553215082850127,-0.34944123034872404,-0.10767624800900817,train,0.0,1
1,-0.687835456794294,-0.5988167867252236,-0.03483700604853218,-0.2393486534964434,-0.1929502189187348,-0.6165116588216224,-0.7254325693004129,-0.6755916617700811,-0.5324362822079851,-0.18429193083945689,-0.14671396439056447,-0.17810190084355482,-0.6831576777565972,-0.6897387113426097,-0.4828239997664698,-0.010859853987497337,-0.11900975500238331,-0.13146572493744807,-0.018425953619646523,-0.48161995361842347,-0.4984280524263881,-0.42782968629093593,-0.5386977632772225,-0.37818344331138515,-0.352794657896865,-0.3676361694573551,-0.46175526889922275,-0.09322217797083596,train,0.6401551891367605,1
2,-0.8048577975713266,-0.7082497474132392,-0.025296421474802627,-0.2705534835528928,-0.21017117779066308,-0.7314027846953429,-0.8320388050803218,-0.7579233964167471,-0.6271485033240441,-0.202421427438643,-0.18329231388728748,-0.1765582179165658,-0.7734152254395706,-0.7935493590558069,-0.526413499132484,0.05062073201554987,-0.07485772754370287,-0.09606246133973373,0.04647013495214608,-0.5125791916096867,-0.5410216250743176,-0.46745622381570484,-0.582969384354193,-0.437501023891785,-0.41232595014714774,-0.40519025263519465,-0.5218952515218499,-0.07628325002120431,train,1.280310378273521,1
3,-0.8704998777286713,-0.7657980776477358,-0.019233685403191383,-0.27885243514572666,-0.21468355685920631,-0.795518589378783,-0.887002613633324,-0.79919167829414,-0.6821608331799355,-0.21812789246848968,-0.2033054773097906,-0.18299847074014847,-0.828007250190738,-0.8528834981901131,-0.5560601574251247,0.07163645682091271,-0.06388475156357026,-0.08229898318336146,0.06932212018946249,-0.5340707487304812,-0.5653482185479433,-0.47936287182766446,-0.6108941830017642,-0.4693367906058218,-0.4530508268257426,-0.4213971600735624,-0.5566148312814038,-0.07179670399553095,train,1.9204655674102813,1
4,-0.9056681908728988,-0.7963893179099578,-0.00940933670711655,-0.28220021329904993,-0.21435731761641613,-0.8373349040439036,-0.9098633798227935,-0.8168179442483101,-0.7094119618231524,-0.22069855397347637,-0.2108215524622931,-0.179191584140951,-0.8512648419960055,-0.8813905707958006,-0.5712037084726945,0.08523339047635467,-0.05822095395587168,-0.07470441190188684,0.08223802828971016,-0.5400993816716246,-0.5665643429176777,-0.48126277901664105,-0.6207137987200815,-0.4818298988186124,-0.4718265926949515,-0.4242753817904378,-0.565765883268061,-0.07989798305486831,train,2.560620756547042,1
5,-0.9182272462935799,-0.8115186125853876,-0.010792497265985176,-0.2817078600155856,-0.21462155394804522,-0.8568576045318256,-0.9170565254298422,-0.8286470365050067,-0.7289195989076891,-0.22726902687433959,-0.2193096970176416,-0.18595689288939754,-0.873301918985412,-0.9015635810599986,-0.5829446349234209,0.08842711057231564,-0.056877899328827336,-0.07717128546440163,0.08030053860606651,-0.5457975250089568,-0.5786513034965992,-0.4814037244439616,-0.6298779515772378,-0.4994668083168257,-0.492598433548367,-0.4277450560089031,-0.580411185905939,-0.08034274955803408,train,3.2007759456838025,1
6,-0.929914193537946,-0.8182748546845712,-0.007204067293552677,-0.2803761183512914,-0.21729275379365565,-0.8712718964479728,-0.9268656421098026,-0.8367149774436675,-0.7385365649188247,-0.2304687174951917,-0.21899535766296865,-0.1830965466960462,-0.8826354095772804,-0.9204956701294265,-0.584808932003076,0.09294592415333816,-0.05414897765835652,-0.07547202961227722,0.09200182690297881,-0.5479230830884829,-0.574979119204012,-0.4796813922693455,-0.6233428824421297,-0.5049768350958873,-0.5064609016931829,-0.4240977063584397,-0.5776428943494566,-0.07935464967469943,train,3.8409311348205626,1
7,-0.9315054935379764,-0.824519659690827,-0.010642183779996886,-0.28260028144471294,-0.21895083776194701,-0.8712070114927041,-0.9358581175259929,-0.8375085463840644,-0.7366152892722622,-0.2338440164947429,-0.22331214090818924,-0.18339106801248425,-0.8888769048253721,-0.9260492815911736,-0.5849570482893751,0.09227642249911158,-0.05441186156826053,-0.0729221839733106,0.09518637841420263,-0.5491299673495621,-0.575840932534857,-0.4814571330385128,-0.6276052128979571,-0.5068184066567228,-0.5080343098514709,-0.4231057745830211,-0.5778982451271174,-0.06949311544186264,train,4.4810863239573235,1
8,-0.9388827969840206,-0.8309690182414385,-0.010259338885587568,-0.2791444576809669,-0.21363666308782445,-0.8772113887296425,-0.935073293426108,-0.8375022041610001,-0.7421817598393787,-0.23561106155573264,-0.22596864614404122,-0.18384942839068544,-0.8932434568558323,-0.9334995504010348,-0.5923111471500383,0.0888200687984487,-0.0569051487502788,-0.07502077156046863,0.0981097924607493,-0.5583610064881003,-0.5791166604240977,-0.47987626585696375,-0.6334231701369126,-0.5082354263643917,-0.5135254888383265,-0.4257545486085901,-0.587974648422625,-0.07200816213772496,train,5.121241513094084,1
9,-0.9409010428850397,-0.833432441105221,-0.013929561181997632,-0.2828627959262651,-0.2158283209334505,-0.8748485132967473,-0.9414446781334563,-0.8409962323712703,-0.742204581280501,-0.23891931854089954,-0.2247904267913846,-0.17980795567183705,-0.9028416990491394,-0.9410950211941517,-0.5936735470475712,0.08769928462709961,-0.05749264901929399,-0.07071706267850164,0.09946604287257244,-0.5635908979313748,-0.5781692336372972,-0.47823300845448624,-0.6359125485449819,-0.5142600651081619,-0.5191940269936663,-0.4216738406422642,-0.5863850163504325,-0.06873480205071932,train,5.7613967022308445,1
