,AIBL,AIBR,AVAL,AVAR,AVBL,AVEL,AVER,BAGL,BAGR,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMEV,SMDDL,SMDDR,SMDVL,URYDL,URYDR,URYVL,URYVR,train_test_label,time_in_seconds,tau
0,-0.46596854486225314,-0.4260779108929841,-0.46749181525955275,-0.5365363579510232,-0.05621663051428333,-0.5559621481784263,-0.3831586233864095,-0.07479738590129512,-0.06338863212072503,-0.2535583264460092,-0.2773982356797082,-0.19405988657844916,-0.36421496925109487,0.05317086475682514,-0.4664248782902981,-0.5001053148322419,-0.41130915919106514,-0.4112186397141789,-0.02136615800673175,-0.08229052472788097,-0.03629553846016423,-0.40369990173581183,-0.45496626921613204,-0.3673747039226145,-0.29728936203468237,-0.2506943699411269,-0.3656899064009399,-0.38463385024234853,train,0.0,1
1,-0.7010916164394303,-0.6377416100463915,-0.6861233125071186,-0.7451277048428854,0.04848002578214636,-0.7281921192169151,-0.5864828435539592,-0.11543984985737814,-0.11892485602852065,-0.3366112690570643,-0.37239574179165524,-0.28950514936340804,-0.43412454429973674,0.15693544383613514,-0.6461887236895435,-0.6669164869353588,-0.5192217723863236,-0.5146199384126771,0.11219686668650661,-0.0047442333312062435,0.06154837641996863,-0.48661266103205875,-0.5580356067796532,-0.4442076500646105,-0.4183303430600034,-0.3927590341992593,-0.46652723466359924,-0.5219085281945921,train,0.5691290600747342,1
2,-0.8238334830105685,-0.7419969447687678,-0.8051886450025366,-0.8494390165708808,0.09972816719934605,-0.8183522119439108,-0.6909594755925659,-0.13781227436303356,-0.14490387417049014,-0.37675112289748935,-0.4194642441445846,-0.33423531777672666,-0.46405906316961015,0.2022795237586024,-0.736470434925771,-0.7548389098164122,-0.5753840801210498,-0.5636762559735299,0.18598194318961944,0.03871413077233918,0.12118474426391307,-0.5196210973285953,-0.6118980256581623,-0.47801699234440975,-0.48260040978093943,-0.4645795903987889,-0.5113069045588122,-0.5908018630293568,train,1.1382581201494684,1
3,-0.8893237463643409,-0.812945205917492,-0.8667109879675514,-0.915693426518515,0.13239893920391818,-0.862877445683804,-0.7526211705839148,-0.15990703108088583,-0.1824199426459918,-0.4037299541133874,-0.4615710943689554,-0.3676711912203851,-0.477883041473368,0.23552582443730055,-0.7954381617323393,-0.8161105660102398,-0.6101897617086944,-0.589102815748205,0.22182669251534856,0.05977932048798609,0.15123325902971552,-0.5440289135946725,-0.6322311243434472,-0.5013533848914304,-0.5165257157769508,-0.506327469345699,-0.5318071207493159,-0.6217154699883243,train,1.7073871802242024,1
4,-0.9346598769222458,-0.8340129996057233,-0.9121013581098486,-0.9370392487885664,0.1458449878355784,-0.8900057055942898,-0.7808920853991309,-0.16010460499175277,-0.18174242467506418,-0.41044790286126487,-0.47048605226041457,-0.37549353653639617,-0.48382864897233113,0.24251770666610015,-0.8183557260947188,-0.8433465538464596,-0.6185468414150148,-0.6092229900094407,0.2491549420961622,0.07726509510020893,0.17056366839543857,-0.5524361248084968,-0.6548203893984305,-0.500939405288161,-0.5319352784462259,-0.5250604480703244,-0.5420799954350904,-0.6424756703994335,train,2.2765162402989367,1
5,-0.9548488213609957,-0.853627414374311,-0.9390981181605321,-0.9588439060622923,0.1475020602776367,-0.9051063433153457,-0.8004398360370457,-0.16648667398460326,-0.1897852826802067,-0.41944127406948495,-0.47957138085786843,-0.3815338032282277,-0.4890213666578177,0.25618507740556273,-0.8396210025429766,-0.8647529563243044,-0.6285189824324117,-0.6168566002063632,0.2547522198726917,0.08116982929862918,0.18651151027197066,-0.5584918697016373,-0.6642336451081684,-0.5093492606617241,-0.5472653208346214,-0.5369710248235784,-0.5472627723837653,-0.6580107697312154,train,2.8456453003736706,1
6,-0.9655973834575841,-0.8651735474532473,-0.9541752812439517,-0.9619498170047145,0.14910447282409914,-0.9121702885798595,-0.8113235501357553,-0.1652220170223761,-0.19681654766895212,-0.4178417826748375,-0.4859754642054254,-0.3919260973774887,-0.4874465159068505,0.2569161717888607,-0.850859110108979,-0.8776138012078238,-0.6267177550096642,-0.6368681862212566,0.26239961028133507,0.08836284824413695,0.18715924376151838,-0.5734860079295188,-0.6767238097749122,-0.5113328433667014,-0.5497710405004684,-0.5419416333032847,-0.5528632549038431,-0.6651346462012746,train,3.414774360448405,1
7,-0.9786462376003616,-0.8746829530667984,-0.968682971551712,-0.9720361169889125,0.14815016476363826,-0.9199256768583839,-0.8221928475336847,-0.16868052952973217,-0.19989320547114564,-0.42367391695116563,-0.49025605748616347,-0.39354985251731744,-0.4876245279096143,0.2632860754331039,-0.8613657965932502,-0.8879068647617945,-0.6310112347384936,-0.6348756941994046,0.2628902875947383,0.08467260210880592,0.1946240163330154,-0.5789254587443367,-0.6807525714561464,-0.5135545198860697,-0.5587452158616418,-0.5495346912962903,-0.5535868269380645,-0.6720546690865887,train,3.983903420523139,1
8,-0.9823550614278374,-0.8741257059132349,-0.9714916625489546,-0.9747041807475708,0.15130969315317125,-0.9230299571285667,-0.8236187219717929,-0.16988564553122648,-0.20255424403343977,-0.41752309453167546,-0.49464108451619493,-0.3990737408352438,-0.48566714305084724,0.2592504027814998,-0.8627731973012257,-0.8968554891183425,-0.6268716046553697,-0.6407471085353684,0.26512320840781856,0.08479276747022899,0.1984130311774543,-0.5787688216778504,-0.6780413392981097,-0.5110481402957443,-0.556402535423653,-0.5468257995289614,-0.5516038823229855,-0.6689781411399384,train,4.5530324805978735,1
9,-0.9881816781709903,-0.8738536729881342,-0.9765805673946492,-0.9728226249175524,0.15226176847731895,-0.9185220181007041,-0.8207766610971601,-0.17104023120254874,-0.2025042120823349,-0.42201659506503164,-0.49943590438894603,-0.39784468835939274,-0.48666553901881626,0.2651145406025519,-0.865898574139844,-0.9015664544667085,-0.6266286935440136,-0.6408318177424479,0.25591588500940765,0.07445612757339212,0.19642595937379137,-0.5894562336157676,-0.678602237302133,-0.5079785590362725,-0.5559094036606009,-0.5510941884280398,-0.5490089565367742,-0.670709173941792,train,5.122161540672607,1
