,AIBL,AIBR,ALA,AQR,ASKL,AVAL,AVAR,AVBR,AVEL,AVER,AVFL,AVFR,BAGL,BAGR,DB2,IL2L,OLQDR,OLQVL,OLQVR,RIBL,RIBR,RID,RIFR,RIGL,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMDVR,RMED,RMEL,RMER,RMEV,SABD,SIADL,SIBVR,SMBDL,SMBDR,SMDVR,URXR,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.13463163367157527,-0.27628094163720857,-0.004849600492132733,-0.29880466924299975,-0.10860713522432579,-0.38077596832469923,-0.3232536699664502,-0.2691368850022311,-0.33960999797371855,-0.3323762941142234,-0.11032821658919031,-0.022514993569959712,-0.47085851369511567,-0.5975168469056532,-0.08894281103430936,-0.28863010074397577,-0.2908990317829194,-0.29986913047462793,-0.268811107466626,-0.159784266558043,-0.3249189189403565,-0.21982789034516464,-0.40627717886158254,-0.04688510526227342,-0.13726031196853886,-0.4072516247244039,-0.4075270255745216,-0.463925022686391,-0.33925244137591537,-0.27676632628402364,-0.052752728760414515,-0.13861212225071484,-0.1970297163518094,-0.08273404359083363,-0.1895151624536608,-0.2543048795725047,-0.015490570973353497,-0.13021887405180688,-0.2798889622284633,-0.38443122231939,-0.3978287133147616,-0.41234377306366776,-0.21272751404602924,-0.14448682613205813,train,0.0,1
1,-0.19314618621220522,-0.31966476073782724,0.0018857738259866995,-0.38115330233051925,-0.18474286017174535,-0.47603805892910334,-0.4236707054129176,-0.3176256559424757,-0.44165843467780275,-0.4746171066231507,-0.0913333864697346,-0.036309189284690416,-0.6049524780433404,-0.7657893018159027,-0.1229334071190141,-0.41983146530965576,-0.376494422614299,-0.3864422225496076,-0.37279929345574414,-0.22897379334658235,-0.37855729944137473,-0.3031583454594136,-0.5357552849938446,-0.07653739905936281,-0.22895207736143808,-0.5554920186412061,-0.5305309478988665,-0.61314418904411,-0.4215532966438137,-0.33121596142337584,-0.08606795906188407,-0.19298234681583398,-0.23610334782107623,-0.12294741608909154,-0.2517315388335226,-0.3512792014892969,0.0025615996885153605,-0.12371667825866406,-0.4333139613393581,-0.48040060760925807,-0.5068468555156254,-0.5526874418712058,-0.30421256945788105,-0.16477597946953837,train,0.35696579077838375,1
2,-0.22005623180515937,-0.3385445232936197,0.008663925055903129,-0.42864571694360404,-0.22370652946143788,-0.5170775851309131,-0.47458790798861905,-0.3458512411745558,-0.501727868330636,-0.5479428479081891,-0.08362377188426735,-0.04291488053863525,-0.6808972400940104,-0.8431607382575628,-0.1439582504734595,-0.4907830745098899,-0.41662958010837686,-0.4275896405092653,-0.42537896302581024,-0.27240807790291544,-0.42050896122038617,-0.34546772741491366,-0.6186745373639585,-0.08217621785558886,-0.27588495710212896,-0.6371858348560616,-0.593269348779996,-0.6943349230826728,-0.46436640003764484,-0.3484011502231788,-0.12003481287070215,-0.2271683282751874,-0.2618664000177623,-0.1480806096310884,-0.3010353149604754,-0.41150711623883995,0.004368493651217192,-0.13529445161124193,-0.5176349637258899,-0.5257586462185944,-0.562029693522639,-0.6327203041168115,-0.36185826900383894,-0.17140437001409772,train,0.7139315815567675,1
3,-0.23686781132020585,-0.35255411159669886,0.004061746663340329,-0.4518050348920812,-0.24727399623313484,-0.5402146190416182,-0.501509440054921,-0.3628546976677143,-0.5377593066114236,-0.5936083544419382,-0.07514303988461071,-0.04459157450389924,-0.7288098394743766,-0.8776438860858484,-0.1614588838444028,-0.5231093097092393,-0.44495036076544603,-0.44904153629044674,-0.45677112777592055,-0.30858288476438045,-0.4451202711105202,-0.367291965401047,-0.6824253793596926,-0.08619606355090352,-0.2990520636749969,-0.6881104886231161,-0.6263929267753019,-0.7386799848313542,-0.48867469378308037,-0.36062230852109434,-0.14197552029050306,-0.2578817479059053,-0.28057954908577193,-0.16342714819815382,-0.32660094633399767,-0.44792043671845416,0.009243361331969062,-0.14374158373243648,-0.5667127147482265,-0.5566366616112579,-0.5903539576015228,-0.6683817346765212,-0.39498407515419126,-0.17523909893007414,train,1.0708973723351511,1
4,-0.23120684290292937,-0.34609272469612984,-0.008125959339311869,-0.47776174830221896,-0.25589943267876053,-0.5380140634847055,-0.5082999421270108,-0.3669953858507823,-0.548515514157197,-0.6193381201019686,-0.07785895975758902,-0.05312951959863957,-0.7590469359409447,-0.9130134872108568,-0.16966428245052975,-0.541062926240121,-0.4666303923931543,-0.46097255654059927,-0.4810938344533364,-0.3285597441085251,-0.45639503335215137,-0.3788963815215933,-0.7183670690035405,-0.0820506657596132,-0.31217082734577556,-0.7132012318769788,-0.6430947896568674,-0.7750496457829912,-0.5102458720334659,-0.35687152903644614,-0.149285647104787,-0.2715531670037446,-0.2779761180905968,-0.18521370665857217,-0.34606678906847665,-0.45751923708641973,0.006802649969678852,-0.15303271392422513,-0.6032379320932115,-0.5599082857127855,-0.6131272176809011,-0.6948871115134233,-0.40759367243018635,-0.18465918410768722,train,1.427863163113535,1
5,-0.23143648466270103,-0.3503290380668352,-0.017930364600501236,-0.48895298597094305,-0.2646264911579049,-0.5414372062853966,-0.5088460526867511,-0.37901069936666276,-0.5604100261300243,-0.6353639030996122,-0.08982525936661068,-0.06281791271907614,-0.7879678741806588,-0.9273624809027208,-0.1780005542840384,-0.5596073451588339,-0.474479872883293,-0.4700859519835283,-0.49519902285828044,-0.34752100682390635,-0.46955276391838074,-0.38898730121454295,-0.7456742936867844,-0.08517656787920908,-0.33242920153686356,-0.7211034273219039,-0.6491925259031253,-0.7979690813919714,-0.5260788944491749,-0.3547767245613259,-0.16452620595671422,-0.2894512929030272,-0.28926923501548807,-0.21439884540131737,-0.362074423786369,-0.46842941883275613,0.0025112092454109072,-0.15363085505502924,-0.6379158624892876,-0.56837725189929,-0.6274661247472573,-0.7196586288814137,-0.42249738166432005,-0.1975368703402417,train,1.7848289538919186,1
6,-0.2383502619881535,-0.3525821700826815,-0.026057807792668763,-0.4974697832835045,-0.2752670267434841,-0.5492518072560096,-0.512443291273674,-0.37499714270867357,-0.5713200215507853,-0.6538443907797621,-0.09354708511842846,-0.06324924212290572,-0.8035175405671641,-0.9448020128852902,-0.18481712725972,-0.5705068842843628,-0.4908083407059152,-0.4823703036525192,-0.5098579604740865,-0.35660665957044896,-0.4707096560970675,-0.38672998610946474,-0.7660165246759152,-0.09201336071210593,-0.3426252626057562,-0.7298932373642065,-0.6654103131985285,-0.8118136669401215,-0.5411828850859152,-0.36315304570976364,-0.17070758034598477,-0.29445574685478987,-0.28987244117461813,-0.21374337739310306,-0.35777533202190975,-0.4802189219721754,0.006256077577555884,-0.14823747667490095,-0.6424170820866048,-0.5780862843327244,-0.6473292117191789,-0.7266777310735941,-0.421708486139566,-0.19566548276493317,train,2.1417947446703023,1
7,-0.2467650334789334,-0.351462619979141,-0.018982000455211555,-0.5012474079968857,-0.2715227614951896,-0.5606625127386752,-0.5286465895258553,-0.36780471368392137,-0.5825877933075467,-0.663068182598264,-0.08488739785676008,-0.05763944700401394,-0.7978304773439748,-0.9437827034504808,-0.18322468901072658,-0.5666697247725854,-0.496434129394624,-0.48833337573686175,-0.5175006871431378,-0.3430995311304196,-0.4702269280964837,-0.3797463459365729,-0.7630020300355619,-0.08437809821673806,-0.3412164907635956,-0.744307333981839,-0.678215438758897,-0.8107050337013453,-0.5348709355914815,-0.36141765198815146,-0.16705109958385378,-0.2838510698288041,-0.2750944686998703,-0.19803011918815389,-0.355779926048335,-0.48592364586501235,0.006443063845733885,-0.1521202059737458,-0.6389163539199374,-0.5685153557639757,-0.6574583426285757,-0.7229647693820226,-0.41377761486343095,-0.1761006304030119,train,2.498760535448686,1
8,-0.260812989180567,-0.36013751501733227,-0.007557057557520078,-0.5042702367247944,-0.2716522102429023,-0.5757552734081044,-0.5434416003256257,-0.36964962405479107,-0.6001229503595178,-0.6717613292522241,-0.08636249849096363,-0.05215894057004236,-0.798653612847936,-0.9446973093367697,-0.18561256557793548,-0.5725537804660662,-0.5053348937711402,-0.49278695454159016,-0.5200003263124474,-0.34255572903932546,-0.4702212243851943,-0.37522220027673603,-0.7677059244659551,-0.08545915368968081,-0.3420779884457744,-0.7597996981020821,-0.6951451491743648,-0.8083780716388416,-0.5389270143876751,-0.36844977741160156,-0.16588614835176432,-0.2753588857743693,-0.2714424879959972,-0.17715644681908252,-0.3502715164653458,-0.49352910492782065,0.011927532402717052,-0.1446905356711227,-0.6336132251691269,-0.5715237513907225,-0.6690040824850877,-0.7189826333345848,-0.408941922599587,-0.1642379800748719,train,2.85572632622707,1
9,-0.26472095317350025,-0.35868037376534334,-0.008133947482117522,-0.5058997066026334,-0.2732401949617166,-0.5763061658377366,-0.5498864694381613,-0.3631093124327849,-0.6058270603525814,-0.6771874709183132,-0.0808831674567638,-0.053292046026266866,-0.8022459487192872,-0.9515274265652339,-0.18433948489817129,-0.5728898857911398,-0.5097091414461628,-0.4998409106337049,-0.5292513199669214,-0.34034231138072185,-0.4610647336386413,-0.37892332331641854,-0.7532601050383815,-0.08572716680792931,-0.32779931860912415,-0.7709386348192204,-0.706907038437342,-0.8129675941840123,-0.5436128855990733,-0.3757382681100438,-0.15366573828789382,-0.26282682732161855,-0.262910275432367,-0.15965312313950744,-0.3524206835045501,-0.48461803173292683,0.01210356127413336,-0.14805837250924714,-0.6286032602267989,-0.5573993406975872,-0.6732949439003559,-0.717080363955561,-0.3871083286752105,-0.15328622459987065,train,3.2126921170054534,1
