,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.25972416099060014,-0.3315324581752495,0.012089673497828846,-0.15648970033580267,-0.13529802867678195,-0.36627259400332474,-0.3781705819566632,-0.2937644483705498,-0.2706381494618795,-0.39976057678219984,-0.33188207621409926,-0.15035852400975205,-0.06979855395180694,-0.11902748548706202,-0.23271563321504177,-0.1764419956675817,-0.4071085831600363,-0.4782629243574103,-0.4185525014636883,-0.3848421837211512,-0.2777370091830852,-0.06770798656854383,-0.16486936689175657,-0.07535532205880484,-0.13633733661354688,-0.45664152948419434,-0.40259097330561444,-0.38305032475644907,-0.4641315893284099,-0.2532292332137809,-0.08373093326752808,train,0.0,1
1,-0.3966594846380623,-0.4334484753164715,0.023369930822415255,-0.24883976459639795,-0.19110507637786697,-0.48314652202684094,-0.5364016528755654,-0.3434761125206155,-0.31520713015828294,-0.5508570705628076,-0.4712166291774722,-0.14236179596194598,-0.11449375281247189,-0.16069762760161035,-0.24770167956613323,-0.23642796440129205,-0.552238588649001,-0.620108119336213,-0.5261503407475163,-0.4876054070175835,-0.3552966659716945,-0.07085129257574628,-0.18771179517510928,-0.09101090978180795,-0.18041801706232458,-0.6020205479818509,-0.5076058089046125,-0.4931744578515499,-0.6032949705078094,-0.3210222720719155,-0.06840349758771412,train,0.35749751737835156,1
2,-0.45435482323821746,-0.48037110056475196,0.024577088823269092,-0.2897882521287171,-0.23164997507804747,-0.5257728580938859,-0.5956215233290226,-0.3908744321137638,-0.3623412665013933,-0.6375154804435468,-0.541585367667964,-0.1409277662829747,-0.14145369984300524,-0.21899142704100122,-0.2766447084461895,-0.3005167953192144,-0.6192744321153374,-0.6738384044604049,-0.5995669964175476,-0.5409486869569107,-0.3948193077694672,-0.11814019592848476,-0.22960072721551403,-0.13291162978122104,-0.23269187105173697,-0.7032777010188598,-0.571646475107773,-0.5580031553867191,-0.6752783670993574,-0.35178813500610573,-0.10228049530591778,train,0.7149950347567031,1
3,-0.47604049937241516,-0.49320801912912865,0.021683078745905814,-0.308456209120712,-0.2637587840197181,-0.5306332451430378,-0.6094813176919668,-0.4333756404854421,-0.40012345629664275,-0.6862315845718868,-0.579386705820274,-0.14895855523450408,-0.1603742123849986,-0.2730881234208352,-0.31100523536914354,-0.3536976144633167,-0.651829848991802,-0.6984928401546312,-0.653070524861919,-0.5788877569293628,-0.4105813077735019,-0.17576978096175055,-0.270416177964118,-0.16986542944242397,-0.2832946453813544,-0.7720636075871491,-0.617870901319705,-0.5959843760043337,-0.7187974310789951,-0.36268292721541207,-0.14193761509554503,train,1.0724925521350548,1
4,-0.4648852600805226,-0.47375359773697573,0.012204766462294212,-0.31575453995944314,-0.2729136440062154,-0.5031665595383619,-0.6005212145252561,-0.46151061193358833,-0.42041608931496477,-0.6842756169812875,-0.5815652717330195,-0.1432677459615927,-0.18665974634560603,-0.3146997180986284,-0.31984338837742,-0.38381035953574427,-0.6499384524228812,-0.6915278654707497,-0.6933527585837573,-0.5971216089140781,-0.4048273150177124,-0.22011482131643745,-0.28837475557207476,-0.22386737183882882,-0.30924340534198236,-0.8018749630949615,-0.6370894022194431,-0.6114101453878908,-0.7336256469307163,-0.35369212962517776,-0.18415445732396835,train,1.4299900695134062,1
5,-0.45020168451178166,-0.45745405127170424,0.01093539209154781,-0.3173132287918788,-0.2793847870582783,-0.4795348723231229,-0.5814183675156365,-0.4913617554969377,-0.45519948889819295,-0.6783942578716935,-0.5736544018609365,-0.1527619892739874,-0.2048783681582363,-0.35155649939547756,-0.35447690056619796,-0.407195372192862,-0.6370115419271707,-0.672716192555376,-0.7133283336270733,-0.6031864976010536,-0.4075384495213643,-0.2709066777669576,-0.31966692308633204,-0.2607372834977703,-0.3492823139447286,-0.8205393305126838,-0.6527507414175403,-0.6231877953566969,-0.7431777578428314,-0.34716845151723674,-0.22639944066174505,train,1.787487586891758,1
6,-0.4076252213865566,-0.40241385694049236,0.0149551908287003,-0.30708564721509324,-0.2731228830068747,-0.4155567876521534,-0.5283780001449572,-0.5256263636898603,-0.4937535646911929,-0.6325248298009828,-0.5362142781071975,-0.1646590780298495,-0.231367507700542,-0.40195414934788826,-0.37923623851339605,-0.43186571595630424,-0.598687617649072,-0.6265631137101095,-0.7350212639046934,-0.609268567919906,-0.3888746530757201,-0.33353317003810434,-0.3460958040329075,-0.33183043760365283,-0.3901193414067138,-0.835737563843143,-0.6696045063867095,-0.6314611201629606,-0.7452507179950338,-0.32106246495445473,-0.28613132241181716,train,2.1449851042701096,1
7,-0.31914714659111665,-0.3088486207858179,0.018860722754695764,-0.2743122434689591,-0.24840343962899986,-0.30968011285108066,-0.4267049707764822,-0.5760864190092435,-0.545129315689193,-0.5484589522433687,-0.4551014283678573,-0.17486544371026647,-0.26247257908229793,-0.4695693682047256,-0.42320337294647126,-0.4776007370235365,-0.5140599924858559,-0.528309921954381,-0.7503014513965748,-0.6038398902375627,-0.3650037389874219,-0.423577862284153,-0.39784407298493063,-0.41763505426845204,-0.44817721619056966,-0.8479653455250203,-0.6748019146722277,-0.6233790132079432,-0.7223592770597005,-0.2764763095743392,-0.3723877602800042,train,2.502482621648461,1
8,-0.20562200095310704,-0.1870186328789382,0.024421958807957684,-0.24332127523078223,-0.21690301645397847,-0.17235116107394818,-0.2913639910717363,-0.6438684978658015,-0.6108118052924245,-0.4442446419472147,-0.35343265728320783,-0.19568514756959082,-0.3093553177805861,-0.5567145149351403,-0.47803459947592375,-0.527990945200784,-0.3917635064429277,-0.39917054655238426,-0.774617053651592,-0.6075721108275733,-0.3485901432218197,-0.5281541278851779,-0.4665865591285633,-0.5202972573119355,-0.5210115569584438,-0.8572765827393811,-0.6866953335977879,-0.6061598180013709,-0.7085460848515233,-0.21826024551438739,-0.4904328752516104,train,2.8599801390268125,1
9,-0.09723209640463333,-0.07454417329488276,0.023415980353645425,-0.20003793814926019,-0.17733916562857704,-0.05677025459169427,-0.16048391012483193,-0.6911548826040593,-0.658532630477533,-0.34562915694500795,-0.26662354359049956,-0.20657976003610665,-0.3326977957920272,-0.6275147746604977,-0.5409156199714142,-0.5643369516947789,-0.26569997044578436,-0.2716146134500581,-0.7819059190363412,-0.5917692177954778,-0.32560120189960645,-0.6084947626665761,-0.5274169569528009,-0.5949912990775559,-0.5662289724238488,-0.8386472962761954,-0.684550822398749,-0.5745291551611947,-0.6790232689061908,-0.15786107278906034,-0.5859802939048344,train,3.217477656405164,1
