,AIBL,AIBR,ALA,AS1,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,AVFR,BAGL,BAGR,OLQDL,OLQDR,OLQVL,OLQVR,RID,RIGL,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVL,SABVR,SIBVL,SMBDR,URXR,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.30095570665552684,-0.39543603248512893,-0.06954341519695588,-0.22848577736654402,-0.42558495365483917,-0.423911299449766,-0.25450768550763464,-0.2241226294007655,-0.4749601430371052,-0.19173032841008106,-0.10488995613278936,-0.5167963415181429,-0.5769688075437205,-0.4516939531647526,-0.3766787260379334,-0.4054515170591504,-0.40532995784425274,-0.16770191288765723,-0.10172325497332503,-0.21604124845671713,-0.40689567607111654,-0.4294235989318679,-0.4367463880063753,-0.4443016351823495,-0.35962891970584066,-0.03964654562452867,-0.12350842745331092,-0.11822342314669576,-0.16625078619212363,-0.29694027934687567,-0.28906203811664194,-0.19485660563762836,-0.41010538026899035,-0.42369647387343057,-0.013653940256542568,-0.3255027549564071,-0.09381911457472493,train,0.0,1
1,-0.46986559776469555,-0.5175460063116389,-0.07348998985532958,-0.345271780466337,-0.5785227401939488,-0.5975089046710048,-0.2970544953100921,-0.25204881318253275,-0.6695333710764668,-0.20288861403378322,-0.1723797080899934,-0.666405495008372,-0.7357503564491668,-0.582747553078498,-0.5081334164448326,-0.5427838043149125,-0.5798498021988718,-0.2418854734914223,-0.17986232625507936,-0.3394540933253333,-0.5716405982833208,-0.590247682179288,-0.5652416431415102,-0.5731172694473126,-0.4801181020891344,-0.037193774714155865,-0.13148500358950244,-0.1571266652345744,-0.19975274021931078,-0.41258229560361426,-0.4169009649089618,-0.2601960908368048,-0.5489457313480497,-0.5412583345734491,-0.0584760434266416,-0.41313718775773384,-0.08777045953980098,train,0.32771961766044605,1
2,-0.5565625548511346,-0.5616191778285157,-0.08641694387985112,-0.3963006550815127,-0.6385646310203572,-0.6784308872234259,-0.3240783610966089,-0.26278490328092413,-0.7683074338701354,-0.19590848634721905,-0.21084850884052275,-0.7486623507722874,-0.8269850113839737,-0.6473606096052845,-0.584900457558025,-0.6074831114143484,-0.6648198632307429,-0.2861983652432256,-0.22066698006053082,-0.397334525871996,-0.6566233537537312,-0.6722111626542737,-0.6431190208956238,-0.6385800376999393,-0.5210753510437373,-0.04703598907344571,-0.13656145153646548,-0.1957157101975424,-0.21863721222747598,-0.47104599504292266,-0.4721210914061259,-0.3075508823931298,-0.6218726387018507,-0.6055661147641638,-0.0790657118433063,-0.44751323721983993,-0.09362714997877157,train,0.6554392353208921,1
3,-0.6075358507038509,-0.6088878509898419,-0.0954200467638162,-0.42464838957898876,-0.6824773235040044,-0.7367546198614886,-0.33406002808202917,-0.2611924066089566,-0.8183224982324544,-0.20153293928631172,-0.23456708937198578,-0.8013198510233737,-0.8462915886339936,-0.6835113984972494,-0.6255366593663441,-0.6472122488647686,-0.7260932196164002,-0.2960828327306056,-0.22492065166317649,-0.4186586331480032,-0.7214268522009218,-0.7220222559927395,-0.6900795531134613,-0.675273064045623,-0.5393064145458781,-0.03815988493540595,-0.13012944826803854,-0.1880684216963569,-0.2262646047484798,-0.5092571348713236,-0.4956081157658729,-0.29832764165377235,-0.6327775746932979,-0.6180294867956624,-0.10720271980827717,-0.47670982516891464,-0.07639463536496875,train,0.9831588529813382,1
4,-0.6391402424505218,-0.6342481541882051,-0.12252175758093113,-0.43531449835346714,-0.7025033425104164,-0.7613458972319891,-0.34413328858304715,-0.24959504134906282,-0.8531613783712992,-0.21350023728678025,-0.2562465062452964,-0.8343114205863463,-0.8659639655015955,-0.7176675613814142,-0.6516217958633188,-0.6700952118461103,-0.7705272632232517,-0.3006674474184116,-0.24157452942736346,-0.43531189547694776,-0.7504265070461115,-0.7349800164578002,-0.7187401037755056,-0.7070719952590068,-0.5484693738551432,-0.039854892118101795,-0.1292185239106676,-0.19881252530331253,-0.22673355778581464,-0.5374426491166059,-0.5156949819668709,-0.3059661357502361,-0.6518995753344763,-0.6315498908627439,-0.12197332237251424,-0.49551283972027726,-0.06402989657950868,train,1.3108784706417842,1
5,-0.6430888381965304,-0.6470176482867018,-0.1274893104193532,-0.46256826041159604,-0.7115149579632014,-0.7676255454417241,-0.34982962957016056,-0.26155185598142044,-0.8656003876626507,-0.22026312153526115,-0.26903353213732556,-0.8661156367221562,-0.9020955692760698,-0.7318153828093331,-0.666967463634794,-0.6645982820104688,-0.7921900961357076,-0.3126684664064132,-0.249421047059736,-0.4340424310776523,-0.7692855691869454,-0.7302980886589882,-0.7393708472308248,-0.7305344772928707,-0.5669739138035286,-0.05605353853101539,-0.13180860978017164,-0.20877818124805753,-0.2507730697446306,-0.5486021000562099,-0.5318155414325428,-0.3168871668607122,-0.6730513863302514,-0.6396947536739405,-0.12337274792469591,-0.5008075674850564,-0.06766369016627824,train,1.6385980883022302,1
6,-0.66059381118892,-0.6524798722722747,-0.13671042637775224,-0.47645355987172544,-0.7274394540732473,-0.762623291834413,-0.3480440883109459,-0.24515858424261638,-0.88246114099309,-0.22660873483310745,-0.26817047771673497,-0.8711700917761263,-0.90039062150252,-0.7489701783221441,-0.6723666150295602,-0.6731334939298607,-0.8077912364108635,-0.3128881389519464,-0.2576610291441452,-0.4366501757198638,-0.7800305062768591,-0.737418264419713,-0.7371194323902032,-0.7381495255410604,-0.5791824367235209,-0.060990950411070735,-0.12757074844805458,-0.21808593367281778,-0.24562775043133148,-0.562712362337395,-0.5395630085579339,-0.32470858527158264,-0.686213301997312,-0.6400087369168153,-0.1231228666385438,-0.5071712046789334,-0.058828161324943805,train,1.9663177059626764,1
7,-0.6587615237029035,-0.6377847969652644,-0.12946330017103813,-0.4636741652095836,-0.7107165909020277,-0.7769563761020442,-0.35589881998088835,-0.25836295931853526,-0.8719180351842387,-0.20911712233221377,-0.27972056714091414,-0.8751452383397906,-0.9060573363791466,-0.7420318961687504,-0.6729053696501939,-0.6741111503499682,-0.8006264511298915,-0.3195725858007012,-0.26312274465143304,-0.44607836919307914,-0.7768036224061824,-0.7455574546987396,-0.7603105676312412,-0.7308589244784424,-0.563004863176335,-0.06277156097581055,-0.12966417841700884,-0.22491892958496518,-0.2513294393751201,-0.560645308883364,-0.5409559799923965,-0.33702166730908073,-0.6916241238168533,-0.6564180200048169,-0.1323759807360461,-0.4998971148892533,-0.06381548212073568,train,2.2940373236231224,1
8,-0.6729937972673595,-0.6433954875464969,-0.12203183973509872,-0.46205185560195916,-0.7187771078652082,-0.8040770406235186,-0.35576863853203905,-0.26834132258718685,-0.886864431269123,-0.2050599480013532,-0.279943026896555,-0.8740969707757964,-0.8965573768711985,-0.7338759613273552,-0.665228459219978,-0.6851008507225742,-0.8019445005270491,-0.3132257522689536,-0.2649128262437323,-0.443710995295482,-0.7791438554799509,-0.7579306112346547,-0.7531648738363786,-0.7238436968732699,-0.5629737805475357,-0.05113038179308737,-0.12800611821700209,-0.20700640676546908,-0.2604424753514407,-0.5777061808443315,-0.5401150677282214,-0.32667659330282545,-0.6932302120801936,-0.6559863569039223,-0.14691091510653936,-0.5033678577499343,-0.051391186303278456,train,2.6217569412835684,1
9,-0.6663544555317731,-0.63272277043975,-0.11215472332712294,-0.4613023320931412,-0.706605514983918,-0.8085396194251754,-0.36688043956282834,-0.29283191697310956,-0.8813885175544957,-0.20396924577382103,-0.2895740426893164,-0.8740628808924802,-0.8935789597855401,-0.7238726505222526,-0.6587372570580431,-0.6841231532759225,-0.7935997280969994,-0.31661646504022484,-0.2777069104053105,-0.45392883980356086,-0.7665222915589459,-0.7545962607434893,-0.7574511081641634,-0.7119913841558706,-0.5593509342516602,-0.0649641971116209,-0.146439169333363,-0.21469661745261562,-0.27664989217398095,-0.5712960257171051,-0.5403844451922085,-0.33937150665736937,-0.7057613542718917,-0.6711649852835123,-0.15146774747724162,-0.4995813869919835,-0.06491747583665662,train,2.9494765589440144,1
