,AIBL,AIBR,ALA,AS1,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,AVFR,BAGL,BAGR,OLQDL,OLQDR,OLQVL,OLQVR,RID,RIGL,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVL,SABVR,SIBVL,SMBDR,URXR,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.7685060128804012,-0.7138149856491265,-0.28021378234534633,-0.9529275671827734,-0.947460233576491,-0.9589970345496667,-0.26259724103203963,0.020198174831593363,-0.7709780022980096,-0.30739648156730104,-0.24796137186988187,-0.9177297243764524,-0.824634840306759,-0.9042203920744503,-0.800077576497768,-0.895356935410154,-0.7086120113475274,-0.8868346343404861,-0.8649513455546909,-0.7056852692124049,-0.8834536782912685,-0.7633974071064669,0.24016041286742862,-0.9501542804495589,-0.8680908237346898,-0.4333906837036646,-0.3555857744092442,-0.35734585869121127,-0.6493950298773357,-0.6103784668389755,-0.7706362946958757,-0.6875513332869864,-0.8207033870180249,-0.8534423277431872,-0.16139604775743377,-0.7917830688209787,-0.6539347781938822,train,0.0,1
1,-0.7928521385411713,-0.7090726976198711,-0.22023776892124336,-0.5077415910304308,-0.9200579978929178,-0.9765560287351707,-0.48791725618743265,-0.15428450383131131,-0.7611330236601594,-0.4239002913160672,-0.11792012597668311,-0.9636241551447114,-0.8931367541677603,-0.868319182122855,-0.8699963657237104,-0.8369051595897161,-0.7723832830620625,-0.8622707836481343,-0.8343230702771907,-0.7111393164471964,-0.8385369543913446,-0.7626613269500759,0.2076731348424763,-0.9517647413816631,-0.80676498229809,-0.5389502647799571,-0.3008626800791848,-0.3676478681945127,-0.52435308965136,-0.6938628233465793,-0.7906394425446068,-0.43272189080336076,-0.74206692661187,-0.9510493498679867,-0.2528520461870375,-0.8651930441412683,-0.6309394904537383,train,0.32771961766044605,1
2,-0.7529632523254304,-0.7241642133943462,-0.2985737161103912,-0.7035059619149309,-0.931224353441012,-0.9286312425647125,-0.15554309434129365,-0.2007784206963361,-0.7834684980466599,-0.43006474268464123,-0.04015255985727373,-0.9107544373681873,-0.7722916368221122,-0.9074732810097783,-0.7893128195812955,-0.8376665827323478,-0.817761499173865,-0.5129279940605458,-0.8616489442883791,-0.5951118991183864,-0.8691873491062383,-0.7460186440303358,0.21753885158927622,-1.0,-0.9020457087826425,-0.5636683807936922,-0.6378840964241441,-0.17593359497731942,-0.7589893756034778,-0.695393952026244,-0.5583282061554753,-0.7432029575565031,-0.7529876516473892,-0.7830519542802109,-0.2695523521725537,-0.8576596330955374,-0.6248073965242293,train,0.6554392353208921,1
3,-0.7812527026071593,-0.755739553820433,-0.29953305099481575,-0.7143619861185251,-0.9211021222240865,-0.9593527444864508,-0.2862573307318337,-0.20019318939960107,-0.6725912136965772,-0.7097540326548513,-0.21668222864723563,-0.915481255530021,-0.817517683699857,-0.8941001733052278,-0.7930311296099309,-0.8154266461255355,-0.6948016652998914,-0.5315218704563537,-0.8197509019828162,-0.5648747721850029,-0.869099074483295,-0.7288215014223419,0.1884519098419073,-0.9100317590356771,-0.8961417244700627,-0.6066505149297173,-0.7214239136825855,-0.03836164560296795,-0.470350779814651,-0.7623840034339464,-0.7630242241268302,-0.8038804778670066,-0.8132657568936349,-0.8811402757860309,-0.2661207862693492,-0.7990863912060377,-0.6650242311877718,train,0.9831588529813382,1
4,-0.7295872296216878,-0.7556640825319758,-0.28833690294760506,-0.8586047339384223,-0.9248161572023275,-0.9222739737846544,0.0808589339398158,-0.2924429442446097,-0.74209993694539,-0.6367836343947065,-0.26726213966392376,-0.9095466999926352,-0.8082906337325904,-0.8994405299665564,-0.9038222529363837,-0.8037746747549962,-0.5812826768819053,-0.8809707967224355,-0.7762451347469356,-0.6741641882038136,-0.8866455496025465,-0.7264737922713524,0.20881668316134405,-0.9052866049635848,-0.8908490248603618,-0.4752702862304853,-0.50506058459564,-0.36625862500501083,-0.7026410622714895,-0.8261482320201148,-0.7595615905221137,-0.6781303304134771,-0.7981946629166732,-0.8934071804825102,-0.31727374790524776,-0.7837162097374499,-0.6822239654674329,train,1.3108784706417842,1
5,-0.748180160976152,-0.777905317091584,-0.2860289654401612,-0.9925253603844096,-0.9300732366634177,-0.9349664451013076,-0.20785285640662265,-0.19091199792091273,-0.7228001630700018,-0.7681314518195557,-0.44627257657397124,-0.8581267742774776,-0.8803761968698142,-0.8854118726457098,-0.8448713286265019,-0.8383322140748115,-0.538845222225012,-0.7148221858591761,-0.6866209486212393,-0.6479866346156984,-0.8442430227947141,-0.7820270420988813,0.23423932420942895,-0.9570185773496244,-0.7957066977962424,-0.465112354589147,-0.3443030086261073,-0.3290372077783891,-0.30437057180034455,-0.6827705105396062,-0.796105252614861,-0.5488593590616152,-0.8338452519940824,-0.8728684597914917,-0.2639146612185761,-0.8086147805828856,-0.7446957148742224,train,1.6385980883022302,1
6,-0.731759985035076,-0.7508681554841901,-0.4568726153962285,-0.5915643352909765,-0.9171885267438064,-0.9229778090082918,-0.3335431335576158,-0.19788832749671426,-0.6897908105881367,-0.3142504599300946,-0.381101353815413,-0.9221249485832912,-0.7708522491994205,-0.9312664665090927,-0.8004355784394346,-0.8642413886192379,-0.7311693184118554,-0.8406957175610636,-0.655347710191388,-0.7461064414788569,-0.8829865559963952,-0.7432031816639239,0.0910339024887985,-0.9126476861996219,-0.942840479406112,-0.6466334055799051,-0.30460890702512466,-0.1951537238409391,-0.6654362664635196,-0.7899771812874669,-0.7203279486042153,-0.8588632511068538,-0.7279937743609413,-0.8908105406086115,-0.16710173535701622,-0.8337132578943622,-0.6825701059914434,train,1.9663177059626764,1
7,-0.7507007278815161,-0.7548026310240731,-0.22645212099234113,-0.6977220145933443,-0.9087120366332159,-0.9298600830099775,-0.2323929428855539,-0.3436056343897288,-0.7397144625945723,-0.07284694749740794,-0.496506285477761,-0.9188650334401712,-0.7728792524601585,-0.8036429949948403,-0.8814429667423055,-0.8616261643174685,-0.7656490843071625,-0.777845152812715,-0.658570102828846,-0.6207866975719347,-0.8670523232995643,-0.7064034000624344,0.16362850670718987,-0.8996858836832639,-0.8618853998173472,-0.3561238810559718,-0.43473760275874096,-0.02557654229106754,-0.4671747831346217,-0.5938856470100145,-0.8039176408304599,-0.7040510816267003,-0.8423476168126456,-0.8439477020993347,-0.30085976626201005,-0.8335646935261567,-0.6668350109257384,train,2.2940373236231224,1
8,-0.7512826321355486,-0.7264640765949093,-0.2470950821007185,-0.6120306104289015,-0.9108191692796809,-0.9072753606601166,-0.6700159406665767,-0.16043642024971283,-0.6991074749868276,-0.029283549524653396,-0.6484375275424346,-0.8712499480276963,-0.8111003942745756,-0.9238418319729195,-0.7913942185686652,-0.9065523722682395,-0.6234447040131531,-0.6486022582590774,-0.7007433235327197,-0.5698060251572686,-0.8584278827618561,-0.6732735258005509,0.054294316797283804,-0.9149124986033713,-0.76004810960204,-0.44481330273228326,-0.6174663398394236,-0.165014025487505,-0.6698684254628473,-0.6419711699008859,-0.6448368126600755,-0.8216000912205941,-0.7753446431654201,-0.8476598722291944,-0.24595453498778552,-0.7859229893941543,-0.6402642295542549,train,2.6217569412835684,1
9,-0.7208157974222209,-0.779125711696678,-0.2626367742090967,-0.5539241857981839,-0.9032156004687133,-0.8986829930368188,0.08963447721358508,-0.17064179702183957,-0.7671643263463817,-0.11183129278959403,-0.6516429256454068,-0.8595950193036342,-0.8431481568863666,-0.8287499864901546,-0.8036779423056075,-0.9145510425805161,-0.7538110236591739,-0.9291961913385715,-0.7649641880909006,-0.6469241424041037,-0.8533007681568974,-0.7252376481056471,-0.01612475647301803,-0.9566184652059295,-0.8678712354736055,-0.6136774781158862,-0.14995953442217702,0.016191128371109587,-0.5289391302625124,-0.7665047019964764,-0.712229392322111,-0.7561229631745888,-0.7912182940245716,-0.8365081696713563,-0.19448206330873408,-0.8016914463639998,-0.7054017875334855,train,2.9494765589440144,1
