,AIBL,AIBR,ALA,ASKL,AVAL,AVAR,AVBR,AVFL,AWBL,BAGR,OLQDL,OLQDR,RID,RIFL,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBVL,SMDDL,SMDDR,SMDVL,URXL,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,-0.11457169584089552,-0.22465325208794673,-0.1919064343893491,-0.20738267233878782,-0.31869980128145886,-0.19274552626480052,-0.06118651600378262,-0.14999676995903494,-0.09888469969576455,-0.2826233830514019,-0.27605585288026346,-0.3221288220690464,-0.14986195922325435,-0.30997166152770883,-0.26785565854793136,-0.1255946211273049,-0.06602518880021131,-0.205120030433152,-0.15180093660420207,-0.060175781716068244,-0.19979751643884275,-0.24800202785098996,0.0009302483041169693,-0.014515796163157055,-0.3010217030424388,-0.27829136326095416,-0.17473993656798123,-0.25321074391220444,-0.16537692992253344,-0.17416496051042268,-0.25722416806874254,-0.24624009483157056,-0.11984231062143641,train,0.0,1
1,-0.20729799949352526,-0.31889494625937453,-0.20521464306419146,-0.25397625717164907,-0.413143948229325,-0.274250437104137,-0.04636975462639528,-0.15626013104275824,-0.12917117743234102,-0.3231698786896944,-0.320284999335816,-0.38933293374869093,-0.12648069710704174,-0.357034815439933,-0.339747410949091,-0.22158425606731652,-0.004724858374859892,-0.24320649310557238,-0.20192744447977318,0.013814331236977229,-0.19548884232465297,-0.2692257993793653,-0.0064422644814379655,0.0079485454313281,-0.3417323221017188,-0.3356431108590492,-0.24270640933765508,-0.29797234005359174,-0.2469467351052658,-0.21171119318150314,-0.3123008086718245,-0.281106695578184,-0.10411452679163222,train,0.3560830860534125,1
2,-0.2720068672067347,-0.38168659223022655,-0.2044339968245425,-0.28002185335088636,-0.4747970971737384,-0.323041901521914,-0.059970822385255335,-0.1607965931785261,-0.14888608068105885,-0.3585453337139457,-0.3543479352111293,-0.41858825995485016,-0.12043013462957963,-0.39503882888488207,-0.3819221201831477,-0.2917462384558623,0.025728356201186103,-0.2652024586361369,-0.22872282086518037,0.033512121888813834,-0.20320178732821256,-0.2871317789827154,-0.025686793944123723,0.004907358664409167,-0.3749098063249664,-0.3744204680390086,-0.2933539647172269,-0.3342865221533661,-0.30360382321698437,-0.24280308128287093,-0.34964161982915115,-0.3051601676917324,-0.11254418779804164,train,0.712166172106825,1
3,-0.3242440785394472,-0.4249853788540882,-0.2104786956331922,-0.2997632561134397,-0.5213628101445971,-0.35988174066982903,-0.06518944236216867,-0.16397525673796726,-0.16047080136481204,-0.3769546594933679,-0.38090162027066354,-0.4465751596289039,-0.11208740009933695,-0.4164807765738776,-0.4212631550249397,-0.3389672632167735,0.0458012764240876,-0.28112104006850364,-0.24891532577054226,0.05317853651062143,-0.20587105523009921,-0.2936877397308433,-0.021324998873658185,0.010753231606595248,-0.3919123610457925,-0.3988244803340003,-0.322679386006138,-0.35701009969716335,-0.3445810222214048,-0.27316652826602994,-0.37857571749934193,-0.33093974063878034,-0.0994466315909242,train,1.0682492581602374,1
4,-0.35688852648342967,-0.44525262552856937,-0.21816998143263028,-0.31375249951363027,-0.5388712015669415,-0.37763507562467863,-0.07364605547994177,-0.16953978676742273,-0.16914162362510263,-0.3960637446369669,-0.4063501376989297,-0.4558132244380096,-0.10909870301728947,-0.4301376057062151,-0.4427257600049437,-0.3595029723002105,0.054328743776806465,-0.2909524351207753,-0.2652263734930126,0.061937624024243076,-0.2076551060151012,-0.2920396682687352,-0.010185012894178377,0.010263492692130421,-0.40391524599786277,-0.4097932595251982,-0.3394660371201417,-0.37251775521221514,-0.36322180800217224,-0.2906961944045179,-0.39705511653683456,-0.34266083588765317,-0.09136274724872648,train,1.42433234421365,1
5,-0.3796988984881163,-0.46738674354409726,-0.22346662846797907,-0.3224908497285345,-0.5543278918686152,-0.3899921198327722,-0.09333365249485512,-0.1747102192237131,-0.1810195225303612,-0.41723609942835055,-0.4242463368595353,-0.4630550164625158,-0.11600982579684022,-0.44834066280225127,-0.45358340510789985,-0.38254205775312594,0.06232002459391134,-0.3077705599904958,-0.28059872225384846,0.058020334195911294,-0.22573239371476156,-0.30392174893192236,-0.019299868158421832,-0.003628266735273125,-0.4076254674470864,-0.43041828230399637,-0.3670884755060334,-0.3943511929442718,-0.387837335252887,-0.3172917627167607,-0.42603034099804604,-0.35136184525962744,-0.09571255140864574,train,1.7804154302670625,1
6,-0.3956570405104619,-0.4853985988054757,-0.23670489425530944,-0.3362029772258508,-0.5624314755349631,-0.4072550847545652,-0.10188878084644484,-0.17361784419320053,-0.189177554568497,-0.4307001501646096,-0.4396050556365211,-0.4716022858589209,-0.12141803223710235,-0.45030175607606093,-0.4661844385286954,-0.40110775761171696,0.06330270387782586,-0.312506642192027,-0.2903339611896789,0.05955045249591778,-0.2360700947621751,-0.30322027928020556,-0.012369923110605856,-0.006902886574394598,-0.41482374640354136,-0.4326268449497148,-0.38294883195367513,-0.4077797226875919,-0.4013300330249382,-0.33252190623287065,-0.44064982076093095,-0.3604263559926424,-0.09084569725998914,train,2.136498516320475,1
7,-0.4117198694587722,-0.4946555882900883,-0.24871407432062687,-0.35150623766085465,-0.5700293201763609,-0.4201729356039162,-0.1299413648317926,-0.17646640550997733,-0.1980561272837445,-0.4468617472029368,-0.4497473362460621,-0.4860430258965331,-0.12960455657339942,-0.46414853465450967,-0.4796620776893411,-0.41882656698762505,0.06435420976518524,-0.32755032415056495,-0.3098872937541159,0.03753902616574059,-0.256263778934691,-0.3215199309985615,-0.02749567179711247,-0.03158456652687308,-0.4299837999922752,-0.4510917077433302,-0.40678481387240206,-0.44293747306815434,-0.42199219545501504,-0.35262507561644557,-0.4598924438564293,-0.3757116005743645,-0.1053569397515465,train,2.4925816023738876,1
8,-0.41648437153497747,-0.5071553386654074,-0.26048038038965465,-0.35632513957131057,-0.5700867223281232,-0.42806771551942524,-0.14107028903878172,-0.17624409558226406,-0.2032075541902928,-0.454813175765305,-0.4597751889884608,-0.48939412349510564,-0.14047197343583157,-0.46866247078401563,-0.48418023298170954,-0.4230173076531195,0.06868227553439729,-0.33651083515785934,-0.3227351346271084,0.033495654758512156,-0.2657328469921219,-0.33264214167469797,-0.028010689795878202,-0.04562326101491415,-0.43741845585286077,-0.4539066401286521,-0.4234968462148849,-0.4496375489685386,-0.42226886731767804,-0.36349885269690246,-0.4684181055516338,-0.3786384675602267,-0.10555853755865063,train,2.8486646884273,1
9,-0.4304001674939427,-0.5337837774896915,-0.2755087089929307,-0.36484942359329087,-0.5775658707895299,-0.44784343086501505,-0.15174805092237822,-0.173771100261345,-0.20965271169554733,-0.4675652317862864,-0.4716467115371329,-0.4974849267195744,-0.13947234593490412,-0.4699925198719135,-0.5029155195462444,-0.44224486149845177,0.08403965072983582,-0.34209897837063896,-0.3340030074672952,0.03197337160948002,-0.273524706239969,-0.3306045204891179,-0.016408618467107432,-0.04969381836423943,-0.43992094760195766,-0.45367237687849504,-0.43216751868972847,-0.4618054538502231,-0.4355158892234812,-0.37575188903150786,-0.48745469464379343,-0.38554261836879145,-0.10201281194970033,train,3.2047477744807122,1
