,AIBL,AIBR,ALA,AQR,AUAL,AVAL,AVBL,AVEL,AVER,AVFL,AWCL,BAGL,IL2DL,RIBL,RID,RIML,RIMR,RIS,RMEV,SIBDL,SIBDR,SIBVL,SMDDR,URXR,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,-0.2508083021779953,-0.33127680679411103,-0.17894811013497738,-0.401202139549244,-0.20257709490347398,-0.3934349618434849,-0.32758353780998295,-0.29708312295971245,-0.31211376096617494,-0.1948164146786336,-0.2942867103620225,-0.4171414006810567,-0.36807485388285355,-0.26042948550522066,-0.25720794948699177,-0.36283003871071706,-0.28283720180258626,-0.0422940950682425,-0.11090684961366173,-0.371958797069793,-0.2602840630321377,-0.14679478743906027,-0.40895501420085195,-0.36529762820777195,-0.31625404119933714,-0.37553249416993983,-0.3885032457807303,-0.1808090388827945,train,0.0,1
1,-0.3968443277746207,-0.4810838312002934,-0.19659665808095286,-0.5222521002243357,-0.31434432435263204,-0.5183865966762802,-0.36857035134425165,-0.45781985631721595,-0.4287403764063629,-0.24005616088572568,-0.40079003946783587,-0.5120861968108467,-0.4956813679561716,-0.35910089303873816,-0.28730546957148084,-0.47830129510567165,-0.4568807619855149,0.06239648504990841,-0.15189282290906772,-0.44575019689505413,-0.33145174144997247,-0.21156349764127225,-0.5388589662731176,-0.4679594669157473,-0.4167538317452098,-0.4950386632790912,-0.48207194224586075,-0.20443159043351072,train,0.21849079506372648,1
2,-0.47700096699627215,-0.560298871663858,-0.21528477206856783,-0.5839043481467552,-0.3827906728073225,-0.586901200155794,-0.3868745270750117,-0.5504163498656767,-0.48190006483467324,-0.2645351737024693,-0.45320887359614026,-0.5573581092715945,-0.5631876614995768,-0.41401360094791956,-0.30071912818242574,-0.5417489387891292,-0.5575337641013824,0.1350657494037122,-0.16392742672419525,-0.4823967901209082,-0.3780294043250354,-0.2564560205813992,-0.6039058742040181,-0.5275232697130156,-0.46954574474097094,-0.5648576435137342,-0.5252741369623235,-0.20989653303880973,train,0.43698159012745297,1
3,-0.5253951522335543,-0.6184797311636152,-0.22473239967377057,-0.6131926749657137,-0.4270068219784231,-0.6300676095468529,-0.3930947191726223,-0.6155691659986317,-0.5104006001735171,-0.28035684038189096,-0.4888662749205358,-0.5849310355219788,-0.6047764880991506,-0.4460631709029484,-0.30608558014308307,-0.5718172180786966,-0.6235216186465529,0.19709344097341636,-0.16030016221180227,-0.5006128225972285,-0.399227872233686,-0.2815849632192904,-0.6461182765286544,-0.5649254762679938,-0.49232691529150974,-0.6058130904457224,-0.5488975561849554,-0.20740873394853826,train,0.6554723851911795,1
4,-0.5554711550598204,-0.6489625030390275,-0.23191593132195168,-0.6354622377248788,-0.4564862747819425,-0.6543188449004155,-0.3960788096256473,-0.6480371721687911,-0.5298996498710369,-0.2901988785338675,-0.5069982287793002,-0.599452599716574,-0.6273071566451438,-0.46125214566653383,-0.30784658952911487,-0.5971404251565863,-0.6616308102434375,0.2327166589531952,-0.1510149213978208,-0.5100478790649734,-0.415557370972348,-0.2953576717450543,-0.6656606295860547,-0.5841737644302198,-0.5113841849638454,-0.6233090185433114,-0.5665059264807224,-0.20940429346323017,train,0.8739631802549059,1
5,-0.5736071760970576,-0.6754902513946128,-0.2370761049466131,-0.6410697377740435,-0.47478622192261644,-0.6718318538002755,-0.3946922562588205,-0.6717584700720001,-0.5444123911213431,-0.2962154541008119,-0.5210438323472235,-0.6136600588391616,-0.6497952263879809,-0.46864794766641266,-0.300527184709942,-0.6047428464520724,-0.6889447984113217,0.26098595821765724,-0.1395735456374118,-0.5185308629636199,-0.4261898922059326,-0.3022448466919921,-0.6753531165568325,-0.5990653693805222,-0.5188825885820573,-0.6331343495855445,-0.5691356401681033,-0.21274904155435448,train,1.0924539753186324,1
6,-0.5898646362441642,-0.6823618131306984,-0.24011648590391704,-0.652766921429,-0.49043736222409706,-0.6864553029823821,-0.4014896579842095,-0.6885998529447,-0.5600992297598759,-0.299093619192184,-0.5305579871763222,-0.6248417609008123,-0.6697112638767482,-0.479269049498819,-0.3107866259126556,-0.6184445146457264,-0.7050887491070622,0.26585737901738854,-0.13968814583303313,-0.520224008404405,-0.43426788794209714,-0.3105278024471793,-0.6865170845769989,-0.6138027446612198,-0.5444177722967514,-0.6507829402500589,-0.5854535484568608,-0.21727765942715316,train,1.310944770382359,1
7,-0.5923891232877675,-0.6898415695228575,-0.25135202265544276,-0.6530110735986151,-0.49545439301421734,-0.6872498347421908,-0.39911074327226315,-0.6943002521910864,-0.5545780567106647,-0.3049403039772423,-0.5380654620074664,-0.6235266636178195,-0.66897394450343,-0.48673217808947966,-0.3051647033432128,-0.6143904932603264,-0.7191197366430766,0.2881744876830213,-0.13356016509734858,-0.5272601394985614,-0.43768430755374577,-0.32080421828065375,-0.6924501813141213,-0.6159291722601512,-0.5352680945975542,-0.6511752947060636,-0.5764716405024921,-0.21706632003496673,train,1.5294355654460854,1
8,-0.5883126707057641,-0.6874726039242124,-0.24007883237844063,-0.6495945370321352,-0.49596030593102225,-0.6901418738516601,-0.38720068383411804,-0.6951823262225627,-0.5542318347035597,-0.30245808915911515,-0.5405242552984977,-0.6223762555542487,-0.6679469187743108,-0.4813795650674661,-0.3022114960083854,-0.6092598976324457,-0.7163693211992643,0.28932655398697577,-0.11814202036287905,-0.5254348976137904,-0.4410207399539552,-0.3134216774359233,-0.6861509693919357,-0.6083367956974168,-0.5341750898754041,-0.642596428441111,-0.5705925318762575,-0.2165016094806308,train,1.7479263605098119,1
9,-0.5748184702742908,-0.6734155761396401,-0.2279418295503348,-0.6505989994217865,-0.49806107888284534,-0.6781014688811828,-0.3866798358341763,-0.6882764126276407,-0.5554817487654515,-0.3027281741641323,-0.5448001083920119,-0.6325269971338249,-0.6754153792080315,-0.478330556468515,-0.3043739529001134,-0.59165366703569,-0.6980928368390639,0.28407848311533335,-0.11706117565838273,-0.5277481428901396,-0.44140790136562547,-0.3172056323653158,-0.6846016679184795,-0.6156754985927791,-0.5318532836568138,-0.6383007261477971,-0.5694208348429154,-0.22568037326177015,train,1.9664171555735384,1
