,AFDL,AFDR,AIBL,ALA,AQR,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVER,AVFL,AWCR,BAGL,IL2DR,OLQDR,RIBL,RIBR,RID,RIFR,RIML,RIS,RIVL,RIVR,RMER,RMEV,RMGL,SABVL,SIBDR,SIBVL,SIBVR,SMDDL,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VA2,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.3461300483456946,-0.3159499568647296,-0.3565231993086105,-0.26733912936912,-0.5436457903334742,-0.4091359251370542,-0.48254359623048887,-0.41742568658016777,-0.42987141329644163,-0.40697998912027866,-0.4662838996135567,-0.4166736075457828,-0.2393945332976833,-0.33715890757558276,-0.4418562389177983,-0.5065374555207723,-0.4049372069276552,-0.4203786915948719,-0.5307075106543866,-0.3782761300113364,-0.27219407137208607,-0.43610760481936417,-0.07513633545990162,-0.442292255454564,-0.27647775002436925,-0.44009323953140633,-0.36150407540972207,-0.2393271883036817,-0.35890242661475463,-0.3775825455219136,-0.3864098734167115,-0.3197610516096351,-0.4794273932262789,-0.605363699033084,-0.5123286085381231,-0.4620839863517609,-0.4657104980960748,-0.5102250786254472,-0.39130234605121506,-0.38923917415788706,-0.4581161201615049,-0.36411391053474174,train,0.0,1
1,-0.4336878868510914,-0.41045530772163147,-0.5124975641911378,-0.31166939980535435,-0.7240274690960709,-0.5331000051502578,-0.6847100127369632,-0.5454571861103701,-0.6034221423183772,-0.5074050398531055,-0.6781037595235054,-0.5604923850120841,-0.28656062107017444,-0.4837410735199243,-0.5585447526293219,-0.6462352978801,-0.5244191195230501,-0.5938368722680909,-0.7717758189603121,-0.4740889239674481,-0.32958318807242015,-0.5671569795122652,-0.03835451569164261,-0.5987818361769196,-0.3840382098811301,-0.561464386657311,-0.5231295642476086,-0.3679174034334023,-0.4682835816877081,-0.4835795580349057,-0.5378123180513147,-0.4407133927048206,-0.5858696460507198,-0.8011873313989568,-0.7589831086267299,-0.6258864832880862,-0.6098633896283611,-0.6721267529392807,-0.557908539215306,-0.555811585154989,-0.6573396097224538,-0.4568105826880776,train,0.25634939473059576,1
2,-0.474224263263574,-0.46304151028644425,-0.6007426189805841,-0.33051891847725445,-0.808853452973205,-0.5927056188821633,-0.7731970923747835,-0.6138963253720638,-0.6897278536830151,-0.5488456169717658,-0.7951905487748695,-0.6209167644857028,-0.3116664049019328,-0.5478183798238909,-0.6083073354726805,-0.7174794302528792,-0.5925317763418916,-0.6897167010104298,-0.8866120658844494,-0.5130581234218237,-0.35664445915084797,-0.620183617391287,0.0031439223775757974,-0.6747176829987163,-0.436827631231986,-0.6218498445375114,-0.5835856598937754,-0.4323224860970537,-0.5182565338495629,-0.5356340717381144,-0.6135777567815419,-0.5006408625730829,-0.6346712117181108,-0.8972921781599655,-0.8820481861696177,-0.7033498668665525,-0.6801243936720104,-0.7506256742545416,-0.6473189545310892,-0.6365380462698311,-0.7551597621782448,-0.4992450147407237,train,0.5126987894611915,1
3,-0.49058692827699285,-0.4747496840744968,-0.6461480182466373,-0.34520460879662396,-0.8514584684269819,-0.6188823554011792,-0.81887445876592,-0.6524137585162118,-0.7258845158929689,-0.5688477980465918,-0.864061725854452,-0.6516378252120341,-0.32282404717976754,-0.5786659567612894,-0.6372976454479728,-0.7593406514106997,-0.6417699698623889,-0.7443765072295586,-0.9465014339303703,-0.5384075883286764,-0.3628269755634468,-0.6401087990952526,0.016636223181186988,-0.7270988155000954,-0.4591265244728287,-0.663352301094289,-0.6288457241094039,-0.4626155077223626,-0.5391652587597021,-0.5595681187188233,-0.6585921490468238,-0.5440176035852652,-0.6584297237850014,-0.9472819350321876,-0.9446357042646857,-0.7458558450441571,-0.7095065029597072,-0.7968264196049426,-0.7002993972407084,-0.6810534724049586,-0.8066342936856676,-0.5177210349107383,train,0.7690481841917873,1
4,-0.4945284711228257,-0.4812337641083218,-0.6601068228091084,-0.3596674655347325,-0.8841448647310681,-0.634037747373632,-0.8253731067364865,-0.6571694383966882,-0.7391298110106787,-0.5848991469325595,-0.8936679211532675,-0.6616509765142308,-0.3281935404015277,-0.5838073395077742,-0.6600768105678505,-0.7817830449543922,-0.667740247275403,-0.7651267780478767,-0.9821408576777273,-0.5469935665734063,-0.35734793663816944,-0.647032174293402,0.01592468659554619,-0.7438691347310804,-0.4730179684158743,-0.6812520345069154,-0.6440632950348897,-0.48033374427117864,-0.5536221839120158,-0.5751755215940245,-0.6725431488388433,-0.5634845035145946,-0.6790677286346953,-0.9643373290458033,-0.9740517561131639,-0.7620454866097073,-0.7220193314023777,-0.8189558155010783,-0.7340601764063803,-0.7081366205760592,-0.8346164494208311,-0.5211686630598713,train,1.025397578922383,1
5,-0.5031461276199499,-0.47791587052604667,-0.6674586377199696,-0.3612263512440424,-0.8773834126470426,-0.6330413695545348,-0.8406933465355254,-0.6701068938312715,-0.7574446197237317,-0.5845868172568218,-0.9216499916368603,-0.6705102797755506,-0.3246276390777083,-0.6018467086547062,-0.6659133685983641,-0.7936777133925091,-0.6833426962156572,-0.7786758032832496,-1.0065673323950863,-0.5572830651581044,-0.3702670949554536,-0.648495015663157,0.0034919739117631743,-0.7608622987316264,-0.4733033613557,-0.6984302944112972,-0.6610570171992498,-0.48590098256989117,-0.5550139174266774,-0.582993824006913,-0.6902934567844135,-0.5814835078950119,-0.6802825598471971,-0.9802670313863334,-0.990957066261986,-0.7706046129329841,-0.7328909879979727,-0.8218668293491762,-0.7480560855522254,-0.7188999939533471,-0.8476606247308879,-0.5274769177900529,train,1.2817469736529787,1
6,-0.4983294246546571,-0.481762395921862,-0.6710135583281854,-0.3715976191409209,-0.8872347076113698,-0.6387300467227041,-0.8502222265734357,-0.667762204755995,-0.743142510419342,-0.5896449723281016,-0.940338877923611,-0.6715496323364427,-0.33197248804929064,-0.6013108137197565,-0.6633754690579615,-0.8060848762498941,-0.692146902641315,-0.7971788078513177,-1.0184188733463102,-0.5739385491873186,-0.3641385654409939,-0.6370067316565406,0.0009781096506469855,-0.7678104451011121,-0.46666685321385565,-0.7101878135972517,-0.6768452947898144,-0.48623701687905546,-0.5628791002200462,-0.5802432996971891,-0.7024427931007342,-0.5911629812984249,-0.6825745209247119,-0.9908817545338038,-0.9926578519758347,-0.7783007429611143,-0.7343999383107054,-0.8298210515673252,-0.7530816376603655,-0.7304099238970814,-0.8627669530790887,-0.5342644633580934,train,1.5380963683835747,1
7,-0.504113327951589,-0.47533245253147716,-0.6774868883675593,-0.3679223933398376,-0.8929348124659993,-0.6368376915630132,-0.8578489729256453,-0.6723599781573878,-0.7562046930704001,-0.5944434242843258,-0.9500581115913306,-0.6708828071654229,-0.32542760537324167,-0.6017615915465384,-0.6689262365481871,-0.8051690991158582,-0.6986528542629324,-0.799597775137839,-1.0297152132429859,-0.5819717921152703,-0.37562987473162845,-0.6420121995392354,-0.01660688723385692,-0.7785902729950045,-0.47432297670913076,-0.7110513328123387,-0.6830524054410532,-0.4944497104474557,-0.5679382849851595,-0.5900164439314334,-0.7065910168427065,-0.5913739596096226,-0.6925197625520507,-0.9966886650742277,-0.9951071489375182,-0.7871674522563837,-0.7382786837851458,-0.839643263737631,-0.7617547609070069,-0.7392841964007373,-0.8711595553872058,-0.5310206506342924,train,1.7944457631141704,1
8,-0.5084419496956556,-0.4758351003086581,-0.6683027753957397,-0.3696985638785857,-0.8979333162196277,-0.6277194557282846,-0.8481374533131172,-0.670778579964623,-0.7484518933948876,-0.5988312919589821,-0.9458371828326173,-0.6725779614126343,-0.32750581652207067,-0.6044523035178915,-0.6717364351445565,-0.8049181569364673,-0.6962797048093614,-0.800210143381295,-1.0299779595987675,-0.5910810626601417,-0.37049133553443725,-0.6376742964403549,-0.02136002520202282,-0.7721927602003267,-0.46851198032690833,-0.7057793814695753,-0.6849924701805837,-0.4897480663679818,-0.5600461305295286,-0.5842292475622886,-0.7030210234604918,-0.5890631185909572,-0.6912894416657578,-0.9917917637749002,-1.0015982777929597,-0.785994434480952,-0.7449203783185915,-0.8391194495317069,-0.7734664683971101,-0.7378704441907512,-0.8757502586786247,-0.5229940874149474,train,2.050795157844766,1
9,-0.5145080625394307,-0.47953571892497737,-0.6772029289075451,-0.37250975800439523,-0.9024066086039646,-0.6296775665050944,-0.8609303813661106,-0.6785089685448011,-0.7568151540126498,-0.6069196925349526,-0.9623373214502863,-0.6713125170539486,-0.328594834483069,-0.6089959400038928,-0.6767483629803122,-0.8169904509699556,-0.7039595333969431,-0.8174663668766573,-1.0396185059426883,-0.5892382957516187,-0.37348866932243835,-0.6450231486578675,-0.017563545227990668,-0.7876958892839224,-0.4776701837311558,-0.7183437368759449,-0.695187401920581,-0.49561876661294907,-0.5688234899200428,-0.5901789411591782,-0.7156385253881942,-0.5979646374298083,-0.6955005223776565,-1.0050579990289017,-1.0114594977779978,-0.7890146190932368,-0.7473488138216383,-0.8455064486706945,-0.7794167518736502,-0.7423066415562768,-0.8851091296263097,-0.5347863721333488,train,2.307144552575362,1
10,-0.5099910806082205,-0.4754856082964418,-0.6824873462813031,-0.3680801837958424,-0.8968933926083726,-0.6289176907776561,-0.8450626606530274,-0.6761313077361045,-0.7505982435067577,-0.6046384020225937,-0.9559950348806145,-0.6748496002152666,-0.32915470528323487,-0.6086314579385718,-0.6746497473530699,-0.8131606609832362,-0.6983357423659842,-0.8104949161255974,-1.0344160514932683,-0.5800706461280445,-0.3671442112479413,-0.6399382960295207,-0.007154359790912668,-0.788024659212878,-0.48078212645720275,-0.7163336922076426,-0.6792070238092957,-0.4948120718151255,-0.5695227768062157,-0.5863194396953576,-0.7034074016783026,-0.5916474292616123,-0.6879067133976249,-0.9951801760952185,-1.0043449776091444,-0.7905663975761227,-0.7497035598424733,-0.8312491799348649,-0.7821046581121756,-0.7379449028913424,-0.8786261991860239,-0.5268141499671717,train,2.5634939473059575,1
11,-0.5124488890459074,-0.48067347144626793,-0.6905147400487428,-0.36882312789183713,-0.9022069003363988,-0.6362236434931402,-0.8565976645292447,-0.6789815282130329,-0.7555365111204547,-0.6048558909294905,-0.9630664157037679,-0.6761003481128874,-0.3301672025763046,-0.6064625540373851,-0.6730876991970441,-0.8151310045728039,-0.7051667263568997,-0.8172770193728587,-1.0302360267993236,-0.586279468485513,-0.3735795030444993,-0.6415205755325987,-0.00678374247808583,-0.7862618660178331,-0.47961078654523925,-0.7166468431688735,-0.6839677535096131,-0.49599060269620093,-0.571550376590258,-0.586227769622774,-0.7034971122913041,-0.5911344320181617,-0.6956636503000091,-1.0032131127243198,-1.005644226169644,-0.7945077093152701,-0.7470594741461555,-0.8393116419879527,-0.7741802024114255,-0.7397660520657231,-0.8780920823814309,-0.5364070554581742,train,2.8198433420365534,1
12,-0.5132850698310945,-0.47513482607661855,-0.687456700995304,-0.36123008949756685,-0.8953981290726305,-0.6216377584068374,-0.8536017143539884,-0.6786213549093638,-0.7642843897570519,-0.6078715089276154,-0.9649729075571979,-0.671206595390906,-0.32221372705494455,-0.6089532939088513,-0.6708643688381133,-0.8016744298451928,-0.7090907849094549,-0.8136311831883792,-1.0341270026850868,-0.5897279711196597,-0.3853352431321819,-0.637091589861211,-0.019374589943185527,-0.7902122196231731,-0.4787888274775971,-0.717630216331646,-0.6876776415379037,-0.49941788338853693,-0.5620575857096858,-0.5873612526696237,-0.7014272839312465,-0.5947745805686577,-0.6956056226444678,-1.0066137414170522,-1.0045028510521898,-0.792797555381336,-0.7449289554632302,-0.8362104829720376,-0.7810015329291072,-0.7376505479728425,-0.8749466413703619,-0.535040842519318,train,3.0761927367671493,1
13,-0.5120878478428259,-0.465930962578746,-0.6856272746082127,-0.355225889400542,-0.902485658192868,-0.6264372215939544,-0.8610671592620309,-0.6770901701039854,-0.7633463230018772,-0.6067696772560263,-0.9612043532443272,-0.6743219031424279,-0.3279473293028136,-0.6042301909335522,-0.6683556712884284,-0.7979859810358592,-0.708751607167319,-0.8108256510446896,-1.0335187651601134,-0.5987377696811809,-0.38718590197174996,-0.6357371386564822,-0.028670318131080563,-0.784290110484076,-0.478523168604936,-0.7114237638679781,-0.6997404064424682,-0.4990536202728482,-0.5641705690378577,-0.5905125940247515,-0.7029971245198267,-0.591913768637966,-0.6943706297957466,-1.0021294971433166,-1.005591568474238,-0.7943191501229421,-0.7448235489403187,-0.8435774540384502,-0.7769391625505108,-0.7457440910037489,-0.8806318210151096,-0.5324325230894499,train,3.332542131497745,1
14,-0.5157294290887277,-0.4615707785913149,-0.6787346296424006,-0.3523666759793226,-0.8960578544260906,-0.6177210043314069,-0.8517503911574704,-0.6793398722612546,-0.758229801206019,-0.6042635959624525,-0.9536696322817737,-0.6759863527895283,-0.32558118887422993,-0.6025474598679258,-0.6739396425321563,-0.80312440694297,-0.7069365943610013,-0.8063106693690139,-1.0249224287412544,-0.5968932388344494,-0.38371573562409456,-0.6330920228129207,-0.030160550420980453,-0.7788396703158834,-0.4751160208769508,-0.7031571509961909,-0.6939169096906627,-0.49156407867073454,-0.5591809324951413,-0.5879900330313811,-0.7001633677015056,-0.5834729537730299,-0.6896600336930151,-0.9943539712148812,-1.0078191486026786,-0.7932660799325986,-0.7535290441738545,-0.8430708993695357,-0.780638734999537,-0.7383090745834066,-0.8782294839580644,-0.5204349887316956,train,3.5888915262283407,1
15,-0.5131684357176646,-0.46778470790643206,-0.6802881069262161,-0.3579840892590176,-0.8922193149648858,-0.6224678730739641,-0.8457321247706607,-0.6766209844944429,-0.7537098053860679,-0.6030837338392984,-0.953591070981396,-0.6777054263693139,-0.3260670697982841,-0.5989253051487832,-0.6768997596491335,-0.8083967949248042,-0.711377680291977,-0.8123923247494371,-1.020990968738348,-0.5939800962673818,-0.37459048852572774,-0.6251682503106821,-0.01815622882877002,-0.7739685755226134,-0.47797090139035137,-0.7040690542208434,-0.6902974664890494,-0.48841254664715655,-0.5586519946239386,-0.584431785789159,-0.7016817721850546,-0.5871547225370122,-0.6870155813181735,-0.992967483048461,-1.006290388346786,-0.7961963677228732,-0.756435430867245,-0.8435336767406312,-0.781148543635524,-0.7378796753736931,-0.8730421530502157,-0.5216863992063001,train,3.845240920958936,1
16,-0.519532031084756,-0.4655935004168538,-0.6934975596744186,-0.35226827954318934,-0.9048753515714378,-0.6238204566516573,-0.8583564522400856,-0.6845678849127225,-0.7668515465096365,-0.6038819852807233,-0.9614520307597678,-0.6858521752649245,-0.3269343227920509,-0.609549401214803,-0.6709354363480434,-0.7964336885159955,-0.7066506008047152,-0.810320628308216,-1.0280195945874682,-0.5941311455737771,-0.3822720500833604,-0.6451002831095967,-0.02050677781625962,-0.7834962074054962,-0.47670560300875614,-0.7075760968416323,-0.6938463705345758,-0.5036218524698783,-0.568637488569707,-0.5923034368555681,-0.6968387416195108,-0.5830392594723073,-0.6911201503471709,-0.9975421814641132,-1.0194679447272392,-0.7990016367488945,-0.7537608340701654,-0.8432968036673594,-0.7816698669519647,-0.7446424026886077,-0.8822580641195931,-0.5272643997241347,train,4.101590315689532,1
17,-0.5201025178067016,-0.4680207541469261,-0.6926719479928749,-0.353109632398477,-0.8998199380300764,-0.6225947136596139,-0.8615682413269129,-0.6936403281026521,-0.7723420403304294,-0.5984928598248768,-0.9592800351024131,-0.6855584253419779,-0.3278294490356961,-0.6090956507604202,-0.6721990068425587,-0.8063394361964267,-0.7105610522001793,-0.8146829146620814,-1.0274479127227616,-0.5874711437874027,-0.38655222078894924,-0.6453828656977348,-0.01358668078783215,-0.7941957491139501,-0.4808888954377762,-0.713810656671287,-0.6942818014187258,-0.4972787063317365,-0.5686502370432392,-0.5965119273612046,-0.7042934151546479,-0.5841363070486008,-0.6879614171987989,-1.0020325380787525,-1.020021408154032,-0.7972230371616494,-0.7567931804253377,-0.8402965335983288,-0.788721095380733,-0.739068251157446,-0.8868909057562679,-0.5276929500572459,train,4.357939710420128,1
