,AFDR,AIBL,AIBR,ALA,AQR,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVBL,AVEL,AVFL,AWCL,BAGL,BAGR,IL2DR,OLQVL,RID,RIFL,RIML,RIS,RIVL,RIVR,RMED,RMEV,RMGL,SABVL,SABVR,SIBDL,SIBDR,SIBVR,SMBVL,URXR,URYDL,URYDR,URYVL,URYVR,VA1,VB1,VB3,train_test_label,time_in_seconds,tau
0,-0.20895457384130825,-0.255614681750608,-0.3691489145109886,-0.2212525315047812,-0.382225833298351,-0.34171214529225746,-0.31192251012146655,-0.26695300146466583,-0.44047145217777084,-0.5101867721416031,-0.3941848737758731,-0.32375491683780827,-0.31091115034258826,-0.2111413227528391,-0.33571115569368726,-0.38628957278120424,-0.3855179506549765,-0.4890121889210698,-0.3445898429256885,-0.18692604088000606,-0.36364950637066923,-0.5092202774349512,0.09037547060334739,-0.34406437867889533,-0.21369597113156646,-0.2744310528927089,-0.14000136541959862,-0.1500610211707988,-0.31624379968565786,-0.1493873349006247,-0.42964539567413346,-0.29042406226289885,-0.19206207829532948,-0.10075704857134414,-0.4027721683300525,-0.3742417851558703,-0.39428617505315977,-0.43923340561218266,-0.3919928419780806,-0.3222693896747521,-0.29171911547005924,-0.2599564720172151,train,0.0,1
1,-0.2971640137567121,-0.42366026090362363,-0.5362866916283011,-0.2542840855363093,-0.4930386259717033,-0.46121233019759755,-0.45554783828447576,-0.39793071204613917,-0.5851405657514529,-0.6804756846119125,-0.5793667001421613,-0.3635015458222549,-0.49569230542720444,-0.26460744926151525,-0.4569616254136609,-0.4794836764091907,-0.49391415589118837,-0.6372426655093936,-0.4714993697529508,-0.19547917020569383,-0.45001452836694955,-0.6813076434958231,0.23928745448108957,-0.4682622186601075,-0.32572287843699527,-0.31942309824022425,-0.19323021239495175,-0.2581331643386153,-0.3854784682957946,-0.21401367032627053,-0.5161216273820758,-0.36750805969581346,-0.2678844964969018,-0.09935159198939045,-0.5486329641873422,-0.5587797264826302,-0.540842331702259,-0.5788658248769813,-0.5085269770601425,-0.47849251238187596,-0.41882066318660377,-0.3606133497551214,train,0.22712933753943218,1
2,-0.34446945536628254,-0.51565586594843,-0.6142192172294954,-0.27180784471313524,-0.5570045236192867,-0.5233886133131244,-0.5369880735162884,-0.47437114405939673,-0.6550565527047443,-0.760743724384777,-0.6681930101922757,-0.38970297586193625,-0.6016694994863123,-0.29971822961106676,-0.515105481664138,-0.5384709043263507,-0.5471887036366161,-0.7131095569262658,-0.549322431691313,-0.2185848988701125,-0.5083058187511719,-0.7541385561071118,0.3100327225274079,-0.5506804935393979,-0.38984898734084583,-0.3570132230108651,-0.22894719025262308,-0.326070550642486,-0.42994311117314665,-0.2658131285817108,-0.5598933411202186,-0.41488143451901327,-0.33094976732217074,-0.09628490314886007,-0.646426003103475,-0.6659201215988907,-0.638017478183407,-0.6605412613824557,-0.5886647326133624,-0.5847709406398123,-0.5013825802674764,-0.42142142229854335,train,0.45425867507886436,1
3,-0.3761084489847034,-0.5655059166240857,-0.6640297714101152,-0.28913887953920914,-0.5862918908352307,-0.5640651137347749,-0.5726159418315465,-0.5306649017627577,-0.7031326515276412,-0.7940239510678367,-0.7156233481342354,-0.3880743988696349,-0.6669326682639448,-0.3180780796049968,-0.5455046708517438,-0.5797176046755667,-0.5821046513591014,-0.7765337828654572,-0.6017023876422055,-0.22526730462908395,-0.5429661948317224,-0.7976692310292719,0.35634643076463224,-0.6022892631235128,-0.4223968794300394,-0.3798215068476337,-0.23773172285139918,-0.376150473505221,-0.4613779962355882,-0.2873683066525414,-0.5844365325183958,-0.44765558472744493,-0.36534420293116715,-0.10079002099163178,-0.7070635521113496,-0.717049911053468,-0.6699131468314794,-0.6960467859675807,-0.6287687125994607,-0.6377065400898724,-0.5466146215390905,-0.45929807521571986,train,0.6813880126182965,1
4,-0.39587770675304557,-0.5986232475710126,-0.6766947379703565,-0.29848777761731554,-0.6160924422663359,-0.586717785152893,-0.6020228090524156,-0.5579113784942951,-0.7254021801485684,-0.8115584640985113,-0.7321478777044672,-0.40377336941832376,-0.6962143421384466,-0.330591932213948,-0.5563301137888395,-0.6021724748264118,-0.6027830483908743,-0.8081388672921802,-0.627837623216692,-0.2513882283336875,-0.5807627191823981,-0.810435432481394,0.3606533464317311,-0.6464687049440612,-0.4437891664260578,-0.4105402425280257,-0.2617372433832779,-0.404407558814159,-0.4774480994914415,-0.3216307474213476,-0.5957386858312443,-0.4720840459154967,-0.39714614757690253,-0.1052034159840814,-0.7543140948548068,-0.7497749676291937,-0.7048276426224643,-0.7151175425039412,-0.6556395201306934,-0.6787472128143379,-0.5880164664461202,-0.48314438211893307,train,0.9085173501577287,1
5,-0.4073487617048834,-0.6123490043409969,-0.6887034229374822,-0.3107454419899319,-0.6307077108278807,-0.5993656765093522,-0.6174001788777244,-0.5853107282541768,-0.7464775742509273,-0.8150076553168233,-0.7454418595480816,-0.4060812889467306,-0.7177384791741196,-0.34145803682241777,-0.5725418129064639,-0.6195132421305162,-0.61821374434858,-0.8428330819353956,-0.6481457470952526,-0.25766369388121657,-0.598103269187146,-0.8221919654032831,0.3637664789559205,-0.666010520356025,-0.4585802873280176,-0.4233026469898966,-0.2686323692046884,-0.4211243554146565,-0.48755547562185975,-0.32992230122955135,-0.6031735374188696,-0.48194561724246054,-0.4110068270477837,-0.10835981218611637,-0.7811841027769475,-0.7650631166376174,-0.7081910523868616,-0.720273350901249,-0.6717068259388335,-0.699105057503247,-0.6073733628665615,-0.4951788692365825,train,1.135646687697161,1
6,-0.41476835197860534,-0.6278363444148061,-0.6930918678458121,-0.3125504471632121,-0.6427227246248787,-0.6064138460501534,-0.62163542196651,-0.596222302992307,-0.7517333641433204,-0.8186543701583503,-0.7506128661637853,-0.4054293347124167,-0.7263866236892372,-0.34505703621325784,-0.5796032496470658,-0.6251727427835603,-0.6293336200120133,-0.8553567192299153,-0.6601149548695842,-0.26577243755674007,-0.6132927247293863,-0.8299129853796052,0.3613101348592598,-0.6774171797134289,-0.4678272203999376,-0.42608622869903445,-0.26415762620589067,-0.4303546784161943,-0.4868875248649519,-0.3427298856636229,-0.6055168749126587,-0.48680133234830325,-0.41012621878217215,-0.11568466150240807,-0.7956874968272891,-0.7737849714496613,-0.7163296411803776,-0.7240675508837079,-0.680270384881092,-0.7132076709021442,-0.6192073413332921,-0.5023889458968414,train,1.362776025236593,1
7,-0.4192205525964024,-0.6391610449817865,-0.7055707088135814,-0.32298946890000835,-0.643397727506463,-0.6206365505317947,-0.623470455799653,-0.6067237130421105,-0.7614143236290519,-0.8220908042387481,-0.7615375603781456,-0.40072633445439115,-0.7409164637698967,-0.3483444742832897,-0.5836496221426437,-0.6298127725200156,-0.6319990592121824,-0.8755293942457743,-0.6654476688697382,-0.2641568230017346,-0.61677812254162,-0.836395289701085,0.3710463234744594,-0.6866057726172453,-0.47432118659077455,-0.4244643810279076,-0.25975973117945617,-0.4370547563521431,-0.48871273378001234,-0.34709462989811873,-0.6055504397954928,-0.49451600547030805,-0.4210970655809884,-0.11505431751662783,-0.8077208540540382,-0.7756561039401169,-0.7154099421334205,-0.723737708709717,-0.6856258486238107,-0.7225808916565366,-0.6225645916422712,-0.50446163289866,train,1.5899053627760253,1
8,-0.4216536428318253,-0.6343827782167484,-0.6937359456000531,-0.3257194572250809,-0.6496514022697056,-0.6095674618124908,-0.6250752632244864,-0.6057471743619934,-0.759294491094859,-0.8189937847882535,-0.756287409770224,-0.41447326835497106,-0.7337841634939212,-0.34955270300547236,-0.5839392299240771,-0.6318288978571855,-0.6381463946526982,-0.8765265710636657,-0.6654175766763607,-0.2712451257011428,-0.6296214214366979,-0.8342498498930394,0.3543359447024419,-0.6940228546416175,-0.4729937269968902,-0.44563621297872724,-0.27737672426435767,-0.4398535792566105,-0.4917305080702453,-0.3479584487661886,-0.6121222915622417,-0.49903589845466845,-0.4269026613545199,-0.11664222271881339,-0.8116604373356919,-0.7740482394458216,-0.7176549327374588,-0.7268176024750952,-0.6826220819386756,-0.7228747866643395,-0.6343037436191232,-0.5095381016214318,train,1.8170347003154574,1
9,-0.41988518537767333,-0.6241683237923749,-0.6787810010602237,-0.32688367459006856,-0.6432929771885667,-0.6103231526719756,-0.6344236735695937,-0.6091775490076013,-0.7570877102545567,-0.8127685327320089,-0.7484353513812277,-0.4103367188989667,-0.7284148163229047,-0.3530711611582298,-0.5796663727654322,-0.6300145442034446,-0.637671716364469,-0.8774722768588844,-0.6635259799410993,-0.2786333440612091,-0.630924342374602,-0.8261471514946288,0.3391351458562899,-0.6983332192139166,-0.47394073234868245,-0.44686212493936206,-0.2858936450770066,-0.43250598312502275,-0.49453700496074926,-0.3476794888985285,-0.6041014501686549,-0.504937575956782,-0.42651629250345563,-0.12478623190659814,-0.8136470578332111,-0.7663993188165334,-0.7206601168042348,-0.716772975515873,-0.6878489791862203,-0.7217615262086802,-0.6459291287629266,-0.5052960528972344,train,2.0441640378548898,1
