,AIBL,AIBR,ALA,AQR,AUAL,AUAR,AVAL,AVAR,AVBR,AVER,AVFL,AVFR,AWCR,IL2DR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMER,RMEV,SABVL,SABVR,SIBDL,SIBDR,SIBVL,SIBVR,SMDDL,SMDDR,URXL,URXR,URYDL,URYDR,URYVL,VA1,VA2,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.9793030422143362,-0.9720272384435509,0.058799054589803834,-0.8397188702290433,-0.7813675535101349,-0.7452036049338708,-0.9000455802409305,-0.8791531511819562,-0.6448057327530414,-0.7285575906938315,-0.3275873205427321,-0.46498850015904303,-0.5102169581585927,-0.8505584857425704,0.5502214415632729,-0.8115765678716773,-0.8228288007966922,0.676390698385503,-0.8132419316030729,-0.8550310231301737,0.007070799430986097,-0.3634156805453168,-0.21100878608499318,-0.548652531532354,-0.5594290644814492,-0.5098846855077207,-0.5944037774615356,-0.5523402611282413,-0.3454827132618795,-0.6321942561570089,-0.38754770011636797,-0.8640342266170945,-0.9517551210644355,-0.8786373530660159,-0.7237558667952462,-0.8520019450396468,-0.8730928011177488,-0.8669222998069492,-0.7638300317669617,-0.6944796297783926,train,0.0,1
1,-0.879063627227755,-0.93906466061682,0.04096005793755486,-0.8904383108467165,-0.7169928984650736,-0.7983483764727287,-0.9183660635776862,-0.8984270187616306,-0.6466209048218245,-0.8149357888894313,-0.24704343691562525,-0.4214495426638092,-0.5181265328443938,-0.8711811153945839,0.18044731020642568,-0.8352764051425822,-0.7771954868485086,0.6394897468683622,-0.8748273384323103,-0.8661300021180833,-0.16911960629489586,-0.4111294590838369,-0.2864565708299013,-0.5206189834223716,-0.6130694503882494,-0.4769786158471607,-0.5127944986163152,-0.594305945700637,-0.3733148266894445,-0.4387042116665012,-0.5695549910870698,-0.8496211856982021,-0.9453021909446454,-0.8819415884833511,-0.7528451679645762,-0.8902834122843771,-0.7843087491070961,-0.9131955637702543,-0.800902419419862,-0.7025414133744788,train,0.22674784799496117,1
2,-0.9569996102669519,-0.9303688619301198,0.11716577652583604,-0.8676182165779606,-0.7314026939543246,-0.8164399107519121,-0.8735813214259295,-0.8611926539145371,-0.5789898810768512,-0.6963499896432037,-0.13414256711414518,-0.45908022456261854,-0.6278973972216035,-0.8753469252034579,-0.03466281155004847,-0.8221918889364579,-0.8253699418444049,0.6272937793918381,-0.8656746621926826,-0.9091107999417865,-0.34062019686063894,-0.3215811072715219,-0.218235179978157,-0.6006833706118562,-0.6870392693942998,-0.5960195916367836,-0.5355632378217867,-0.5097006151200619,-0.545386232223265,-0.6104822634620514,-0.5271409573924083,-0.8826337723006518,-0.9364248284115987,-0.8873383432023364,-0.7171292378134765,-0.8279902216817783,-0.9142173544175765,-0.9088971674702144,-0.7439501315199757,-0.6226845985358396,train,0.45349569598992234,1
3,-0.9507626882487934,-0.9659862621983133,-0.06018930808520728,-0.8916665083852965,-0.8251894860569288,-0.8915322026673305,-0.88896162952278,-0.8890386536445538,-0.7069540956964403,-0.6824220708249568,-0.3570897565989236,-0.5141676218007755,-0.5761207025894937,-0.878634362018764,0.1890123909723771,-0.8303207322639576,-0.8053481685836761,0.6617441583184338,-0.8788039609365554,-0.9089518118251022,-0.20746602898833544,-0.5121875240537086,-0.331026638593378,-0.5957732406595988,-0.6534924214558566,-0.5844973153138989,-0.6479764051754935,-0.4563211637546263,-0.39251278989613025,-0.7054171192816658,-0.5522972913981653,-0.8576733419272975,-0.9245194456640059,-0.8578851477892058,-0.7697911241821671,-0.8682001482797292,-0.8806764424273273,-0.8685384665370239,-0.7890930501468845,-0.6907380738814098,train,0.6802435439848835,1
4,-0.8802459816643875,-0.8969410113869539,-0.009379318651092539,-0.8836389666352547,-0.7922463997300446,-0.8695337620423393,-0.8888972309181015,-0.8692397393587079,-0.7196326049174917,-0.6732105405729925,-0.3478451117294096,-0.468658325438461,-0.6013301013863952,-0.8246524068555445,0.3082952523434459,-0.8283857509907858,-0.7417449794369263,0.6417953677016559,-0.8356854867843981,-0.9172663837242406,-0.07281985206949171,-0.5375906008770692,-0.3007532316549594,-0.5834587270624046,-0.6184103062078921,-0.5140228055382379,-0.6015793944845559,-0.45906420192099284,-0.4608250159049334,-0.4053017807168683,-0.4885168998617659,-0.8127882541266442,-0.9530434597201316,-0.864868830757961,-0.7746827823120077,-0.8895640111421386,-0.8212591281622602,-0.8952242929885601,-0.7896072522067121,-0.7035772363629754,train,0.9069913919798447,1
5,-0.9329151048161044,-0.9232532527160949,0.03282481628354028,-0.8370648993354237,-0.7924810642238818,-0.828207858140878,-0.9053491585475368,-0.9046945051989824,-0.5878533659456809,-0.7026242210273221,-0.4525917726023101,-0.7007702540504632,-0.4219280249065763,-0.8345618744796848,0.154842003549299,-0.7666360966390323,-0.8247138665352126,0.5890298410990766,-0.8604371396541706,-0.8889647195211368,-0.07218340178164762,-0.5557038841576438,-0.24151925675688468,-0.5676051026834588,-0.6408296945232834,-0.6483607590769163,-0.6406068078777205,-0.5031948318515889,-0.29053449292254596,-0.47591022204269073,-0.6667577217113883,-0.8551827735673475,-0.9588192688502631,-0.8848877418317527,-0.8283063734822258,-0.8412310643668076,-0.8319506810427603,-0.9305223562129784,-0.784442587764255,-0.6988512805246172,train,1.1337392399748059,1
6,-0.9308362151117265,-0.9516490164169904,-0.18584718786734566,-0.8843202710196045,-0.7279516589142314,-0.8551709677997386,-0.9080452007777817,-0.922538594121275,-0.6073176100588427,-0.7660894700579473,-0.344654194571377,-0.5605430102263714,-0.45390632495123906,-0.8422651618720272,-0.029207429805220952,-0.7939633558567307,-0.8213807851068637,0.6866412377633542,-0.8186868659517991,-0.879066683541906,-0.31419683617165195,-0.39486670684875025,-0.29407967574179283,-0.4862522256346521,-0.709173486034034,-0.7610451999038266,-0.5573924484375277,-0.43008149348009284,-0.09919845586474418,-0.5208167057721294,-0.6431294653155419,-0.8219684683665065,-0.9280817794843237,-0.8748909573909347,-0.7929079450404299,-0.8576664229215603,-0.8482520491666761,-0.904224549680106,-0.8049823938458875,-0.6156729112802837,train,1.360487087969767,1
7,-0.9116909919926457,-0.9334061335478422,-0.07967999077450927,-0.8829084286672308,-0.6260168828048275,-0.7688872055657427,-0.9199938787197371,-0.9156850035267794,-0.6443394216058873,-0.6531104015621525,-0.49168160048738635,-0.697526809103507,-0.55078851588712,-0.8953629362519113,0.2405257609446958,-0.7953144519865603,-0.7462337845894195,0.6422417441699952,-0.8448307970539518,-0.8966953686585938,-0.14354425422945694,-0.438853743492982,-0.29123100918250655,-0.5198019772531315,-0.6926018949101012,-0.6521421082360581,-0.5487084818069917,-0.32430494446183833,-0.27078922014381157,-0.6061694641120314,-0.653572664327541,-0.7824694036140378,-0.9490939312534236,-0.8997899776585458,-0.7572283620233634,-0.8365079707844204,-0.8841701314284819,-0.9192245094555132,-0.8278427797692566,-0.6922439784922674,train,1.5872349359647282,1
8,-0.8993422719237772,-0.9590984743860195,0.039067874236504485,-0.8702642762523636,-0.7218280430748676,-0.8433615499892706,-0.904030785903352,-0.8979031621519267,-0.588948261220729,-0.6814581882295891,-0.37016082210178114,-0.6193757867744786,-0.611628214434956,-0.8459707982785079,0.13002199103496492,-0.7533119592903444,-0.861071129721154,0.6098981741783818,-0.786565011701453,-0.8384476886021625,-0.14126716220018565,-0.39794971860648276,-0.24510178799529336,-0.5081803861689702,-0.6871590260265854,-0.6548888842208443,-0.5375603034302388,-0.41950567885698054,-0.23332121815666873,-0.3457431879081079,-0.54096544306602,-0.884721256045072,-0.9230039428745411,-0.8793686304513493,-0.8023583134559518,-0.863444282709241,-0.7503105500862584,-0.8739357648244058,-0.7840482064563981,-0.610410662660834,train,1.8139827839596894,1
9,-0.8599834411065946,-0.9181664896846166,-0.1668537055410303,-0.8566529094868667,-0.7588586396683127,-0.8235866838650927,-0.8782823149233527,-0.9335285304829353,-0.8393895207323079,-0.560649533783977,-0.38943683476802604,-0.7350079233864977,-0.47596689244843793,-0.8722133678361884,-0.08994059250423425,-0.7142915134714456,-0.7739995454704589,0.6621927082994579,-0.8397606792543892,-0.8568218858163414,-0.3473594641858003,-0.29064283752292286,-0.20636266159478422,-0.4925866067326858,-0.5003230476549625,-0.5872129100401351,-0.5091719394514695,-0.39669452996180077,-0.2778954521311555,-0.4682966607432344,-0.45304445991312214,-0.8200154281251715,-0.9256666065783647,-0.8431012294232255,-0.769420163218725,-0.8395741905728071,-0.8400067827116855,-0.8768087558376781,-0.8314737602761627,-0.650969525494314,train,2.0407306319546508,1
10,-0.9257082364538836,-0.9779051781723574,-0.16727651140405253,-0.9109074426978926,-0.760099460485437,-0.7986905813487635,-0.9056331619256279,-0.9267091687841462,-0.45863317596636943,-0.5823824297291545,-0.3158958874559801,-0.6612645566642743,-0.5643443516199752,-0.8799154763692434,0.08181444797859871,-0.8019008525761863,-0.8156433151551125,0.7063194013347198,-0.8003374594802077,-0.8865381530000419,-0.23391654387014948,-0.5174904031359333,-0.15578607099698816,-0.5363924481010182,-0.6011823679916048,-0.5591366921294123,-0.5086422330722503,-0.4671561813989899,-0.32320473911582337,-0.5954867226293147,-0.4994213520720826,-0.8196269231173435,-0.9464494255556445,-0.8860737207682043,-0.7669763203137416,-0.8872053621628269,-0.874967158749022,-0.9252249210330231,-0.8298427396178432,-0.6342703482998542,train,2.2674784799496117,1
11,-0.8857004275345177,-0.96646384316835,-0.15890101179023375,-0.8737240606020767,-0.7164180402281985,-0.7028296623676249,-0.8917728169681032,-0.9102567615671561,-0.6059027133523586,-0.7288926678630482,-0.12519478360770753,-0.7111296084267247,-0.5493971135674571,-0.8539807893833734,0.1195796011254131,-0.790575213576937,-0.7212782027954112,0.5592706044044204,-0.8064890632525208,-0.9011916328661689,-0.17548685913836926,-0.45972767387320035,-0.07997066262290642,-0.5081030384742804,-0.6652827977325023,-0.5193316314586273,-0.5806842804848587,-0.4958248246817686,-0.18559623530373703,-0.4366629868506542,-0.5670888785149533,-0.8387305226013532,-0.9418902890168721,-0.8661852162836987,-0.7543669097807986,-0.8635333329854807,-0.8170124458680392,-0.8933079813185344,-0.7990417742536109,-0.5870601305472023,train,2.494226327944573,1
