,AFDL,AFDR,AIBL,AIBR,AQR,AUAL,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,AWCL,BAGL,BAGR,IL2DR,RID,RIML,RIMR,RIS,RIVL,RMED,RMEL,RMER,RMEV,RMGL,RMGR,SIBDR,SIBVR,SMDDL,SMDDR,SMDVL,URXL,URYDR,URYVL,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.375689495359381,-0.2269459189367438,-0.29947053625239656,-0.36776764264746875,-0.49038009701038865,-0.2838235547244957,-0.49039372080772264,-0.4777812530694451,-0.4718799930341877,-0.41244767513939506,-0.3887457312546,-0.18222438674076705,-0.3876359928595152,-0.45115886614601874,-0.5192509217817511,-0.5102054462238066,-0.29395597337060364,-0.5378043075735734,-0.42176298881034147,-0.028443456582651877,-0.3598520824258886,-0.4019583378244454,-0.3788254563070129,-0.39879698109880346,-0.2442007278597846,-0.20487266656862638,-0.21761021777060824,-0.32873180268958563,-0.32795430411079207,-0.45842742386608987,-0.5408578350491693,-0.37138297901389783,-0.5985910222887404,-0.43109976238027703,-0.44783424502088265,-0.448327060445522,-0.3976123301108856,-0.3088945896508434,train,0.0,1
1,-0.46633249390982906,-0.31282583266549957,-0.44144812231519165,-0.50890215811611,-0.6472484428902607,-0.44359218927492905,-0.6574983917959429,-0.6867853893864119,-0.5903486348730378,-0.5814050948179089,-0.5905869849779976,-0.22370518955840998,-0.5125601660947318,-0.5577544760246329,-0.6790653625099115,-0.6740600427247792,-0.33497418031377124,-0.7384893559951649,-0.6608272808995177,0.07013503972394755,-0.482478655576901,-0.5014196979841987,-0.45469504875729555,-0.5042003986010302,-0.3515231679273539,-0.32527470168034267,-0.31451430038174105,-0.42106099617372894,-0.44611772705489267,-0.5649536604913825,-0.7221381499769034,-0.5249046278188648,-0.7813330647541927,-0.5730640684665473,-0.5891728763040824,-0.5791832563375893,-0.5692981556477023,-0.37285411936907575,train,0.29572836801752467,1
2,-0.5097310924005818,-0.3640074790829341,-0.5232616607704865,-0.57417192796226,-0.736795776019914,-0.5355054997809408,-0.7367524288198402,-0.7695755228573685,-0.648832540995994,-0.6773054598193119,-0.6920434497053679,-0.24895271532819607,-0.5682045858100225,-0.6105832236477733,-0.7445416873341371,-0.7563239148478897,-0.3601873980899821,-0.8285828508064875,-0.7871990885687533,0.1308254977050488,-0.5525409079656989,-0.5485307897744198,-0.4942074937302197,-0.5561686598256558,-0.3886106295134674,-0.38385593399588686,-0.3582628641347072,-0.46590415725914847,-0.5018259953581039,-0.6178680491031814,-0.8060327396688765,-0.6102107040014547,-0.8689952713438767,-0.6366697592854107,-0.656136313790211,-0.6399175955676,-0.6586066067034632,-0.4036225840561768,train,0.5914567360350493,1
3,-0.5307382503432047,-0.3932435993432197,-0.566472020193059,-0.6070217243310836,-0.7864867025268991,-0.5950512396905732,-0.7733586595367349,-0.8097461469694739,-0.680539567981284,-0.7349972239535678,-0.7441675943158772,-0.2684967892186245,-0.5918270778083953,-0.6433289891456723,-0.7810269397222472,-0.8035885084845441,-0.3768302793045304,-0.8662205504441799,-0.848745671734616,0.16014993350717843,-0.5946188368226949,-0.5811175477910548,-0.5184730177312011,-0.5865415844098268,-0.4108533228589733,-0.4244810813634856,-0.37946717192297497,-0.4910855707545736,-0.5363384635912312,-0.6503301913288639,-0.8494807609801743,-0.6603584284635394,-0.9200367672205078,-0.670833395487502,-0.6825023460090929,-0.6808956982671575,-0.7065267918557943,-0.4197963753080145,train,0.887185104052574,1
4,-0.5367945832386627,-0.4104509187798924,-0.591677489333641,-0.6201082419634649,-0.8090166112690678,-0.6311695721050156,-0.7910453018847509,-0.8255835568064274,-0.6952839503147803,-0.7735175824284533,-0.7774139006655229,-0.2785038270692817,-0.6020835299228906,-0.6562773322451103,-0.7931949612686514,-0.8364294464771564,-0.38653799180221715,-0.8808636762484565,-0.8869271881843325,0.18067034168992824,-0.6215629810684103,-0.6053089943662013,-0.5382525086751911,-0.6093861332837684,-0.4184096967314024,-0.4470618794897022,-0.38892440170996073,-0.503429435282863,-0.5589129109256177,-0.6692607379684701,-0.8646616261532521,-0.6891057359842832,-0.943569866690168,-0.6870092840133555,-0.7024132027765172,-0.695018441521511,-0.7349188610231895,-0.43080132588737663,train,1.1829134720700987,1
5,-0.5404220908781967,-0.4178749866217566,-0.5990478468056712,-0.6265956696543908,-0.8198919788263423,-0.6530388665233289,-0.8025204121346582,-0.8336901060004215,-0.697658963411917,-0.7879029155859437,-0.7841014141982391,-0.28502073117842325,-0.6041190889319329,-0.6656320299030831,-0.7967311026687659,-0.8543723205866436,-0.3878002784613226,-0.8917204415273486,-0.9095219690045886,0.19458109500130144,-0.6385568700462715,-0.606802002464343,-0.5449468098432622,-0.6177926765327171,-0.41521902070885786,-0.45484067401302186,-0.3960634054110824,-0.511569921807941,-0.5702054856484996,-0.673684238330476,-0.871777931302486,-0.7068030048173665,-0.9501322846435933,-0.6899604497687779,-0.7037138639826453,-0.7075679479061687,-0.750356324122942,-0.4366121623366268,train,1.4786418400876233,1
6,-0.5419093359401772,-0.429412512673375,-0.5980076279890855,-0.628403591148398,-0.8330956618740424,-0.660652201676356,-0.799055692076695,-0.8195983243859428,-0.6993818328976572,-0.8016234355953972,-0.7830759050378315,-0.2900339479442901,-0.6086328715579279,-0.6718714402044365,-0.787069243724009,-0.8698534326892206,-0.3930222510384518,-0.8875402284990558,-0.9066960242418345,0.19748869475974656,-0.640587058706465,-0.6085647052597439,-0.5505090552362291,-0.6204191564914215,-0.4056704144870254,-0.457638125263365,-0.3861411853372607,-0.5111105724889231,-0.5638443024650222,-0.6805724531842168,-0.8741232840234282,-0.7141160460390433,-0.9474239691096632,-0.6929110812891965,-0.7081114421460574,-0.7179777534325873,-0.7628650129549001,-0.43485418764665806,train,1.774370208105148,1
7,-0.5451019871077987,-0.42246263978537335,-0.6052830243085778,-0.6326048465973647,-0.8331760123286418,-0.6709697194501272,-0.806423755256163,-0.8239212263636676,-0.6947326590560038,-0.7972149619395374,-0.7912428137859172,-0.2922037701190863,-0.606797329104443,-0.6783622874782651,-0.7889278181759949,-0.8753307255589762,-0.38647512630002745,-0.8880993526663881,-0.9186751973696358,0.21061903089247463,-0.6466491196150939,-0.6087451301891476,-0.553387139343899,-0.6213249531189071,-0.40194702282954686,-0.4621409345486415,-0.39231317171094465,-0.5107185156953937,-0.5706616963398345,-0.6825575943880422,-0.8654889066290281,-0.713714513559351,-0.9488980554011704,-0.6919390605837783,-0.7104341859340431,-0.7175123314545622,-0.7673481649991634,-0.4333816567502151,train,2.0700985761226725,1
8,-0.548770747473926,-0.43018093537734237,-0.611087850379573,-0.6487132679604226,-0.8268866901913801,-0.6760469644642053,-0.809419498423582,-0.8324156687740931,-0.6875602835733048,-0.7900220825944727,-0.8011535350621185,-0.2917747063302711,-0.6084191753321305,-0.68213969460057,-0.7862585391325019,-0.8871674687673488,-0.38252810106676804,-0.8950069067292513,-0.9304264233669323,0.2254772145740947,-0.643083189490333,-0.6011315396975524,-0.5514869221212854,-0.6171066791131872,-0.38813302577029574,-0.46851378108827796,-0.3886593348939115,-0.5132643156027066,-0.5696446183306241,-0.6874547681266556,-0.860704213137385,-0.7107624399174236,-0.9396414574999222,-0.6882343179656858,-0.713534596357348,-0.7177288332000278,-0.769440869668824,-0.4255669577332596,train,2.3658269441401973,1
9,-0.5463306612214673,-0.4272589613959067,-0.6048292110876664,-0.6404934556179652,-0.8292737652461704,-0.6731220833137432,-0.8048438733904172,-0.827890775551192,-0.6877137084931502,-0.7923558252867609,-0.7914983000842591,-0.2919015749557455,-0.595348162479166,-0.686024255199922,-0.7753160791365357,-0.8878306702833805,-0.3720344946216826,-0.8878549779363567,-0.9276919453350327,0.22563829563174792,-0.6474362130047868,-0.6023876669976391,-0.5551659287304034,-0.6212621902157969,-0.3830210466807129,-0.46147003861461644,-0.3855368905347468,-0.5157370650727262,-0.5718802704007602,-0.6794614749876686,-0.8570801645264632,-0.7104928110811696,-0.939982433847884,-0.6904469624599117,-0.7139857161538548,-0.7189466534911735,-0.771364904366343,-0.4240828182915539,train,2.661555312157722,1
