,AFDL,AFDR,AIBL,AIBR,AQR,AUAL,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,AWCL,BAGL,BAGR,IL2DR,RID,RIML,RIMR,RIS,RIVL,RMED,RMEL,RMER,RMEV,RMGL,RMGR,SIBDR,SIBVR,SMDDL,SMDDR,SMDVL,URXL,URYDR,URYVL,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.8834129650964009,-0.7088206556222286,-0.9796695348079442,-0.9285923207741769,-0.9048855537166249,-0.6554702157281052,-0.9594910423710505,-0.9748997578315692,-0.9355943339110606,-0.7446077654250892,-0.9727140299615399,-0.37331426218817365,-0.8373681676693425,-0.9045160562864434,-0.8460407210359339,-0.8640066167288474,-0.6536263773616713,-0.8782496812661935,-0.9601059098644996,-0.3597447904833079,-0.9559212677711697,-0.5018557905356517,-0.8742790068416781,-0.3817260902329772,-0.25713418932327514,-0.6959079699298064,-0.8818477088404489,-0.807897965027378,-0.8666546624723065,-0.905690483065336,-0.9019141896336242,-0.6911697094655685,-0.901570188009081,-0.9194003147117619,-0.9371212462431181,-0.93995944110549,-0.9356890963325026,-0.8561046272747386,train,0.0,1
1,-0.8637764381035928,-0.7171734146043389,-0.9708182301004513,-0.9262500160448256,-0.9469023934422155,-0.5223813547472167,-0.9647955222260283,-0.962560589358316,-0.807878387571259,-0.8304371389920182,-0.9892980118665493,-0.4337034202078519,-0.8010933797122983,-0.9180580905376923,-0.845144207109745,-0.8278647093555842,-0.8780718749437213,-0.8487001599173996,-0.9851882882893901,-0.301795702266607,-0.9862776419831454,-0.4331732381208768,-0.9212054149299488,-0.3304660037888386,-0.18598783747680459,-0.741114826829488,-0.8700483451907906,-0.920542866093346,-0.7191506922607995,-0.9159217240403541,-0.9139560329955676,-0.6691875305824168,-0.8929443368396656,-0.9086711113995612,-0.8465467674275898,-0.8348002637109706,-0.840957594307919,-0.7769691057891489,train,0.29572836801752467,1
2,-0.8536407249910811,-0.6790704086582842,-0.97852013828869,-0.9524930879435997,-0.9230525470943242,-0.4105635599520545,-0.9606371000110894,-0.9658699657101679,-0.9960341274331632,-0.7200032841252104,-0.9609415853600134,-0.27589743270896205,-0.869360666211948,-0.8626653843264511,-0.8601021666092687,-0.8738035649689778,-0.7700732461557503,-0.814301497651013,-0.9840595664731503,-0.2871391358770339,-0.9895230600704988,-0.4986980421759397,-0.7986608258246084,-0.3733310264862163,-0.2512431621849748,-0.7392680428011448,-0.884364187002874,-0.8460603405909632,-0.833337064423615,-0.928301863509861,-0.921484643377785,-0.7975045692198339,-0.9115457131702699,-0.9583718103868413,-0.825132996914377,-0.9193394732797722,-0.8877795127472038,-0.8149380343856636,train,0.5914567360350493,1
3,-0.8211346833938126,-0.7492809775535803,-0.9497162934910477,-0.8548903205094314,-0.9102272683002889,-0.48153087456627475,-0.9639943655970232,-0.9448993417901782,-0.9757826276177909,-0.8542312390447158,-0.9601095035259865,-0.44234124821109877,-0.7957942905205442,-0.902560449916024,-0.8157436150233848,-0.8959662201444853,-0.8826420644132499,-0.8461611613602656,-0.9695877869597893,-0.2372894510489798,-0.9341407772356848,-0.41426403210847074,-0.891458529963432,-0.2698023071336798,-0.2576576038833709,-0.6048062058366862,-0.8469052952700387,-0.7179940403925575,-0.9568323793657859,-0.8786962395296201,-0.8887926987518374,-0.7262679974619299,-0.919661448309404,-0.8885088488614291,-0.815663681996299,-0.879746820846178,-0.9082297369876592,-0.7877804178065632,train,0.887185104052574,1
4,-0.8554440069581433,-0.7225417033864749,-0.9720933827361133,-0.8682913614194142,-0.9353546013604809,-0.4528867200107256,-0.948874581203459,-0.9206550456770235,-0.8817904474033186,-0.7642594107317835,-0.9511771682392388,-0.4437800755622413,-0.7853893370991976,-0.9126071450763633,-0.885096099547381,-0.8031280827006735,-0.709640321162778,-0.8524030167959126,-0.9925262559352381,-0.29709841912446666,-0.9504665010962677,-0.2998420880948601,-0.8708305688587002,-0.4299901190296661,-0.14558503768854658,-0.818265799644567,-0.9113788040905648,-0.7733635809303213,-0.8414648286265839,-0.8831348719747387,-0.8760430492774517,-0.7642724300195747,-0.8534971391175529,-0.9083731391767116,-0.8448046542996825,-0.8648120765244546,-0.9628392936054109,-0.8620779324408072,train,1.1829134720700987,1
5,-0.8417648713909534,-0.7808719478350685,-0.9223474081883096,-0.8107261004212409,-0.966632502328501,-0.3873809716165971,-0.9543926075499943,-0.9344439742848968,-0.9092881398445494,-0.7212314221767011,-0.9823299457939954,-0.5166059051643248,-0.6383442791974971,-0.8997569214556769,-0.8116589977538113,-0.9115149935845209,-0.8652054797469333,-0.8403876928416623,-0.9100745398066872,-0.24471232457512915,-0.9405675867549373,-0.2680089718526931,-0.7012553213204805,-0.4980769550816985,-0.053265477125312044,-0.7462327760459642,-0.9373848115369721,-0.6414635343982273,-0.6834210870774049,-0.8570910197593888,-0.8502349388150063,-0.6815834159061487,-0.9279193230161541,-0.9351462845365446,-0.8811175131974502,-0.8414028673754783,-0.8993937093267304,-0.7794167624578625,train,1.4786418400876233,1
6,-0.8547279283419429,-0.7423115534620334,-0.9255937720550733,-0.8605005890105282,-0.9092485640726662,-0.5422368873755171,-0.9353219462636688,-0.9370729390975933,-0.827083772922085,-0.8049563683880204,-0.9760072710378284,-0.44635653924538665,-0.5254899279098234,-0.8958672265745435,-0.8393514242590923,-0.8677664691217951,-0.7126986781590633,-0.779849334725457,-0.955298694436497,-0.20459363021359345,-0.9581518431789977,-0.26307639974604036,-0.7669540084947217,-0.30389187324484224,-0.08797094858018162,-0.8328427263356148,-0.9251153204770519,-0.6957264451442063,-0.6911783398572169,-0.903650473549227,-0.918731795114293,-0.7360217883971929,-0.8859608548285611,-0.8544227540383361,-0.8241496896766907,-0.8857867999976491,-0.9669848330289521,-0.7988600852316246,train,1.774370208105148,1
7,-0.8525428267484868,-0.8220569250825166,-0.9276856168198937,-0.8943657058691248,-0.9416731966268206,-0.4868641997092614,-0.9549787667560752,-0.924960778353343,-0.9126127789613966,-0.8858176414060542,-0.9730042335671861,-0.44389059019520916,-0.457345180571196,-0.90833144251135,-0.7761521476115366,-0.8117464615187648,-0.5834253375588386,-0.8754900097407176,-0.9370996421927524,-0.1618817519244231,-0.9799717435669648,-0.21376848189777464,-0.738923458113852,-0.41012711044318884,-0.0030246593672027533,-0.5953418580608784,-0.8831919088975896,-0.5761378045241191,-0.7244151597344707,-0.9290537745745462,-0.8266592696189583,-0.6767933116682887,-0.870821449986585,-0.8617866311563346,-0.8537100315308027,-0.8002153128985551,-0.923320358675701,-0.8423234036371781,train,2.0700985761226725,1
8,-0.879181135255023,-0.736168812093333,-0.9350454349133758,-0.7566767509911969,-0.942580710865871,-0.6028094765129373,-0.967733998182228,-0.9017826571188363,-0.6992614678912661,-0.6486303013636612,-0.9545090750271891,-0.47785307980943925,-0.26542301812707725,-0.91453515438267,-0.7922370568497713,-0.8950148663634118,-0.6970817615897016,-0.8720630142856968,-0.9567097905748043,-0.1971622735143339,-0.9884079860549256,-0.21962374963533116,-0.7848855998460519,-0.4767375426639163,-0.16691515339578655,-0.6598000978359397,-0.8838690934346443,-0.6401634915952228,-0.7901079700715226,-0.9091599922640016,-0.8624559607633486,-0.7714226981217198,-0.8963212090321936,-0.9856815196772339,-0.8774195205201976,-0.8340193492216583,-0.8928381197934627,-0.8078258518363376,train,2.3658269441401973,1
9,-0.9037834203426842,-0.7362977787227183,-0.9323732752649101,-0.8268421234987089,-0.938627554707047,-0.37008554025057183,-0.9544657403556025,-0.9171978440460351,-0.7510301703644534,-0.8868838863755342,-0.9822816906001403,-0.3190493112985291,-0.18564320649859745,-0.911755120737821,-0.803773267900152,-0.8373410656441692,-0.7672214895772489,-0.8485016298575139,-0.9750585358385815,-0.1983747003430747,-0.9502582444281893,-0.3713262095701131,-0.7871041204711585,-0.448048118464103,-0.057542652316249554,-0.9586617151967882,-0.9023935455462331,-0.5677798358911684,-0.6976152044750303,-0.9229002199223785,-0.9433224598649801,-0.7339044033612634,-0.9038544848030464,-0.9195222665032889,-0.8980290513356525,-0.8758718992608714,-0.8893492253095635,-0.7977256798832093,train,2.661555312157722,1
