,AIBL,AIBR,ALA,AQR,ASKR,AVAL,AVAR,AVEL,AVER,AVFL,AVFR,BAGL,BAGR,OLQDR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBVL,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.3926737118956583,-0.45181901336080227,-0.28700840824740154,-0.46939139264727653,-0.4061870888057528,-0.5453460000386018,-0.47415443440430743,-0.4161056428231699,-0.4598677305091941,-0.22280663536188555,-0.1353274122631364,-0.4731815412854735,-0.4903990939589211,-0.42127630635689317,-0.5201301064032151,-0.4412878261056526,0.05675381888008532,-0.4164126093420404,-0.35124933507288675,-0.27342830951996105,-0.32271785467910546,-0.3754618357710934,-0.19001211987985228,-0.2628364474025745,-0.2935756035286186,-0.41370231400369223,-0.4880756233423156,-0.427173145332425,-0.5011218372488895,-0.5820197606967729,-0.49815918203648873,-0.4620580313422788,-0.49513765166531265,-0.47391073958610114,-0.39564807336973473,-0.24581381726722373,train,0.0,1
1,-0.6174026791186661,-0.6588588261277071,-0.3591646009267151,-0.6109185290252828,-0.5807326098616198,-0.7506429515460065,-0.6829495436697343,-0.6377217906051301,-0.6367597441868971,-0.2735076893221466,-0.197096716192586,-0.5879582470172903,-0.6325854064399813,-0.5338534152532592,-0.7183940445341597,-0.7187809101679338,0.21525311200704522,-0.5622967336162921,-0.5021951356792528,-0.30139711455042045,-0.36965816402344914,-0.4774688490068788,-0.24487585650485652,-0.3599856609302268,-0.4031180960948215,-0.4852526839570498,-0.656347506138514,-0.6161275906506912,-0.6922304834488814,-0.7706003819296355,-0.7258272846192788,-0.634579252557311,-0.6698830587800122,-0.6147164131949738,-0.5747638367880077,-0.2853141448039497,train,0.29597149904083314,1
2,-0.7309080596507844,-0.7609087174705227,-0.392385735820019,-0.6716098685976621,-0.6625820363471631,-0.8586477005170162,-0.782138876816764,-0.7512671849945566,-0.7119334630206895,-0.3033446465082858,-0.2389696280325712,-0.640371477477057,-0.6935839921805219,-0.5963512985566839,-0.805233547503912,-0.8684669646191763,0.3061620717275236,-0.6486629800228441,-0.5755174352214685,-0.3103720709570934,-0.3939091911694633,-0.5406027782412475,-0.26844909177230086,-0.41431052586519335,-0.46516798487546585,-0.5098926213961938,-0.741023545950676,-0.7193463451267527,-0.7911435736417639,-0.8654590757020783,-0.8311483856957049,-0.7133745138420157,-0.7508898819967024,-0.6748433191913856,-0.6779663777427497,-0.29897924619691857,train,0.5919429980816663,1
3,-0.7987835135350195,-0.829291108728597,-0.4119518658661671,-0.6941559890306024,-0.6921013231144197,-0.9238418573202,-0.8337620273036797,-0.8242352833552249,-0.7516351388133257,-0.31846664302765904,-0.26510356733669693,-0.6668177069493484,-0.7222273395378943,-0.6327711200807526,-0.857077092666565,-0.9567737609667458,0.37820740064330616,-0.6983113795976638,-0.6162364455917192,-0.3132109322347628,-0.4052310394608171,-0.5726840028628251,-0.2592657907193148,-0.4444565219741266,-0.49512947709378746,-0.5167452122624161,-0.7811691671333333,-0.7716048292063633,-0.8506043923686922,-0.9112962082478434,-0.8839477798215946,-0.7558022724119339,-0.7949304483379159,-0.7030549765518763,-0.7371128569642161,-0.2993158529026444,train,0.8879144971224994,1
4,-0.8310920679583953,-0.859528307036568,-0.41713369648530696,-0.7093436936668516,-0.7093331664193994,-0.9534589655499467,-0.8601362915200297,-0.8527769993125202,-0.764133633389201,-0.33086081584107324,-0.28490240506747894,-0.683093427740126,-0.7336559808836348,-0.646800536096086,-0.8751401290283127,-0.9940133878003724,0.40370972446063713,-0.7335656286154223,-0.6305049142313335,-0.31846236126536254,-0.4094018127032676,-0.5900726487769288,-0.26154327471182326,-0.46004705444713323,-0.512337943412011,-0.523713227806859,-0.803204860813816,-0.8033640829830069,-0.8715917982734614,-0.9359256408663694,-0.9062622879998731,-0.7688630854914104,-0.8080305668476361,-0.7113662747451734,-0.7745496560740639,-0.3031666044190189,train,1.1838859961633326,1
5,-0.8486090267192974,-0.8773099608520647,-0.42152044164674685,-0.7157112122874705,-0.720142019571603,-0.974287236019775,-0.8702288810536218,-0.8695944942084192,-0.7738194401955608,-0.3349814356734278,-0.29584999243780247,-0.6870425763530155,-0.7423493425385576,-0.6638891354739028,-0.8843862271187547,-1.0242129708113394,0.42671150514791933,-0.7508729343179589,-0.6407040897988866,-0.3282556669538996,-0.4101845560836629,-0.6055642552493475,-0.2674213263036665,-0.4760301315174523,-0.5240289628125678,-0.527834660585172,-0.8163661296082599,-0.8141345154350547,-0.8906164884024181,-0.9558824658536996,-0.9203272447675269,-0.7870648111907039,-0.8216428592467687,-0.7251922362782417,-0.7946944077031614,-0.3036850669366972,train,1.4798574952041657,1
6,-0.860367099237879,-0.8919640549608224,-0.4306387737886136,-0.7107330357737502,-0.7153937732400373,-0.9845389774880828,-0.877131217417343,-0.8834992331436612,-0.778248784671798,-0.3362713336400776,-0.3026693107494595,-0.6955137369808253,-0.7430412516952245,-0.6686895152073309,-0.8932277695538721,-1.0360553288870304,0.44538892591319756,-0.7605689374825069,-0.6486345638380157,-0.3197329860080577,-0.4161311120599006,-0.613870044353303,-0.2536641604781001,-0.4807295883793298,-0.529964773620066,-0.5231030522014054,-0.8236329394011028,-0.8261464882304274,-0.8987381840980341,-0.9545130422315765,-0.9237849820761216,-0.7880464349958661,-0.8301418342218005,-0.7221885782525275,-0.8094640895556714,-0.29669041418649744,train,1.7758289942449987,1
7,-0.8764741534992987,-0.905208601946141,-0.4194925073203113,-0.7101940211382194,-0.7173251973032418,-0.9973480987849498,-0.8833722500462702,-0.8954368338748765,-0.7799501852628726,-0.3370660241841509,-0.3031005510163479,-0.6941955420443051,-0.7510732612119779,-0.6685147006495783,-0.8972832049471099,-1.0551078514811865,0.45924236239840455,-0.7753670979748897,-0.6419450920518665,-0.3358857937679577,-0.4137711543578113,-0.612485490238283,-0.25407157270736713,-0.4821863643140544,-0.5361732710756352,-0.5237501969630722,-0.8230804167467802,-0.8283085863587952,-0.9170756258081942,-0.9674134068763787,-0.9227525570700928,-0.7906955466265345,-0.8386571250453942,-0.7147228023968539,-0.814846443740588,-0.303668082792233,train,2.071800493285832,1
8,-0.881744968132043,-0.9195121210934853,-0.4261611965601852,-0.7130768006181807,-0.7103422346880444,-1.0052010946586387,-0.8836014868944636,-0.9033394425825212,-0.7828314894861562,-0.3378587651165989,-0.30244734481730995,-0.7029013123203962,-0.7519736241547863,-0.6685009346084073,-0.904154970601251,-1.0586983747131622,0.4761843691693439,-0.7773037389007986,-0.6451841808352324,-0.33116155104387823,-0.4103057842320106,-0.605269017009334,-0.2351270886186184,-0.4791943535172573,-0.5327868468569865,-0.5250509256051252,-0.8310027043460292,-0.8267721103517118,-0.9129103730125991,-0.9666119234496661,-0.9227474998395506,-0.7940021522883526,-0.8431656163884322,-0.7175656505008812,-0.8256370505214428,-0.2982420660734436,train,2.367771992326665,1
9,-0.8884029420424053,-0.9243102585042099,-0.41599044724145884,-0.7123215660856506,-0.7104626742288195,-1.0133797489317118,-0.8886437072101506,-0.911687731557912,-0.7815942329618653,-0.3359010176365795,-0.30062523085441967,-0.7026290908074164,-0.7572954435703037,-0.6637299700759232,-0.9080971358285602,-1.0636709051811735,0.47652938303888737,-0.7844979640175502,-0.6419001904732218,-0.32311297075924655,-0.40489416868802747,-0.5957816095610158,-0.2260549544675586,-0.4677799124639378,-0.526757420878244,-0.5256796167503154,-0.8280903562954243,-0.8274975846812646,-0.910518927759999,-0.9662677982475109,-0.9240822653008818,-0.7939883061006919,-0.8431256620171256,-0.7153211006390914,-0.8306516485096469,-0.2963381255626888,train,2.663743491367498,1
