,AFDR,AIBL,AIBR,AQR,AVAL,AVAR,AVEL,AWBL,AWBR,BAGL,RIBL,RID,RIML,RIMR,RIS,RIVL,RIVR,RMEL,RMEV,SIBVL,SIBVR,SMDDR,SMDVL,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.09404905268464331,0.12751365470880058,0.017062273099452074,-0.27777075814101004,-0.10929759384044001,-0.010538774016354092,0.005339061656753991,-0.1768758157782543,-0.253640691070188,-0.3500981122217145,-0.23330968307754663,-0.2154155055182872,-0.11803426481765433,-0.015782183385715957,-0.21534943198343054,-0.24727278920934692,-0.13998191224305864,-0.39385612366704925,-0.23070315614697923,-0.2977170492058887,-0.2799137262126915,-0.33516194270642974,-0.2699773676462847,-0.39146685491609456,-0.27871504746064363,-0.16745507066892895,-0.14704879846824084,-0.23867731211472676,-0.2386748936147662,-0.28677396891656637,-0.3091491364833078,train,0.0,1
1,-0.09951509471340916,0.1744000834293088,0.0447943099494043,-0.35928256528032315,-0.09940137241738299,-0.010574610502535137,0.013488096364126255,-0.2565469491591643,-0.322258959817855,-0.4346942778069226,-0.3257842784003691,-0.26136563807198954,-0.12348753208349121,-0.06921751235936162,-0.25090584733926363,-0.33094120106543923,-0.1941149349947225,-0.47818288988219504,-0.3788014150897641,-0.4149079230417518,-0.3920835682375191,-0.4471867613052546,-0.39025685555904066,-0.5284551373594288,-0.34698821538727176,-0.2528277836939513,-0.18441311873324975,-0.3060954687656755,-0.2861935452487254,-0.4196582004538805,-0.4192542961655624,train,0.2730030333670374,1
2,-0.11556129572376453,0.1723586026117517,0.03342281862427288,-0.4050555885346885,-0.11664046849604,-0.043642448188713205,-0.010191208165848939,-0.31319491061957216,-0.34890570275980726,-0.4897561830819479,-0.39594557743136644,-0.2757394291358747,-0.16756984296396876,-0.12622719341139732,-0.255300978673784,-0.39268929894627247,-0.24030398215339233,-0.5199539147599176,-0.455250383271997,-0.48755058311661853,-0.44865537982942666,-0.5236509307691117,-0.464762849935473,-0.6086912840313788,-0.3984871592538933,-0.31615144985108573,-0.2027401676174198,-0.35233898656314355,-0.32949760696397823,-0.5016969822243005,-0.4676562536159026,train,0.5460060667340748,1
3,-0.12022512464447979,0.15671105329030452,0.019270561565236703,-0.4393967413849118,-0.1432674998241835,-0.06705808128641946,-0.03337072968626578,-0.34153557145603153,-0.3581090087238784,-0.5230646447577504,-0.43757765307089364,-0.2925470431725701,-0.2017153847369974,-0.1650548397306113,-0.255256786561309,-0.44515990481658635,-0.2770335570679435,-0.5438916202335129,-0.5049551766380451,-0.5195792557369203,-0.480456134645558,-0.5791128596123438,-0.5162491753363513,-0.6627254427038777,-0.43776030413129874,-0.36879659663677783,-0.236746327798385,-0.3967193867564866,-0.3641724447002108,-0.5524494156309487,-0.48698301751681905,train,0.8190091001011123,1
4,-0.11062153476918568,0.13141329330680662,-0.014261342296793628,-0.4582793678856243,-0.18637902139221044,-0.11228092434674358,-0.06234229104469309,-0.35799654430756395,-0.34612224218727206,-0.5455903966853122,-0.46194897510022004,-0.28577566067928994,-0.24725281576708355,-0.2293138128469679,-0.2416521495316188,-0.4843614447940057,-0.29266360750518305,-0.556474503231984,-0.5423230076247033,-0.5363373876550126,-0.5192031723592412,-0.6175838849586124,-0.5557152154014842,-0.7035839468893949,-0.4620741299035949,-0.404943161173803,-0.24533458469342748,-0.4264977052624759,-0.3828543003061098,-0.5874857293001817,-0.4931180897688301,train,1.0920121334681496,1
5,-0.12104627090026011,0.09030388815698634,-0.06391605036458196,-0.45966933385374104,-0.2334773419318829,-0.1651879290467359,-0.1099669325561708,-0.3647025400945067,-0.3164000024464735,-0.5496878602618916,-0.4744478534516163,-0.2622302390735618,-0.3054515862611483,-0.29524615974592633,-0.206690626926552,-0.49865320719669637,-0.3146305714260222,-0.5495932484180829,-0.5314188916294424,-0.5362421060277502,-0.5297698117068887,-0.6446707894865792,-0.5739037918011356,-0.7152589000530483,-0.4774727163077026,-0.42916647912885747,-0.24506395610730836,-0.44471010111269527,-0.3980494418681642,-0.6019087158270352,-0.47014716598703155,train,1.365015166835187,1
6,-0.12840193549340626,0.0316388588945803,-0.11230808654702557,-0.4882886510383689,-0.2863243598969365,-0.22197154329235752,-0.15723329780133083,-0.379470050542109,-0.31525505848124946,-0.5611323001522526,-0.5071207045865134,-0.26794190688374825,-0.354650760384679,-0.35569739337232925,-0.18912375497336084,-0.5447527730427791,-0.33583277128215866,-0.5556925695241188,-0.5522166252216276,-0.5433381761299583,-0.5485099437553658,-0.6719397147300733,-0.5998741711591571,-0.7617110899402648,-0.5041289809840792,-0.47955181863223373,-0.28188341619146984,-0.48505364858348293,-0.4217015218261857,-0.6249600503869404,-0.4684556524668241,train,1.6380182002022246,1
7,-0.12943728279130812,-0.023117311594202376,-0.17041376337783978,-0.5031515032361568,-0.34514945571965294,-0.27698650203332353,-0.20029845029397433,-0.379296022899547,-0.29302336617750424,-0.5668574213784291,-0.518454381635032,-0.2619553889279406,-0.40609492308143835,-0.4165704537001973,-0.1582726797726763,-0.5704579511420502,-0.34815720729066835,-0.5434509270283239,-0.552293339073062,-0.5357993273722376,-0.5608269100566093,-0.6986457051691564,-0.6197807948241965,-0.789963213785767,-0.5221668592246599,-0.5132030072040462,-0.30512094050331967,-0.5129956509048468,-0.43594730356895406,-0.638527289452955,-0.44963403409396796,train,1.9110212335692618,1
8,-0.1263377422757865,-0.08265861961295715,-0.22985774938341147,-0.5138821872079393,-0.4064151621780609,-0.3324661420425507,-0.25774980190451713,-0.3730928340902341,-0.2672711165762282,-0.5699897136971357,-0.5210145225930797,-0.26088301307893424,-0.4571939531182361,-0.48300114834661717,-0.13253787641166995,-0.587088111670578,-0.3558391855004078,-0.5361463888026469,-0.5367594370663528,-0.5143075323261899,-0.5730215575326951,-0.7212155108085941,-0.6379117438132257,-0.8105822289739396,-0.5352342724722936,-0.553476297640422,-0.3335840744409436,-0.5477938039747186,-0.45109921821945126,-0.6428634628433053,-0.42677011524793396,train,2.1840242669362993,1
9,-0.129525798267179,-0.13863437930452457,-0.28967953059161594,-0.5206004089970997,-0.46023644300579014,-0.3847073954475536,-0.30742576237882,-0.3732865790918568,-0.2513659623777851,-0.5753833216123928,-0.5226383094007683,-0.2597621788727013,-0.5012029210667454,-0.5356895381353844,-0.10646260482743465,-0.6066420026919491,-0.3687828813940169,-0.5254140767547087,-0.5180076574710732,-0.4986674836601136,-0.5804304420183166,-0.7360219882421085,-0.6479657178385849,-0.8311433078679558,-0.5530218291940703,-0.5933033648498219,-0.36968351136783634,-0.5777661926595907,-0.4654271798969345,-0.6471587737588566,-0.40635565817897457,train,2.4570273003033365,1
