,AFDL,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVER,AVFL,AVFR,AWCL,OLQDR,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDR,SMDVL,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
0,-0.32982980640591797,-0.2654538337356211,-0.3203764539580171,-0.23511126731040147,-0.2841189225466731,-0.3465250212588969,-0.3992201743625976,-0.36304140021566844,-0.3708277085106681,-0.19389694432894555,-0.1058374044750014,-0.3062929194356416,-0.40063278066516766,-0.3182654490183492,-0.31093767887368035,-0.4067820724422202,-0.3123472588695958,-0.15050358043934095,-0.3423304627620922,-0.24455728709874908,-0.2857650807420484,-0.31717111634991213,-0.30753469377572273,-0.22761921042098235,-0.4444231237522692,-0.3015621637624342,-0.5168323798337833,-0.4104967479469412,-0.37413785270922756,-0.38786052942337457,-0.40801644896417655,-0.4147445400084209,-0.2809600095574395,train,0.0,1
1,-0.38748404949224974,-0.41131014638385827,-0.4504057941985077,-0.28643531658367977,-0.3709984043717126,-0.5284814166554781,-0.5376642975972585,-0.5376171899208962,-0.5190007773236078,-0.23878013729809575,-0.14571182466772464,-0.42130457553992606,-0.5207672225170854,-0.47247540121918086,-0.36236678151735413,-0.5609370976928107,-0.4978076638427413,-0.13394547035527293,-0.45584474352636556,-0.3735379730294095,-0.34831678916094344,-0.3769499723553931,-0.4190706012745724,-0.35211720132239654,-0.6094857540304492,-0.47490205011606157,-0.7052104789257155,-0.5355128427850645,-0.576038423340344,-0.5410426620795106,-0.5520899360922792,-0.5362184270440014,-0.3370883817413064,train,0.25641025641025644,1
2,-0.406903984612326,-0.4868500202765129,-0.5251407863380102,-0.31302651347894883,-0.4042553417410889,-0.618014200241945,-0.6142837421503915,-0.6343779207980781,-0.5912871259382093,-0.2656938707254719,-0.16315675639574523,-0.4820857609623621,-0.58379457654518,-0.5482856554883245,-0.3661829781297584,-0.6354053898868561,-0.602920115531487,-0.1050407938793735,-0.5228553991259126,-0.44904655182951886,-0.38874831929719245,-0.41361116406075016,-0.4894750297017125,-0.41284881903580845,-0.6970269948434917,-0.5820799929820493,-0.7981937810216281,-0.6057756796338643,-0.676995779261175,-0.6035547289293688,-0.6227178999641358,-0.5792784846764517,-0.35733172782273803,train,0.5128205128205129,1
3,-0.41670642178966555,-0.5370409596805554,-0.5710674284743849,-0.33394650045980306,-0.4253245581743944,-0.6759084020512449,-0.6710514026274758,-0.6918007184197611,-0.6278811808191889,-0.27567483330782844,-0.1775612862268558,-0.5167518873688209,-0.6202543820398024,-0.6002012755222803,-0.3687789970463634,-0.6850395186758986,-0.681890004963951,-0.08267546249957468,-0.5706061671163186,-0.48799243671456183,-0.4175678114645103,-0.4441171280143924,-0.5446673164311222,-0.4378433914529149,-0.7540979769145674,-0.6559518455514158,-0.8566795165456975,-0.6444796051045008,-0.7377289170328997,-0.6371735443632043,-0.6621871108824886,-0.6075300730689146,-0.3710088619522036,train,0.7692307692307693,1
4,-0.41831726185177653,-0.566903957081777,-0.6010498391687963,-0.3410906842607109,-0.43283332220756354,-0.6985431187081381,-0.7082025154593096,-0.734734130363574,-0.6563913074551645,-0.2874867929324627,-0.18966012485643535,-0.5271492604636643,-0.639000747430472,-0.608382037748701,-0.36071968038874885,-0.7126965717247707,-0.7298283096756745,-0.07353609292714239,-0.5948766693966623,-0.5192994493582178,-0.4157582101591318,-0.44875223663767316,-0.5724502603621711,-0.44499321994030205,-0.775828680682388,-0.6941370455096025,-0.8800586271265102,-0.6635081531246851,-0.7724147917719547,-0.6655958426840938,-0.6814524164908126,-0.6247993841464841,-0.3639258293508199,train,1.0256410256410258,1
5,-0.41484311554660697,-0.5733516344592773,-0.5983760953387489,-0.35157161596167863,-0.439618536128598,-0.708499766430806,-0.7134734141514847,-0.7455100862516373,-0.6659761236391052,-0.2970492002312319,-0.19988433482472728,-0.5301464017840263,-0.6486513219684644,-0.6256629625342633,-0.36516592595488173,-0.7179587766019978,-0.7450397004189361,-0.0944155881763721,-0.6111512533812264,-0.5429020917437934,-0.4182671349092715,-0.4607138511300275,-0.5997680114378741,-0.46287499783227715,-0.7897981880766318,-0.7242823693838988,-0.8943850008519962,-0.6845102520273331,-0.7853506613280196,-0.6823442301017841,-0.6883173372935122,-0.6289837446447887,-0.362045931330377,train,1.2820512820512822,1
6,-0.4145465001091054,-0.5829239019694793,-0.6098324915017416,-0.3559324861019014,-0.4351606857537238,-0.7113815336902765,-0.7234773708665122,-0.7485854749501158,-0.6767713064490064,-0.3114786046543422,-0.20112331774819564,-0.5429876081635064,-0.656086339005886,-0.6416541503140505,-0.36636813851566835,-0.7159202161985962,-0.7382706135787341,-0.08427846953069494,-0.6276972252755132,-0.5581402285529337,-0.4239230782499056,-0.468512140228163,-0.6050426667284439,-0.46195537458365327,-0.8020879470084835,-0.7439106204788943,-0.9046135172087022,-0.6971766814456944,-0.7897695361961298,-0.6948858015172837,-0.699779895680723,-0.6226872161412458,-0.3589980160303271,train,1.5384615384615385,1
7,-0.40778204941469454,-0.5816712477108841,-0.6092537773098531,-0.3645747644525291,-0.43539575287315135,-0.7162725574875795,-0.7241568273130069,-0.7450364802085497,-0.6823131204185817,-0.31835647109482024,-0.21421783996842148,-0.5399196278608978,-0.6594450770212269,-0.6488729463427234,-0.36378215197795744,-0.7091285039277313,-0.7350370738965943,-0.08072962077017029,-0.6372053304745535,-0.567585339977357,-0.43019461004056203,-0.47091874126277056,-0.6189225600047351,-0.46923791394005865,-0.8031214283103374,-0.7581305936524798,-0.9122703702529072,-0.6999748914116329,-0.8008948152256612,-0.7086451106814456,-0.6966958451370294,-0.6242449104573389,-0.36445381955918466,train,1.794871794871795,1
8,-0.4148313087651284,-0.5801329511931026,-0.622164344207239,-0.35808475244704385,-0.4283357517432568,-0.7004104689302533,-0.7325370880790275,-0.756441971536212,-0.6759718935993667,-0.30882376207307577,-0.1988775130051948,-0.5451441903567816,-0.6532373715481106,-0.6377455023346217,-0.355102226721359,-0.7061938895453957,-0.7386889831556133,-0.06935849673977751,-0.6434459969317048,-0.5617498757722068,-0.42495259749521513,-0.4692416803879501,-0.6076202031910918,-0.4514220602109624,-0.801397975037092,-0.760937692895767,-0.9023605496751452,-0.7032705275229647,-0.786313225956015,-0.6860536382087372,-0.696918211634031,-0.6078946228833891,-0.36033566505076675,train,2.0512820512820515,1
9,-0.40918965928956785,-0.5701016523759301,-0.614634704451958,-0.3420711207210093,-0.4080954757096634,-0.6970280449472933,-0.7370330440599501,-0.7538157924893981,-0.6709470231119701,-0.30212904256911177,-0.1925836584239804,-0.5263119788174112,-0.6510190092509007,-0.6228940449585427,-0.35715881753764145,-0.6869190957849924,-0.7375238427210588,-0.0817274879889031,-0.6455335139524006,-0.5562191634902405,-0.41053908083331203,-0.4685681175273223,-0.6011712268865015,-0.45433524041868834,-0.7941069632975367,-0.7639517813448702,-0.8997718402196264,-0.6943838330406624,-0.7886219627482447,-0.688431060556066,-0.7046462486963734,-0.6036868546874434,-0.3595473785259288,train,2.307692307692308,1
