,AIBL,AIBR,ALA,AQR,ASKL,ASKR,AUAR,AVAL,AVAR,AVEL,AVFL,BAGL,BAGR,IL2DR,RIBL,RIBR,RID,RIFL,RIML,RIMR,RIS,RIVR,RMED,RMEL,SMDDL,SMDDR,SMDVL,SMDVR,URXL,URYDL,URYDR,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.12382333552245073,-0.2358757378736306,-0.34028176841517654,-0.41037495960711307,-0.29775462289663873,-0.2944052063929525,-0.3425005265365022,-0.3217100439349696,-0.25342251433177115,-0.16902895855588312,-0.14481505766446678,-0.35691224236716723,-0.4110195122093673,-0.46235410074347033,-0.31855796824088006,-0.3193444178234567,-0.23519258301163873,-0.3519574334503782,-0.36701448341551873,-0.26658933479994945,-0.12607342057399737,-0.21451075308291434,-0.2843605612774164,-0.4261694615058679,-0.36150515472159733,-0.4013919192247216,-0.3340390861360296,-0.4137155832325892,-0.477803542942675,-0.3336453859211674,-0.30662090038187845,-0.35495767077424417,-0.2161039169101164,-0.23683748114814876,train,0.0,1
1,-0.22139171439895694,-0.34952203003615423,-0.43284372840753504,-0.5436620231054811,-0.386066599159791,-0.44045403395092586,-0.43538654961629975,-0.4197979997864597,-0.36641784069178374,-0.27529883277672085,-0.15951970147005853,-0.43272463002385936,-0.5385629216481067,-0.6017022870098045,-0.43302302800462966,-0.46461416459844385,-0.2817926459533364,-0.4300951293806978,-0.4940624387954432,-0.4490199137508532,-0.09556701385935852,-0.30825735577196434,-0.3169835755622488,-0.51784507697981,-0.4404054773805951,-0.5364791468188793,-0.5074185297148284,-0.5584885837202302,-0.6333526715107106,-0.49028700292993377,-0.41227469216622387,-0.4483228630763481,-0.32399888055013826,-0.2981829430823799,train,0.3013392857142857,1
2,-0.28577051371656287,-0.424985010924332,-0.48492222710752403,-0.6126805434795233,-0.43431402319760926,-0.5089553079280991,-0.4907438832406801,-0.4807246189201484,-0.43705763016199933,-0.3476899654861804,-0.16893162936379152,-0.47610617430942226,-0.608083794829875,-0.6863511102000607,-0.49705080077424846,-0.537433009255556,-0.3005803856276869,-0.4775960805272774,-0.5618147059649142,-0.5591955474362251,-0.06887008693372715,-0.363717733825229,-0.32101653172393924,-0.5649589028034305,-0.48476268997593674,-0.6055585734279988,-0.6138497043210265,-0.6388755348213638,-0.7162878803761553,-0.5654760261329821,-0.45466013291883556,-0.49291603940873474,-0.3958334715629359,-0.3170670692976572,train,0.6026785714285714,1
3,-0.3202644825040403,-0.4626510430243338,-0.5123176789903132,-0.6538512122961244,-0.44764337828557144,-0.5497408755920478,-0.5069248019508237,-0.5099053560478986,-0.4602016644889684,-0.3898187414216962,-0.17712772432168247,-0.49525001900576604,-0.6403971277464009,-0.7393911877871718,-0.5337105943024476,-0.5894303887923584,-0.31976563935307445,-0.5124433646849627,-0.589328952516522,-0.6189463415051027,-0.05533679379944703,-0.39108889474731634,-0.34011951233470694,-0.5980019352320188,-0.5111753273378838,-0.6481024776214966,-0.678782559263488,-0.681868547315016,-0.7632681793952395,-0.6041306325655966,-0.48596968074261965,-0.5171262841492799,-0.4440652891540575,-0.34094901400948485,train,0.9040178571428572,1
4,-0.3433391879881448,-0.49830333131659404,-0.5397923152460798,-0.6741304873841454,-0.4552854779542893,-0.5639252619558072,-0.5248591028542184,-0.5378500749331995,-0.49203185830529494,-0.42211631626537205,-0.18283292195825973,-0.5019300303100912,-0.6588794923473783,-0.7712461317335395,-0.555253616087631,-0.6151896969646438,-0.3161683745243666,-0.5248272493456275,-0.617325108262494,-0.6652594514428846,-0.03297931224839279,-0.41728564609461943,-0.3365667746365617,-0.615205927513716,-0.5220168828148193,-0.6627196272867862,-0.7194889149511201,-0.70692734135751,-0.791838897868978,-0.6225453711580412,-0.4925756123801503,-0.5224346749063826,-0.47264063287758595,-0.34090809244451364,train,1.2053571428571428,1
5,-0.3623586988701487,-0.5252970763721481,-0.5434334822180141,-0.6829239088646664,-0.45255738728297934,-0.5649641835338169,-0.5278007197339402,-0.5511018504076763,-0.49848914941268385,-0.4409605092965827,-0.18348512619192053,-0.5089349284637372,-0.675820856036337,-0.7872509033754805,-0.5597491834087895,-0.6217477157318929,-0.3282061947684495,-0.5389387322172303,-0.6219093983649916,-0.6845015272580366,-0.0317963309381514,-0.4246296430382173,-0.337776575631735,-0.6150908145311348,-0.5281717630988634,-0.6744637381238627,-0.736835104735439,-0.7152510908275579,-0.8016635731822166,-0.6357639179114181,-0.5074712632053057,-0.5297324700414481,-0.4995190053499543,-0.3371252332881734,train,1.5066964285714286,1
6,-0.3750713314454798,-0.5452350940029799,-0.5494965590123985,-0.6681563169224005,-0.45077750389404947,-0.5561115454266897,-0.5291526847094291,-0.5670421529082088,-0.5168752028007781,-0.46147125261141553,-0.185309087247358,-0.5042192920974365,-0.6791164328449117,-0.79005690890711,-0.5550295912451103,-0.6114968530400944,-0.3141337636829574,-0.5392798448594803,-0.623930681491941,-0.6990928188336417,-0.0193415808019205,-0.43070090408026335,-0.31849431134070694,-0.6089768489291324,-0.5254785017312884,-0.6717857956848462,-0.7472477834638646,-0.7160915288861429,-0.804061438456415,-0.6316039968123753,-0.4992650526762969,-0.5212607886429619,-0.5146247570864837,-0.32413990252906777,train,1.8080357142857144,1
7,-0.39497036246456235,-0.5686115202064849,-0.5483610087100825,-0.6774341518771188,-0.4533732961726469,-0.5654018144119103,-0.5390632787562828,-0.5926001997926843,-0.5361663945362508,-0.481777162902474,-0.18215640637774458,-0.5095621209714949,-0.6881289003376158,-0.800123459462169,-0.5604081722949765,-0.616547713943099,-0.3193846783317714,-0.538199553569425,-0.6417513219025388,-0.7226184893674962,-0.012440968180407797,-0.4402284767411761,-0.29772193091070587,-0.6097038687730698,-0.5224847105124952,-0.678902310223193,-0.7629363426635042,-0.7275995571934188,-0.8136227737745123,-0.6418361690756786,-0.5152934290983001,-0.5245255003954108,-0.5291445872153264,-0.30898355285648044,train,2.109375,1
8,-0.4207978481273424,-0.5990625302323507,-0.5486972270575329,-0.6724246984986573,-0.461724327643135,-0.5589126644112562,-0.5499423527023235,-0.6146084862785209,-0.5586199523180194,-0.509850520753881,-0.17989349951287928,-0.5064008660738262,-0.6904976969243161,-0.8052176195912405,-0.5501781319342833,-0.6090265004205604,-0.31429060772009776,-0.5373563759261126,-0.6578088580385556,-0.7406469803581754,0.002900575576304437,-0.44581675017218947,-0.2761980475181297,-0.6025406423213434,-0.5218160444600115,-0.6742926667934258,-0.76530358137002,-0.7331292184006577,-0.8080889651821567,-0.6441105177359143,-0.5201746576169095,-0.5273789263472989,-0.5464298072291531,-0.28665840441116386,train,2.4107142857142856,1
9,-0.44110283310865167,-0.6161240183959938,-0.5468977592024074,-0.6782963637712878,-0.4632221753162141,-0.5644671429809676,-0.5496091304712825,-0.6312291301700781,-0.5681948457828169,-0.5265310067703451,-0.17966718514851,-0.5101470619027868,-0.6950299729068783,-0.8120326876750024,-0.5469003926859749,-0.6198738896153924,-0.3189151822327242,-0.5416291669913962,-0.6696505938290267,-0.7555808739881266,0.010421476982613836,-0.4477658875570899,-0.26952827268873114,-0.602020316269362,-0.5269626706781545,-0.6803716392403255,-0.7715321771756989,-0.7391649521607779,-0.8171686925502988,-0.6519444104204879,-0.5359187120624939,-0.5291668615904146,-0.558329736935366,-0.28558952381265035,train,2.7120535714285716,1
10,-0.4626680596112517,-0.6353563618686062,-0.5454732792920154,-0.6771683985827255,-0.4743213511456996,-0.5664349671585129,-0.5626854972026888,-0.6490301185733041,-0.5892500711371762,-0.5488552816965905,-0.18381060137604532,-0.5056099255484284,-0.6963809858398776,-0.826024166004208,-0.5440021480475459,-0.6222875397961651,-0.3142290555090907,-0.5438587442083117,-0.6807091977117619,-0.7692882337806649,0.02994017804991267,-0.45468439522413523,-0.2606885476592422,-0.5957505844288877,-0.5296420457849649,-0.6775839022840897,-0.7750540738017072,-0.7469164066687011,-0.8158320392527026,-0.6477025893299463,-0.5359800514447989,-0.5284695870457221,-0.5677492590311493,-0.2744200072749635,train,3.013392857142857,1
11,-0.4841231650714873,-0.6590136947663234,-0.5396113400847571,-0.6795808715907619,-0.4677459293160704,-0.5649978707932737,-0.5645828632334076,-0.6706712769195827,-0.6040725423360307,-0.5697594319423589,-0.18279598828886165,-0.5038013822255409,-0.6959690144833207,-0.8310434707013735,-0.537045805167429,-0.6251985108559386,-0.3130160762706876,-0.5465359785265854,-0.6991105458913783,-0.7872660144032972,0.04594146660459389,-0.45770911996105745,-0.25065772594759306,-0.5920740999694009,-0.5263810632124895,-0.6773964235724439,-0.7751139806141499,-0.7513956559166615,-0.816068693800389,-0.6626309311309334,-0.5495389367730377,-0.534334101962811,-0.5856946700156069,-0.264988383569329,train,3.314732142857143,1
12,-0.502436397132259,-0.6690373487895286,-0.5398923031567557,-0.6537163092341864,-0.4717255326728992,-0.5531181604395352,-0.565032830114989,-0.6865282861720272,-0.6209884049157683,-0.5925884009612277,-0.18700147908700854,-0.498842397316761,-0.7053171621901765,-0.8379466591312185,-0.5179463265358771,-0.6077996040625464,-0.2916488093595125,-0.5361022096812937,-0.7020089309450598,-0.7928681286082143,0.059082626818634326,-0.46152653216074646,-0.23227481637728054,-0.5743885785374849,-0.5231041887103915,-0.6691933891667956,-0.7780333644869171,-0.7517939456632574,-0.8104183641642412,-0.6550579683453985,-0.5394678044222395,-0.5289467197711322,-0.6023036547440241,-0.24404030801320153,train,3.616071428571429,1
13,-0.5216767755914121,-0.6831698416114906,-0.5325384153383446,-0.651201136764571,-0.4741022930076656,-0.5569129408769977,-0.571275859337814,-0.7050052821757541,-0.6417902005037396,-0.6092232751903204,-0.18911603625626794,-0.5004395889824118,-0.7060027925544843,-0.8387671840808616,-0.5196471398852825,-0.6031746523280122,-0.2862912276955526,-0.5368264019530572,-0.7139829010644096,-0.8044252477464248,0.06764172684888878,-0.4681134912471915,-0.21507917249895825,-0.5723635096822238,-0.5262284718442869,-0.669392374071962,-0.7830267389300296,-0.757790417277236,-0.8177788075705453,-0.6562092274180279,-0.5428522616312133,-0.527208755340766,-0.6113189370431173,-0.23609107300569365,train,3.9174107142857144,1
14,-0.5470871851340966,-0.7044645609803998,-0.5213711132155286,-0.6513188741086992,-0.47099888501834253,-0.5491578792629319,-0.5678244446354919,-0.7326082101350614,-0.6572573290627781,-0.626569023747205,-0.18929446146376483,-0.4918465668120302,-0.7067503221568103,-0.8336596081113432,-0.499345454344598,-0.5912914646991527,-0.2909335020087134,-0.5315820623711696,-0.7288227499669184,-0.8087739373992878,0.077527966268951,-0.47211273482606997,-0.18228473582609708,-0.553801416000377,-0.5202834398964904,-0.6607847855846101,-0.776978785798083,-0.7554201050620084,-0.8046364559002048,-0.6608028205567179,-0.5623969471492822,-0.5344130999377392,-0.6285043390783933,-0.21038364832260387,train,4.21875,1
15,-0.5657730804749025,-0.7199969469626725,-0.5145110205982759,-0.6463416216083927,-0.48298367252904206,-0.5439502576429476,-0.5798566895165551,-0.7485913989336415,-0.6773286593027744,-0.6461411338219628,-0.1876836609518493,-0.49502481526165887,-0.7127697751286194,-0.8339671449410089,-0.48685284103551313,-0.5821936521310183,-0.2880170177202911,-0.521552089420969,-0.7370565698949527,-0.8165929830033066,0.08749794461768118,-0.479103356728248,-0.1506574664394184,-0.5464622802071135,-0.521202453743135,-0.6522592364793239,-0.7790008702902659,-0.7593412811751548,-0.7985489438008282,-0.6597801446402722,-0.564227915136023,-0.5352511532580768,-0.6346274070945142,-0.18977973092723904,train,4.520089285714286,1
16,-0.6026241173287767,-0.7471550955645575,-0.500391594499594,-0.6375117958219614,-0.48792908851366856,-0.5310335107815082,-0.5850714668601973,-0.7842588308805828,-0.7117412406942668,-0.6808078450195129,-0.18789351175691762,-0.4912418189963078,-0.7099231848775058,-0.8425625319187752,-0.45735177313131764,-0.5696478154804333,-0.2780917962843723,-0.5067654361366503,-0.7589411866620758,-0.8247231770315814,0.10651785090603683,-0.48862589318840716,-0.09517725705392328,-0.5312761610553063,-0.5190542610826264,-0.6314842197481797,-0.779373347503238,-0.7633829848847408,-0.7760357173447043,-0.664348371626726,-0.5715089395986965,-0.5408387216625393,-0.6601129075514723,-0.15503013225447898,train,4.821428571428571,1
17,-0.6214170805082895,-0.7664455325323072,-0.49423669704651296,-0.6354917774235549,-0.49435768184880535,-0.5271149039802842,-0.5938855919806574,-0.7979345189587996,-0.7266526244316677,-0.7035509768663474,-0.18950669117425342,-0.4910749358107074,-0.7105804201291889,-0.847965393833007,-0.45366896908317195,-0.5639784342042597,-0.26742907413586114,-0.509728612200145,-0.7688016336190661,-0.8385318710273055,0.12667776888339427,-0.49129745228267435,-0.0847968890555716,-0.5287363060571708,-0.5217656451074808,-0.6295445925871872,-0.7754966056286315,-0.7674020509858195,-0.7746980852508525,-0.6670717172281567,-0.569557429049658,-0.5419057515579816,-0.6672939482007164,-0.14330163780636287,train,5.122767857142858,1
18,-0.6313629668258739,-0.7787946213615689,-0.4868256630369962,-0.637089981306326,-0.4907102641667571,-0.5238743655294201,-0.601728294777944,-0.8147097931319147,-0.7454814289295595,-0.7175277921433775,-0.1886429162190355,-0.4903073261330707,-0.7149114171648473,-0.8465105850727006,-0.4439313884811117,-0.5599221025945572,-0.25833969719643807,-0.5042884714077369,-0.7873894754657706,-0.8466077872622836,0.13904475740002076,-0.5005274838082504,-0.06613155897102674,-0.524929838459012,-0.5218301410485717,-0.6196353194363361,-0.7731812531373594,-0.7690072617460092,-0.7707860285146514,-0.673375946465163,-0.570076456938561,-0.5394080832887442,-0.6734297881638078,-0.13293862522216623,train,5.424107142857143,1
19,-0.6389937534986893,-0.783196561919979,-0.48211361893671273,-0.6166257870477512,-0.48485820418415027,-0.5086854589288026,-0.6024644511881103,-0.82122992167734,-0.7548127963529422,-0.7307034368557772,-0.18697441761042166,-0.48132042227895844,-0.711758556123377,-0.8434250922909835,-0.42637339622585146,-0.5476730273761781,-0.24118378472633653,-0.4958934217421249,-0.7869027781620476,-0.8478624562583279,0.14666820548429443,-0.4992052913880069,-0.05216174761536718,-0.5184562066417995,-0.519197805874218,-0.6061946043553813,-0.7681494983929922,-0.7659287037000984,-0.7576549374546455,-0.6671338333467426,-0.5614556997112097,-0.5280560596240995,-0.683476220825097,-0.11652069461865777,train,5.725446428571429,1
20,-0.6560429624118482,-0.7943858423534876,-0.46969184963676014,-0.6133275337953739,-0.47670548789532063,-0.49841847723727223,-0.60031267799524,-0.8381218486697012,-0.7710472035634193,-0.7428472318183142,-0.1896913608511594,-0.47484382015790555,-0.7083200732665582,-0.8367976303146972,-0.41075810846407557,-0.5414512506684503,-0.23556125875699174,-0.490118345732006,-0.801026720264769,-0.8464918864596217,0.1585049402197688,-0.506549992789553,-0.033319239499914444,-0.5122426485791409,-0.5179391435962559,-0.5906976830100116,-0.7594319479697386,-0.7607378840426449,-0.7500983019258086,-0.675106832531266,-0.5730526234016488,-0.5297483375743632,-0.6963623491890422,-0.10071546466351111,train,6.026785714285714,1
