,AFDL,AFDR,AIBL,AIBR,ALA,AQR,AVAL,AVAR,AVEL,AVER,AVFL,AVFR,AWCR,BAGL,BAGR,OLQDL,OLQDR,RID,RIML,RIMR,RIS,RIVR,RMED,RMEL,RMER,RMEV,URXL,URXR,URYDL,URYDR,URYVL,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.3730706788643541,-0.1689807262446397,-0.367026397579487,-0.4746515184441185,-0.18787683051293844,-0.3815289146799521,-0.5330929926882706,-0.4328297464878521,-0.34230568315919807,-0.39736770885300265,-0.1764958690555357,-0.09203427257824792,-0.2511828221915661,-0.42182474596559605,-0.4152018916550234,-0.3568770223989789,-0.39860167063331187,-0.22684362668166375,-0.47667997898597225,-0.38794874607356267,0.05090685919628807,-0.22625347728377393,-0.22433918058702992,-0.25189228004554204,-0.260492366645877,-0.0893717194191605,-0.4605228032840033,-0.4076221352784142,-0.387089900953543,-0.39854212249231713,-0.4418673939036537,-0.3917623962129927,-0.2585058465209624,-0.20911938532684404,train,0.0,1
1,-0.4715486841520211,-0.23931966068891258,-0.5976101321945227,-0.7060890976310127,-0.21121835380132795,-0.5039111961193738,-0.7431190137110288,-0.6565568072495158,-0.5607425969870814,-0.571218927635003,-0.2102108230028755,-0.12894549627169388,-0.3930515598008422,-0.5275065656064553,-0.553584996665541,-0.47917116038901486,-0.502370799335949,-0.24710055690378613,-0.6807259105565553,-0.6417970272697063,0.1936891533328019,-0.35397579030891735,-0.22162804482389298,-0.2794408372553008,-0.3034047732837022,-0.10624339795616317,-0.6138370140757983,-0.5329427258402926,-0.5907982461180975,-0.5566513762418087,-0.6134254787316858,-0.5706985021136337,-0.36715358074054694,-0.22767491851561156,train,0.2562885619364025,1
2,-0.5150228439035659,-0.2749209525769579,-0.7187332267027932,-0.8222036932375376,-0.22536658902565884,-0.5608267051789564,-0.854622064823893,-0.767163436903758,-0.6880700736019593,-0.65667472191842,-0.22851154182286032,-0.14962350888464654,-0.47491231710871795,-0.5835409590753635,-0.6254988720956788,-0.5577122439150425,-0.5582494568141481,-0.24909484103987622,-0.7864659132608025,-0.7790803100884861,0.28270748575772475,-0.42657705959243053,-0.21607435019156507,-0.30315029082980816,-0.3337456817610097,-0.10152861253388926,-0.6930020912973284,-0.6079141856141606,-0.6826490535438658,-0.636817879479042,-0.7050098164535291,-0.6710175573498242,-0.4171940067565435,-0.2269807624360843,train,0.512577123872805,1
3,-0.5260344348569597,-0.2964498573707375,-0.7820276381887143,-0.891566044986675,-0.2384923591923625,-0.5763777770064742,-0.9158615446527711,-0.8316046424316622,-0.7733141341411465,-0.6998933283621953,-0.24347882315758784,-0.16681521097025148,-0.512404099077531,-0.6081978844151166,-0.6655615111912693,-0.6143378194284077,-0.587830672021483,-0.23407086785118,-0.8432124503743026,-0.8573153116591515,0.3394483313271873,-0.4697653192738022,-0.2007758970847276,-0.31567376671902136,-0.3506158698608911,-0.07738517263180068,-0.7177794760643033,-0.6490283366179765,-0.7229691270601184,-0.6620396749380804,-0.7363627015180355,-0.7268909494819389,-0.43985996017978274,-0.20986844799139404,train,0.7688656858092074,1
4,-0.5423591681187188,-0.3012389030740572,-0.8172407357893712,-0.9240251037016375,-0.2359712371017545,-0.6003860476271201,-0.950021821321275,-0.8638395972536426,-0.8170333730999888,-0.7241388478078549,-0.24779786529415426,-0.17776066191651352,-0.5473725643226554,-0.6302385417341105,-0.6967935270721196,-0.6451660472551547,-0.5982548218031272,-0.245135426838242,-0.8739867496696971,-0.9029499278595146,0.35316893631371815,-0.4907359218714375,-0.20404089071554238,-0.3324167246255664,-0.36452548404996693,-0.08093693318893462,-0.7467046929158752,-0.6781898222619271,-0.7524080658267596,-0.6930605138475079,-0.7675163072718452,-0.7652614853909118,-0.45865708253041676,-0.21040592443269568,train,1.02515424774561,1
5,-0.5417302189922002,-0.30302012763089975,-0.8359025215811622,-0.9468237472049268,-0.2482080389850041,-0.610062498157889,-0.9723651640480508,-0.8888026421834454,-0.8472738972257927,-0.7377474299587189,-0.2533177141145955,-0.18335884799280064,-0.5671148628066356,-0.6366246356961618,-0.7110302074117674,-0.6667175181903707,-0.6103256179955119,-0.23840251272434204,-0.8946098118161413,-0.935291653551408,0.37131864155592553,-0.5082405601935364,-0.19780025837393592,-0.3463874094605789,-0.3789593786878676,-0.07112805274213328,-0.7583431802112327,-0.692999825429637,-0.7708155174176656,-0.6988853275020311,-0.7804661333628288,-0.7940786832004993,-0.47201950094814865,-0.20068566317109995,train,1.2814428096820123,1
6,-0.5419319752252802,-0.2996788254910009,-0.842616558785346,-0.9538783194408469,-0.2529327166155243,-0.6123631847139488,-0.9836416429034529,-0.904402205756621,-0.8657347281369615,-0.748944186102273,-0.2570518450893142,-0.1915015127560306,-0.5784094036000128,-0.6394130587873945,-0.7308618161574607,-0.6835274035591089,-0.6149017177036044,-0.2383980445836751,-0.9125894717963369,-0.9547622522156667,0.3630365907442069,-0.5203594727710058,-0.1929562209196886,-0.348863670768577,-0.38776239683045943,-0.06849366431306259,-0.7635068293549188,-0.7030779993975114,-0.7796682493774495,-0.7123284232171693,-0.7802914464545974,-0.8044810822788283,-0.47772061522064163,-0.19349402762666712,train,1.5377313716184149,1
7,-0.5320125757352271,-0.29372437029729614,-0.8459175424239983,-0.9561649116260412,-0.25564078665107026,-0.6187878772422454,-0.9915952005135706,-0.913595501285088,-0.8771036998053556,-0.7525545183073907,-0.2587743357900503,-0.19765630041308202,-0.5881545099264709,-0.6426159288534923,-0.7389359650764079,-0.6898408534269765,-0.6179359538332145,-0.241966911712552,-0.9152406862247141,-0.9706916006381064,0.35798481074494193,-0.5273648164041996,-0.1923700260334308,-0.3633642232820858,-0.4041675546132165,-0.07717526801306951,-0.7731123511103429,-0.7055454462044041,-0.7872387332585344,-0.7183360514598467,-0.7893950955735364,-0.8187711284413989,-0.4927646037493264,-0.19333339577045916,train,1.7940199335548173,1
8,-0.5259749028898295,-0.2976077731145389,-0.8370527028792442,-0.9473875848577014,-0.2627163508116004,-0.6208925595102024,-0.9848322796346158,-0.9103274514174006,-0.8737883804522877,-0.7535834784602229,-0.26746378697565965,-0.206156461448613,-0.5915687847917375,-0.6467064201984287,-0.7446646413805574,-0.6954315486487466,-0.619164302366499,-0.24502993984885915,-0.9157621505981057,-0.9722942618569893,0.34370968642882926,-0.5360683702831958,-0.20009364647774033,-0.36957571657151156,-0.4146823622740678,-0.08811562405980193,-0.7781103403778125,-0.7124948169520422,-0.7870360690404757,-0.7279166959011282,-0.7850434305501208,-0.8203486513699392,-0.502893086971692,-0.19477029392404022,train,2.05030849549122,1
9,-0.5302778865517634,-0.30206074671783517,-0.8424931477281097,-0.9525732677200699,-0.2711806400783472,-0.626373117213932,-0.9882558315465664,-0.9163929541285325,-0.8808229083372916,-0.7616608189330815,-0.27109475319405985,-0.2041559874076047,-0.5968140180519774,-0.6512133316957208,-0.7542233366737119,-0.7058005513303243,-0.6195407174703886,-0.2438713764657215,-0.9229981531801702,-0.9763652605943397,0.34872892127260835,-0.5510231792608096,-0.18791016940968178,-0.3738125872591709,-0.41892005716253594,-0.07416603546990351,-0.7726943906148611,-0.7222359278057224,-0.7919151012876263,-0.7265238160896781,-0.7851528950264514,-0.8306994412821076,-0.5038730453509733,-0.1916673684671021,train,2.306597057427622,1
