,AFDL,AFDR,AIBL,AIBR,ALA,AQR,AVAL,AVAR,AVEL,AVER,AVFL,AVFR,AWCR,BAGL,BAGR,OLQDL,OLQDR,RID,RIML,RIMR,RIS,RIVR,RMED,RMEL,RMER,RMEV,URXL,URXR,URYDL,URYDR,URYVL,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.1404706227687621,-0.05941578279317761,-0.826074141702364,-0.9952613838753785,0.8756172236118238,-0.9205028658266022,-0.9599701680247672,-0.9064894887861038,-0.9272716700473331,-0.7816551082282202,0.39512536794528397,0.6097121749244874,-0.6593539198079317,-0.8584468245921872,-0.8884869684941724,-0.6623402978433701,-0.5996435565644994,-0.3359368806943568,-0.8494703778814432,-0.9474710312885589,0.5091582135941621,-0.9145572210604612,-0.25814602084054317,0.07234343570006951,-0.25261433509936715,-0.37951594474551564,-0.6009485285913443,-0.9120542566937591,-0.866039005006963,-0.9293804035370004,-0.8639537791095262,-0.8657175873669738,-0.907312245673963,-0.891531172465015,train,0.0,1
1,-0.26497823943711163,-0.08975150911050156,-0.7310963737180491,-0.9819232191697576,0.7795325184928474,-0.9015940271934091,-0.9645560939536842,-0.8950123721765058,-0.8898173359938986,-0.818539677285766,0.3651752016655605,0.7838322433153495,-0.7488909806168622,-0.8470238416477998,-0.8744828424153352,-0.6809885379531981,-0.36320568791145835,-0.40715292937941794,-0.8557132890792938,-0.9298518238744126,0.5202456736912029,-0.9424039408291813,-0.31224348514672795,0.1659306525466987,-0.1809763870197445,-0.3697956306554431,-0.6668109404484421,-0.9221159967663444,-0.9164681876427156,-0.8916119087091965,-0.8963295036027554,-0.8806101842320165,-0.8586983659031393,-0.9070797755829704,train,0.2562885619364025,1
2,-0.4518894841582295,-0.1535763133880399,-0.782342704263177,-0.979517430867594,0.783404591957914,-0.8867658269415273,-0.9469766119753359,-0.8863896851940256,-0.8819908054478977,-0.8589347494433265,0.25831436676838315,0.7078554282661289,-0.7072469312205809,-0.8741753821960174,-0.8653324629727198,-0.7315258517344325,-0.41588521767473496,-0.008826560919213633,-0.8510170791617439,-0.9522995283133238,0.529003803144056,-0.9195127916568042,-0.2119419422420018,0.18801252288526105,-0.19299539040565983,-0.38578183007889655,-0.6334334258238625,-0.9131929947971326,-0.8311727327971605,-0.8991873266763512,-0.8471982018048385,-0.8788638305740047,-0.9020563324716548,-0.8758083033868292,train,0.512577123872805,1
3,-0.38902137220085664,-0.16024925140632118,-0.766868655820165,-0.9837803872297569,0.7305424183525673,-0.9120367314574901,-0.96077523550564,-0.8945209212755751,-0.8925771391488361,-0.8384762469530673,0.4249071004086742,0.7348239900154647,-0.7022688917619095,-0.8703266360638697,-0.8425192551558137,-0.7765503530625143,-0.4843498861890282,-0.3992912745503715,-0.853370125411701,-0.9644332803390994,0.41235147129743166,-0.9200672297952773,-0.35355576855242365,0.08593677641889663,-0.10999086582317119,-0.49257511339235793,-0.5783584422845609,-0.9653961862789175,-0.8514901381392634,-0.9227497248148223,-0.8668462781392213,-0.865143678156152,-0.9129409698856621,-0.8820185042404806,train,0.7688656858092074,1
4,-0.3957906526384908,-0.12452005543199673,-0.8465446045228959,-0.9738260621010737,0.6687864248655611,-0.9054737848417765,-0.933123754617296,-0.898634104486466,-0.912579699871336,-0.8253024786433758,0.3453640342278457,0.7878582997167196,-0.7061278798516697,-0.90866561234036,-0.8818482678135159,-0.6593760249185037,-0.37354870705505905,-0.18227899899084787,-0.8934346260513196,-0.958642463786028,0.3870194177772981,-0.9104849197632036,-0.22403755665895597,-0.10504543000388133,-0.2954056280529561,-0.5344879207254442,-0.6713255245659835,-0.8905643725618212,-0.8683790426069127,-0.9177880086521129,-0.894346273065855,-0.8688186366875981,-0.9127926934474938,-0.8692932178206438,train,1.02515424774561,1
5,-0.5138655643672994,-0.18171585819370661,-0.7977364577062387,-0.9947769409178103,0.606905955594611,-0.9152006851742674,-0.9588163593088844,-0.9235656716594155,-0.9023173885931661,-0.7980918730387165,0.4334380310952459,0.538481953246398,-0.708628284651516,-0.8449347387598666,-0.8515627328726364,-0.7030587794931862,-0.5610306962701316,-0.22529189929541615,-0.8645335586379921,-0.9774396313737451,0.3135112248356964,-0.9495642075853841,-0.3097269700041865,0.07874424498941968,-0.12827211674521766,-0.5060050821371871,-0.6125378412146463,-0.9057764109426548,-0.8319382542915894,-0.9202588647721022,-0.8350837925920918,-0.8802844785356405,-0.8618764065969078,-0.8469468755356186,train,1.2814428096820123,1
6,-0.4692069304365799,0.0018275181535365448,-0.8275118367990545,-0.9759489102823092,0.6047260044458589,-0.9050039248706669,-0.9350888253101142,-0.9375619806633562,-0.9316535868568405,-0.8208978917229517,0.254341610145596,0.48664486347207037,-0.5951001070522326,-0.9163016325662748,-0.9074306386136872,-0.7585937293679335,-0.5135020272083354,-0.28924123601359764,-0.8477474282830941,-0.9591521677972874,0.3274355142328318,-0.9560833743179183,-0.2522384755921463,-0.278330011793652,-0.17259968845329465,-0.5515224031678814,-0.6783266857042665,-0.9000303121334207,-0.8934234925396244,-0.8881573157381091,-0.8941171039966481,-0.8705995053892079,-0.9248761653001328,-0.856200381410073,train,1.5377313716184149,1
7,-0.5694701899134061,-0.05687838692395775,-0.8145038261955807,-0.9731603578487833,0.591866652869466,-0.9167437418690962,-0.9367520195974369,-0.9093832602384985,-0.8966803487837292,-0.8137763515855475,0.2709279468100676,0.3659743901809547,-0.6334666643075892,-0.8920377578188717,-0.8796011866367588,-0.7611593699347191,-0.4761056050446857,-0.3516674126833287,-0.8301120198358286,-0.9865086772603935,0.24936591627930094,-0.9170262203045962,-0.40563256155866756,-0.06868516205307906,-0.22347512761036825,-0.524910910124726,-0.5440539788297638,-0.9019029086813495,-0.8397818064886711,-0.9084347313389335,-0.8493367023731305,-0.8705937143648654,-0.9229357513717364,-0.9122791222728729,train,1.7940199335548173,1
8,-0.23559050671834159,-0.2328063576088879,-0.8375905709341928,-0.9851447014180414,0.5893920865668782,-0.9703520296904756,-0.9423291443188064,-0.9558807393341023,-0.9040141445379732,-0.8133922694979054,0.3593465376503082,0.40560182914311316,-0.6062633387213087,-0.8773952485625497,-0.8734277183564143,-0.7629448589436414,-0.388239916983633,-0.10782978931454046,-0.8558583471600152,-0.960874290991024,0.18993475679179195,-0.9403163057511668,-0.37913008740228493,-0.00033644496287832393,-0.2613524660086176,-0.47756029721780957,-0.6136707786738009,-0.9376129997839335,-0.8485860085015072,-0.9346617623282342,-0.874411657980988,-0.8739292251888556,-0.8794452293112318,-0.9050174888938958,train,2.05030849549122,1
9,-0.35025346434400295,-0.23750818686931663,-0.8270825799575403,-0.9826500005616337,0.3669722415602745,-0.9559033219795832,-0.9678612407248319,-0.9194259448303885,-0.9074625676945879,-0.79077946848948,0.2839323248622361,0.24359385527596777,-0.6487235688307786,-0.8502266110524443,-0.8456060468009488,-0.7682739352212904,-0.6596344778712921,-0.23767151139637532,-0.813821817176542,-0.9354406979324379,0.22746583915686092,-0.934452724982165,-0.31607745730848547,0.07842944182077483,-0.24413201745891944,-0.49964483655574393,-0.6868310733846752,-0.8919675858775629,-0.8459215897708056,-0.904259690022797,-0.8560837086098823,-0.8520612273601779,-0.875719381858174,-0.8647702837359672,train,2.306597057427622,1
