,AIBL,AIBR,ALA,AQR,ASKR,AUAR,AVAL,AVAR,AVEL,BAGL,BAGR,OLQVR,RID,RIML,RIS,RIVL,RMED,RMEV,SIBDL,SIBVR,SMDDR,SMDVL,SMDVR,URXR,URYDL,URYDR,URYVR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.2830073860417265,-0.41724475943388145,-0.26356542498948293,-0.3891079814176856,-0.2362449413879783,-0.3777098407193886,-0.531118063920929,-0.37518875439951105,-0.3142458009649022,-0.3526003086942626,-0.3444648114407298,-0.2691022562267549,-0.14052757391458093,-0.5247801444680977,0.07546901953720914,-0.3012111522727278,-0.12254271095312959,-0.01091812153059216,-0.33448152515673885,-0.1374648733899752,-0.3619593560765427,-0.22899645924383644,-0.40933682232508073,-0.35991608817064097,-0.3425643449379658,-0.33544507176661603,-0.406212065505298,-0.31136067952212865,-0.22419012405478494,-0.05843117880715723,train,0.0,1
1,-0.4690434289764206,-0.6383848514544624,-0.3202391053219008,-0.4992976190179305,-0.3537538523655298,-0.49798029436664837,-0.747997237012003,-0.5661842502950045,-0.5137952088150664,-0.41859110478623207,-0.4389205538271685,-0.35617687813393073,-0.11130234138354242,-0.736312269497627,0.24472993241903057,-0.3913115711430435,-0.0695965899912076,0.018309672321142233,-0.38783590808017004,-0.15915395556055018,-0.4734960855189575,-0.34528539759409727,-0.5557759577116066,-0.46185831144474726,-0.5089222155241977,-0.4512942837929334,-0.5225520575760516,-0.46411623812475755,-0.3127717453064078,-0.014246511740639789,train,0.25641025641025644,1
2,-0.5738342837832079,-0.7570776651792382,-0.3510863935322126,-0.5578806003392223,-0.400475446431175,-0.567939330132374,-0.8589976790869123,-0.6706994221576414,-0.6309079897684443,-0.4495793668153144,-0.47822386575498665,-0.41031265337879375,-0.09406445692090405,-0.8440236115789308,0.34212685024136036,-0.43607150923757426,-0.01896013890040027,0.05312061987219174,-0.4051997544946614,-0.17798974362383763,-0.5084460627414282,-0.4064700093944158,-0.6385360131911738,-0.5110121911188461,-0.5938658464610075,-0.5201882366440389,-0.5770541987688668,-0.5469813704789241,-0.35411852249753784,0.021015013784388747,train,0.5128205128205129,1
3,-0.6367873285594801,-0.831725912319133,-0.36210778562244605,-0.5752948259664641,-0.4142341150586547,-0.6001222816382046,-0.9187636678783324,-0.7250339572224375,-0.6972516349357686,-0.46247872515073596,-0.49633880893143956,-0.4420470841149753,-0.07236080073732028,-0.8879964574644367,0.40138513205433224,-0.46085055066144376,0.011142784568268366,0.09159404701283237,-0.41164174063123177,-0.1757329159490182,-0.5260378321439794,-0.44104875123315246,-0.6843771697832002,-0.5402760796324831,-0.6317961049830736,-0.5420778294656242,-0.5979241385309753,-0.60232106630051,-0.3656475119538667,0.04599723490924085,train,0.7692307692307693,1
4,-0.6743408164034566,-0.8779103428207603,-0.36869605069445505,-0.5886858770336623,-0.431895456035409,-0.6168756493654076,-0.9598032335099578,-0.7610323856503074,-0.7450023611090807,-0.47428150654098067,-0.5103101203836544,-0.4630153072794573,-0.06574749417117691,-0.9212879370227535,0.4381941616770948,-0.47510864233442623,0.03456714839351879,0.11166065659449845,-0.4112009671538126,-0.1819773078486902,-0.5395612757022809,-0.46845750654588725,-0.7147249078666146,-0.5625967866318216,-0.6610499182235404,-0.570217089361515,-0.6167386138440873,-0.6407066696537111,-0.37776176156800084,0.05543140745675815,train,1.0256410256410258,1
5,-0.699103071209047,-0.9101954573756955,-0.37418296925716166,-0.5803371670457518,-0.4185032757214556,-0.6192766811441813,-0.985919961299441,-0.7806502826283584,-0.7738865214292125,-0.4688692930402168,-0.5113128264711162,-0.47475221186546135,-0.049856967431561705,-0.9326095843889362,0.46508731376626045,-0.48650030202621797,0.05758777451158492,0.14384996627401256,-0.40458997536592495,-0.16939830658019805,-0.5357843594986292,-0.4770185759295462,-0.7249639006098567,-0.5736451522281312,-0.6676855085120439,-0.5774975321637416,-0.615670648024659,-0.6666478960305828,-0.37564574817502927,0.08089505247710552,train,1.2820512820512822,1
6,-0.7293500302382442,-0.9299680205309415,-0.3699260269206236,-0.589828413619132,-0.43207370212218416,-0.6239385461961221,-1.004863337158938,-0.8039120031644983,-0.7986789568208609,-0.4736963679515506,-0.5165659946317175,-0.4805562378334902,-0.058139188080048615,-0.9484536039958715,0.4802662281971669,-0.49402909290105584,0.07099995993016922,0.14921051023149332,-0.40495309304018934,-0.1741865934445367,-0.5313615494667304,-0.49173227078466175,-0.7411739680943067,-0.5862130771972556,-0.6843580642362177,-0.6043364973967188,-0.6298434678989823,-0.6850019842831243,-0.38568353519574594,0.07987148065322106,train,1.5384615384615385,1
7,-0.7367169751606025,-0.943482900359183,-0.3688811389456367,-0.5925935004290609,-0.43359698634923116,-0.6309851955087781,-1.015515032364695,-0.8122604865565676,-0.8177478942659325,-0.4821055195524184,-0.5179403771328784,-0.4943802003103257,-0.049726200701692536,-0.9525329781424109,0.4944275326400852,-0.500292504042188,0.08347891187538964,0.1629607674040204,-0.4017794253154643,-0.1754090169647517,-0.5301988781789562,-0.5033138837649972,-0.7512270643763412,-0.5943053268425205,-0.697368538093313,-0.6057306986673746,-0.6355662290578183,-0.7022453145773233,-0.3825605764503371,0.08692012027581156,train,1.794871794871795,1
8,-0.7406206114137958,-0.9479137443087718,-0.36563996102757845,-0.5903506174573891,-0.4324826121483216,-0.6338699071251043,-1.0204050278619388,-0.8201691833340384,-0.8244669084985352,-0.48243138248130724,-0.5203852989727733,-0.4924903967755122,-0.04443501844625969,-0.9525753014110375,0.49863859878639283,-0.500514254170295,0.08392561794726827,0.17189456879414675,-0.40349370647966276,-0.17311363126126028,-0.5291624026155292,-0.5045196647739163,-0.7519977250378085,-0.5986094634831922,-0.6999639609680839,-0.6087747675337867,-0.6325266847564694,-0.7106414143334807,-0.3853906864924669,0.09114775549189078,train,2.0512820512820515,1
9,-0.746945771000838,-0.9594894420988455,-0.3661646485304907,-0.5811744175554421,-0.42929621285599395,-0.6375868414778523,-1.03111274023977,-0.8265931691789651,-0.8372041184772904,-0.48090479285373355,-0.5188825484602675,-0.5002371793259108,-0.03797119943960697,-0.9585595812341867,0.5143374590069748,-0.5065570220592406,0.08945665643948336,0.1833757199606958,-0.4030016823779964,-0.16751054617495542,-0.5283923404458554,-0.5072198363762619,-0.753194229302206,-0.5963536420429114,-0.6999263083357102,-0.6055950003567463,-0.6327967306997289,-0.7147193625788214,-0.38217774937580257,0.09908809094808599,train,2.307692307692308,1
