,AIBL,AIBR,ALA,AQR,ASKR,AUAR,AVAL,AVAR,AVEL,BAGL,BAGR,OLQVR,RID,RIML,RIS,RIVL,RMED,RMEV,SIBDL,SIBVR,SMDDR,SMDVL,SMDVR,URXR,URYDL,URYDR,URYVR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.8179186573331936,-0.8588509863086788,-0.14505817021910317,-0.9446360532376425,-0.6155758527410917,-0.4576971588659121,-0.9725812553566632,-0.9768795552376418,-0.8078491904151789,-0.589420452108989,-0.26671228168705197,-0.9689666076620832,0.5134090018540527,-0.9436362389817537,0.1735681126064592,-0.7704785777037908,0.12860436450083612,-0.0829224971070811,0.6730136290049822,0.8098020679723557,0.2911164789678109,-0.5951630814807881,-0.8496465938039146,-0.9261121215123399,-0.7183180854155466,-0.909814003497324,-0.9281812262657126,-0.3578936008333611,-0.342154437276594,0.8241080616460523,train,0.0,1
1,-0.7638949818503395,-0.9199569654867742,-0.23581031798875196,-0.9557983715005827,-0.5998182923191392,-0.32903768700310476,-0.9035674269111813,-0.9643043513715992,-0.7386776871734638,-0.49126434906467786,-0.8371988888497548,-0.84187549773103,0.21257619545458728,-0.9682733803618117,0.3436448089427475,-0.7692945813461727,0.2613442007150011,-0.10020288587675175,0.9771346691130842,0.6332401189474128,0.874603413105504,-0.5943926385881309,-0.8063118761772442,-0.9431954409037844,-0.794471944141606,-0.9447763773698523,-0.953051977396244,-0.2008952164437655,-0.37063190114637024,0.8395573779574335,train,0.25641025641025644,1
2,-0.770225088366691,-0.8923295355563873,-0.13172813512924564,-0.9524405097335249,-0.5729778428192591,-0.4033837945414914,-0.9370214619215647,-0.9427602175588062,-0.6620524166488979,-0.6037290627587837,-0.43488697973485935,-0.817925367029062,0.513904774582691,-0.9462266965366062,0.3828748420633108,-0.7829944067001819,0.3346068728678362,-0.02969442414331669,0.9696025854387982,0.8359295412521413,0.7165351670453128,-0.6114086026034194,-0.838674292152948,-0.9484603526916827,-0.7956670163093125,-0.9004253356972548,-0.9350484925724416,-0.19134191592361205,-0.42412441571299564,0.8772586716896029,train,0.5128205128205129,1
3,-0.7336800040783285,-0.9348267950992036,-0.10951059754249282,-0.9370765944431874,-0.6317322072919695,-0.5339979354522525,-0.934291136435876,-0.9599039406757399,-0.7416487611149201,-0.5448852565965369,-0.6414192320786088,-0.8766180014425575,0.30882672949153034,-0.9406381271621888,0.4316484005851555,-0.7653253477910068,0.29109103341725673,-0.13774979458161563,0.8072262136673791,0.8272929526254782,0.7904559660112036,-0.6124717951734793,-0.7844961667792186,-0.9326114622526059,-0.7923587166089958,-0.926710431005247,-0.986083095133648,-0.2173451157206221,-0.4221734635939761,0.8426048659620047,train,0.7692307692307693,1
4,-0.772937753049777,-0.9069098015881621,-0.02434859599155048,-0.9536820921249283,-0.700218872948482,-0.4743954712774535,-0.9192937410434165,-0.9539285826248097,-0.7541190094130407,-0.5143827101094267,-0.3110196608251067,-0.8819587424741482,0.4303829178999212,-0.9397079342490731,0.4309335097013651,-0.7981559005218211,0.494158157014178,0.00024811918405998057,1.0,0.8894051917457457,0.8820794486580168,-0.5485397958051597,-0.8304983552561231,-0.929500591598071,-0.7795855122917591,-0.9603429833313494,-0.9302739573195883,-0.35490879522800967,-0.4366532793317891,0.9053850815399551,train,1.0256410256410258,1
5,-0.8361344849824222,-0.9309185916677908,-0.008272218154016575,-0.9315283613065831,-0.6194068370544138,-0.4807267042650485,-0.9044232123993351,-0.9466097230134202,-0.689705251572025,-0.6660173827597786,-0.5094492572663493,-0.9519342641749975,-0.043624502833532586,-0.9197365812260385,0.45158006215175495,-0.7979985190311382,0.6032502726715963,-0.10799192166309046,0.8890249526916612,0.721330369736628,1.0,-0.63488570428369,-0.8401944400069824,-0.9399696797367648,-0.8205187976796098,-0.9494505979313349,-0.9456105382304029,-0.34572063055072233,-0.48066125940373217,0.8000516340934383,train,1.2820512820512822,1
6,-0.816400514453301,-0.9124824595744797,-0.0842784841184876,-0.9625109815462756,-0.48225158486984565,-0.5659922750689053,-0.9539444086479975,-0.9718363290541798,-0.7449209465337243,-0.38649861111307715,-0.7024471900588547,-0.996345627027417,0.32766918708007386,-0.9311212530550906,0.5064245003595964,-0.8629080056657304,0.4727899761715242,-0.18366027700875998,0.759490480139466,0.7920047033363022,0.7810441474608683,-0.592023806764968,-0.8326625945109196,-0.9220772528024774,-0.7532245641513158,-0.9326364832463484,-0.9906049684322505,-0.22913649581817586,-0.39065710804203047,0.8788430043500639,train,1.5384615384615385,1
7,-0.8935080156424975,-0.8871271915487166,-0.039182410036880944,-0.9525094809732966,-0.5569586276135128,-0.512058641751712,-0.8941206085919782,-0.9460753441304228,-0.6920679817333903,-0.6077192104641473,-0.37450252772103965,-0.8277109861568661,0.19892190011986655,-0.9506219506997755,0.4679540621452558,-0.8703142696820214,0.5576774033024501,-0.04306116143874561,0.7378958830586471,0.9278180199892541,0.8961210739142893,-0.7092506336255175,-0.8836052410194493,-0.9339336579747494,-0.7776206692418481,-0.9682483886140484,-0.9610996699860394,-0.3360546897750749,-0.39902356951322404,0.8326016023902592,train,1.794871794871795,1
8,-0.8395882767759475,-0.905694853473624,0.005960064319206149,-0.944463137240304,-0.5706191183891227,-0.4643461868471368,-0.8949450256051694,-0.9498792169024153,-0.8229214095490858,-0.4949199196069427,-0.5494654262375361,-0.8516757890892355,0.4026063851227164,-0.9241540710763739,0.547661803325288,-0.850300077516689,0.4968977256641991,-0.07002292715187786,0.7729114680459852,0.7108822478382177,0.9004562118685313,-0.48627553347534014,-0.818870113964117,-0.9430124063193018,-0.8089436123565985,-0.9206849275315931,-0.9531636177628137,-0.340033634699645,-0.4771999467184007,0.8536717914796526,train,2.0512820512820515,1
9,-0.8156306174676757,-0.9197669542674158,-0.14274321535420742,-0.9391574631539096,-0.6353891990966227,-0.5550156427963182,-0.9121208104697851,-0.9714661413148091,-0.669603012300489,-0.5875944916919414,-0.440626546348185,-0.9125726843901719,0.20416133817016968,-0.9570628880822275,0.5587986389764932,-0.8427146891516752,0.43114672279458777,-0.10175674366694198,0.5855989969499102,0.9091098183256952,0.6314851603756231,-0.43462053011698265,-0.8855951381741891,-0.9309945820118418,-0.8010140415732628,-0.9396907616064127,-0.9498768002380477,-0.33970715987301314,-0.4688275844784505,0.9799673704048544,train,2.307692307692308,1
