,AIBL,AIBR,AIZL,ASEL,ASHL,ASHR,AUAL,AVAR,AVDL,AVEL,AVER,AVHL,AVJL,AVL,AWAR,AWBL,AWCL,CEPDL,CEPDR,CEPVR,FLPL,I1L,I1R,I2L,I2R,I3,IL1DL,IL1DR,IL1L,IL1R,IL2DL,IL2L,IL2R,IL2VL,IL2VR,M1,M3L,M3R,M4,MI,NSML,NSMR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,RIAL,RIAR,RID,RIVL,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,SAADR,SAAVL,SMBDL,SMBDR,SMBVL,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URBL,URBR,URXL,URXR,URYDL,URYDR,train_test_label,time_in_seconds,tau
0,-0.07713938612091342,-0.16859517027618878,-0.16717175494469105,-0.3922323394080705,-0.2265072212167967,-0.3392753923916111,-0.14879951733845537,-0.03908968083224858,-0.19794978039552866,-0.12268635981187707,-0.1112849567049828,-0.1520851705195981,-0.2244698232468944,-0.06571809729719277,-0.13702506527810973,-0.34316042924009693,-0.2587187469866097,-0.10589165534483061,-0.370731249714096,-0.1539045803934655,-0.3813590059152012,-0.4537634468462583,-0.28129907856987996,-0.11520813072698874,-0.11031045872885455,-0.07744860286027198,-0.32691795507471333,-0.3582975289401684,-0.33809594996214565,-0.15209553213994792,-0.16854271723180922,-0.38889272620850923,-0.2451360632414357,-0.2828074847995011,-0.2832745977724196,-0.38783073135093665,-0.3615990339209363,-0.24702191394244555,-0.20809972847883154,-0.42476010706325695,-0.3868193547353991,-0.35654680999596666,-0.1517442087885167,-0.14199416161487166,-0.1704283818859956,-0.21226806932618011,-0.0843022847050351,-0.3058147397633367,-0.05717223292824827,-0.1761333223342461,-0.1624083679734975,-0.30382019468622123,-0.2544588450796341,-0.1347055265109751,-0.09122483860446076,-0.13145358756698572,-0.33579282766529517,-0.1317635534342574,-0.030307965670877415,-0.2732409034708011,-0.10606135481880682,-0.181851517273637,-0.09576619625114431,-0.10380925044233824,-0.196011987853168,-0.3512000169406145,-0.21661372390131317,-0.1702053355835461,-0.23544540050491203,-0.20321736387462427,-0.3043244567616163,-0.20901629546627146,-0.3163256045395044,-0.2478626829752238,-0.22756581426563005,-0.2888196998195475,-0.2094880848852766,-0.12633579314196658,-0.32681787887172764,-0.08172950563377983,-0.13724557606985735,train,0.0,1
1,-0.08108909780645007,-0.1958570355232903,-0.2093971535449936,-0.5150235338406725,-0.3353475754424019,-0.4622398192359947,-0.19384369547288816,-0.06679644074731722,-0.25712686266085233,-0.1753673413411445,-0.09534342176074018,-0.23952595102109167,-0.3118571877622951,-0.14949631294726964,-0.21128820498198844,-0.4661256542742128,-0.3129447475623016,-0.16683497020489024,-0.5007863401833446,-0.2572071228399371,-0.5177118159188341,-0.5986951597549701,-0.3456340190468825,-0.10426764193403315,-0.10470130940453966,-0.10027084880227069,-0.46052189844986435,-0.46308045941462234,-0.5157854639102837,-0.2260887056282222,-0.24298691674443013,-0.5414737942402692,-0.35202482315786027,-0.4231499070067363,-0.3310364933563609,-0.5106466715558586,-0.4974902930710374,-0.3620037859776205,-0.31106030750839514,-0.5933582045498991,-0.516456566171252,-0.4748856974747364,-0.231813181955221,-0.19786032945126492,-0.23432255802149504,-0.3024714220537102,-0.18056203471687077,-0.36724817431357265,-0.07707142703637766,-0.19882389794534608,-0.2606112317269036,-0.36940147704708315,-0.35208683559009785,-0.14908549692022857,-0.11990524953907264,-0.18592320644140312,-0.39446876253206004,-0.23238098147636665,-0.06429116723560742,-0.38020983085236815,-0.1459753802207638,-0.3020312702617009,-0.16126116860350131,-0.11769180946687757,-0.2252567387615011,-0.4482229481919152,-0.30926406656433986,-0.2245515362636492,-0.3052453729160657,-0.29856815005691595,-0.4009824784617369,-0.3267376147793191,-0.41881604544614903,-0.3377390336520223,-0.29712097444245644,-0.3899110638488749,-0.32368939632253463,-0.22759170515380753,-0.41842914380591956,-0.1451291116161352,-0.162254950648142,train,0.64168680646344,1
2,-0.11225315557139826,-0.22317098903554805,-0.24928005201288478,-0.5979800403772266,-0.3961415022153583,-0.5257244473721157,-0.23335399603056042,-0.09266707198697519,-0.32001632182263934,-0.21821867048120583,-0.13655705721016972,-0.29258610363901316,-0.36577015799748086,-0.21779255234915246,-0.2804541724540551,-0.5190686593014364,-0.3678011469932992,-0.22048370890827482,-0.5814313785039502,-0.3332242026108432,-0.6032589088258523,-0.7173602719024145,-0.3690226165019964,-0.09210560163367679,-0.1058184627552056,-0.10243283798065721,-0.5486382902238757,-0.5111547867380338,-0.6144323591888744,-0.26549511396353953,-0.2830283586659766,-0.666964212212052,-0.4403172796862925,-0.5375851178992836,-0.34460865815721464,-0.5895831292057294,-0.613495220142449,-0.46245517193439467,-0.3828456415555725,-0.7095648627921705,-0.6309010725966447,-0.5383635107123755,-0.2823813100004056,-0.229374433815998,-0.26527707607845247,-0.3521214438319608,-0.27662882117697035,-0.41789891131033285,-0.09915760569160317,-0.2196535367639682,-0.3576560664974649,-0.44100009106559424,-0.44783336682107955,-0.16954589809492465,-0.16131262557451878,-0.20301077757473035,-0.4451017943108979,-0.30604762517377504,-0.09803213500469063,-0.47587848962155205,-0.19936023873174466,-0.38271797306422983,-0.1909903307555576,-0.12561859013558765,-0.24909834329750896,-0.507803675791213,-0.37901373317055986,-0.24824604449566856,-0.32730836405777053,-0.37176303197232174,-0.46281172159993195,-0.41122039805266375,-0.48702847450868825,-0.41746581055493803,-0.35404455520832245,-0.4497934116281097,-0.4028149422953168,-0.33067963606462614,-0.49051258426553346,-0.17957677054784668,-0.18552845414043834,train,1.2417055519199494,1
3,-0.11437345751631292,-0.25489845673558276,-0.243519537961575,-0.6512282067462685,-0.4458509096731254,-0.5344556128236965,-0.22625017043300974,-0.07230162538536418,-0.35466130024508014,-0.2374029687446217,-0.13798190079353978,-0.3150913300697633,-0.3861588537988411,-0.24780491293354504,-0.2869301319028027,-0.5574045936765183,-0.3914176570736148,-0.23980327677799163,-0.6177770056834826,-0.3744209319371897,-0.6434031041744153,-0.7660819705987341,-0.37931504338720445,-0.0832268214653959,-0.10508914790018871,-0.12692826035416693,-0.5885978446943161,-0.5583563148053077,-0.6706069208835779,-0.3109552397706399,-0.3208258970069608,-0.7406234775545342,-0.46860772472782936,-0.6290687468979603,-0.34981580870531337,-0.6536293285344463,-0.6547519187527977,-0.49242684260956193,-0.41832449841917635,-0.7754457334943656,-0.6614864963254697,-0.545528045263152,-0.32411726062546514,-0.27655761829890824,-0.2785060756707695,-0.3775650178475828,-0.31291224330053763,-0.4257756281746834,-0.09077040372383792,-0.24992529936525504,-0.3806783044187995,-0.4527645085472757,-0.47968794363604017,-0.20226551730863493,-0.171129101597657,-0.19687440613287457,-0.4597108036662414,-0.342640343928146,-0.1025984181361485,-0.4975462772342316,-0.22692894182128867,-0.3933640790687043,-0.2268907202563752,-0.10940697519298491,-0.24612423131851824,-0.5177746452008658,-0.4180599538421609,-0.2604293434491417,-0.3438588014664823,-0.39129835676916697,-0.4814896868325917,-0.4412780091899102,-0.530210850401385,-0.44564222800776243,-0.3656326522322456,-0.5028204584485708,-0.4416773235063825,-0.39154986671032094,-0.5291240646986345,-0.19053170036867267,-0.19885398223224623,train,1.8417245737382473,1
4,-0.09844127914835388,-0.2551906212321554,-0.23091176313204465,-0.6683649052888418,-0.4760707006047837,-0.5349024326607065,-0.2413410975074326,-0.05835017643562901,-0.3575579168879016,-0.2197455362341476,-0.1323655861933921,-0.3477098917961489,-0.3981401245984373,-0.260057546192916,-0.28869579602450934,-0.5621884356774551,-0.389612825598436,-0.2648603131537218,-0.6525206848213168,-0.3892637720708162,-0.6630417197418127,-0.8216438314998615,-0.3880483727627967,-0.09569987434925055,-0.11125856277024324,-0.1470499529473712,-0.6302618833794273,-0.5817379792486961,-0.7068159468707764,-0.3286672101826189,-0.335160264444525,-0.7847297702047522,-0.49761460250750594,-0.6715304575661856,-0.3630378916831196,-0.6965291394644477,-0.6803380105990454,-0.516879706338041,-0.4287095318997008,-0.8018822009647548,-0.6964025611501024,-0.5806681623812894,-0.34074877786634233,-0.2751083937616615,-0.2951771723366928,-0.4019307180663871,-0.3311484290656566,-0.4493950710882354,-0.0984292826146671,-0.27450114313192625,-0.4229959669992367,-0.46240323190422816,-0.4949733459049165,-0.22030191908263547,-0.1616502521240742,-0.20238740674445366,-0.4818490620904341,-0.345076551750177,-0.11815315562625411,-0.5224324895731667,-0.2175578553294473,-0.4024385811659251,-0.2608879925273381,-0.11275769570797559,-0.2555473345091208,-0.5524631613819122,-0.4456399853250203,-0.27869600620055845,-0.35368115140678846,-0.42925820262937947,-0.4977142716327265,-0.4445044885479744,-0.5426195289150239,-0.46558123440940713,-0.38514331546868397,-0.5337209287847621,-0.47365427263106286,-0.4206183945941983,-0.5331010420242827,-0.20548442124041005,-0.22034474346899235,train,2.441743404283443,1
5,-0.08680402562424827,-0.258299510223156,-0.23112235400612097,-0.6807919202862668,-0.48931029800610376,-0.5376499702797461,-0.2526402744685706,-0.05554348516667372,-0.3786898543876923,-0.2154656954113972,-0.13379865423456255,-0.371223953787928,-0.4052735257524065,-0.259130466617084,-0.2850539665343244,-0.5610773615699778,-0.39236058934523727,-0.277364326422976,-0.6611536786622613,-0.38153898752277554,-0.6637064239092023,-0.848672957960717,-0.39750376517750197,-0.09999546005622996,-0.11684185699795717,-0.14890439619307266,-0.6521406126696934,-0.5857102118168929,-0.7259576011857595,-0.3367786295676062,-0.3352341487185326,-0.8108001031276273,-0.5160563492441848,-0.6930359552931458,-0.36650441865519934,-0.7154634433863738,-0.6843622685471125,-0.5295560164934427,-0.43757044217531627,-0.8177829993795496,-0.7221639137620066,-0.5872059822829354,-0.3454398658596445,-0.27049968472418484,-0.3077474525453222,-0.4160362384266824,-0.35323129934888814,-0.4668875328654343,-0.09783587291082092,-0.29078186041795107,-0.4528869218772121,-0.45915641021146747,-0.507375642113375,-0.22775373111702615,-0.1569135138092632,-0.197802038084501,-0.49395005054750774,-0.3577582915870093,-0.12294014140573911,-0.5340103345008533,-0.21658451345963292,-0.41310739042537403,-0.27075286205396154,-0.1103715648065171,-0.2570071703653666,-0.5682394716424665,-0.470758925988688,-0.28730849713972334,-0.35710870894790514,-0.45709025535607045,-0.507250341545204,-0.45007711431580877,-0.5400731302029756,-0.4886518898646798,-0.40134753918891275,-0.5547575604443895,-0.4888737132764773,-0.45190095047686574,-0.5350772501083889,-0.22000844562944483,-0.23070081900771253,train,3.066762989737981,1
6,-0.07264852994384222,-0.25703625376919215,-0.23754692850491071,-0.6864119345926478,-0.49562054018834223,-0.5394136632890457,-0.2582854816460156,-0.05227981923432852,-0.39877986036442026,-0.20636460534817228,-0.13516490119608204,-0.39128268655235204,-0.4090258352281272,-0.25632284643676473,-0.2815453063044899,-0.5510989296668286,-0.39572898188131944,-0.2870094580573169,-0.662161257892881,-0.3675916368279131,-0.658223294058802,-0.8659525296984328,-0.4038330322270306,-0.10407960265110933,-0.12442993935971171,-0.1453854202911174,-0.6650555982246413,-0.582759120068175,-0.7385848695049467,-0.3387486226062013,-0.330655862158465,-0.826714205387417,-0.531683538841701,-0.7038916636523981,-0.3651353494077322,-0.725099863555821,-0.6810843985851838,-0.5387132438050625,-0.44398607289910885,-0.8208577891757227,-0.7412875490208911,-0.5847129061145391,-0.3451233919427026,-0.26228744688068373,-0.3185106809086424,-0.43067843491230495,-0.3675929008421166,-0.48182253140942544,-0.09591409363040623,-0.30510678870124464,-0.4765114265099455,-0.44919024661314333,-0.5168157230945757,-0.23097816086272382,-0.15280337651491965,-0.18975891269229347,-0.5100239956736425,-0.36931084628231425,-0.12734762833360086,-0.538135329862474,-0.2155156121747738,-0.42236605307074165,-0.27396661391460125,-0.10461164719738461,-0.2574085216231076,-0.5762261831847957,-0.4936560423960412,-0.2942192661228598,-0.3612821396390804,-0.479137355321036,-0.5073370151377585,-0.45273115238523975,-0.5302167402127443,-0.5070226117809368,-0.41543806477312206,-0.571085966091856,-0.4947110980736593,-0.4767238853744848,-0.5322041377707678,-0.23392022139684754,-0.2370931865634978,train,3.61905305082837,1
7,-0.057161225087423044,-0.25115969658300086,-0.24888556028730885,-0.6878658641716863,-0.49913496992001216,-0.5405704901317384,-0.2609880392599484,-0.048781544043258504,-0.41816807745295637,-0.19300166167658556,-0.13544339089582033,-0.40992529576494524,-0.40778766323353705,-0.2520756458007543,-0.27809326946168494,-0.5348449128866398,-0.3967332070488815,-0.2963600378135456,-0.6597195824252474,-0.3492529966480353,-0.6483669059071031,-0.8781543359628718,-0.4069602600693404,-0.10841271507730552,-0.1341432568184319,-0.13788137707895134,-0.6736547136306992,-0.5753928127675445,-0.7477632307127933,-0.33678251839613316,-0.3229286712821957,-0.8348237965855141,-0.5460339699304564,-0.7074280005311439,-0.3607929413414691,-0.7289776014759621,-0.6735272592794682,-0.5454940651220963,-0.44922466832333574,-0.8157516282409059,-0.7553547541364959,-0.5760824806149198,-0.34042656040380215,-0.25081602635040123,-0.3303461835644062,-0.44739024195617966,-0.3736374047433731,-0.4950177461982542,-0.09214578236412403,-0.31737773531572105,-0.49676034587497253,-0.43369345826087513,-0.5235272141816897,-0.23051421657534243,-0.1487174210703464,-0.1808167332493487,-0.5280985536261819,-0.37859082777745257,-0.13179279862152785,-0.5355697471994234,-0.2139933002247906,-0.430860438689561,-0.2729979933174989,-0.097004620280064,-0.25593903774669546,-0.5797024946701779,-0.5154121353276413,-0.3012302905855875,-0.3669966317610326,-0.49651162018249173,-0.500781161584937,-0.4523813257128583,-0.5138417346654575,-0.5233520056158916,-0.4256886976693274,-0.5838592052865258,-0.4945745185198336,-0.4965185387383116,-0.5238744592104304,-0.24573563396507733,-0.2416058081754121,train,4.25680038995506,1
8,-0.05044808433732474,-0.241467449897183,-0.2594785932456151,-0.7014074731892235,-0.5227730829447881,-0.5445603718370076,-0.2591867741335157,-0.05443999256314193,-0.42255060334223443,-0.20734974181468907,-0.12963471886860842,-0.4081787926599931,-0.38576361473424786,-0.26136033302873307,-0.28347154273980046,-0.5393201530989784,-0.4133160765445553,-0.2993836631551619,-0.6745960662756219,-0.34208353904882965,-0.658411703556767,-0.8897606110126786,-0.39091134872305816,-0.09206164982661307,-0.14598998682537723,-0.1344828335054639,-0.6789196734016241,-0.5895533527427075,-0.7436994356719963,-0.343637836052341,-0.3106960591519255,-0.8484703533850957,-0.5691972064669959,-0.71204156700811,-0.35648345901427647,-0.7310168728270336,-0.6831019744488878,-0.5496015999469591,-0.4721621037552584,-0.8202908519201815,-0.7498234011267062,-0.5515496419392475,-0.32038800658951017,-0.2461560423662334,-0.3403712503271871,-0.45405003102890534,-0.35700755651640365,-0.4884645405188669,-0.08629050065351758,-0.3413804065818176,-0.497240354518742,-0.4299764041303745,-0.5169307845767631,-0.22861575227858788,-0.14949182210887543,-0.18624408633523262,-0.5218963215990599,-0.3850173723926385,-0.14127213554480972,-0.5304232418945347,-0.2324967884576695,-0.4164295202451626,-0.26133744603013565,-0.10509785154878964,-0.23981693129264936,-0.5707747349048379,-0.535984155183572,-0.322724252183307,-0.3794572357626548,-0.4849052343070826,-0.49684416492508676,-0.439410521757942,-0.5024653299802911,-0.5261206916517103,-0.4325079362732588,-0.6058006318480759,-0.4900337976102823,-0.5070185057824426,-0.5239922067436497,-0.23057850286497578,-0.25168949509397553,train,4.8418188144642045,1
9,-0.030527252337441454,-0.24525328267303714,-0.2608831370345898,-0.7003909395010001,-0.5301514490977247,-0.5509716999333162,-0.2612807206847941,-0.06667591162507674,-0.42044818555686825,-0.1919002249412867,-0.1399394240689941,-0.3945376783586298,-0.39786102994069256,-0.2745125448083941,-0.291754280460566,-0.5458159543407664,-0.4216210487975548,-0.30038566549949913,-0.6735609930411377,-0.35619583042574227,-0.6692587644432669,-0.884934143908149,-0.3933556485914708,-0.09407893979763379,-0.13136421857256353,-0.13256934989961888,-0.6714217585006041,-0.589604192542619,-0.7612487789573004,-0.33946645785806306,-0.3104450919704031,-0.8585967179159533,-0.5781637758653555,-0.7295035125141786,-0.36529245346231354,-0.7369927736609412,-0.6944237441793082,-0.5571062203797014,-0.482691645069438,-0.8145284928280234,-0.7432702630562392,-0.5315115856865451,-0.3214418637892755,-0.24643669996097695,-0.3416477016717451,-0.4691233681871618,-0.36260229025788404,-0.48995660441643674,-0.06502461343061947,-0.3565542304082504,-0.488842859104926,-0.44158329445035105,-0.5199373605601141,-0.2204910067789911,-0.12870455048640972,-0.1824618808680198,-0.5446783691029077,-0.3937527022007911,-0.14654805332626247,-0.5086810151268064,-0.22880770953193413,-0.40420364253658975,-0.2540851693658961,-0.10836612665621485,-0.23779398619373954,-0.577881443528127,-0.5340944571207205,-0.3274890333235234,-0.37887227662915846,-0.4686018557474893,-0.49041207069180354,-0.4483547513403961,-0.48842135552611665,-0.5141333128565091,-0.43372073846931225,-0.6120858937703821,-0.4833344341226439,-0.5114857097087152,-0.5232097842650087,-0.22252326928637098,-0.24206919280009764,train,5.441837552887591,1
