,ADAL,ADEL,ADLL,AIBL,AIBR,AINL,AIYL,AIYR,AIZL,ASEL,ASER,ASGL,ASHL,ASHR,ASIL,AUAL,AVAL,AVDL,AVEL,AVER,AVHL,AVJL,AVJR,AWAL,AWAR,AWBL,AWCL,CEPDL,CEPDR,CEPVL,CEPVR,FLPL,I1L,I1R,I2L,I3,IL1DL,IL1L,IL1R,IL2DL,IL2L,IL2R,IL2VL,IL2VR,M1,M3L,M3R,M4,MCL,MI,NSML,NSMR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,RIAL,RIBL,RICL,RIH,RIML,RIMR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDVL,RMDVR,RMED,RMEL,RMER,RMFL,SAAVL,SAAVR,SMBDL,SMBDR,SMBVL,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URXL,URXR,URYDL,URYVL,train_test_label,time_in_seconds,tau
0,0.04158362308844756,-0.1607511068348846,-0.1300828944644992,-0.13155531529257747,-0.19376237986221648,-0.17160954582099572,-0.055872114989810165,-0.1756240575481387,-0.15193717857123734,-0.2245200937107091,-0.17121200096155242,-0.026700524582541064,-0.06221909066729567,-0.18507609942631614,-0.02068883544433038,-0.10334206311236355,-0.11570119235863931,-0.17890394739307292,-0.07799451980258683,-0.08574362177180218,-0.04923242624606863,-0.12907114611138165,-0.17869935495384615,-0.11851324412999031,-0.07746237251313483,-0.22003667474631233,-0.18267161358952327,-0.02640081099246873,-0.2602203079035265,-0.04004156419031131,-0.0365143199369283,-0.2338892559256776,-0.25421161836542105,-0.21578693905243984,-0.06824283879024859,-0.06300485558917886,-0.20405874662509693,-0.24324770688325922,-0.12732701828582102,-0.051857251281516956,-0.26075686048437796,-0.16987938555078697,-0.1176197608118354,-0.1418554703425007,-0.18136291134931692,-0.23307686057902333,-0.0943384390540996,-0.18728933850486007,-0.2885471941020008,-0.2289080566193733,-0.22715616546304407,-0.21776083162167828,-0.03163097207153733,-0.07866494420979148,-0.12795666059703992,-0.10926754115169568,-0.05857407439797435,-0.17915346126022058,-0.07164331231450528,-0.08925751020664219,-0.2419780973977482,-0.10462900257119333,-0.2205596995996843,-0.08218632292746511,-0.3231773434108166,-0.1808870791256752,-0.16859275042664545,-0.10375238156545948,-0.026568855094525258,-0.30387297345913233,-0.02619844624139641,-0.009987325941614202,-0.18090881905596584,-0.025490855244790292,-0.05186048668950731,-0.19808101967515349,-0.2545048657219326,-0.14109130936123832,-0.20624460259680003,-0.08152761913941126,-0.09519029619957857,-0.1160380051731314,-0.11010635200194392,-0.1834011024727528,-0.18012036193612385,-0.04267084540366258,-0.24642246029887896,0.06048926103795135,0.0019388898699532822,train,0.0,1
1,0.025156240769199253,-0.23374342073483972,-0.20688619617555745,-0.17888802107262697,-0.22576948055547064,-0.24321220379694458,-0.09496264281373623,-0.25326154316599164,-0.1755441091242938,-0.31803804262386176,-0.21132636164610585,-0.09010192405275691,-0.11204491373692614,-0.2597339057165593,-0.03247048243885507,-0.13742999390475724,-0.13369692895206833,-0.19337274742440003,-0.14165111008813358,-0.08916487595295106,-0.12585345439151782,-0.20012575958523693,-0.2628193189732754,-0.13975621836207008,-0.1614403483060178,-0.3213513899790367,-0.23543363474982423,-0.07566792314972483,-0.33351377606000376,-0.09693167472324374,-0.07667536285110231,-0.3158861502008485,-0.36441665126507894,-0.2795820464062958,-0.0439674404591336,-0.11212250743940759,-0.2529910760996089,-0.37980273038193535,-0.1574326973168303,-0.12015496743115084,-0.37604662706800684,-0.22782423435282914,-0.1979096017968374,-0.14796743602767878,-0.25464645192797664,-0.32677044658236387,-0.1621869007312503,-0.2838147974308061,-0.36016744993333083,-0.32253871362569153,-0.334892415339493,-0.34933264941941733,-0.07134458500019891,-0.12133428377692813,-0.21479316331991902,-0.17282944193728683,-0.12640393933183786,-0.19000131500643208,-0.11251106872047044,-0.11346360343265699,-0.29971725965784923,-0.13636919635760653,-0.2571953934089076,-0.19106075830160862,-0.4200795502018275,-0.27662246912024835,-0.2045697413145252,-0.10152649585820896,-0.043619802767018975,-0.3574527487279912,-0.06321423752187852,-0.03414848171380962,-0.23115372503565107,-0.04819255819067846,-0.09415535864172479,-0.24554139318206777,-0.3273016374271235,-0.1741848504295218,-0.26866330336675404,-0.10211991130197581,-0.1614110659941302,-0.1501576392738664,-0.20644216829751147,-0.24152841640045272,-0.20433547089174503,-0.08562021266077083,-0.30380971578890165,0.06300142463597347,-0.0654306246786896,train,0.6159284552741155,1
2,0.004169429259645294,-0.31682407346709474,-0.26492001237152873,-0.21391065067087972,-0.25254880283864817,-0.2678486355520254,-0.14899086897556255,-0.31711369649338333,-0.2070678174868679,-0.3853221026997409,-0.2653714988284041,-0.16911433932980552,-0.16989163652691455,-0.3283749305785354,-0.07901725106456,-0.16693089007041315,-0.14472723434362406,-0.21060257751452238,-0.18895525555068496,-0.1059915940143798,-0.1960949384317817,-0.24617970597110111,-0.3434980441222032,-0.17769840819437055,-0.23241786802962516,-0.3660297049001013,-0.290226129713679,-0.13516923561991734,-0.3990131976774557,-0.16109014259275953,-0.15116156017921611,-0.398984698309796,-0.47941178259100214,-0.3302222004883125,-0.0641873322744263,-0.13009987896546368,-0.2838165485078891,-0.4667672788781668,-0.18033065223822772,-0.18939378405007704,-0.4494894938385202,-0.266818378534878,-0.31066751603105824,-0.16779789775394793,-0.3187776400352874,-0.3973284410449617,-0.24590348421964506,-0.3488342256095046,-0.40679617971080717,-0.3999591569204092,-0.43344181944580706,-0.4385582932626024,-0.1007568570840893,-0.15271597346882793,-0.2524827873286138,-0.2235781089968049,-0.16358564448538293,-0.20065963644091442,-0.11530504393285172,-0.1394583662320794,-0.37681422818886257,-0.20336588241823927,-0.3107960060236439,-0.2600403669834137,-0.48349166752403194,-0.3223382492728474,-0.26177582240837816,-0.1334817571537245,-0.05595283153282616,-0.41010918078257824,-0.10397173641191143,-0.037869838497449515,-0.2968093562084778,-0.05501213651455946,-0.12644150930462206,-0.30883918334496324,-0.3701264550979134,-0.2222008577618229,-0.29598684307695466,-0.12374815305671671,-0.2193447016310357,-0.1931763074654841,-0.29852430052801815,-0.28975207228647815,-0.2237112238555523,-0.14279597897305002,-0.3486011201868495,0.04749159955291264,-0.11957954491801653,train,1.215947140364733,1
3,-0.0035028863244538494,-0.3713354895155502,-0.3361677342869617,-0.2539900675185053,-0.28127406641853103,-0.29346155182840417,-0.19351286238417914,-0.3508306471700116,-0.23053201150403027,-0.4701241396230781,-0.2927423121848646,-0.21564460411793518,-0.20131481406281052,-0.3618162592945733,-0.10160756060005433,-0.16110729869990312,-0.15145558966318073,-0.22131132986928972,-0.21367496925891638,-0.1084226904870484,-0.2240931355405024,-0.26411656112615634,-0.40151891803032413,-0.20569399043120834,-0.29041142471884357,-0.3831568435438953,-0.2953369557200195,-0.1896102190056037,-0.4265134760894327,-0.21036262982014212,-0.20897938032994592,-0.4590273670167004,-0.5444222543999839,-0.3577347770663042,-0.08000914365308445,-0.14069836178463163,-0.3301813687031715,-0.5246762590269979,-0.20539637289174867,-0.23021453231461936,-0.4810358454300896,-0.3173055689683477,-0.3944737876225386,-0.17363543772169573,-0.36429526595365896,-0.4379569059997062,-0.30539558680701173,-0.3969302191241902,-0.4067972900189635,-0.4808995760950741,-0.49216010501168717,-0.47207586124898593,-0.16196849962386028,-0.18659845424069404,-0.2593801890323501,-0.2660506258656468,-0.20615384300749462,-0.22264421248815133,-0.11801665278554721,-0.1658973222869752,-0.41651159892999845,-0.2563392927130483,-0.32793476620042616,-0.29913650698087785,-0.5164957841399325,-0.36345755136530883,-0.3110711241898486,-0.14705245621438565,-0.08168233593483767,-0.4308314237720201,-0.15003905282020558,-0.027960371937162443,-0.34626694896912846,-0.06552646023628325,-0.13914931617549486,-0.3323932772724191,-0.39758235386853924,-0.25913848796033867,-0.30446627330263765,-0.1568549894700056,-0.23638420398884155,-0.23750443210392802,-0.3649550734762608,-0.32317576387067337,-0.2277963342067681,-0.18256701485107424,-0.40022640608232296,0.04623889193612224,-0.16126572608654577,train,1.8159660189121496,1
4,-0.043051105016228976,-0.4061272410389961,-0.3937437477304574,-0.2671715373679171,-0.30630187332465164,-0.33431703998933937,-0.23275325636610003,-0.3811276634368355,-0.25071247342275066,-0.523962681653173,-0.32809085561274326,-0.26021284486598645,-0.230495514921679,-0.4174264880014297,-0.14018041550697757,-0.17383949516279532,-0.18800551125417975,-0.23448674869911673,-0.24484215970223971,-0.15358344893573145,-0.26788359021570485,-0.2942159572475253,-0.45613772291829935,-0.26151679378570586,-0.33666545130154696,-0.4183749838505358,-0.31947713316457477,-0.2324624343969468,-0.4639224509615436,-0.2641227571072285,-0.25492257554404635,-0.5120226034984368,-0.6312101315560559,-0.40594529654127154,-0.1078666574255834,-0.1372302845566633,-0.37793213176269014,-0.5721280478819764,-0.22428336194625834,-0.2619243878024938,-0.5345388979767292,-0.33437518366279007,-0.47563172277798493,-0.21941989253163868,-0.43339705101614434,-0.48157316569801945,-0.3461391642684244,-0.4083518243770748,-0.436670592814444,-0.5617899838210365,-0.5621315332429282,-0.5214257926590092,-0.21872746265492932,-0.22649476084754372,-0.2800991721008121,-0.32162143666044796,-0.24020492020337858,-0.26000286596971806,-0.12140305277966494,-0.1896848609274884,-0.46275720169868406,-0.3126009528617612,-0.3610905386788887,-0.3766283787942877,-0.5571108257844679,-0.4040174039326717,-0.3689332811639729,-0.17686740854619215,-0.08563376321828112,-0.46794371632034115,-0.1851487287513445,-0.02137499533682454,-0.36291582747769763,-0.05674283091221825,-0.16153736056892437,-0.3873535761839799,-0.4219911528629703,-0.272449023673515,-0.31836528903464295,-0.18240217120006602,-0.24739814678407934,-0.26371499486606975,-0.4332114504826746,-0.34331730425356666,-0.25831828125834744,-0.235738819231149,-0.436726611348964,0.028491127351632013,-0.20881312543502922,train,2.4159848494582548,1
5,-0.08161840241502827,-0.4409113688817116,-0.44528330052807574,-0.28578856934665675,-0.317046019564651,-0.3667037291856272,-0.26764429983797156,-0.4104135770448163,-0.2795047822003528,-0.5684178768988718,-0.35020217211155774,-0.30783653044063586,-0.2524382449519163,-0.4659540281660209,-0.17369217258573155,-0.17322842019350507,-0.20933414032653364,-0.24777834324774184,-0.2698129627012055,-0.18637348079856111,-0.2920633159720839,-0.32525580317472474,-0.5172189740304431,-0.3105581155299578,-0.37322169220325185,-0.4513692488805786,-0.34236222489837054,-0.25807839724365134,-0.49167497748639954,-0.30583288213744,-0.29111068445447996,-0.561447823452346,-0.6926416553395167,-0.4265002210166201,-0.12042348866127248,-0.1327727670697336,-0.4193721182878625,-0.5928523516561254,-0.24219113567711745,-0.2843025298658634,-0.5741220843778324,-0.3568942473818626,-0.5225546476902058,-0.24737518180814486,-0.4842430940481073,-0.5218212740481076,-0.3971944027969099,-0.422488570014084,-0.46105977083795013,-0.6227000610625602,-0.614390719145983,-0.5524928314664631,-0.2667957961718889,-0.2628415100489935,-0.2988972676621709,-0.35052705962880004,-0.2733993810930596,-0.2957530401419078,-0.12672462153989086,-0.2004091944935051,-0.4955623858667566,-0.3581986422838688,-0.38597386869441164,-0.4308477735426428,-0.5801131900758959,-0.4340611783090161,-0.41354534960357203,-0.20558893214444235,-0.11053128055673914,-0.5016158010551519,-0.22595646509958756,-0.025203386899785754,-0.3846563905419134,-0.07579101284560355,-0.17779112470796635,-0.4115708330073394,-0.43641217871942833,-0.28673866047744334,-0.3176907901447069,-0.2082218254358098,-0.2595923016523988,-0.2783876414235451,-0.48986572546888496,-0.3625736355267032,-0.2866867866968678,-0.2731853715348391,-0.4669795702196827,0.01541780708530968,-0.23962224451847644,train,3.0235040224033582,1
6,-0.12013578610233636,-0.47406099299417087,-0.49285838576872243,-0.302057594654684,-0.3234222902718209,-0.39017421089317145,-0.2997752159027122,-0.4321588314402353,-0.30631139549552155,-0.6027725170899543,-0.37145587551765724,-0.35565359690977616,-0.27433842504797634,-0.5058333800344649,-0.20832805953888017,-0.17252564567039685,-0.22683412532323222,-0.26362455198162216,-0.2881164304657586,-0.2148239097606767,-0.3085837026740843,-0.35695598522368027,-0.5750324783776505,-0.35781564666329757,-0.39991877414331783,-0.4782572643705654,-0.36655684540669914,-0.2790932066938275,-0.5122106497275205,-0.34395270651234355,-0.32515387148977193,-0.6047051115800595,-0.740116326754019,-0.43245321057520925,-0.12330363866353904,-0.13209111313124974,-0.4561521616644687,-0.6079172634976898,-0.25675823870962916,-0.30472639155694764,-0.6081205851386271,-0.37507653361279014,-0.5554734151465979,-0.2691558369106403,-0.529901904805653,-0.5611358991381502,-0.4480671153165495,-0.43254795923098854,-0.4852362659254733,-0.6652803304949191,-0.6546759071775139,-0.5796408237432032,-0.3097519436059117,-0.29849572544969205,-0.312286963709814,-0.3695575210790382,-0.3025497061863265,-0.32806957415160254,-0.12975339278002992,-0.20385600245508567,-0.5235411912986256,-0.3944281445678271,-0.404978657283141,-0.47073024383352874,-0.5970615350378474,-0.4623512639583202,-0.45348117490401696,-0.23450080398197326,-0.13799955180930928,-0.533432216744506,-0.2623227296826662,-0.034945232708669435,-0.40534210556481476,-0.10315407225454129,-0.18901301264680717,-0.4285614265441096,-0.4476922959397341,-0.30043687149620013,-0.3087327617974168,-0.22817192372900497,-0.2663490602561252,-0.2842162653507608,-0.5380230026502427,-0.38374011094308474,-0.3170162483240697,-0.30701979979838245,-0.49376486444893264,0.0015995859417490422,-0.2697341348519078,train,3.616022728729149,1
7,-0.11389608065754889,-0.4883400874826891,-0.5116815833540772,-0.3163924275219271,-0.3306755333826745,-0.38285774155353197,-0.31246406386378245,-0.4177767012253721,-0.3337896448936038,-0.5729992003253138,-0.37864802005375653,-0.3453314712180897,-0.3024452946064363,-0.5031513277071175,-0.2108188663754995,-0.15495433725122007,-0.22166632164413685,-0.28805404050152034,-0.31671730640617707,-0.2117169763831408,-0.30907606542944216,-0.3201130579556951,-0.59084825398596,-0.36327899574551364,-0.38022031579394316,-0.4677725822017357,-0.36477770714687136,-0.25250349800869426,-0.5260532784986771,-0.34219058291181187,-0.3463320695088357,-0.6129956740296478,-0.7441034440833496,-0.42088590915226654,-0.10029301636301005,-0.13149643370845898,-0.4528829700874881,-0.5985224210638724,-0.2734537330302463,-0.29309739235907495,-0.6037260712656534,-0.3752255191922588,-0.5415843717824997,-0.2521823860430055,-0.514570944786672,-0.5586358640371546,-0.4377751497648472,-0.44074726051019,-0.4880944215400289,-0.664349494010688,-0.6423349396897533,-0.5486183064802205,-0.3009406925124293,-0.2940174119425812,-0.30982943401335955,-0.3522049621727306,-0.2793861160861232,-0.2986683852027106,-0.13361936719669673,-0.19966509739871613,-0.5281657162685823,-0.40015633294840625,-0.4114808014457838,-0.48149258222302,-0.5860981929497464,-0.44872033597026434,-0.45094514232685157,-0.2375249744986347,-0.16636533107349505,-0.5230497587161212,-0.26339602730216566,-0.043501067367745436,-0.41989280573411614,-0.09752467526084038,-0.1685743592118127,-0.42889307657389225,-0.4408226659994797,-0.33157451343891775,-0.30947405954560026,-0.21740616465411827,-0.2460495844859379,-0.2826799062042288,-0.5470619909411941,-0.3827651340235724,-0.31492001592767227,-0.31916706508910375,-0.5149691225593401,0.017976212724347983,-0.2504187549552162,train,4.231951063275119,1
8,-0.1061322428274831,-0.48359849823860934,-0.5129872178541431,-0.3161395796318196,-0.33007847160473275,-0.38575368626412126,-0.3081700776336971,-0.4216745664518335,-0.34188440486475513,-0.5645905847489234,-0.373100989593739,-0.3364042359844996,-0.3225207980987908,-0.5219676124727823,-0.2214272083089416,-0.1536728248680082,-0.23952229660675356,-0.2927998310817862,-0.326357069159843,-0.23546722722297225,-0.31561811108144905,-0.33165034693904755,-0.5931934979867913,-0.37547556728149767,-0.3584209633933641,-0.47973311458280493,-0.37363751501086684,-0.2321559982745005,-0.5190960056837399,-0.3425714413890763,-0.35052941218804917,-0.6274535030698245,-0.7368830802173972,-0.42791926923583345,-0.0791793263960385,-0.13716092843974417,-0.455049584982301,-0.5971078082751641,-0.28046342124031043,-0.2852322605287863,-0.619762543876111,-0.384555421018227,-0.5190724303503792,-0.2664066369944722,-0.5095484452028433,-0.5760122985919964,-0.44367408565305355,-0.4400643367204979,-0.4994903558969892,-0.6669838117412463,-0.6446394456813405,-0.553165872711721,-0.2984994916533893,-0.29574834252665705,-0.33469851503331893,-0.353907171509606,-0.28968265393645154,-0.2904688532500333,-0.1390647373053228,-0.1949328541813841,-0.5227740016928184,-0.39362448587544135,-0.4081278181281762,-0.5091480451876575,-0.5865936920025387,-0.4613476872258032,-0.4456182459600202,-0.23122203891218882,-0.1850914264723761,-0.5271614541852768,-0.26073870406083893,-0.04519815474596603,-0.41095974501252236,-0.08585849122016662,-0.1470896143743002,-0.4388326786796211,-0.4505262974971285,-0.33064448379068545,-0.3155604266154423,-0.22560273458227503,-0.24398091174095757,-0.287447153068566,-0.5662797032906252,-0.37904673984811255,-0.31314785755539964,-0.32202232085600524,-0.5302053930125191,0.026031193823931778,-0.2627725969386073,train,4.841060917820869,1
9,-0.09734840386758417,-0.47956322687257524,-0.5062015494144867,-0.3059358618778171,-0.33802289212621883,-0.37755226934619673,-0.33451090080667,-0.41684744404359714,-0.33569153088552195,-0.5688020369345832,-0.3930494675379609,-0.3510682861079595,-0.35166863491495975,-0.5545795410476827,-0.26197422140525595,-0.16958432056929637,-0.2268365184499902,-0.3320030195957233,-0.32665402078142985,-0.24979996765813312,-0.3378495206267511,-0.34164420185646016,-0.6243542010442824,-0.3851345041783127,-0.3357800277011798,-0.46884176561407476,-0.39908219795155253,-0.24688129714346052,-0.518769522821322,-0.35131851583947304,-0.36657813904711684,-0.6338740333689526,-0.7374847939155837,-0.4505746116510039,-0.08660764941240726,-0.11405036864198284,-0.4591162322713053,-0.618383371993502,-0.29873495060166666,-0.2784974862138437,-0.6304063321355651,-0.3898648955946145,-0.5611368160208833,-0.28685824702132134,-0.48506165943673896,-0.5742390352019177,-0.44573318007138507,-0.43789444333028227,-0.5279004775088181,-0.6624080255007534,-0.6680454348651338,-0.5555672767099225,-0.2873967645810791,-0.28901465881211474,-0.34460746998027453,-0.33254286449991305,-0.29431084956706266,-0.30459306104954853,-0.12527051808211714,-0.18519204888230528,-0.5183420882725203,-0.3921747394067323,-0.43329922186024383,-0.5078289172243746,-0.5640011451088356,-0.4688876655235762,-0.4647512743998873,-0.2489244218360278,-0.19927956232979552,-0.5018933808897457,-0.2767415861849207,-0.04513515351837613,-0.41261840089635743,-0.0911524219836032,-0.14780710596196645,-0.47748856988325616,-0.46421749905403814,-0.3400667243630552,-0.2921490562498634,-0.23706298654874036,-0.2770487666377884,-0.2980100597838002,-0.6007138288316569,-0.37615649839055754,-0.3458797574749122,-0.3483929720865351,-0.5185570389233798,-0.005148854431347442,-0.26338540783872383,train,5.441079957821785,1
