,ADAL,ADER,ADLL,AIAR,AIBL,AIBR,AIML,AINL,AIYL,AIYR,AIZL,ALA,AQR,ASEL,ASGL,ASJL,AUAL,AVAL,AVAR,AVDL,AVEL,AVER,AVHL,AVKL,AWAL,AWBL,AWCL,CEPDL,CEPDR,CEPVL,I1L,I2L,I2R,I3,IL1DL,IL1DR,IL1R,IL1VL,IL1VR,IL2DL,IL2DR,IL2VR,M3L,M3R,MCL,NSML,NSMR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,RIAL,RID,RIVL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,SMDVL,URADL,URAVL,URXL,URXR,URYDL,URYVR,train_test_label,time_in_seconds,tau
0,-0.09630359608622949,-0.10271110660897968,-0.2558050431532254,-0.13576999108571852,-0.1946242183079135,-0.13194164659251692,-0.24686155637898882,-0.20678446239601417,-0.14184970635793728,-0.25127134148467667,-0.203414604080392,-0.24998584508307972,-0.12343207527431099,-0.3290423702955908,-0.23241925714758324,-0.042066493919501326,-0.10611954704270318,-0.19415643335459754,-0.02927543314148728,-0.26703856310516283,-0.06516408659862707,-0.19148831399270133,-0.08167341701708192,0.05402590768408074,-0.31317403919433423,-0.28999209408620036,-0.2202469526354116,-0.10472193254635506,-0.27773724191918897,-0.15230157312384296,-0.40840195950436337,-0.1557117412410604,-0.12325375304636986,-0.04335950421312999,-0.35256032407162596,-0.26313896000445913,-0.1800536056732886,-0.34395091354918483,-0.2280631051337164,-0.0995074011988086,0.009231582973778026,-0.21558266214897087,-0.40169162341906317,-0.30859529696583654,-0.29279940004644445,-0.4117166180386036,-0.3580070719834739,-0.1840596184781501,-0.14059681658788592,-0.12960702779559977,-0.20041356049727102,-0.18579577317751128,-0.37794894938969864,-0.0502422456466798,-0.19804490447733858,-0.37963315997304764,-0.19428330592842386,-0.142487128470533,-0.0876964600072283,-0.359987086212771,-0.14242363545234374,-0.037021768443800465,-0.35165799686110644,-0.14723619868511512,-0.1610283491706576,-0.13785515358847697,-0.29830990675048774,-0.2568717169557989,-0.15114699055265973,-0.31310511688511494,0.03082568032536393,-0.12116156687313016,train,0.0,1
1,-0.15840482316713864,-0.09631485765085813,-0.38434902675364235,-0.15715071035124858,-0.2810207458188784,-0.13339475152684974,-0.3560472039450787,-0.27457646320550455,-0.22980318325740623,-0.3514223700028828,-0.25822981356203334,-0.290433034741927,-0.21383866397206636,-0.43567749126582783,-0.3860315940236737,-0.06721873012079728,-0.1568609133965795,-0.2436480901754722,-0.08356674721564433,-0.32799141713705304,-0.13081243040549334,-0.24261267446479706,-0.15805107967382503,0.09374226316672116,-0.4521269373069709,-0.39686092586834454,-0.28067642578449326,-0.20072157472127902,-0.38169171535988244,-0.23418789168308693,-0.5912009391166393,-0.18700264070027844,-0.1328008313675872,-0.09749262611880619,-0.46131258425813654,-0.3716878278226611,-0.2417321115330937,-0.44372153411990944,-0.34459851687761844,-0.17321200720634752,-0.01099569386441581,-0.2450646288363767,-0.588218664123331,-0.4775767584169749,-0.3741763511149565,-0.5730695657513573,-0.5331620033153,-0.2598206181622774,-0.19018174656006698,-0.2224606241969515,-0.2960625054206236,-0.2922591365506318,-0.4519295669283778,-0.06539642521579873,-0.32624394022544695,-0.4893880136787352,-0.25608353696816155,-0.20432186387035794,-0.15679454648229887,-0.44280394347639096,-0.2166506406567142,-0.07006757431962218,-0.4856992401497532,-0.20995643085037877,-0.2362679665572344,-0.2280027434955152,-0.39587553687103927,-0.38359029785050835,-0.25608671701603686,-0.3698707647272006,0.04573266875760049,-0.17503920242782642,train,0.600019037083257,1
2,-0.19663796782991882,-0.09266478782306695,-0.4610378417761899,-0.17477006774200168,-0.31320720214283265,-0.15086630175897858,-0.39605003333313854,-0.32518255432893767,-0.2708560654297979,-0.40194205246753545,-0.26689281032016077,-0.3194122862248233,-0.25730235641676474,-0.513604666142806,-0.48897329010067553,-0.09211881016196805,-0.17981373803788062,-0.292603338801216,-0.09770364673790187,-0.3607574841015645,-0.17899804454951632,-0.27603130585737234,-0.20033834882647283,0.11680861926618738,-0.5292216949478583,-0.48215669095050817,-0.31981666925806423,-0.2322032995191417,-0.4145600571421889,-0.28398679212683076,-0.6798996418708829,-0.18843954671484434,-0.12642828679925933,-0.14072101337413762,-0.5121099885106574,-0.4471730568155559,-0.2914063033172243,-0.5121901230303896,-0.4108770157973379,-0.22424540894782397,-0.023514077460691014,-0.26540049004477995,-0.6796831286424017,-0.5554964096682581,-0.4342000434201161,-0.6700866293531438,-0.6465168689087358,-0.32164789865700094,-0.2255400006387379,-0.26772830407043136,-0.3363956071248208,-0.37235091734490144,-0.5012856434651982,-0.09002511563262647,-0.40541301862935214,-0.5490898892133489,-0.2956236293434936,-0.23434819180613345,-0.18346923082369537,-0.4800934445565721,-0.25367201232169345,-0.06380421812059431,-0.5623225898155662,-0.23487669880433493,-0.27531358715998133,-0.29008114685315123,-0.44778581369837467,-0.4431974190501663,-0.33215403442754593,-0.4224573157101954,0.05228795384247046,-0.20442996639571964,train,1.2000379214296117,1
3,-0.22517510897920182,-0.0811756558798122,-0.4919514641128375,-0.1769908268226731,-0.31924561636210647,-0.15999503411548244,-0.4067902425044785,-0.35604686028001087,-0.28590667252394575,-0.4187422946162669,-0.26477246503465657,-0.33869633407656874,-0.2666992835172472,-0.5623900949551925,-0.5169000855623074,-0.11356484195622993,-0.18951055341601455,-0.31206814732099997,-0.10071955886150417,-0.3717761800124245,-0.20471775579724685,-0.29640547488684205,-0.21544152392207647,0.14528431073867637,-0.5777190500409533,-0.5268106266163233,-0.3249202194643177,-0.22512811865084278,-0.4301048857652118,-0.30203008428063166,-0.7430439418761833,-0.17391710742856686,-0.12142306512523925,-0.1744262424473451,-0.5442789139428388,-0.48749959669247567,-0.3127016172365251,-0.5503361813442986,-0.4512486579370427,-0.2522234482699337,-0.03647937982575349,-0.2819242253219031,-0.7196233187927431,-0.5980300082834112,-0.46022413137421503,-0.7248114687293407,-0.7042786976199679,-0.3699889791507607,-0.24160282271242345,-0.29708985404751465,-0.35543687037786054,-0.4061923617513705,-0.5268813474812416,-0.10931750330285182,-0.44219462524757147,-0.5844209673457346,-0.32641682790501414,-0.25118194522969794,-0.19957348303008357,-0.4995935953289583,-0.26702720332696006,-0.07200420070919643,-0.5985395273238809,-0.23974719630530333,-0.2907649913665817,-0.3052090219877215,-0.472514267734763,-0.465276508498955,-0.36701296279552503,-0.4646323832766063,0.053373257941520515,-0.21943144634422546,train,1.8000566821428947,1
4,-0.2524230462511421,-0.07591424151494262,-0.5207592919567811,-0.18212652837518284,-0.33351765162815594,-0.1745958132548524,-0.4321090524242186,-0.38307750826217524,-0.3065768107041464,-0.43922593799975035,-0.2797228913916835,-0.35120324768557926,-0.28707535292815745,-0.6056506895187521,-0.5462165123612178,-0.12342410510884168,-0.20266912614629293,-0.3301946949910134,-0.11482986415910208,-0.3991537930185572,-0.21670962567235383,-0.32761941912300147,-0.23880789016449097,0.16324832769974598,-0.612857279104108,-0.5526117014715525,-0.3299541801740621,-0.24117838522754997,-0.4456861081255419,-0.31308108558035413,-0.7973597330532571,-0.17414429416150903,-0.1224983778273949,-0.17904869868785434,-0.5736606332950392,-0.513768334108894,-0.32631119616503224,-0.5714865372339037,-0.4781778558272399,-0.26710133675689834,-0.040167892265765025,-0.2814515336189715,-0.7549348960287809,-0.6356201541683064,-0.4859523790734759,-0.7742252254372661,-0.7345271449917566,-0.40023433167559946,-0.25193803075666343,-0.32709101600437235,-0.38259046221572723,-0.4427739140337343,-0.5482557141420812,-0.1184191455901135,-0.4796782501054785,-0.6077531996272757,-0.3378694185420236,-0.2620005449928218,-0.2079966310126392,-0.5281488213145905,-0.2962510276684247,-0.0749821986714588,-0.6241120782355796,-0.24081804020921926,-0.31605363920069196,-0.33624848539214797,-0.5025650611652192,-0.48865183782345484,-0.40107381054746954,-0.49326819872050764,0.053581532954550135,-0.23681764113949189,train,2.4000755199231207,1
5,-0.2511297127420404,-0.0853314822449482,-0.5349844126025178,-0.19448629521777164,-0.35440896322896875,-0.20478483693233604,-0.45815332067742043,-0.3923130493135302,-0.34261940836764887,-0.44375628119874094,-0.28600012607196906,-0.3593084771455407,-0.3101153000791048,-0.6394345217441426,-0.572640646886882,-0.1321078400568659,-0.20333048902561665,-0.3439204266383944,-0.09779876676674988,-0.42317721801883607,-0.24437070756186413,-0.3488940456595073,-0.2778345505676452,0.157564768777671,-0.6254237240783765,-0.5562285660804346,-0.3470289217552675,-0.26547619314367193,-0.4272745335660786,-0.32925153353437947,-0.839822170347289,-0.19059743802131102,-0.11337860876093815,-0.2021721575910478,-0.6106352449463941,-0.5404268709058571,-0.33501617091289015,-0.6095389689418405,-0.5023129606944632,-0.29754874356936634,-0.04107169553009347,-0.2727062729591888,-0.7686428079693026,-0.6472913845468639,-0.5073414952757812,-0.8166381356598862,-0.7597036087269892,-0.41540752965981687,-0.2711492602192857,-0.3406842150542751,-0.40456987000541256,-0.47503217742300036,-0.5668597894365628,-0.11496451012590721,-0.5168513181911917,-0.6062860604098235,-0.34791231207558626,-0.29014397912556383,-0.20920931612660615,-0.540268267586065,-0.3272535346211296,-0.0657052225859469,-0.6543981952867404,-0.22871716163844474,-0.35383419793731297,-0.3665200576316142,-0.5175537504641182,-0.5259881429577479,-0.4392850150896732,-0.5300815552896371,0.03834733770115315,-0.22884535347230406,train,3.000094431976322,1
6,-0.23825068165057348,-0.0889119401083116,-0.5369743558156899,-0.20983805240280862,-0.35533413716086626,-0.22437210843529504,-0.42478526662068333,-0.3870870116299807,-0.33736756967438686,-0.44003466777089467,-0.2665507625839131,-0.3501280395742171,-0.30632340251710327,-0.6234605495163469,-0.5690518200069241,-0.13954736742760973,-0.19431521209439648,-0.33315176199244534,-0.08985857393908014,-0.3977747322831819,-0.24475199685103116,-0.3303826780177419,-0.27818451676308104,0.15202533104737256,-0.6197444631874587,-0.5405248547919593,-0.31356415788549336,-0.2600578963841103,-0.4349362511773498,-0.317091377162324,-0.8242095675952702,-0.2093099133033378,-0.1134895047117892,-0.22975077497387314,-0.5970324712961892,-0.5320032972333384,-0.33679167557599077,-0.6065868643742918,-0.48583721456868784,-0.2944717700184939,-0.05337760247934668,-0.27157655350740756,-0.7330940204401964,-0.6157061198785264,-0.48147890535985705,-0.8010223734656076,-0.7591240238841,-0.41977804125227414,-0.28209939818431395,-0.31345461318622714,-0.38784176183802305,-0.47974819801510077,-0.5562509155666668,-0.10917793148415013,-0.4921168849869875,-0.6147320170383794,-0.3561006047389283,-0.2672089819545825,-0.1939293320752362,-0.5109502931074111,-0.30699632157745155,-0.0691075114647117,-0.6655624546977079,-0.2133528264441956,-0.3530190175269535,-0.35092049308557743,-0.5164459521951045,-0.5031503043556256,-0.45419942537542357,-0.5189105891416097,0.02674053845998653,-0.23734070778401134,train,3.625114079215564,1
7,-0.23559018726707573,-0.10494339794770136,-0.5484869284933621,-0.22059232742436158,-0.3673061767864986,-0.23666104037795144,-0.44334448715167163,-0.3860337400599076,-0.35165180786105477,-0.4555558924625373,-0.26427939872558853,-0.3531469186791461,-0.3205873245984969,-0.6309140233358642,-0.5899491285971227,-0.14843771954999044,-0.20200956279346666,-0.3449921457303971,-0.09267162276464798,-0.39845901258747873,-0.26277049247966117,-0.3261365719868635,-0.28232750573851406,0.15996746484534763,-0.6419572360509729,-0.5631234083512837,-0.3166938955747712,-0.27789820515996067,-0.44263503067161936,-0.3322882870062359,-0.8154610709328354,-0.2190352327611909,-0.13094131719399738,-0.25272118745426103,-0.6154113161898331,-0.5446861136697161,-0.3450108068648744,-0.6153855743644341,-0.5056421449529697,-0.29345794878592774,-0.06824318675016572,-0.26769929557581273,-0.7490904343713221,-0.6368637465925618,-0.4940207942119441,-0.8123775434227039,-0.8051491759522275,-0.4354400322992118,-0.2796673425666255,-0.33385066181854595,-0.4091595119842522,-0.49202716137980257,-0.5491991447635651,-0.13136916171192234,-0.515861815281646,-0.6074686470228815,-0.36226635514541217,-0.26945313120887654,-0.21424077062540076,-0.51932790118858,-0.3044258680537784,-0.0536523629316565,-0.6865584527807,-0.21251407452583557,-0.3741667648090178,-0.35991703689710675,-0.5297729585565959,-0.5097796338881517,-0.4485987953008929,-0.5313037811318049,0.024358479941960227,-0.23850139529344955,train,4.175131292897277,1
8,-0.24209492311491385,-0.08597069552445559,-0.5383621557164181,-0.21448082848331954,-0.38508701968322223,-0.22152335091368391,-0.44319215341598694,-0.36855146536738037,-0.3457542003029908,-0.4554704915703567,-0.28562685449191016,-0.3608419185200539,-0.3028450276790506,-0.6294663566611081,-0.6029886143711919,-0.15345603101017907,-0.20245745659457898,-0.3581915141441587,-0.12176166742581084,-0.40466812475568503,-0.28467673878335603,-0.36296868227993806,-0.27918621641644603,0.15538601734715793,-0.6554637884652519,-0.5584011202465907,-0.3404464275403602,-0.2614843984327529,-0.4488917875902183,-0.3142849302239986,-0.8153095498433196,-0.19656116651119507,-0.13790123130361398,-0.24134721504037862,-0.5972823231422622,-0.5301681458689252,-0.3282286993945317,-0.6090113650644889,-0.49139777293612436,-0.2856534168691418,-0.07009170933984196,-0.2703830377753761,-0.7707242848416922,-0.644095488710839,-0.5195595703131033,-0.7995750578251409,-0.7955138669876505,-0.4177461981535191,-0.26496880259593636,-0.34601666470166775,-0.3850878752866362,-0.4892678384786186,-0.5383274231147438,-0.14304377280284264,-0.5097970420512384,-0.615602559917145,-0.3479047701960293,-0.2926488150068552,-0.2127325349204486,-0.5201120889182186,-0.2876538326845716,-0.04366291744174279,-0.6761088847424266,-0.23431785726146143,-0.3497492694803714,-0.37129446137974026,-0.5437301778959679,-0.5201118652927813,-0.43790694878169006,-0.5222088120820689,0.04271869116975597,-0.2272230975893654,train,4.8001507490407676,1
9,-0.2271471221693613,-0.07795821776326185,-0.5287557613743122,-0.20267243860242953,-0.3594847578786139,-0.23259870553012646,-0.43170923198639233,-0.3740210652275788,-0.3459768332717919,-0.45878585560582835,-0.2891775138884537,-0.34458448317602863,-0.29539323088207337,-0.6225082790565226,-0.5899251534208597,-0.13970605131236055,-0.20862581560267263,-0.34057038889594377,-0.15191687084004893,-0.3872108188807688,-0.30018596363731503,-0.3567330445337248,-0.2707704092008985,0.16458656377118328,-0.6441034470469662,-0.5580111291042975,-0.3345094326871696,-0.26191290473904105,-0.4699579867125454,-0.3119095744895683,-0.8038153810123977,-0.20288214418663994,-0.14403130979952677,-0.20526293196446407,-0.5870326845678824,-0.5234705617933118,-0.31699676246283925,-0.5918696918382206,-0.4735516547204081,-0.24457127537101161,-0.07567194543348582,-0.2766263358665563,-0.7536300648857847,-0.6416644708107283,-0.5139652475129588,-0.7705002307081061,-0.7879185898303408,-0.4067392704474215,-0.2407249082217556,-0.3391444539976253,-0.3667235250168374,-0.4805402170139674,-0.5084212110744879,-0.14943505538142615,-0.48949217269245293,-0.6200956932498269,-0.3431246293319444,-0.29450668653490203,-0.2142697687450827,-0.5111272476921384,-0.27661936290655653,-0.045033672278820436,-0.6909902753415587,-0.22782666927895595,-0.35118949035220226,-0.36192010318261547,-0.5421123057416146,-0.5232825697923784,-0.4281305589919521,-0.5021066621144565,0.04165938474443555,-0.22234527553307112,train,5.400169498927426,1
