,epochs,base_train_losses,base_test_losses,train_losses,test_losses,num_train_samples,num_test_samples,centered_train_losses,centered_test_losses
0,1,0.011332087517887985,0.009153027604691187,0.2976271767726091,0.328060470628882,1654,1654,0.2862950892547211,0.31890744302419083
1,2,0.00566133977017219,0.005763492984191516,0.27326259189620383,0.27422028987515024,1609,1609,0.26760125212603164,0.2684567968909587
2,3,0.009132983501105153,0.009178258193667767,0.34394841596313686,0.3292733059827273,961,961,0.3348154324620317,0.32009504778905956
3,4,0.013011720888382799,0.01243968537462341,0.33388814330164224,0.34494262395405123,1245,1245,0.3208764224132594,0.3325029385794278
4,5,0.008796105560168759,0.008462827364992426,0.26949135525401713,0.2725854029726305,1052,1052,0.2606952496938484,0.2641225756076381
5,6,0.012182355207587465,0.009768819853534817,0.286933541076897,0.2843753709805186,1151,1151,0.2747511858693095,0.2746065511269838
6,7,0.00947910443550488,0.007810242655910969,0.23236810498101962,0.22948336184614376,1654,1654,0.22288900054551475,0.2216731191902328
7,8,0.010218041820706339,0.008551669767432551,0.22563570359535157,0.214859070859489,1463,1463,0.21541766177464522,0.20630740109205645
8,9,0.010809773182610304,0.009637577647259232,0.22331662087204007,0.2205492376805872,962,962,0.21250684768942976,0.21091166003332798
9,10,0.009780763760065477,0.008329874629015346,0.2041227755810856,0.18710786059606951,1654,1654,0.19434201182102012,0.17877798596705416
10,11,0.009780329818502884,0.008330890630876988,0.1735988215480347,0.15766616076746645,1654,1654,0.1638184917295318,0.14933527013658945
11,12,0.01291726095085851,0.01187398214121495,0.17573483945800816,0.16384945073105656,1587,1587,0.16281757850714965,0.1519754685898416
12,13,0.0026487964741167295,0.0017872143697965275,0.23441707951532512,0.22400992371238226,1654,1654,0.2317682830412084,0.22222270934258573
13,14,0.008702859443770312,0.006391111996392641,0.12873249530366399,0.09919907499191731,1411,1411,0.12002963585989368,0.09280796299552467
14,15,0.00658020633596196,0.005553564172018311,0.14709546127432874,0.13904323451720152,1520,1520,0.14051525493836678,0.13348967034518322
15,16,0.009731952076784435,0.010201383094692111,0.1124026914593599,0.11052366349058156,1350,1350,0.10267073938257545,0.10032228039588945
16,17,0.009477947199525823,0.007811016607164707,0.1253288904968855,0.08683156614323478,1654,1654,0.11585094329735968,0.07902054953607007
