,AIBL,AIBR,ALA,AQR,ASKL,AVAL,AVAR,AVBR,AVEL,AVER,AVFL,AVFR,BAGL,BAGR,DB2,IL2L,OLQDR,OLQVL,OLQVR,RIBL,RIBR,RID,RIFR,RIGL,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMDVR,RMED,RMEL,RMER,RMEV,SABD,SIADL,SIBVR,SMBDL,SMBDR,SMDVR,URXR,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.14961840175516142,-0.17710804998943097,-0.11431229438680307,-0.2588870096841592,-0.13675510519117873,-0.3359862414450713,-0.3800132710343685,-0.18271535654987991,-0.24227476546776625,-0.3065648407051771,-0.15094630858613794,-0.18117788643769842,-0.34874683444109233,-0.4091651109843314,-0.16390135622845378,-0.2938571466920357,-0.30378683285780705,-0.20488789258028342,-0.2956368836003932,-0.15501570966982123,-0.1508203852793957,-0.2610212412310442,-0.4362994459209281,-0.11082352885350848,-0.07967416592235974,-0.3225713523544318,-0.3505303459630038,-0.4322154598771596,-0.30297069768864926,-0.170142920710669,-0.14313984796059864,-0.19499810136559054,-0.2897719390974613,-0.21182995942890864,-0.24935748183292797,-0.2672161741096694,-0.09961202036684444,-0.16461367138763427,-0.24852625843519777,-0.2977820303172445,-0.313772089593632,-0.38727629894114,-0.31071880875918806,-0.15067069934312852,train,0.0,1
1,-0.23487600672316436,-0.1971597385319941,-0.16776825881199509,-0.32308446703208593,-0.14524279535505694,-0.47621831823563765,-0.5076445636819896,-0.16754653514802614,-0.32739506707902355,-0.4081793298987476,-0.1662765702344007,-0.21603811348589902,-0.46559981854507904,-0.5722228766857721,-0.1713047889875931,-0.38263768713522184,-0.40597355734678997,-0.3368521323574561,-0.40112647757777314,-0.17856815532187081,-0.17860953968415816,-0.320959342656841,-0.5426830847019005,-0.16461918201524223,-0.10666462593635179,-0.4319204362029634,-0.40589995319176786,-0.5150360342149023,-0.3629616357675031,-0.2130068639725732,-0.15387389503679982,-0.20023733511632888,-0.3457685782597194,-0.284600207087267,-0.29672637666823315,-0.3605538603707902,-0.13141519620334646,-0.18860197870934808,-0.29474008189136136,-0.4154571933290223,-0.4183129248902339,-0.5200721635191506,-0.37520927752812205,-0.15280023163414302,train,0.35696579077838375,1
2,-0.2731012558026066,-0.20437151057336075,-0.18142129926420128,-0.35629888812372035,-0.14908425420643426,-0.531917406926609,-0.5668276815572597,-0.16056497429802727,-0.37659951778621636,-0.45139065383617855,-0.16768100655369741,-0.22736423243494144,-0.5319854273648099,-0.6482170962043479,-0.17638895072562588,-0.43484738488350483,-0.46517349732512514,-0.4074775182145989,-0.4613018118783668,-0.19984659089769335,-0.19080419128116144,-0.35188789700914336,-0.6188949704013396,-0.18804291417675434,-0.10186843089519587,-0.4777091009689989,-0.4375609033797804,-0.5541287832627362,-0.40478305475707654,-0.22732369158905527,-0.1611956751470806,-0.21339860560701387,-0.37036330614373447,-0.3332982599804354,-0.30916780982113734,-0.4083853745944833,-0.1410072925512623,-0.19412687103754586,-0.3234068044447931,-0.47082709169411074,-0.47230250152995534,-0.6051938347920621,-0.4111971489206785,-0.14561934558198228,train,0.7139315815567675,1
3,-0.30387924517800624,-0.20979455914876632,-0.2118133859572889,-0.37988206282779335,-0.1500964016622804,-0.5514475194594632,-0.6020732837903118,-0.15423771351592344,-0.4146732696928177,-0.4753470922047119,-0.15983381041714786,-0.2359657252949625,-0.5776213238724711,-0.6970793906588755,-0.173866738229789,-0.4685916930385394,-0.5009626687644904,-0.43736580882146153,-0.49518668076924144,-0.20633253636057713,-0.1849918209345072,-0.37387221645720947,-0.6683269334633242,-0.1942604161995799,-0.10065316640057763,-0.4984042655183759,-0.4604676281811356,-0.5779298736696659,-0.44218868908727926,-0.2374634204958643,-0.16951801706814576,-0.21233515845408107,-0.38666388824898,-0.35001320229557453,-0.306071780839095,-0.43864811308564977,-0.14938718468734077,-0.20489465472098528,-0.3316214211851161,-0.49511045477945803,-0.5206816309759864,-0.6547561220662645,-0.4207780395257793,-0.13021670336299887,train,1.0708973723351511,1
4,-0.3158092787495292,-0.20477585266002968,-0.22073318265782718,-0.38913629134134087,-0.14367400360370575,-0.5546357061588058,-0.6086953284494081,-0.16048659328693496,-0.42799146856430026,-0.49734490503129375,-0.153698984707613,-0.25196174535294685,-0.5938173472488518,-0.7225022567806438,-0.1809228700981856,-0.48984529153977585,-0.5231500429672628,-0.46209191576338315,-0.5264788823503788,-0.2187323095838667,-0.19341022675153768,-0.3800097361863801,-0.7019089323148533,-0.20139420214317155,-0.09946801056493737,-0.5151970824568869,-0.48012393309524887,-0.58874092532674,-0.4581101049082924,-0.23872274252218145,-0.17801129514482175,-0.21595228217883236,-0.39599464678084545,-0.36516213918271423,-0.31233368639332226,-0.46313020162891194,-0.14716504429977567,-0.2035146805049395,-0.33544550871539,-0.5081861283897591,-0.5503323788816387,-0.692088584589208,-0.42894681603872664,-0.12200231045354215,train,1.427863163113535,1
5,-0.32110728087051926,-0.2122458393419518,-0.23940682081517176,-0.40408873902081105,-0.13909485866911658,-0.5536015333490796,-0.6179399667942835,-0.17167729941021398,-0.44061380963103,-0.5051633503313886,-0.16112414031024927,-0.268035166273887,-0.6111809106990687,-0.7422249392781736,-0.190362948971261,-0.5082840483149997,-0.5250912278462798,-0.48110668829838266,-0.5461807722971191,-0.23666441943543626,-0.2057425541803545,-0.3982852076311938,-0.7320549380711084,-0.21232104968825116,-0.10146915062298821,-0.5191590604919132,-0.48920752973486054,-0.5991860831967392,-0.4787240983435038,-0.24697284938383798,-0.1821369030204186,-0.21851097728239838,-0.40207389433342905,-0.3802174389189329,-0.317773520926267,-0.4797538652036335,-0.1534822202919727,-0.21243214247796863,-0.34328416961060093,-0.520141905399528,-0.5847874093029085,-0.7233602917265342,-0.4445624719902447,-0.13091239289799805,train,1.7848289538919186,1
6,-0.3288124815641732,-0.2146078608230113,-0.2385025633072594,-0.40470675023062025,-0.1394365403565864,-0.5570987256101348,-0.6226396475948404,-0.16708669121449563,-0.44823780095322946,-0.5158411282456047,-0.15633708284596706,-0.2746066760652288,-0.6183428321717273,-0.7384653075000583,-0.18162857088681236,-0.5123836279375233,-0.5312158446102108,-0.4904397249313678,-0.5596093920932115,-0.23841904971236944,-0.2045767314338086,-0.39177926619653236,-0.746997733609617,-0.20213760606631082,-0.10034684322704791,-0.5208046644218339,-0.4914027789958339,-0.5914778958708081,-0.4839629233346032,-0.2522045661212863,-0.1788666095523881,-0.21884386222133817,-0.4031152979423269,-0.37730130374782167,-0.32021650924789385,-0.48384663851512566,-0.14239399796374522,-0.21074780135663707,-0.3444285076488592,-0.5097840021165276,-0.6024642279464494,-0.7386479731948074,-0.4429410025182544,-0.11317921404005875,train,2.1417947446703023,1
7,-0.3442483195291162,-0.22636332767133294,-0.23048696555479745,-0.4083589891612361,-0.14557725877175012,-0.5719352472021738,-0.6474564401736664,-0.16852849113452673,-0.46351364618602475,-0.5258934896914337,-0.1415299610034412,-0.2657655262883551,-0.612929036981989,-0.7282196706509106,-0.17416802234364362,-0.5106361668770204,-0.5570904365309723,-0.5084203136451849,-0.571693554950514,-0.22840292821479413,-0.18876850280848761,-0.3837941087229544,-0.7442394382606385,-0.18944280902448035,-0.09096725310259438,-0.5330323208732918,-0.5108768084626054,-0.5900573135984556,-0.4898699251320484,-0.2473890977001592,-0.1762126380688623,-0.2104254434323802,-0.4062953431720002,-0.3750919987025324,-0.31026725155731066,-0.4896720510978888,-0.1320814876099405,-0.2177503807526067,-0.34353646916147473,-0.5073686181724459,-0.6057795267511036,-0.7394418066871018,-0.444918079986131,-0.09609755018210145,train,2.498760535448686,1
8,-0.350451397283889,-0.22673305185358048,-0.21577916088369115,-0.39691716268984545,-0.1507437595276439,-0.5837041320592303,-0.6621185555899718,-0.1558542662097297,-0.4672514775010709,-0.527048898460228,-0.13460148751964163,-0.26085566316506464,-0.610308550336583,-0.7210753763643912,-0.1584256046655557,-0.5055469177575256,-0.5648202490909745,-0.5096816894149987,-0.5720886719135028,-0.21769500423165455,-0.17630144467396097,-0.37235122560591066,-0.7439124534388903,-0.1817538696708187,-0.08591199056304691,-0.5386380066579955,-0.5153976632986803,-0.5765430773203031,-0.4863030357136453,-0.2565097999899475,-0.16363789950679092,-0.20978843886076756,-0.39835657495236654,-0.36594218502892417,-0.3112149486683602,-0.48968099042335034,-0.11972431231294187,-0.20680665008535026,-0.34079822674249755,-0.4918136594790171,-0.6031859508788615,-0.7391832745239353,-0.4356135262054208,-0.07640879656704608,train,2.85572632622707,1
9,-0.35319219075500263,-0.24026309005535557,-0.2081607697941476,-0.39965727172935095,-0.15409544157321758,-0.5998297803593768,-0.6573632973274068,-0.14766732814087236,-0.47186582244136505,-0.5409986275974683,-0.13334415794029833,-0.2644074130989694,-0.5976376788852009,-0.7008609622315114,-0.15352830942617807,-0.5044943274556934,-0.5642029614989857,-0.5307528962286171,-0.5887687762022459,-0.22318891904344565,-0.17183789059380078,-0.3568588266694984,-0.7493792484032877,-0.16696483734591794,-0.08032750415073989,-0.5425039298445092,-0.5256175340273799,-0.5765171211114788,-0.4818320274166975,-0.24919692937862847,-0.1718027433279341,-0.20096253520037732,-0.39003561303429374,-0.36021237088088354,-0.31904247638934347,-0.49479870579677665,-0.11542028496300501,-0.2025931152596741,-0.3377376304922916,-0.49654684483216316,-0.6031702395749299,-0.7416451979392824,-0.43094221467526983,-0.06249978233854221,train,3.2126921170054534,1
