,AIBL,AIBR,ALA,AS1,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,AVFR,BAGL,BAGR,OLQDL,OLQDR,OLQVL,OLQVR,RID,RIGL,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVL,SABVR,SIBVL,SMBDR,URXR,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.3219158819384861,-0.4217828725253666,-0.1967810706082542,-0.19081915111660291,-0.3883883697582149,-0.43564336566311024,-0.18075358934876182,-0.2618088502152349,-0.4077159423687277,-0.17803281811664987,-0.2286734871619655,-0.38742388691341506,-0.37695706010893304,-0.3344719976742292,-0.3389039029698281,-0.265902833844221,-0.3155389878499376,-0.3358003714210934,-0.16101803084215421,-0.17045377773740553,-0.4196535864273393,-0.49504166860707294,-0.42674327452446037,-0.4436413261246833,-0.26891164063013273,-0.1912166380446621,-0.21952132878360187,-0.16619263749236246,-0.12743144439960497,-0.2785638452808714,-0.38630252067003135,-0.1932781179896966,-0.45211158836439724,-0.400385449912812,-0.19738961506440642,-0.3831519649508626,-0.24646902496439776,train,0.0,1
1,-0.5031624553618846,-0.5720727657342043,-0.2826712721482032,-0.2390266097960454,-0.5762438858964464,-0.615680691869356,-0.21714462969031606,-0.2981099178876777,-0.5660501761476067,-0.2221074547271282,-0.2707810538482289,-0.5440938323542724,-0.5418023958815055,-0.42508182474576467,-0.4640469424266066,-0.44515429281974,-0.4204574008105386,-0.4391758327151525,-0.2336027818134575,-0.252836401851751,-0.5769214438442616,-0.6111652985281444,-0.5070124968143503,-0.5580395325147489,-0.3681329762609935,-0.1849858327132639,-0.22693796052991583,-0.22017794622488868,-0.15834927196889256,-0.4112584599862255,-0.5063256743459348,-0.21711329778055205,-0.6330246828038388,-0.5044806109561685,-0.27505000069395513,-0.47911362557963266,-0.283167204483839,train,0.32771961766044605,1
2,-0.6026085771360975,-0.6465560790061844,-0.3375125951440541,-0.2760127848285211,-0.6689015344338191,-0.6993515549181726,-0.23817238509682945,-0.34221720466686634,-0.6540359218590743,-0.2570147872307748,-0.29395950134575427,-0.6434566293924642,-0.6478466786574307,-0.474933101643985,-0.5481353711749362,-0.552410998170523,-0.477955980246052,-0.5025005258754129,-0.27233616758886764,-0.2939970988459038,-0.6457179282273785,-0.6713840034066154,-0.543731044588244,-0.6234398589108179,-0.41322030918022323,-0.18905413941975283,-0.22500164662410568,-0.2720338100825572,-0.16924301187212157,-0.47204862042090034,-0.570090336684656,-0.2183788587709429,-0.7294675079886486,-0.5614509016120849,-0.3165530999616958,-0.5351861089288258,-0.310086628639227,train,0.6554392353208921,1
3,-0.6545093755517366,-0.6775595640203991,-0.3593584980458413,-0.2851270274474507,-0.7144429413514438,-0.737831813694648,-0.24938429563086773,-0.36901787183553947,-0.6872372009142991,-0.2753974858664336,-0.31016627158372956,-0.6811234771179118,-0.6870760137661679,-0.4877590931111562,-0.5847403269567462,-0.6106932710721247,-0.5026611236953971,-0.522067284253221,-0.28165337369202814,-0.31388398618228935,-0.6865155750553403,-0.6990109486269618,-0.5484103364179295,-0.6601926185775995,-0.44996309226709363,-0.19493034489881697,-0.22786142488444688,-0.3043195924619411,-0.18624026858280437,-0.5038605843324033,-0.6069076106284375,-0.21377072602096522,-0.7756930326045638,-0.588171053149855,-0.3454740605061131,-0.5528000845630966,-0.31509878356200116,train,0.9831588529813382,1
4,-0.673903508792803,-0.6922079167079997,-0.3834829972263017,-0.295417657557809,-0.7310854956488513,-0.7529232136220076,-0.2624568943524904,-0.3830593775845113,-0.6966663715198005,-0.2837491631640784,-0.3174077326008874,-0.7148077481190789,-0.7060262521558621,-0.49661796697750216,-0.6034240274808069,-0.6436942028299253,-0.5105354635620223,-0.5365429125018795,-0.2867798272869496,-0.3166406481314489,-0.7036617321765434,-0.6968967741669585,-0.5537228670859174,-0.6902366917789658,-0.46529685406710375,-0.20340473863768965,-0.234690118106053,-0.3319960168738211,-0.1816473315328212,-0.5179213500463599,-0.6263244092070656,-0.21463352360306254,-0.8025494746946421,-0.5968785843347674,-0.3599548967741444,-0.5541764608092609,-0.3310632073335002,train,1.3108784706417842,1
5,-0.6877868649122635,-0.694814632874323,-0.4050312193789803,-0.2968116012793908,-0.7347902401085864,-0.7656067293705475,-0.25089868448064245,-0.40320866281701395,-0.7104681895160876,-0.28421276324762634,-0.32596306391895685,-0.7386079664078632,-0.7332944184049635,-0.4983356578077746,-0.6109127037030128,-0.6594435197070281,-0.5275817480361091,-0.5517599951300138,-0.29268503438297216,-0.3296455843651145,-0.713361693547643,-0.713398856131233,-0.552369887048052,-0.7031432691345718,-0.4676540045885298,-0.20056957651612062,-0.22155462430618858,-0.3536008422145423,-0.2028307674521334,-0.5367446153871018,-0.6479048131017502,-0.21709561502535818,-0.8258831636332439,-0.6210574992802693,-0.37426995425491677,-0.5773487444365115,-0.3385296500989936,train,1.6385980883022302,1
6,-0.7041818408525121,-0.7144604533549879,-0.41071914129957715,-0.30738975035202076,-0.7462073733941526,-0.7873949886934504,-0.2458641656207668,-0.39461493129651937,-0.7313011561126581,-0.27362299361792514,-0.318435697632312,-0.751081111118061,-0.7225080204986893,-0.5136569171095601,-0.6291254635747721,-0.6871343829034963,-0.5391346716824194,-0.5503668475498772,-0.29936233643096566,-0.3247946425898639,-0.7278617389009097,-0.7189921076715853,-0.5579108431349745,-0.7174295764917745,-0.4628061152839201,-0.19204488171432457,-0.2135569589566746,-0.35209814472156986,-0.1739502639534726,-0.54204032780359,-0.6472246649359754,-0.21663372731390768,-0.8318467935509315,-0.6214641544756152,-0.38490037247713965,-0.573510753924069,-0.3464698234589012,train,1.9663177059626764,1
7,-0.6897713078920772,-0.7053054711474823,-0.4310645498343963,-0.3071742119480392,-0.7488906210984871,-0.7753276046068971,-0.26576041491587094,-0.39817620009611465,-0.7190011324957448,-0.28176387100872247,-0.33589185584418174,-0.7600138932784835,-0.7466682297937756,-0.502239974630651,-0.6334605668381902,-0.7023010293911738,-0.5370413107882499,-0.5625593558757616,-0.3020836862776259,-0.3334754685061742,-0.7261929349460038,-0.7152205184931957,-0.5729441577720205,-0.7317763222972103,-0.47860465661631557,-0.21361150596641734,-0.21911237124341737,-0.36954845170152917,-0.2051236893295384,-0.5505290906842856,-0.6430002532125788,-0.22764027871357878,-0.8413421432454461,-0.6324553951146172,-0.3986380771374576,-0.5779335142611729,-0.3427731995728425,train,2.2940373236231224,1
8,-0.7057051401856012,-0.7313960776125167,-0.41944745284794865,-0.30656392919251585,-0.7672313438424054,-0.7963104114895705,-0.25209100350318325,-0.3867534334963396,-0.733399246531669,-0.269424209151704,-0.32008242778744017,-0.7543779963953215,-0.7401843538577964,-0.5194925625613718,-0.6453843333655721,-0.7074085395010581,-0.5416301551505951,-0.5558623362931374,-0.29822178724713844,-0.3281903895258631,-0.7339758857018256,-0.7265484820829184,-0.5684311284810017,-0.7430132037512855,-0.4763501334869793,-0.1974481396554357,-0.2068663290783132,-0.36241871200412934,-0.1810194314354114,-0.5465867166763533,-0.6492765248320239,-0.2205685787235256,-0.8410767183769274,-0.6300324518592075,-0.41121604932213823,-0.5866895239913463,-0.32178762080959467,train,2.6217569412835684,1
9,-0.6902184083811483,-0.7203348016918067,-0.42385354904485856,-0.31119357505051337,-0.7493293767605004,-0.7828851689251897,-0.29418498086174144,-0.40487528681596874,-0.7188597678137836,-0.28246441465157013,-0.32614775672153223,-0.7637206316475239,-0.7385399159348746,-0.5088766869602889,-0.6421007621099208,-0.7131274454806126,-0.5398881753754177,-0.571342894030431,-0.2934564376820616,-0.3205267614249909,-0.7144308728885976,-0.7026545563973404,-0.5878323533963092,-0.7528546262637741,-0.47465419238546525,-0.21444593976228396,-0.23435977958042797,-0.38494597140807174,-0.20014173003666874,-0.5456745958248973,-0.638858923384042,-0.2286139654007923,-0.8544603824522313,-0.6363766181230992,-0.41259196331655174,-0.5718718357832965,-0.33728856538606483,train,2.9494765589440144,1
