,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,DB1,DB2,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RID,RIFR,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.2537219342466866,-0.33195563475052153,-0.10310884921263211,-0.1962887490562532,-0.25186195900876834,-0.36275888487274366,-0.42934035293760175,-0.13737440565161513,-0.1530536944120286,-0.3683711868287243,-0.33234381247771394,-0.15494554656017195,-0.27739334241901364,-0.13821064130839275,-0.27489295906599,-0.37467066064353594,-0.18677700610150008,-0.2566909679123266,-0.11918265070956108,-0.2127082082532602,-0.4174357605869482,-0.37972305428270736,-0.45895129286392033,-0.34304960746646596,-0.14472711327419954,-0.16541618462905014,-0.23390003205349638,-0.07365975748662454,-0.0728919584323143,-0.14263111492909938,-0.3956805970180764,-0.28581480943189574,-0.3642264483950896,-0.0922628028362962,-0.06805258012385865,-0.3147609212340627,-0.20939405337098896,-0.07708511627111625,train,0.0,1
1,-0.39619410540794725,-0.4509449681112656,-0.14571437207327156,-0.23314485640601468,-0.299703437498247,-0.5267307788523312,-0.5917375603996992,-0.12606853104838187,-0.11333863016597062,-0.4940156756627358,-0.44846844537225006,-0.16584473530363522,-0.3008801828131957,-0.13024682803203583,-0.3254569498469335,-0.4947553235367542,-0.3251034226302116,-0.3469422674615348,-0.12307025183502443,-0.22185080123582304,-0.5056879414880355,-0.5397038217059967,-0.5866252786223888,-0.40196821616253314,-0.17846760865683192,-0.14660445866580124,-0.2403086408516109,-0.07216969308865918,-0.03961401384332314,-0.19374587420354053,-0.4523813550589678,-0.35775354599734704,-0.5097079275900819,-0.07702983323751147,-0.07670739746468958,-0.37615054458945985,-0.18990320582210543,-0.038051454307415175,train,0.34427797258527254,1
2,-0.48521861591625054,-0.5208014865046747,-0.16835371654685655,-0.25061829802971275,-0.3264987506321861,-0.6179730904699077,-0.6826540358677331,-0.12189933881236938,-0.09997413134432502,-0.5687229591489731,-0.517243445444672,-0.17754360592223545,-0.3081383320669631,-0.12549517175795502,-0.3532875527180619,-0.5538189414661219,-0.41345348863045983,-0.40097740150802086,-0.14116776801040073,-0.22090861787574695,-0.5665920335056712,-0.6321424517844458,-0.6637244616006903,-0.43738879308130785,-0.20520946411764351,-0.1356152910616358,-0.24509330347395525,-0.08621355039143602,-0.02889144618106551,-0.22013407045796493,-0.49764145971745866,-0.40252458952089953,-0.5962068956418449,-0.07527327912911996,-0.0867371184038997,-0.40232115185669337,-0.1749775667980959,-0.02361859032188647,train,0.6885559451705451,1
3,-0.5377629472838514,-0.573860719709023,-0.1887021446444756,-0.257564319628488,-0.34966793246029837,-0.6825515296593381,-0.7399539662970023,-0.1106661529856024,-0.08286928178085004,-0.6141477447569204,-0.5723751172084244,-0.17518323709182937,-0.30384842488731983,-0.1020170256791202,-0.3638142037653887,-0.5765463347899077,-0.4670357612517363,-0.4293924728816425,-0.13064616070143006,-0.21249820675450887,-0.6004128808145588,-0.6924484516133425,-0.7101566859034537,-0.45607061206378374,-0.2198469283267314,-0.11805312932182255,-0.23865107227832608,-0.08564327126005034,-0.019797803261834113,-0.23520938061576704,-0.5141903338614657,-0.4302054280091372,-0.6386294012767034,-0.07821826577850144,-0.09592702144745444,-0.43126145101754887,-0.1571005125971854,0.004149808660338511,train,1.0328339177558177,1
4,-0.5763198281717011,-0.6068851617773885,-0.20997897962218717,-0.26457820668663484,-0.36234299803351977,-0.721661070193025,-0.7715768945933061,-0.10700652674734067,-0.0756458881531428,-0.6424559566327563,-0.6031605198717926,-0.18008164644150973,-0.3061755114983792,-0.09801362086753458,-0.3725476484227586,-0.5936759754166392,-0.496283841148501,-0.4480020557870252,-0.12871134858535582,-0.2174661801863444,-0.6241156378344397,-0.7317781468730428,-0.7413789648175597,-0.4770592842302339,-0.22995337671510077,-0.10655006018008352,-0.2403341277552048,-0.08694570595979849,-0.010971077476783248,-0.23882741864186086,-0.5313224570387693,-0.4443691386839337,-0.6707444261138488,-0.07592656873594528,-0.09794507270111923,-0.4486896942015598,-0.14196702105988507,0.014403368230203828,train,1.3771118903410902,1
5,-0.6054537975247353,-0.6331025197190028,-0.2217588109513695,-0.2705520202759325,-0.37931008340796313,-0.7572675655477671,-0.7945987855527379,-0.09859648835285217,-0.06699052350174908,-0.6675719855825242,-0.6331868985423139,-0.18546143075206606,-0.31029268166169793,-0.09527362077439276,-0.38550187244533685,-0.6083664166018243,-0.5281884802291864,-0.468591039954263,-0.13084244216958038,-0.21792306261846728,-0.6423741145783446,-0.7587086378408349,-0.7673827278104468,-0.489968816197793,-0.24227964432139076,-0.09286719017028044,-0.23206173156235865,-0.08219565877676802,-0.01574202516431232,-0.2488034731802561,-0.5445671392462944,-0.46181513435895505,-0.6999849924378175,-0.07852565430621206,-0.10864524278770366,-0.4586956837689373,-0.12891992768648985,0.02675009450618393,train,1.7213898629263626,1
6,-0.6209911197149109,-0.6466674614624853,-0.23267266896401453,-0.27412192709327776,-0.3941962263336787,-0.7739601643204815,-0.8073712977426273,-0.08768020679733703,-0.0623045297172109,-0.6766240670196233,-0.6463921763163252,-0.1885692318093284,-0.3135591269669601,-0.0994434015808128,-0.39147425240104705,-0.6126237360966958,-0.5470201328468818,-0.47421424383756183,-0.1383971244147406,-0.22222245932321308,-0.6539099244315321,-0.7688965977157267,-0.7857720534709443,-0.4996822777872296,-0.25327646600550746,-0.08712243907127148,-0.21833169878396003,-0.07990117974379153,-0.008017499063238648,-0.25920519199820685,-0.5455338091756304,-0.4686354365887715,-0.7124918891440073,-0.08644601967021298,-0.11836660460500088,-0.46576797953941895,-0.11907379957577575,0.030246073326807427,train,2.0656678355116354,1
7,-0.6388868607595536,-0.6609095856109637,-0.23153643739546848,-0.2768779568447044,-0.3988297875233012,-0.7879607113305417,-0.8181044689002239,-0.07766688334728344,-0.058484920859083134,-0.6863233056071774,-0.6560619036271038,-0.18314050019630657,-0.30909429748334694,-0.09243421805976083,-0.39615513828341564,-0.605260716695031,-0.5620895144867386,-0.4819359900203162,-0.1385425490884195,-0.21113570610356178,-0.6606625725612654,-0.7825234079648332,-0.7851964015955952,-0.49952485029437765,-0.2532035674001466,-0.07854027249826026,-0.21402793936595996,-0.0793519060900426,-0.001881511265191177,-0.25888037764348026,-0.5507165393517446,-0.46458308511171,-0.7174215220830922,-0.09133424810010693,-0.1254871711040674,-0.46914544244532164,-0.11140106092578858,0.041015428990961555,train,2.409945808096908,1
8,-0.6501733388316431,-0.6756113507104385,-0.23145839519057118,-0.2741940904250798,-0.40845440826842044,-0.8133206973614844,-0.8319014653433578,-0.07559256819691007,-0.047568202940580534,-0.7083944888834013,-0.6773002188731028,-0.1855780729807241,-0.3060155372550212,-0.09067259896580931,-0.4035454414258156,-0.6181369952247265,-0.580991414106481,-0.4881065626529916,-0.13962247613510606,-0.21108887795021317,-0.6673354774216904,-0.7939047031250499,-0.8011159523944459,-0.5091120988108473,-0.26729179156544935,-0.07076190221570275,-0.20785080223883065,-0.07310300074604076,0.0051792509168218925,-0.26671206468122166,-0.5567914735874263,-0.48015927882653664,-0.7278630927651352,-0.09889169287940114,-0.1309604350532791,-0.47224278434167233,-0.10366504565081998,0.049860955094215065,train,2.7542237806821803,1
9,-0.6560479170000459,-0.6804237119640185,-0.24270938316419396,-0.2773533119310122,-0.40895041279888567,-0.8204449286869007,-0.8401432413024539,-0.06977907185881013,-0.043469247808125555,-0.7155001270483468,-0.6847358754858504,-0.18829920993244376,-0.3143052975581753,-0.09324556709756864,-0.40646576407587,-0.6213445387344518,-0.5832899976710494,-0.4914377455105742,-0.14472511351320339,-0.21750452182531918,-0.6718951076955422,-0.7963129967483821,-0.8056909057448663,-0.5185481786174704,-0.27950052129192693,-0.06089597559900528,-0.19946894664669226,-0.06968966165414978,0.012514200580839241,-0.2753717868547647,-0.5570525497928911,-0.48406568650235227,-0.7348016143269894,-0.10264960230153045,-0.13748008804963033,-0.4808074843346082,-0.10253891699277441,0.04979002936313143,train,3.098501753267453,1
