,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,VA1,VB2,train_test_label,time_in_seconds,tau
0,-0.300511118438652,-0.3797121904019448,-0.20930776262103215,-0.19098833622375827,-0.2563969422099402,-0.42871925082519446,-0.44043233205271526,-0.32937885781402243,-0.2952372626709446,-0.4055794878274372,-0.3855735177593962,-0.290222777826458,-0.20897067464966357,-0.24200418220722814,-0.18880895497541078,-0.319508748469322,-0.39474264875259735,-0.4934218693338617,-0.39856008383457686,-0.4155176879560333,-0.28403743103228785,-0.18752651797150735,-0.26692768431278757,-0.20698626414578708,-0.19587462772817815,-0.5632694625404981,-0.5024297524756549,-0.3866407683210956,-0.4402467386966946,-0.4202260420968066,-0.25145390716083205,train,0.0,1
1,-0.46711653042869034,-0.517575442539272,-0.31074969347183534,-0.19649650160013313,-0.30483355941078716,-0.5951669078605469,-0.6054871943761522,-0.4317893548706351,-0.36404767761890783,-0.5450462139424856,-0.5221585727972404,-0.35259039034452216,-0.2610150955689501,-0.3186957550346191,-0.2558973057442221,-0.39605228853677027,-0.5564617842325009,-0.6244474894823913,-0.4479691445198172,-0.5389516928283147,-0.402292749058492,-0.20017374546398048,-0.31455526126899597,-0.30529645670803174,-0.23761566984879423,-0.7459274074035928,-0.6296583420123513,-0.5213749004188367,-0.6399792496727528,-0.5274637744835518,-0.30801216398594683,train,0.35749751737835156,1
2,-0.5467597451664304,-0.5532954183797674,-0.3715965812766437,-0.19262500334246524,-0.33553362002820897,-0.6358828682982425,-0.6538312513771862,-0.4935954778700862,-0.4302993022376356,-0.5980347613536349,-0.57116188120905,-0.400661425837995,-0.30154843170001655,-0.4109779567054179,-0.3426378450979359,-0.4475390662440368,-0.6366305393691054,-0.6627670572903224,-0.47778467521939477,-0.6007731972239398,-0.43637232241672863,-0.23828131268745606,-0.3367481501077851,-0.4073824650371405,-0.29356931628012395,-0.83535462885187,-0.712896391568553,-0.5813079108529576,-0.736443071299577,-0.5653751319754564,-0.3727098284654567,train,0.7149950347567031,1
3,-0.5830072330312304,-0.5485417052307395,-0.4040827287100032,-0.18126054550033682,-0.34806493891985635,-0.6296594168965111,-0.6571906421715767,-0.531608310534128,-0.48674943751766064,-0.6217460376314778,-0.5916158564485725,-0.4405656494242727,-0.3305013174706218,-0.48394695915827024,-0.41249400397133434,-0.48648905371885276,-0.6789845718346051,-0.6559203476496254,-0.4997579462292707,-0.6315765445936958,-0.4328108451149302,-0.2740340757229577,-0.35282422357809395,-0.48676695187315155,-0.3341148544101535,-0.8831375487081912,-0.767277811547735,-0.6114026655970657,-0.7818324437985157,-0.5747458397598458,-0.4367512021611506,train,1.0724925521350548,1
4,-0.5819179706749985,-0.5221011326195735,-0.4414410864305384,-0.16117660898502245,-0.3566582115363268,-0.6001301031401317,-0.640149732419969,-0.5615407894972188,-0.5415144723069645,-0.6177711563422799,-0.5936215425871655,-0.4435524229301018,-0.35004896843894695,-0.5290409644588112,-0.46678918025312643,-0.5221185422759337,-0.6801888130416927,-0.6497144169999887,-0.5342001634212422,-0.6634205097189698,-0.4510186497328853,-0.319483156057528,-0.38602335322916514,-0.5535591510732031,-0.3888314127450867,-0.9133323536374957,-0.7851531298661749,-0.6501838276641637,-0.8213550515271842,-0.5876554953895278,-0.4778990151244947,train,1.4299900695134062,1
5,-0.577441683215378,-0.4970049705176822,-0.44639856050361026,-0.14909795911755294,-0.34890200279825384,-0.5579995897795911,-0.627321155632085,-0.5822092172195834,-0.574066058951681,-0.6000975009465328,-0.5805674138708408,-0.45465878441248475,-0.3612184936627485,-0.5745434362045851,-0.5088705405531332,-0.5500429000735392,-0.6756929984145176,-0.6230981716987034,-0.556216326993058,-0.6796382297402119,-0.4458798168760244,-0.34460487139806295,-0.4043507311333484,-0.601299875499163,-0.4151411379146148,-0.9284655009372059,-0.7960389913682142,-0.6687734820731916,-0.840605073748051,-0.5778448028668018,-0.5261956798738825,train,1.787487586891758,1
6,-0.5305671439359646,-0.4393751152741612,-0.4498934562075643,-0.12916046824270538,-0.3301323416612774,-0.47012595754851794,-0.5638627607869153,-0.6047406724404235,-0.6237453651148186,-0.550739547476394,-0.5474090623562755,-0.45451382204795066,-0.3837750427040761,-0.6095969402096535,-0.5601776490799142,-0.5771188152498654,-0.6234802062733527,-0.565144695214971,-0.5884856094131949,-0.6835380907689748,-0.44852003496597614,-0.3880830513155391,-0.43891156902266504,-0.6458040996906835,-0.47023163992462846,-0.933279874514313,-0.8015652705492116,-0.697405331160519,-0.8533546148914616,-0.5599972067605785,-0.5717643506252977,train,2.1449851042701096,1
7,-0.4574124109472174,-0.3607427844036488,-0.4328339117585859,-0.1112831330326711,-0.3014711334263178,-0.33936368438997455,-0.45531524235867554,-0.6247724260894448,-0.6747040903501359,-0.46081897670430255,-0.4753112503015667,-0.4605097562432102,-0.40323012725295165,-0.6539151205267763,-0.6294705423655971,-0.5974339097847469,-0.5394080156014879,-0.4536912035379156,-0.6163665998872263,-0.6595342965263185,-0.4175616812789592,-0.44938621008969004,-0.4729191977194307,-0.7007634068782995,-0.5292926728541989,-0.9149346307143734,-0.7953494034112614,-0.6941717868421643,-0.8294083416699243,-0.5234900288423762,-0.6196893827409728,train,2.502482621648461,1
8,-0.3397635845972557,-0.2618397672366177,-0.40923410670217225,-0.07291230317487678,-0.261444746696853,-0.17245953629826657,-0.30228934066018887,-0.6715043086460892,-0.7372969473182704,-0.3399136378896258,-0.3938486621823172,-0.46485103306372955,-0.433649591521337,-0.7007101456423487,-0.7097423770086901,-0.6266086089348277,-0.4211517111401347,-0.30793207196937544,-0.663354639349971,-0.6465086630542483,-0.39932012099718683,-0.5331083704830925,-0.5321379616363031,-0.7546695892614225,-0.6182732317991941,-0.8891831813189517,-0.7943183390265504,-0.7065162421972898,-0.8056850443870739,-0.4719595278278734,-0.6858480021656841,train,2.8599801390268125,1
9,-0.24187743849778048,-0.18592317884215764,-0.40332833219609715,-0.03961660218313655,-0.2275235544551587,-0.030436811158065468,-0.1925614324249479,-0.7108977027842115,-0.7865958811757876,-0.2540999813475652,-0.3125637682257001,-0.46946651733697364,-0.4536029095780989,-0.7161929478858708,-0.7599006541270473,-0.6520130088738159,-0.31991383779568766,-0.18213211433440113,-0.7029579493265633,-0.6396980974237754,-0.38446888229542586,-0.5859611290224516,-0.5729593743728637,-0.7872802501338863,-0.6674844568238625,-0.8632780824679699,-0.7876294752363181,-0.7115513682011114,-0.7795216937299325,-0.4240986313593429,-0.7357643955141497,train,3.217477656405164,1
