,AIBL,AIBR,ALA,ASJL,ASKL,ASKR,AVAL,AVAR,AVEL,AVFL,AVFR,AWBL,AWCL,AWCR,BAGL,BAGR,DB1,DB2,RIBL,RIBR,RID,RIML,RIMR,RMED,RMEL,RMER,RMEV,SABD,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.24469914876301896,-0.2904918496391302,-0.18255759004592395,-0.08897537707627362,-0.2081301103063377,-0.2483253048304021,-0.40993732063892174,-0.41028393827622134,-0.3287038480823865,-0.28350706463124553,-0.19902571185875428,-0.19372368393949282,-0.07879241694360459,-0.016234160625909627,-0.3894246955867031,-0.4021072276138228,-0.4319300910576463,-0.2588251231214048,-0.24985189611707131,-0.22201579206895591,-0.3256981895887211,-0.37459697775951073,-0.3963286876183315,-0.26858418863216166,-0.3338396915285353,-0.32226394499147454,-0.34168581135878334,-0.32237696393797444,-0.5227626605106078,-0.3113792137330247,-0.44794313627364823,-0.3838955236255429,-0.2947597353652355,-0.28748709187799804,-0.3542091040581059,-0.2081291388623988,-0.07777935143021325,-0.4811489099098938,-0.4264746849886202,-0.21312076095454402,train,0.0,1
1,-0.38929636963779346,-0.38806021318147277,-0.24649113423507554,-0.06615806826896023,-0.2390994238312263,-0.30981707909084666,-0.5777715891608134,-0.5584399186760238,-0.43281177224099804,-0.3492155518716278,-0.25507265525326406,-0.26379290265258903,-0.1486076065128086,-0.04707265541562468,-0.5130467185946294,-0.5394585866518864,-0.5391258990495206,-0.3250102793736289,-0.34760443757765463,-0.3058912163700208,-0.4045873807683315,-0.5341129880334612,-0.48372854891195427,-0.31977637234694783,-0.40394471359216927,-0.47568726759606406,-0.44849100196610536,-0.46802847952169724,-0.6591747917613575,-0.4098300265734851,-0.6265975267303929,-0.5625911794856245,-0.41100468637099163,-0.4041944326431838,-0.5323223038548237,-0.26408506552157507,-0.10137114052222303,-0.6025648450606478,-0.5274748839532393,-0.26071930988618536,train,0.4158644589911436,1
2,-0.4735993558082346,-0.4415386155383709,-0.28196995164733063,-0.04437781233781894,-0.2569401303358428,-0.34517074417462645,-0.6630807682061678,-0.6211042109282561,-0.4908554391493188,-0.3819169352646583,-0.30141381148394497,-0.3040823801422152,-0.18396962919824777,-0.06574946574800444,-0.5772306253460933,-0.6114417152314426,-0.5997073607185087,-0.360938152152407,-0.40144349756055386,-0.3495026560407833,-0.45070058810544655,-0.6273426749794029,-0.5263403549732324,-0.34788979642372775,-0.43998671817939905,-0.5607178264203515,-0.5079925390781463,-0.5598138163284011,-0.737517390890038,-0.47464007691889876,-0.7380889816761399,-0.6567048590040568,-0.48179656160276685,-0.4744429944618328,-0.6272026919226181,-0.28918397320068334,-0.11384634487628358,-0.6664275141465041,-0.5624829846841031,-0.28253429503380023,train,0.8317289179822872,1
3,-0.5089339091564911,-0.46606814367811444,-0.29129646734413167,-0.04286007382434473,-0.2597234802681699,-0.3705578790630353,-0.6859254234054003,-0.6508328005581561,-0.5255507204300005,-0.37827601529110483,-0.32168477812845975,-0.31687916145059913,-0.20011851121269741,-0.060531524529495256,-0.61261642959624,-0.6427082821082737,-0.6148110279285831,-0.37224882102331197,-0.42657891599706144,-0.3739422312214013,-0.466742477528895,-0.6654110351227541,-0.5426364211924376,-0.36624347845084815,-0.4698056981892842,-0.6171234323407794,-0.5248916504584826,-0.5922716459345907,-0.7763264800249302,-0.5085498758964592,-0.7923592384109402,-0.6917167562935351,-0.5305293597912235,-0.5159656409570738,-0.6708047419137727,-0.3093910134309303,-0.13673430183157775,-0.6782521521505193,-0.5897731733292289,-0.2993900829689248,train,1.2475933769734309,1
4,-0.5386643675683375,-0.48892987803519106,-0.30489106819117573,-0.03154782731658182,-0.2621073415759496,-0.3932327641582305,-0.711362104557242,-0.6596970692317194,-0.542487589751798,-0.3933764397879682,-0.34506852091797613,-0.3382325446599288,-0.20959377494503767,-0.0756240099143956,-0.643128869808286,-0.6748299193356951,-0.6401063830218775,-0.39094591667716727,-0.4565084394033474,-0.388300364519234,-0.48117348654308645,-0.6995298825648553,-0.5541591165039824,-0.3794313478052128,-0.46489892659799215,-0.6476313123872721,-0.5407163069439914,-0.6263246548071859,-0.8082130712729076,-0.5352697915126589,-0.8288729952926733,-0.7246313215327636,-0.5498318667863866,-0.5356307146344037,-0.6976391746663136,-0.32862602330787605,-0.1597808956790581,-0.6962708934773055,-0.5812995221811952,-0.3082523956329072,train,1.6634578359645744,1
5,-0.5519597574134254,-0.4990098369966799,-0.31278420659315204,-0.034190072885518494,-0.26723931514547233,-0.4011799723204828,-0.7208708945063613,-0.667290120451334,-0.5597390521786552,-0.389770821645653,-0.35330649000646347,-0.34038476945540497,-0.21554758623173592,-0.0735766511344741,-0.6533114179890781,-0.6942602023584953,-0.6462426553592073,-0.39229215103799975,-0.4631197127229735,-0.3912595351070119,-0.49307484082463604,-0.7072666531282078,-0.5655141082890033,-0.3873594285631539,-0.4801894429678586,-0.6725939427252215,-0.5524111854655788,-0.6376978482824965,-0.8179025621830851,-0.5522099520766409,-0.8497569138900036,-0.7369112111702467,-0.5726775909875359,-0.5540422096950136,-0.7152000599685091,-0.3336739402714667,-0.16895603392003133,-0.6978229842005095,-0.597646950963878,-0.3148713704075635,train,2.079322294955718,1
6,-0.5592324604223987,-0.5179449254800188,-0.31103784191082606,-0.03855586445944727,-0.266336178031371,-0.41918692417313574,-0.7443509438877133,-0.6777022521178038,-0.573740581843208,-0.3839111611327941,-0.35523549737873,-0.3501160431963368,-0.21179039925975324,-0.08381705080050142,-0.6532860993144783,-0.6916745211692649,-0.6504411894622976,-0.3994546101439297,-0.4633390776561158,-0.38611121049319175,-0.4888279091845443,-0.7222471824383959,-0.5747893273241369,-0.39265323278276176,-0.4789480753479971,-0.6845356647706493,-0.5547771064048345,-0.6486528694112974,-0.8250542464771804,-0.5562151725799643,-0.8480199316159177,-0.7398691774161192,-0.5742897016179953,-0.5485028284096094,-0.7136658049928362,-0.3382719800861803,-0.1684890126684535,-0.7104986498303888,-0.5950148924832221,-0.300507639113869,train,2.4951867539468617,1
7,-0.5580332020733568,-0.5162935694330418,-0.2985646132006405,-0.052800241464398656,-0.2667553352289093,-0.42059844655818207,-0.7450699780228193,-0.6807081218501247,-0.5844175724449243,-0.37587566568672925,-0.3449496777267165,-0.34783368302732864,-0.21438743660814358,-0.07925450355724746,-0.6551189145937929,-0.6942261895715617,-0.6456647369944075,-0.4041239204910133,-0.46606029482646794,-0.38626298382959073,-0.4869345729271378,-0.7153610436880934,-0.5831986097470596,-0.40267870869554506,-0.4900792611889293,-0.7023812401428151,-0.557143264584509,-0.6403146208706598,-0.8212199578539512,-0.5601939984566149,-0.839734901238161,-0.7386125855568805,-0.5840181504458756,-0.5512404598506456,-0.7129619016029447,-0.3348612573432197,-0.1660066553740217,-0.7024677668004172,-0.6100986748800369,-0.29877673387335196,train,2.9110512129380055,1
8,-0.5711647834926042,-0.5344659627357976,-0.3050756129853304,-0.051686894599166186,-0.2684334319979875,-0.4377073184802548,-0.7525089937930696,-0.6869873066587435,-0.590971815587461,-0.3755847600157234,-0.35898494299041434,-0.3535076516049005,-0.213474461391373,-0.08529482451012854,-0.661064866021269,-0.695256756938324,-0.6584511655244603,-0.4048949068252877,-0.47829317729466203,-0.3880445174876036,-0.48935983155180685,-0.7276695441199349,-0.5874523694748292,-0.39674204942818037,-0.48478017290122066,-0.7054982240882182,-0.5518949800933949,-0.6437247185418333,-0.8234764930914977,-0.5641667555823242,-0.8443425336741236,-0.7436853310271196,-0.5911737530685117,-0.5509490946450303,-0.7184350378922174,-0.3553513161004189,-0.18145395047775364,-0.6975625772742277,-0.6087019524711261,-0.30463491459359415,train,3.326915671929149,1
9,-0.5741357428295536,-0.5450116048353891,-0.3048211356010206,-0.04725798231426574,-0.26885549839009903,-0.441546624495054,-0.76846815780883,-0.7009459880916742,-0.6029414252345918,-0.37974214047308585,-0.3596447303877101,-0.35515904551595523,-0.22047896093655373,-0.08927753633769238,-0.6573851588735293,-0.6961472040551777,-0.6601438802567958,-0.4052648731504198,-0.47396574853482476,-0.38689219672191993,-0.4877781543373827,-0.7358004328101998,-0.5895439531122562,-0.38699896311480236,-0.4695805448645478,-0.6965137170554465,-0.5345027556810532,-0.647626014077088,-0.8284036298512447,-0.5729372952860995,-0.8457796232270689,-0.7463632334227761,-0.589979066413238,-0.5545128998242699,-0.7233347347992304,-0.3725923832539375,-0.18966058242234116,-0.710843401124,-0.5939056848393116,-0.3059084131067561,train,3.7427801309202926,1
