,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFR,AWBR,AWCL,AWCR,BAGL,BAGR,DB2,IL2DL,OLQDL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVR,SIBDL,SIBVL,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URXR,URYDL,URYDR,URYVL,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.3851117484680669,-0.45003598176932724,-0.2918453873945583,-0.18915370435965445,-0.2771351600916754,-0.44448128363642503,-0.5212839825890084,-0.2769182856298371,-0.32271301416971904,-0.43726449462890693,-0.4828775706248383,-0.2158008789780138,-0.13595571982051097,-0.15895393659751386,-0.025470624301013073,-0.37809808697223224,-0.4030916556208054,-0.31337965900628006,-0.031679811320820414,-0.3422091089590441,-0.22035609862852734,-0.19127018557254677,-0.42857424170342334,-0.39973378314240815,-0.5182048238355477,-0.4832420592732942,-0.5474688038013115,-0.434924207276875,-0.12185672142450021,-0.23403006969756412,-0.14451337183317828,-0.08651659965207487,-0.39325196529159634,-0.1468734682905013,-0.27895415905126175,-0.45932522162809036,-0.44470256691510845,-0.504264468275996,-0.4911111033386418,-0.402032054283019,-0.3572149111174828,-0.2663677367089834,-0.4282515799009131,-0.3716424374648557,-0.4672056879527676,-0.32934730943102114,-0.21727568481722254,-0.31868973180996013,-0.4674257974866711,-0.42906145364662307,-0.34083856520412537,train,0.0,1
1,-0.6020360521314811,-0.5945901989059686,-0.4359903912555048,-0.21430292110966742,-0.3355681589705888,-0.617935501350889,-0.727884698108278,-0.3593065165105942,-0.41077492128218174,-0.5862419127435379,-0.6509401427669754,-0.28300107191695967,-0.19471059041380032,-0.27022821289123405,-0.06656880417760166,-0.5039663948979729,-0.5830477015959875,-0.3846764051288753,-0.02074044324668803,-0.43137577254190046,-0.3083776870890802,-0.24259347963458774,-0.5661446206290497,-0.5574271539909296,-0.6444853280450404,-0.566148000224092,-0.7145505237078753,-0.5908028434284159,-0.0863862281976284,-0.25891171616480263,-0.2232406877666836,-0.0884446254241542,-0.501309308602105,-0.17862957429063092,-0.34373690657308464,-0.5803835761827598,-0.5364425960503205,-0.6774791878467783,-0.7056136490844189,-0.5843580900750285,-0.495914742748917,-0.37531776004077844,-0.6431502458001694,-0.5332504335562473,-0.6074696764250159,-0.42403559302303284,-0.3006199740170097,-0.4276268823050268,-0.5830970392283288,-0.5537832911972853,-0.4386196121673647,train,0.4505632040050062,1
2,-0.701627173475172,-0.6468936940588008,-0.49566329224900574,-0.23882685033942924,-0.3748504054733939,-0.7126570710652833,-0.8160800624906779,-0.3442095486109624,-0.4391340795015192,-0.622840113201798,-0.7297469078854759,-0.3117921804420888,-0.22957147264706687,-0.3120137074422433,-0.08517097762199381,-0.5741184903768823,-0.6862064354733131,-0.3990539369504298,-0.04947391025109394,-0.48009472065358005,-0.34971861053881026,-0.26150190657064065,-0.6051327260467932,-0.6235473595199696,-0.6802298543156924,-0.6009303702154134,-0.7715478932045543,-0.6586259958121687,-0.05608089450037251,-0.233890870163129,-0.2602997338355105,-0.101336548794555,-0.5564180813172419,-0.19156147351256853,-0.37461072921994165,-0.6239452499497269,-0.5480002654027841,-0.7544222550327135,-0.8081255706024243,-0.6578220151707741,-0.5308688272172575,-0.42517017941532786,-0.7765853170422806,-0.6153676351687976,-0.6657546126712653,-0.4553110769732873,-0.34308996921306323,-0.475444784075008,-0.6374234069412398,-0.6060874295483926,-0.45617011515598743,train,0.9011264080100124,1
3,-0.7879714748047927,-0.6913053210999333,-0.5430962763707231,-0.2515371475844968,-0.38887942493549177,-0.7676854488641963,-0.8849124182351444,-0.3380315162253643,-0.4655869074238442,-0.6750049249721584,-0.7819507142168145,-0.3333548947536921,-0.26254852851547605,-0.3451165968812514,-0.10252419142767259,-0.609357059391363,-0.7355573714829716,-0.4013784640010193,-0.047555028996717576,-0.5054170922868809,-0.3649587504724705,-0.2600263572280552,-0.6305281824741069,-0.6813268579046413,-0.725555811705099,-0.6047197714615622,-0.8208251923582945,-0.6981437539036046,-0.022203747958571107,-0.22493710346715515,-0.2838111634042437,-0.08986252711683093,-0.5924122738129043,-0.20742419159631192,-0.3792624839122277,-0.6543026616755225,-0.5768002028518631,-0.8141859816422132,-0.871999325363427,-0.7120154155648158,-0.5761680533675819,-0.4595281436853266,-0.8293468141859458,-0.6719422820042625,-0.6989230392560237,-0.47564913387337227,-0.36019500830352,-0.5076409974628551,-0.6749610160747771,-0.6276754438714054,-0.465265771617788,train,1.3516896120150188,1
4,-0.8228763720506304,-0.7173737272916718,-0.581279415028958,-0.2547352851630426,-0.40912722154144476,-0.806422083486849,-0.9382538246221386,-0.3380596140494136,-0.4655982965762944,-0.6982225061965903,-0.8148185632599012,-0.35400599264066784,-0.2957592357739147,-0.3673773229298004,-0.12807471551902572,-0.6155357082940758,-0.7641468490957549,-0.40122811910988865,-0.04887404890689865,-0.5054286014689704,-0.38371980087125046,-0.2613319647307993,-0.6320203073969388,-0.7284827419059133,-0.7330036949984913,-0.605526520148212,-0.8494820697979086,-0.7238942792825459,-0.00730700784265273,-0.22136130349455646,-0.30603603415653324,-0.08313058193688305,-0.6070077116702645,-0.20555233664040456,-0.3805791810608422,-0.7058213050799995,-0.5905441046732476,-0.8319976894417382,-0.9230765718317578,-0.7504823927571925,-0.6030906705683146,-0.4880501441710319,-0.8757020373399558,-0.7067108785607666,-0.7298394286484302,-0.49891696906007366,-0.38139040382011413,-0.5488430535771717,-0.6970555825331026,-0.6367098893620249,-0.4671570257482623,train,1.8022528160200249,1
5,-0.8414280678648147,-0.7227373147171154,-0.588022374580028,-0.25181964884459024,-0.40476223712517856,-0.8088807008007863,-0.9431383478972166,-0.33763628056581296,-0.48408378792282014,-0.7021436809057229,-0.8217336568199511,-0.34960896197520075,-0.31667565994424157,-0.3752973836655799,-0.13662519597591166,-0.6133806447497258,-0.7663535031348074,-0.4087538531870268,-0.0443680137266733,-0.49983812938105354,-0.39663856858635527,-0.27150891779005226,-0.622899396731839,-0.736570513493481,-0.7293579132569922,-0.6104317798558908,-0.8620629143146512,-0.7320444782830299,-0.008908847433939493,-0.22491281296649857,-0.32619791164513445,-0.09065709980250379,-0.6068210024023626,-0.20584947936464704,-0.38759567906564185,-0.7309980702690283,-0.6026862440416143,-0.8433061562407073,-0.9385114049300858,-0.7575542922921263,-0.6101266788165065,-0.5047929284177602,-0.8965511288033097,-0.7167853858490628,-0.7468503755138868,-0.5048565989072128,-0.3860965447882987,-0.5696749427602289,-0.7106946734946723,-0.6443674675648212,-0.4717051647907774,train,2.252816020025031,1
6,-0.8608262810692777,-0.7289827475117315,-0.6014667539365859,-0.26091007115610065,-0.4131026357964883,-0.8187630071743867,-0.9758463442957273,-0.3289377021038411,-0.4802473422743575,-0.7163187001770266,-0.8321337092182315,-0.34629359697560275,-0.3335780331313928,-0.3848680141714105,-0.1574149841812345,-0.6113015282332129,-0.7645506657254756,-0.40268608945779827,-0.040405039371360085,-0.5007802041579723,-0.40177119943466255,-0.2780884324429523,-0.6073180525977406,-0.7610921801803224,-0.731077809823483,-0.5944230850534282,-0.8675000301586222,-0.7511832140655408,0.007805438590233665,-0.21428805256650554,-0.3346988757581529,-0.08390108397194987,-0.6251515975494302,-0.1939631342768491,-0.38104361864877345,-0.7466195348819932,-0.6026195095983007,-0.8473203489558035,-0.9409771894016763,-0.7755431068534506,-0.6196753711820806,-0.5183660813636599,-0.9103976607705794,-0.7299406457777747,-0.7407791277596287,-0.5225780915689208,-0.39021539205755507,-0.5894848907970466,-0.7230405109279576,-0.646188681176873,-0.4773937223037402,train,2.7033792240300376,1
7,-0.8951440749861269,-0.7327769179300366,-0.613545953995997,-0.26773490486949875,-0.4198703752483099,-0.8376808560737187,-0.9773875882383705,-0.34385233981038954,-0.5033878697405672,-0.734103918790262,-0.8255997655573701,-0.3464778021910798,-0.355177931365378,-0.3856129314210113,-0.15709104431438847,-0.62056945865328,-0.7586469122816702,-0.4148426328905567,-0.037561451770320234,-0.5016529101272152,-0.4272518098215772,-0.2892741028281254,-0.6042690197114963,-0.7740266553017312,-0.7316467254658869,-0.5960480325476114,-0.8670840068581582,-0.7365018091822381,0.004536648510873625,-0.2256205811856321,-0.36897021114007983,-0.08741430866109133,-0.6267277388907093,-0.19905001072065887,-0.383677859032087,-0.7668190608646688,-0.6306058387231667,-0.8407318176697021,-0.9551460458821777,-0.7837192248008877,-0.6296657370717901,-0.5348949547111177,-0.9234590582290824,-0.7422745282441919,-0.7383069972623485,-0.5133445029582852,-0.367670325968657,-0.5839823964157269,-0.7312711116474363,-0.6550209150185213,-0.4739789963971567,train,3.1539424280350437,1
8,-0.8665738135215555,-0.7275825142164375,-0.6143996192877492,-0.26491735500775393,-0.42537345465722026,-0.8288542228864085,-0.977028741719429,-0.34368546646402126,-0.49131991413423465,-0.707562888812642,-0.8194413207430429,-0.35746364413853443,-0.3749811314455485,-0.3788712535748653,-0.17402095664379336,-0.5962615173931202,-0.7418762880189548,-0.411417846562512,-0.034311665515640896,-0.4883279519169744,-0.43322398197118783,-0.30059011597323043,-0.5904235290166981,-0.7815977683353742,-0.6985008394772687,-0.5854716937220836,-0.8775167982333565,-0.7472307467138493,0.0015026918314214321,-0.2225837786074888,-0.37877652685841573,-0.091906374360501,-0.620331832936774,-0.18240602107858797,-0.39758553740346647,-0.792335088020192,-0.633195488198197,-0.829390707051148,-0.9522036505041803,-0.7885956140105322,-0.6302690113677014,-0.537981297147125,-0.9291692968761194,-0.7495954083083685,-0.7502104525185143,-0.5295158549339718,-0.3735102466585968,-0.6006187036933691,-0.7235165305003217,-0.6496329265244791,-0.47252935368786986,train,3.6045056320400497,1
9,-0.8708236293285161,-0.7313857729416232,-0.6352029153714315,-0.25601095880724817,-0.42428857476462767,-0.8292149500299775,-0.9675679619930664,-0.3610974043240541,-0.5219976793425651,-0.7184879070607653,-0.8127893537053621,-0.3605987843135502,-0.370710870661636,-0.3712277857207788,-0.1750514411170287,-0.5961150956051109,-0.7435889656352037,-0.4321472868214175,-0.043190402725296624,-0.4771755791378166,-0.45614156309933274,-0.31333747373190596,-0.6087732574885925,-0.7686409304260063,-0.716066619987837,-0.5861063046536059,-0.8840986186798099,-0.7479389604994253,-0.01795166253459235,-0.2340986217826953,-0.4056866633865032,-0.09215724407080719,-0.6194000290754358,-0.2037469825646715,-0.4050875145089729,-0.8135837132010479,-0.6568688539927399,-0.8384438023729516,-0.9649087642470261,-0.8017016617222688,-0.6361666818847465,-0.5367782439381983,-0.930054924251643,-0.7623554971499753,-0.7762302928559217,-0.5103777909467585,-0.3631887928877945,-0.6022717067571822,-0.7320928285773367,-0.6657840809284992,-0.48793293336198884,train,4.055068836045056,1
