,AFDL,AFDR,AIBL,AIBR,ALA,AS1,ASJR,ASKL,ASKR,AVAL,AVAR,AVEL,AVER,AVFL,AVFR,AWBR,AWCL,AWCR,BAGL,BAGR,IL2DL,OLQDL,RIBL,RIBR,RID,RIFL,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABD,SABVL,SABVR,SIBDL,SIBVL,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.14675281470072465,-0.10626414355013729,-0.3529540889816823,-0.3226698302931374,-0.2552272371419073,-0.28654198093355476,-0.2450630484952545,-0.18003131479882611,-0.2906967722033818,-0.37607108365360464,-0.43400417211607795,-0.3833767042423141,-0.37798307178272605,-0.2470124444866844,-0.2646384868691804,-0.15266419341124615,-0.1921677874697928,0.011781984491441785,-0.44101940878869117,-0.4349198721848735,-0.0643481063198017,-0.3493651116174999,-0.34005818807322036,-0.23564478441751052,-0.4088861851367187,-0.3545084238264984,-0.38786803564649863,-0.515551872334107,-0.4509692769159652,-0.4685996583905565,-0.34956304023173507,-0.23854009498154252,-0.32635936067138405,-0.3162534068087305,-0.21594491936209168,-0.3183471304639198,-0.25738020545812423,-0.34572189299684025,-0.15297220989272828,-0.21730651712541882,-0.2973523564424489,-0.5134827173071579,-0.5407106629642734,-0.4436678326806667,-0.5017266953861406,-0.4352400093311791,-0.39742210502239095,-0.3211181244688705,-0.4291865636432579,-0.4791110048720647,-0.33947011143502703,-0.20633415278789988,-0.3621073565955232,-0.45494337453874734,-0.31634709866676963,train,0.0,1
1,-0.1852573291919907,-0.09216762414543558,-0.4890833461658673,-0.40459845163572294,-0.3675889587137819,-0.36747605974278863,-0.38475827989812916,-0.18105698891903735,-0.324815375012113,-0.4702353774921778,-0.5642146888824513,-0.4777212386517492,-0.4722609369681234,-0.3035438889624664,-0.36455574795104584,-0.1813430240536259,-0.3113216687143455,-0.009498872936456217,-0.5863768496957542,-0.6282096234960657,-0.05465566600184104,-0.3983116713028755,-0.4757345648276561,-0.3421031885232414,-0.539539198512565,-0.4746770040106142,-0.48402409559399795,-0.5916681624496958,-0.55749954148468,-0.5966197145335439,-0.47062006984078886,-0.2745420489600695,-0.4124841980451096,-0.48016546101671953,-0.31698019384409304,-0.4405019653214729,-0.36286836554474605,-0.43862693381377404,-0.18908192294126663,-0.24466433084376588,-0.4031894680626996,-0.6658257897658809,-0.6705612597707558,-0.5936350497378124,-0.7085090805524981,-0.6042553555060689,-0.520740302433551,-0.4208290218519247,-0.6480473587218506,-0.6545664266736277,-0.4136749936135532,-0.2918936018547287,-0.4366230247869578,-0.5720601552724834,-0.4240744399471143,train,0.41779497098646035,1
2,-0.1925304352138831,-0.09304505849820971,-0.5672147095687332,-0.4510536346169801,-0.4230924387789493,-0.411504431407451,-0.4579079833206147,-0.17410149745752948,-0.3494892301580591,-0.5220348103293595,-0.6501370922429226,-0.5416823386693443,-0.5381104505159915,-0.3260108987785998,-0.41816099319325484,-0.1908209535043654,-0.3708951172036104,-0.036740228932279545,-0.6748332744922673,-0.7294534994092671,-0.041308451575646665,-0.4171393357886519,-0.5482494587770224,-0.3861256092904315,-0.594187011535749,-0.5395915569453016,-0.5590914276320545,-0.6376549627825665,-0.5973806141894562,-0.6615151800654133,-0.5301949357394938,-0.281978841375442,-0.4604551465168881,-0.5709415199344663,-0.3566446505049952,-0.5184716183602288,-0.4165291943462285,-0.4993048728457369,-0.1915711151595717,-0.25491489415481916,-0.47008526048889043,-0.742605985853135,-0.7258000227606518,-0.6687325407566211,-0.8206638380625061,-0.695778690006867,-0.6095335493204971,-0.46647410508303333,-0.7593337394384087,-0.7345858201167041,-0.4519971976315821,-0.34313099417770976,-0.4727746432215001,-0.6188816973869966,-0.4792446809413878,train,0.8355899419729207,1
3,-0.19372486735285135,-0.09636077482289902,-0.5740934628033489,-0.4545318742931387,-0.436695782810629,-0.4229386607069088,-0.4909879320405837,-0.16725964147929062,-0.3487078052003325,-0.5247159567931384,-0.6776991705834312,-0.5537520104390509,-0.5567471654126313,-0.33630595402853125,-0.43167934742375136,-0.19962427908629696,-0.3934605233547007,-0.05585398455746152,-0.7149911176784735,-0.7828423374286028,-0.042978244750261844,-0.40867028642026226,-0.5969975803236668,-0.4211863083362719,-0.6101756045720356,-0.5832254923947535,-0.5786884194084734,-0.6294724595964127,-0.6173708709499794,-0.6909706376793057,-0.5603426870329988,-0.3055738823555403,-0.49208444855801203,-0.6376289229179491,-0.37399860314929123,-0.5394407280719558,-0.4491223581139064,-0.5286799344069693,-0.18803206385797008,-0.2534882603896107,-0.5047282619070884,-0.7733545105885608,-0.7483440020609478,-0.7021902215704287,-0.8576818946587319,-0.7319326145630942,-0.6550697052877809,-0.48950433159940177,-0.8160436762794601,-0.7710586747826795,-0.46210591722677496,-0.3714571692857286,-0.47660954386034093,-0.649225209313507,-0.5113105248422919,train,1.253384912959381,1
4,-0.1874679478855601,-0.08690854523130606,-0.5964472182736157,-0.45818643961076855,-0.4548678090789505,-0.43095993556455964,-0.5153961971037944,-0.15523672960860832,-0.3494822776350849,-0.5231317930009708,-0.6656779100269905,-0.5673891783143784,-0.5680618169235387,-0.3573434637850178,-0.46018071438696806,-0.21782851355356447,-0.41125456809226374,-0.060732100156821345,-0.7455778028179447,-0.8205206966245968,-0.04437876406968475,-0.4087438712042917,-0.6394106734342574,-0.469433401757817,-0.634906889219677,-0.6259510354970765,-0.574230584525333,-0.6149313297978709,-0.6368035265138776,-0.7035395749623473,-0.5645286360341579,-0.3349986764090743,-0.5125358542373015,-0.6905021722038492,-0.4059473765302559,-0.5661590166843794,-0.4637293922859243,-0.5402738807899986,-0.1988109989197364,-0.2590422375895057,-0.5365836623434301,-0.8138301311167343,-0.7675121063748789,-0.7302106261993092,-0.897494122717401,-0.7518928871170443,-0.6921272940431306,-0.5086338338818094,-0.8599017139279752,-0.7946947607455667,-0.4698635594238958,-0.38612581896211584,-0.4797323758801796,-0.681244551384308,-0.5446651677469672,train,1.6711798839458414,1
5,-0.18156834469865915,-0.09175963923432094,-0.6228746288660124,-0.46962786528119915,-0.4633811800783409,-0.43664613187314044,-0.5442775657594846,-0.15730033643225771,-0.3683152330073488,-0.5390622851217516,-0.6822618757237724,-0.5945660309842635,-0.5869881692730193,-0.3645328496234401,-0.47679249385514555,-0.22040596187179967,-0.4250198608853191,-0.06789782498726225,-0.7604980063670223,-0.833846525986466,-0.05682044686795624,-0.4192293564389427,-0.6595845326467042,-0.4940476126201537,-0.6529791023578836,-0.640870372642232,-0.580463592352375,-0.6373447380183658,-0.6320858267949911,-0.7083614611751741,-0.5597159948241571,-0.3268708856781821,-0.508124146326751,-0.720933693049118,-0.42309245049459887,-0.5933559045922419,-0.4668931248883982,-0.5542137739225942,-0.2160882608355595,-0.26079604719157506,-0.5396992854143281,-0.8287694206349747,-0.7785434773563861,-0.754207996732339,-0.9146607601618524,-0.7662517575775782,-0.6998103881271075,-0.51853954355644,-0.8896488475716547,-0.8115616713250049,-0.4743310783409601,-0.3858286104009194,-0.5063589413201357,-0.6918203873249371,-0.5589349649040352,train,2.0889748549323017,1
6,-0.17954643438819246,-0.09471526218406333,-0.6249992448909356,-0.460378252201304,-0.458971801065619,-0.43061211367448976,-0.5574001088908349,-0.15707365545763508,-0.3688448372913149,-0.5326220094525795,-0.6709697090761391,-0.5978582762660987,-0.5875930088267282,-0.3754035158109168,-0.48909300144083423,-0.22737808731464898,-0.42495283252096133,-0.07375163938835776,-0.7708359712267548,-0.8518063576011401,-0.0604316634117229,-0.4242254255975434,-0.6708221671053541,-0.5038148805900783,-0.6637431814921944,-0.6543662345705006,-0.580618233829837,-0.6336494791098398,-0.635448449339777,-0.7158362983587256,-0.5595459908275546,-0.3307985802825233,-0.5086706883926215,-0.7325443083274936,-0.4371205552595546,-0.6005353970728039,-0.47032293698752686,-0.5681579373764333,-0.2218231335704366,-0.2591884948220024,-0.5486371895664205,-0.825751368598408,-0.7844826238434193,-0.7634379515765425,-0.9231990242825082,-0.7726540960227264,-0.7130397646392308,-0.5214858205707372,-0.8924384259356916,-0.8121825920978154,-0.47055117260548807,-0.38937295903298785,-0.5070959665032372,-0.693653194734959,-0.5632779124615312,train,2.506769825918762,1
7,-0.17867090810839323,-0.10205746042737443,-0.6255620713350961,-0.46415769457029876,-0.45593836189971915,-0.42825447281275836,-0.5639555092879364,-0.15837314789651974,-0.37954048228193676,-0.5428960916657118,-0.69543425101061,-0.6100013295462094,-0.5999189944822825,-0.3631225288648089,-0.48425852441624706,-0.2293178073571909,-0.42960529700064315,-0.08199811965296849,-0.7610607716438001,-0.8393675539203023,-0.06352738092005206,-0.4232867411082829,-0.662049077269543,-0.5015190704122006,-0.6523164842446116,-0.6409294755104964,-0.6059225495392367,-0.6402843424819545,-0.6225926757686158,-0.7197717938293573,-0.5549895797234179,-0.31941822568897255,-0.5031463597894089,-0.7304985904676143,-0.416234531319274,-0.6085839841328657,-0.4693109491528615,-0.5681075512016003,-0.21178800487311528,-0.2534041315892329,-0.5501180708955727,-0.8305133736174233,-0.7768709060455316,-0.7550457834299668,-0.920667034810193,-0.7778815818347689,-0.7228556894872604,-0.5252378129746509,-0.8934732052289436,-0.8113337373077866,-0.47262525990320015,-0.3907193113016031,-0.5132554073338235,-0.6871604003272418,-0.5537639624026314,train,2.9245647969052224,1
8,-0.18276123203260214,-0.08249038262325553,-0.6225253424120271,-0.4535725756731761,-0.44753211818395655,-0.4364283473192909,-0.5709030444259553,-0.15270210963504477,-0.35933412263699327,-0.5358867379181008,-0.6779436995381121,-0.5992283245853407,-0.6035819524906099,-0.36479430071092955,-0.48807721037652313,-0.2349890642014123,-0.43844757655356875,-0.06848004374613365,-0.7587023335435666,-0.8459198902309556,-0.053726216305460255,-0.41896020677804585,-0.6699737706008031,-0.5042937288963194,-0.6550814400835243,-0.6460497512963016,-0.597220609313291,-0.6322011743127791,-0.6192740463320807,-0.713270474554045,-0.5632220935430955,-0.3307464721072856,-0.5018821681303915,-0.7350279149074869,-0.42717622807390876,-0.6112045540252478,-0.46658765268402685,-0.564853308272861,-0.21434379175048676,-0.2553561895126479,-0.547736439499316,-0.8413727250179226,-0.7841934331974743,-0.7714139044729463,-0.9325887099781628,-0.7821282323647778,-0.7273119532613033,-0.5308096061725425,-0.893306520509932,-0.8104502797705123,-0.4776345121006592,-0.4016941007397494,-0.5100781285578223,-0.6808238879157331,-0.5623245352088682,train,3.3423597678916828,1
9,-0.18061721035980605,-0.07758845724272366,-0.6174397019767817,-0.45232010809897716,-0.4584602087292793,-0.4363101828659877,-0.5851636551429232,-0.15015314065311686,-0.3713110291206363,-0.5455513994071277,-0.6782351561258333,-0.6060831658849991,-0.6046400583785057,-0.36869934370270463,-0.4934370552665662,-0.2363082445569836,-0.4414539497207449,-0.07141912821385706,-0.7638502466425711,-0.8490830796233255,-0.06495279735931084,-0.4195256602768003,-0.6732358347426202,-0.5122840747781181,-0.6539230768633226,-0.650438942261882,-0.5975314111966975,-0.6439144998650822,-0.6162413182166501,-0.7062975090989091,-0.556844880105117,-0.3328510331298878,-0.5015047232754107,-0.7444598354250963,-0.44639650601756586,-0.6185610800026358,-0.4643871752365502,-0.5698976701745976,-0.22359494238513797,-0.24877371149323974,-0.5407805818704482,-0.8420594665460429,-0.795960455122348,-0.7711570962888349,-0.9373530118436708,-0.7921816675722891,-0.7293146264544075,-0.5255393050433892,-0.9022414354184095,-0.8221046711592557,-0.46867407621119705,-0.3925235300163822,-0.5143486933159542,-0.6825141997748462,-0.5640536674468225,train,3.760154738878143,1
