,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVEL,AVER,AVFL,AVFR,AWCR,BAGL,BAGR,DB1,DB2,RIBL,RIBR,RIFL,RIML,RIMR,RIS,RIVR,RMED,RMEL,RMER,RMEV,SABD,SABVR,SIBDR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.37578542848421426,-0.36057025710203927,-0.18173594156071954,-0.23376743669774624,-0.2635873764325592,-0.4335843201285152,-0.4771882149822534,-0.33664451067643575,-0.38655887830998664,-0.34008027330458224,-0.2616730452340727,-0.23429354983720208,0.006436326267062156,-0.39135635363895416,-0.34882988949769167,-0.48250804060612984,-0.3511700653352506,-0.35610598143589345,-0.29574385941018,-0.4367770678632156,-0.35570253141337393,-0.4867245033133506,-0.44672402821343343,-0.3947596420584344,-0.23548859281105963,-0.34376119392620086,-0.3511789026961842,-0.19723755610094956,-0.28457099673572384,-0.3264956899956647,-0.19025956463880134,-0.5817114233209046,-0.5087375459997275,-0.42185392043223136,-0.497948415099832,-0.44383749047026977,-0.40057920073955444,-0.32899229735878205,-0.4510442796038362,-0.37549000425337253,-0.3333071349967578,-0.15533500936166406,-0.3799508945211155,-0.4570994502681206,-0.36279683951368524,train,0.0,1
1,-0.5641043889483356,-0.46983994205926316,-0.24275965148381684,-0.2576373996628333,-0.3138870796557721,-0.5846675982587086,-0.6291626675930508,-0.4525806412899689,-0.4933207269608041,-0.44513585583991583,-0.3264710744389651,-0.298127857349871,-0.02290166015719549,-0.5043687695992448,-0.4779212843004591,-0.6055644522939775,-0.45529700657127203,-0.4889880723684712,-0.42586043724529454,-0.5903959707793006,-0.5095040504470829,-0.5933660398006808,-0.5173086862833056,-0.5341704434412815,-0.30172532543613406,-0.4212891077347055,-0.5334485021737688,-0.27068851183513576,-0.4237135843363078,-0.4152711228404899,-0.2900894300079657,-0.768736357230266,-0.6478976384794715,-0.55390803109917,-0.7125712532449245,-0.6446756663959602,-0.5467121964960056,-0.44844356344919145,-0.6747610054284563,-0.5381179498264417,-0.40871364015798717,-0.20110403031849436,-0.465234504044175,-0.5864540423128234,-0.4738730233402199,train,0.4900181488203267,1
2,-0.6436848187451248,-0.50946667157215,-0.2979898539274477,-0.2525245049855116,-0.3565246952083617,-0.6504471115275349,-0.68876031081282,-0.50729944871168,-0.5525375987826187,-0.5066907468839876,-0.3626268508247088,-0.3440423680445418,-0.052114391352851994,-0.5812071918565219,-0.5596126035970449,-0.6600454061434914,-0.5132409840171033,-0.5705310214012714,-0.502431848617054,-0.6757768448326404,-0.5975625709889827,-0.6360103851218836,-0.551232791087829,-0.5941569747021336,-0.34350362254390926,-0.44809635102457,-0.6429205001929045,-0.30866689210573117,-0.5032075278186331,-0.4763686723207351,-0.34671752783748916,-0.85648675994409,-0.7244784590190769,-0.6231061821495368,-0.8284426834035663,-0.7454657251291773,-0.6243150553134074,-0.5086204354915549,-0.7976597656576871,-0.6372947246135836,-0.442553145354751,-0.22448882779928306,-0.5046742600339106,-0.6482914071415272,-0.5315226472417252,train,0.9800362976406534,1
3,-0.6883542227282646,-0.5142116241865775,-0.31243578361734287,-0.25206751425995905,-0.3779575459188821,-0.6742554868881563,-0.7233472093500812,-0.5186391435579866,-0.5792968421832894,-0.5373452710120155,-0.3795400152563097,-0.3650139648692693,-0.06951812194224603,-0.6209628058537585,-0.6022904024980378,-0.6962556931270654,-0.5554199223538073,-0.6321886028544424,-0.5573133909710948,-0.7270655303631263,-0.6423571199779258,-0.6552448523965524,-0.5534277501897225,-0.6250210344180656,-0.3682006693957779,-0.4572436042182211,-0.7185235999425553,-0.329651458107154,-0.5414774366027718,-0.5104560609560779,-0.3770632972973453,-0.8978747581076736,-0.7660550082604232,-0.6593888089933544,-0.889288877051837,-0.7962103594112389,-0.6723576774474528,-0.534530431753155,-0.8588214256715561,-0.7051349003279862,-0.45764044395158143,-0.2353565646420148,-0.5234146925197745,-0.6757694837479657,-0.5674157847276737,train,1.47005444646098,1
4,-0.6982296967709746,-0.49751154964087996,-0.32968877464322877,-0.24553869119418692,-0.38977623541749523,-0.6705994464242794,-0.7254145436774009,-0.5248951723278629,-0.5897481867938263,-0.5527274192372371,-0.3888457266934542,-0.3806913634443751,-0.08514815516513279,-0.6493856208159007,-0.628965926840946,-0.7135611093214458,-0.5897363195893144,-0.6651734119729311,-0.5951060834997928,-0.7546035249751442,-0.6724034584737097,-0.6550343801012548,-0.563082407976537,-0.6230161883772615,-0.3884258414519951,-0.47108641165172305,-0.7647966669497784,-0.34601120769744304,-0.5587611069644569,-0.5247751548125925,-0.3871284598679185,-0.915514181838373,-0.7804782397241703,-0.6761534535361876,-0.9138092035909982,-0.817520276211197,-0.7052190168491171,-0.5412713294593265,-0.8799306350128105,-0.7409987735800212,-0.4593157329625953,-0.23482535940554744,-0.5349418653371787,-0.691953503706022,-0.5964245645123174,train,1.9600725952813067,1
5,-0.6916518115151395,-0.4802050039162966,-0.3329574836060722,-0.24330992391366954,-0.39849546136627295,-0.6671999915583933,-0.7182791473141157,-0.5140471237918379,-0.5864065519644643,-0.5654211109217164,-0.3968664407236861,-0.3920116932421056,-0.09790038928831869,-0.665328385090104,-0.6456011138771667,-0.7238587822542176,-0.6147062797024592,-0.689157511859336,-0.6215064092464367,-0.7684632768770662,-0.6814332095857896,-0.647774988554613,-0.5560071508463367,-0.6264012189147402,-0.40433755172789765,-0.47312810324358834,-0.7905416437931923,-0.36121024946638913,-0.5619961221700437,-0.5307898686484909,-0.38619387561968876,-0.9181312522908437,-0.7936340812133489,-0.6867334696390754,-0.9197730420237491,-0.8293318721230134,-0.7149209126809003,-0.5358863608959189,-0.8867328204423862,-0.7708862101316211,-0.46127174300061413,-0.23747593554471766,-0.5424618169596889,-0.6926019055527091,-0.6125913746381484,train,2.4500907441016335,1
6,-0.6776713051991673,-0.4516070939308602,-0.33420250731934364,-0.23875200061573465,-0.3957198886179343,-0.6381048046584269,-0.6932918495886662,-0.5234129995293174,-0.5663347912125258,-0.5515708059228075,-0.3969246794412339,-0.40382710420781665,-0.09664471075756265,-0.675245264908486,-0.6560740244720843,-0.7337861523499927,-0.6395856121396709,-0.7185578631397009,-0.6488512544311333,-0.7787250507344535,-0.6647162838677203,-0.6258154175732895,-0.5661203771647622,-0.6239173918021663,-0.4250401372029122,-0.4886418933794353,-0.8249361746168867,-0.37052791300775945,-0.5589336861090813,-0.5218644746432319,-0.39233763855994164,-0.9188692115938973,-0.7963174019087642,-0.6925983787244888,-0.9264788538947476,-0.8186523128981104,-0.72304544579165,-0.5315769813688332,-0.889063122599911,-0.7885982558366944,-0.4508237685140011,-0.23294433590420363,-0.5304145023882929,-0.7000160409672207,-0.6362596088725745,train,2.94010889292196,1
7,-0.6498733207178872,-0.4131114589909648,-0.34133689007568013,-0.237299271657476,-0.386859242716337,-0.5910877558355957,-0.6530201594764302,-0.5322119766048402,-0.5300618238517336,-0.5353000349107198,-0.40155471802421105,-0.4253651684907124,-0.09834627207692014,-0.6905200832298143,-0.6734837026165961,-0.7418364186048939,-0.6581423750228879,-0.7436645678250168,-0.679694157970632,-0.7857386967323421,-0.6348219431450843,-0.5890015342552801,-0.5724376402733758,-0.6372278842812247,-0.4425343057423282,-0.5038636376439121,-0.8444170316013198,-0.4078935485840335,-0.5384862175613505,-0.5119632450382302,-0.38957993638212285,-0.9081868143181331,-0.800501929351594,-0.705548702649424,-0.9304741739162119,-0.8106130805584852,-0.7082103555182508,-0.5290970115909329,-0.8817308236749702,-0.803192116173855,-0.4434920585000721,-0.2419029599139779,-0.5220678373885352,-0.7046739140100227,-0.6597607118591629,train,3.4301270417422867,1
8,-0.6024836763244348,-0.3573177794169622,-0.3452071906038826,-0.23551166156380954,-0.37780113028613016,-0.5170642758128537,-0.590422167668841,-0.5500266230051583,-0.4700408723941895,-0.49838846999529784,-0.404940900479839,-0.4567894870066759,-0.0909879188686916,-0.7021072028292887,-0.6990970766202528,-0.7554320229695903,-0.6877375810331423,-0.7812918849968173,-0.7165507394800323,-0.7931250012517129,-0.5764489673241615,-0.5296441861112167,-0.5942119851589311,-0.6426851451925085,-0.4755014716441893,-0.5340397073592178,-0.8792206917687626,-0.44833854449651944,-0.5073502105559182,-0.4904016172345601,-0.393168610964442,-0.8972250033423868,-0.8017557051871314,-0.7121382781814842,-0.92933503129653,-0.7824314108718591,-0.6916961030531138,-0.5178070931031051,-0.8734630522446413,-0.8187549781546024,-0.43607227449761465,-0.24674055367735814,-0.4983027710887623,-0.7163833512034015,-0.6945526065879324,train,3.9201451905626135,1
9,-0.5460605747820886,-0.30484791440154435,-0.348126875585534,-0.22405465379261208,-0.3520536476160591,-0.4317107963484028,-0.5035264157892723,-0.5814519658628393,-0.4003690359922667,-0.45765123357578397,-0.4113133885353937,-0.4822348900233717,-0.08129439666400434,-0.7217715330462783,-0.7202029821083509,-0.7599514818967823,-0.7189541228016474,-0.8209765566203333,-0.7558355351011657,-0.799885550506726,-0.5080733030492692,-0.45348839264644614,-0.6216374873336599,-0.6500647442436968,-0.5204799689808639,-0.565967911875184,-0.9157238722236699,-0.49242100498559793,-0.48421358432484285,-0.46298107930076327,-0.39157873153811273,-0.9004631929157045,-0.8082556062952122,-0.7205909524481335,-0.9322875444948033,-0.7491367091131435,-0.6673619582630204,-0.5072307833315824,-0.8634835835823466,-0.8267743599218704,-0.4200323928368703,-0.24800255967930734,-0.48274012595097027,-0.7200311485530971,-0.7304962301435809,train,4.41016333938294,1
