,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVEL,AVER,AVFL,AVFR,AWCR,BAGL,BAGR,DB1,DB2,RIBL,RIBR,RIFL,RIML,RIMR,RIS,RIVR,RMED,RMEL,RMER,RMEV,SABD,SABVR,SIBDR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.9580529677095997,-0.9902626620239467,0.2693630559818778,-0.8402270991099552,-0.8979829547270988,-0.8198889807192353,-0.8756792508222568,-0.3729793381910812,-0.5144340417787648,-0.40627560449993305,0.15052274292040324,-0.29505568202464305,-0.4561829789551398,-0.6841022996033295,-0.7182583953909543,-0.6480799571643037,-0.9797102607333776,-0.8196571369502876,-0.7878043285601555,-0.9880569090177654,-0.8348520065037219,-0.8598012829966082,-0.9224409279891916,-0.7484930779388672,-0.926470385018328,-0.6635149201943096,-0.5977215821363964,-0.8189354657458876,-0.8456359869115981,-0.7705838273963515,-0.7175854279943749,-0.9389382589632658,-0.9176713838230016,-0.9638414415802599,-0.9428138028287454,-0.7844160901165916,-0.8890017863765198,-0.4355536675749696,-0.9636297452547153,-0.9229334307037109,-0.734848394406964,-0.08671584750094308,-0.31158432847423045,-0.2239376431124741,-0.8659267192538164,train,0.0,1
1,-0.8095370613804269,-0.9571553712550201,0.21297481992093936,-0.8857864356251857,-0.9909464876452093,-0.872129282990225,-0.9212693014694227,-0.6086623618386658,-0.5344211114129058,-0.4475679077209481,0.03065243308500154,-0.5768158268212534,-0.36007155013985914,-0.7939213377536027,-0.7345214662669397,-0.6601611892741025,-0.9381335549393913,-0.7487708264897972,-0.7679860739086459,-0.97843857877873,-0.8777430554661748,-0.9024203657277688,-0.945212683443114,-0.782403985731117,-0.9441221132226619,-0.5382113115891745,-0.5735351397447788,-0.7849467382914648,-0.8560677649502847,-0.8520782627836196,-0.6684951329353503,-0.9473128652663085,-0.8936720771583158,-0.9286074935388584,-0.9550525093553008,-0.7686767467597622,-0.9004038831611418,-0.37443835455584673,-0.9508473263374307,-0.8991444925167045,-0.6283630263419742,-0.09181496825859714,-0.3814935545248591,-0.1841313928613073,-0.8477165094061622,train,0.4900181488203267,1
2,-0.8538116943332434,-0.9624780712159128,0.3747026798238382,-0.8607247769778328,-0.9771648378517075,-0.8516786084752348,-0.9278048468070141,-0.45829399997374987,-0.4541362682216963,-0.4060155927505532,-0.2168544752700221,-0.5103885658227783,-0.4530934289359595,-0.7255474155336052,-0.736120827678141,-0.6544222971376056,-0.9588595811325882,-0.7704787933293105,-0.7869905522457498,-0.9849862754819212,-0.8537584590846714,-0.9082577545101509,-0.9142136989195023,-0.7541380716220123,-0.9217503785195293,-0.6806037473976407,-0.5687479742127846,-0.7909426904405004,-0.8803364864257258,-0.7298582911458238,-0.5871764276563248,-0.961136515139043,-0.91819138530872,-0.962537664398725,-0.9835857728270959,-0.7421889862021926,-0.8726421972358556,-0.3146077893013667,-0.9120951369111011,-0.9480307331587459,-0.897272071235576,-0.03614821926190548,-0.456652124645917,-0.2233833357942442,-0.8478279842377003,train,0.9800362976406534,1
3,-0.6619186349526496,-0.9624701792015317,0.21891083449107374,-0.82239493006712,-0.9887975900775425,-0.8446207027200455,-0.9168055800341111,-0.4308870378823202,-0.48429813278700395,-0.4053428614630249,-0.24014574378513787,-0.4913626635559285,-0.4876625108546865,-0.7407830934873414,-0.7448813101516951,-0.6840229664272515,-0.9545590385706411,-0.7909834759588781,-0.8237779015060893,-0.9819675638358746,-0.8557982854741851,-0.8797236764489014,-0.9345012228624112,-0.6827333951613733,-0.9237591712885032,-0.7056189278278973,-0.7133415583963333,-0.7604729880800316,-0.7936333294614097,-0.7325041256024566,-0.7880893027378538,-0.8755386281493391,-0.8633386571580682,-0.9532517011829423,-1.0,-0.765893738394293,-0.9275144161305655,-0.42451588839271837,-0.9844293076643187,-0.9190814167247081,-0.7724741904984234,-0.08687077445498415,-0.45025896025242684,-0.18592991357223065,-0.8419911576331385,train,1.47005444646098,1
4,-0.6328210024871992,-0.9569453124851566,0.3423588863191267,-0.7817402495822975,-0.9645334863932588,-0.7995479944943589,-0.8683002221744976,-0.3131959208055177,-0.4632133164503993,-0.3209386066276362,-0.33411931661830396,-0.4031537744124042,-0.6074929066982431,-0.753738509618158,-0.7551379467896965,-0.6708982083745949,-0.9688526293079339,-0.7541687523593414,-0.8143403653209481,-0.9683244306547333,-0.8004900850500656,-0.8998288723393797,-0.9344396121606323,-0.6589021977681934,-0.9485247767321661,-0.6574752775850106,-0.6902135460827054,-0.8047271589024529,-0.9259446407087741,-0.7922760922087471,-0.8072132540051357,-0.8733202323123114,-0.8837326201884386,-0.9531547673079523,-0.9853161396325153,-0.8111249891675485,-0.9328095916894715,-0.4387655369865756,-0.9491875398344185,-0.8631872489480749,-0.6981623610389351,-0.14843737312710337,-0.38428174642472546,-0.20148743940950198,-0.8202935423063785,train,1.9600725952813067,1
5,-0.6605434070897833,-0.941124010976808,0.34594539589063444,-0.7283516325671164,-0.936280498121385,-0.6600673149402934,-0.7974759610678576,-0.39334927880721426,-0.40354208812196113,-0.2363217471652428,-0.31699356342742435,-0.5255789625044609,-0.5682508033203028,-0.6715540730837488,-0.7439050790937879,-0.6910515355438807,-0.94864759043365,-0.7801979293327843,-0.8065058352631612,-0.9754428351460681,-0.763491072956402,-0.9020824116403677,-0.9367852195926434,-0.6479257882680152,-0.9066259150400996,-0.7794934073560029,-0.6968716383391526,-0.7685609131578488,-0.8955460701418544,-0.7548101920346265,-0.704187524709343,-0.9106874559550105,-0.8714605851254813,-0.9421070876589142,-0.9492986354359716,-0.7616700826942118,-0.9122627722530884,-0.37687661241024883,-0.9357654797773867,-0.9820288929709339,-0.8081779490759187,-0.05572449656609424,-0.3491386034501929,-0.28368269960217096,-0.8278748687138042,train,2.4500907441016335,1
6,-0.6463321409361595,-0.9383054795214928,0.3283134984672511,-0.7963673666866976,-0.9182175672219912,-0.4031055345309238,-0.6428942269092779,-0.30587184156617575,-0.33484445570661514,-0.25284802642390647,-0.5666738038470593,-0.5579709698623799,-0.5852686065506995,-0.7490015371407825,-0.6876972915764146,-0.7300336413067418,-0.9367463862497704,-0.6914638067094689,-0.8167081747706277,-1.0,-0.7095556809171772,-0.8516965295187534,-0.9254466500831194,-0.7060237882882474,-0.9695085961076553,-0.7920931644691187,-0.8275792586624114,-0.8446340699955479,-0.885381118619771,-0.7550623204921465,-0.738626882441297,-0.9457385956291254,-0.7464472755636444,-0.9530993269195733,-0.9553015528020621,-0.785903578025451,-0.9432174966822313,-0.4360440820442686,-0.9526484572862045,-0.902018308775898,-0.8263071145081531,-0.18184094328582057,-0.21898579508874239,-0.29052854836863107,-0.8401701972331582,train,2.94010889292196,1
7,-0.658835760943249,-0.8909687609552046,0.27676195402433845,-0.7266048982642873,-0.9468231795302576,-0.23349121157523434,-0.3749424204620255,-0.24560215086118742,-0.3871655580965504,-0.100094550196837,-0.49129910245891784,-0.6216750852791821,-0.4794441480147146,-0.6494911826482934,-0.72342902115154,-0.7955633521525625,-0.9501290482392707,-0.7416833350176097,-0.8346417321530424,-0.9758148841310593,-0.5684850321015126,-0.8345530403578627,-0.9930907998719378,-0.5942221994852064,-0.9452402941609113,-0.8044977446217906,-0.925483460529961,-0.8714564292199625,-0.8865455705778437,-0.7447905578992118,-0.6764039906330703,-0.9053460023213011,-0.819747675469549,-0.9662439487667501,-0.9126116248306019,-0.794380948116117,-0.9957066999505644,-0.4710361905156605,-0.9523040407885726,-0.9111776555893079,-0.8893013399350965,-0.22780953007108606,-0.048756400063384886,-0.27739175503381175,-0.8910199438324728,train,3.4301270417422867,1
8,-0.598859404080996,-0.8914583849168072,0.2789340130028888,-0.8102901446655089,-0.9277506408384149,-0.008386174287295156,-0.062298163210351754,-0.40933100741871054,-0.337613439189578,-0.09855781332852254,-0.698442356312927,-0.623161067991004,-0.4691223356417853,-0.776262881613014,-0.744854462315928,-0.7841311178584811,-0.974244688246622,-0.7909366811289125,-0.7582067382988185,-0.9709528835401053,-0.5404542529556625,-0.8546858870373101,-0.9036518643288339,-0.6853374746475388,-0.9523527370123805,-0.8588111554476061,-0.8764318225930372,-0.8741005585723257,-0.8369883614162599,-0.6838714835657963,-0.7413474452422681,-0.8905183721286813,-0.9227129220369201,-0.9312260828549704,-0.8996354909551948,-0.7667498875881223,-0.9760858764161646,-0.24043778125442505,-0.9235775983185752,-0.8786347771040823,-0.9112703161573168,-0.21980309798915787,-0.07266278546523519,-0.29050012921744806,-0.8785546024013016,train,3.9201451905626135,1
9,-0.6227132175551944,-0.8242313888681104,0.12869611037081907,-0.7635358115558558,-0.8661984207971671,0.13495080335553045,0.1151205374427331,-0.48894236809432023,-0.354923853056599,-0.0835216733247729,-0.6379126763878694,-0.8052642190720328,-0.38052085546271275,-0.8039857076446458,-0.7531945403583622,-0.8274535335690978,-0.9668310067360784,-0.7858936718303693,-0.8496148923088578,-0.9854304450757526,-0.5310811787598608,-0.8326727867079586,-0.9296053724531951,-0.6494055561884647,-0.9360118840219279,-0.8286020992366413,-0.9551816086638695,-0.8628280129951181,-0.8519172811115288,-0.7084828360917997,-0.6219931056896455,-0.7965402203752606,-0.900030952469388,-0.9576036648031356,-0.9677278504963079,-0.8122591546949228,-0.8812508578439094,-0.376165166067463,-0.9204787004665911,-0.9489695374888875,-0.7762550000394051,-0.04924603409500705,-0.029600492815623936,-0.3267296078923271,-0.9086549085158783,train,4.41016333938294,1
