,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AWCL,BAGR,RIBL,RIBR,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVR,SIBVL,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URYDL,URYDR,URYVL,URYVR,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.08559514748425415,-0.11694581014524473,-0.19473781755716638,-0.14127897384409255,-0.2002074195693766,-0.11948193992725403,-0.1670158912946102,-0.43958419260443726,-0.46544749304898553,-0.11534550352673033,-0.15733740059007037,-0.08089598677966817,-0.3732498285001037,-0.39468992061023034,-0.345762301849227,-0.2212052908795995,-0.12457363592594065,-0.1938353285809407,-0.5532685561342221,-0.4026160220442494,-0.26737502579685934,-0.39602825786777895,-0.43389957608452734,-0.37737803323894775,-0.4059261368810514,-0.24257833135724555,-0.2815388631349567,-0.4282574884491891,-0.47780473096342446,-0.4086839726022779,-0.36268254233104924,-0.25107866756091657,-0.28119376524750467,-0.23934659299757563,-0.2965676636088458,-0.3181544781769219,-0.17479928260114835,-0.09811163096324753,-0.17032515105741175,-0.09659726524298871,-0.4675496726901873,-0.4152567639873781,train,0.0,1
1,-0.15687903202961528,-0.1408233907843927,-0.30753249263909965,-0.13964231234584226,-0.21776572573956335,-0.14125428749014857,-0.22639176255762122,-0.5821809278837095,-0.6118106552651508,-0.14576884999051426,-0.2161061819010694,-0.152816961150113,-0.54774081009821,-0.5449725277550437,-0.4829475237115466,-0.31368546371942246,-0.16132410102429667,-0.18120804522787046,-0.6901250844674375,-0.5270243550665399,-0.37657260367765744,-0.4892770760674867,-0.5516839635428888,-0.550179520850419,-0.5248784651658179,-0.2911749987269457,-0.3601965536065965,-0.544161688566752,-0.5637173690369546,-0.5553421067898503,-0.5333435642181055,-0.3625900423777654,-0.3815552894270116,-0.3131599663610031,-0.4649792205725452,-0.4694375622436531,-0.1961058175637062,-0.14461644864089873,-0.2348761310797009,-0.14985991257039405,-0.602874691081135,-0.574967466650448,train,0.3843416370106762,1
2,-0.2067348854300092,-0.1619805762858264,-0.3735434566572993,-0.14075999192230373,-0.2522529952473766,-0.1592330251117357,-0.2530946075696182,-0.6394750694102185,-0.6986848580624108,-0.16890703285104103,-0.2695191249902281,-0.17746324650810802,-0.6358663658078115,-0.6260555517173784,-0.5478764481627222,-0.3678071097955996,-0.19143479397213495,-0.19467052699722745,-0.7415541766484832,-0.5991798631866487,-0.4321715387254561,-0.5399277394549108,-0.5991667175130182,-0.6351301068918698,-0.5945826557661402,-0.3373233055150805,-0.3965769134082446,-0.5827890368860149,-0.6087375540871619,-0.625030604391167,-0.631348625172989,-0.4212868547638441,-0.42568682673627445,-0.3544523288303141,-0.5593462014859204,-0.5467137980285479,-0.19540180978563432,-0.16991541531260101,-0.2683461995161665,-0.183314249159723,-0.675350921572028,-0.6356459717805416,train,0.7686832740213524,1
3,-0.25379337718916256,-0.18116231213122264,-0.41736693643150374,-0.14263100968269776,-0.27113070359284713,-0.174398952730478,-0.2912003779108494,-0.6530465453779153,-0.7576405226319702,-0.2004353367195162,-0.3241291878793052,-0.1896496321760776,-0.6967182247030855,-0.6613863700680881,-0.5696992469035649,-0.39836508286290745,-0.22520225600934324,-0.2183257777635286,-0.7565398338800096,-0.6334526681149026,-0.46651992020372,-0.5524213045960891,-0.6223231529312244,-0.6808241140899015,-0.6221410186374519,-0.3699060872604516,-0.40976536403653263,-0.5864850858815749,-0.6317173313372417,-0.6698299228858227,-0.6949634743518832,-0.4544869904979596,-0.45254418667493995,-0.38537133626228637,-0.6127588180447315,-0.5979506663839781,-0.1802996751871164,-0.175733671792482,-0.2833124810437249,-0.1893145731197603,-0.7173128775221908,-0.6721768935381796,train,1.1530249110320285,1
4,-0.3117045841158799,-0.24008908928239023,-0.4523761177629595,-0.14692595646217382,-0.2977673967404733,-0.22611537817504776,-0.3445151567753816,-0.6597471295159477,-0.7820167302397263,-0.2521025089113923,-0.39498691453574303,-0.20763701541647783,-0.7252972011724365,-0.6726156170589158,-0.5628772926920294,-0.3992634736027219,-0.29111172269458985,-0.2624212736815163,-0.7569871989085344,-0.6730607383523964,-0.4899212888690664,-0.5486098631877487,-0.61997510691843,-0.6982769653382483,-0.6140462542439612,-0.4016813440899063,-0.4197325596870681,-0.6200431589046984,-0.6531765513323036,-0.6906462302091805,-0.7372176300480376,-0.49538647152197235,-0.4860540162935143,-0.4203477662972075,-0.6614798694887913,-0.6346731586729641,-0.1986685043435416,-0.1932715136501549,-0.3137319811894164,-0.2246981356985022,-0.7306680057837671,-0.6873098153250359,train,1.5373665480427048,1
5,-0.37450790586556965,-0.29232362095593634,-0.48588941778734845,-0.15983638748171913,-0.32735357474826166,-0.28738466616332015,-0.40180952029391637,-0.6633359729418415,-0.7936094843057788,-0.3077250800356014,-0.45424720862809276,-0.2285997255378981,-0.7478280021761363,-0.6791569303658285,-0.5561430554417438,-0.40786870834753625,-0.3532512167679829,-0.3065074193531143,-0.7497815334340483,-0.7068126880641299,-0.5223504017991507,-0.5353977557292711,-0.6113400333817428,-0.7101065668041906,-0.6050130011673537,-0.4240983583344027,-0.4224728735059253,-0.6504895561587902,-0.6783726418070508,-0.7216650224617394,-0.7908605879242231,-0.5410714909124691,-0.5208032180941824,-0.45354824794200166,-0.7049271679782173,-0.6717327158890851,-0.21359705272817156,-0.20784742329254122,-0.348364544767341,-0.26044464110258786,-0.7443489907561875,-0.6936090378104043,train,1.921708185053381,1
6,-0.42129935725529316,-0.34451996011880226,-0.4878097012551945,-0.17051534971898483,-0.347183658162849,-0.3525421170899542,-0.4560848676232507,-0.6396658090031222,-0.7798783335095845,-0.3473551331940111,-0.5055653536784306,-0.24656122513240525,-0.7404718194972989,-0.6656252808485786,-0.517212807721829,-0.3873252597659913,-0.40671983971725756,-0.3545284867679953,-0.7246222444288657,-0.7359735336896222,-0.5355428104433358,-0.5149859402802333,-0.5862369816622292,-0.7020670740938227,-0.5748572678883365,-0.4517261006340839,-0.41942912123653525,-0.663242847395378,-0.6872574295227982,-0.7341484941432289,-0.8003411755371038,-0.5690057616836698,-0.5553516902698602,-0.47070586293105665,-0.7183661198285186,-0.6886482813143301,-0.24052920809480538,-0.21707122262747255,-0.37749386407605706,-0.29860637050621,-0.7313306680079156,-0.6707977878503655,train,2.306049822064057,1
7,-0.4661684708537297,-0.3882699152957687,-0.5054488702203878,-0.1875297442595661,-0.36714802888621223,-0.40762186492322106,-0.5083160722282718,-0.6324350513166888,-0.7663651677625514,-0.3949049228622122,-0.550735125665693,-0.27453020819290835,-0.7491017805713474,-0.6659565230678564,-0.5020656283462912,-0.3783010744764397,-0.45650965128564325,-0.3872638752784063,-0.7119137066021504,-0.7646311124212932,-0.553334165906592,-0.49187230536486065,-0.569611846439162,-0.7071415120747723,-0.5511364277939997,-0.46988664505478994,-0.41536631220499726,-0.6956531158696195,-0.7031063517800652,-0.7530881035964608,-0.8246197605613758,-0.6107536082092236,-0.590994060278466,-0.50140462039837,-0.7498323356359078,-0.7202887557007509,-0.27608890204882686,-0.2459963837747393,-0.4128346814377785,-0.34129350509093087,-0.7345616192137319,-0.6736735047279101,train,2.6903914590747333,1
8,-0.5126531012150477,-0.4347666281615471,-0.512716552108883,-0.19876168462135285,-0.39076965335678004,-0.4673939310181485,-0.5663300046693404,-0.6097906853482884,-0.7431502506218535,-0.44715603398001386,-0.5902355378871281,-0.2877362033840371,-0.7488553825747538,-0.6535313310237391,-0.47502609282117864,-0.36497988145870014,-0.5031315424067285,-0.4202985228409865,-0.6968406632909212,-0.7821132283554313,-0.568417534640229,-0.45374970343418153,-0.5441796712073103,-0.6960728025319071,-0.5073479841197247,-0.48236826093762053,-0.409660788022202,-0.7186582402946298,-0.7032478039087477,-0.7685048471724385,-0.8480117889277002,-0.6341577890842703,-0.6204776550461784,-0.521188407868883,-0.7708755636891289,-0.7396140086030472,-0.3034508522884809,-0.25841030271775545,-0.441292618228707,-0.37341673578871654,-0.7225761940534303,-0.6546931286314821,train,3.0747330960854096,1
9,-0.5387817711261962,-0.45518793166023575,-0.524301660151497,-0.20289860907479912,-0.39834884175238083,-0.490019658961805,-0.592252570312015,-0.6021813746990181,-0.7356705716100911,-0.4671212464991315,-0.6161333583508503,-0.29574689100389473,-0.7446034513375102,-0.6494202895049754,-0.4714162095108539,-0.35191960948788,-0.5352095938647422,-0.4454015945068748,-0.6853267369868538,-0.7976393604538234,-0.567753487075094,-0.4318207321281977,-0.5260443736211166,-0.6878922888817326,-0.49223007706146304,-0.4848364811439395,-0.4168565704998101,-0.7459885815503857,-0.7022984921799871,-0.7793195808427774,-0.8590278475222255,-0.6501452304037326,-0.6288656908001269,-0.5363891428663923,-0.7793745281939171,-0.7562564653740346,-0.3227692174559905,-0.2673999802885775,-0.45993302699891353,-0.40000548555674764,-0.7216222438237669,-0.6459621130149418,train,3.459074733096086,1
