,ADLL,AIBL,ALA,AS1,ASIL,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVEL,AVER,AWCL,BAGL,BAGR,DA1,DB1,OLQDL,RIBL,RIBR,RID,RIGL,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABD,SABVL,SABVR,SMDDL,SMDDR,SMDVL,URADL,URADR,URAVL,URAVR,URXR,URYDL,URYDR,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.06287495371083093,-0.33729541017979586,-0.25158925883115263,-0.2583518439152189,-0.10427436640162496,-0.1458334992270542,-0.31975021732206266,-0.23538144491755564,-0.02595443077343297,-0.46324954529592166,-0.5413360912160636,-0.42270830594848696,-0.41716211148793153,-0.1842322646348202,-0.42450388782809656,-0.5156077283248687,-0.3709089326197547,-0.4024439921445079,-0.30058995505501673,-0.22080269498309055,-0.18846045039523407,-0.40255517723280654,-0.24774656297249342,-0.2045334877956371,-0.4390929360599447,-0.5216267154194375,-0.4541774411888203,-0.44015224955801907,-0.3549131844198571,-0.2278084421653777,-0.29162351863749897,-0.27283251947703535,-0.16359745055454863,-0.3697812600830551,-0.2767050107720371,-0.4053531994725853,-0.502454808427464,-0.491423830831719,-0.4592701339840689,-0.4214757085910127,-0.37961522526213065,-0.24231627019646396,-0.4217308938676312,-0.46353035043497576,-0.31952514325746434,-0.12228867695943021,-0.3559487338314107,-0.29749184747763147,train,0.0,1
1,-0.06541849782101634,-0.4877952792620057,-0.3688079238587735,-0.3314318685088048,-0.1100675346405362,-0.17035133221389825,-0.37475667797062817,-0.3114560154132239,-0.07484449583194772,-0.6474292733504583,-0.7341673162383655,-0.544310221709672,-0.5418093765157065,-0.29910959399481385,-0.5749925801508483,-0.729190311778184,-0.45950027014890865,-0.4853043684199442,-0.342483625987538,-0.2857953555933492,-0.22220277099721253,-0.5124145694713742,-0.3604677120595287,-0.26914109077612314,-0.5857903138389629,-0.6215265192409172,-0.5446979910767178,-0.5466790448800267,-0.4619512478234903,-0.23890520035275978,-0.3534550163341962,-0.3927756541496571,-0.2012747721282371,-0.5218815410167236,-0.39179383254278155,-0.5169930431383105,-0.6062068655121264,-0.5815130812011963,-0.5970718146466815,-0.5823003475557611,-0.5138231409822225,-0.32966413077506085,-0.6271700685963871,-0.6069562047625441,-0.38261831006459956,-0.16646463220143665,-0.43570252433566015,-0.35094045270421365,train,0.4564666103127642,1
2,-0.07276415014901741,-0.5351940392878464,-0.42541880734220505,-0.362490889733078,-0.10940790536891647,-0.18499275391907036,-0.3937799430551436,-0.33727564411804306,-0.1134564000124185,-0.7225140138698931,-0.8137727879882475,-0.5964350992335332,-0.6056374449043372,-0.35540642900473607,-0.6515183243907428,-0.8337971436953596,-0.4922678327405414,-0.5196155996321059,-0.34284403846596445,-0.33525274012704476,-0.233343764064322,-0.5653385497374948,-0.40724607902837,-0.29117732447648587,-0.6438412661386911,-0.6667512537021179,-0.5879781844825238,-0.6101214183873068,-0.4937031063181778,-0.2603212479080264,-0.3800520967579175,-0.4661358064428585,-0.21631098556944084,-0.6053134378350002,-0.445694960927727,-0.5759783493672752,-0.6609189038214833,-0.6354884933155003,-0.6739527306764151,-0.6617250130532959,-0.594972440634306,-0.3653494486233787,-0.7253220494922766,-0.707384938306314,-0.4023681036571868,-0.19628290881998642,-0.4546222545525692,-0.3573546112328798,train,0.9129332206255284,1
3,-0.08916711051470687,-0.5709663581085017,-0.4655631826741257,-0.3606100668343897,-0.10186246925657547,-0.1924911083517536,-0.4154552037661963,-0.36334622754478807,-0.16699887887228254,-0.7522709419754946,-0.8564823313313905,-0.6295248969762077,-0.6361688612608547,-0.3888878092686988,-0.7058011111314153,-0.8942091430401699,-0.5191944391158951,-0.5536606219936084,-0.34308291806130087,-0.37817470530597663,-0.25668372578140214,-0.5813287165902303,-0.4221939958396064,-0.3180139405157792,-0.6724513024064578,-0.6831942739660442,-0.611723992348867,-0.628882750994935,-0.5004338758612902,-0.2649748555203158,-0.40402687262983883,-0.5308527577862991,-0.2273012540631863,-0.6402942889745503,-0.48029158509591297,-0.5992284002226561,-0.6968726354289972,-0.6524324895152941,-0.7141932736016854,-0.7047179942354421,-0.6490866261873423,-0.38751851155492245,-0.7818605582347471,-0.7458549293025297,-0.40867025620930575,-0.21423468392653688,-0.48579798549069864,-0.37717482003523645,train,1.3693998309382924,1
4,-0.09487841434504415,-0.5775775837503185,-0.5034890645698099,-0.36140760965905894,-0.0996966521721088,-0.19947252689290823,-0.4241733679517231,-0.3882056195358503,-0.18831097193493412,-0.7594329469190656,-0.8580896108869989,-0.6376466678182935,-0.6429463534025601,-0.41473980502932917,-0.7411983403427307,-0.9359034750847526,-0.5253809134150639,-0.5634735993607145,-0.344210752925443,-0.41762607026412735,-0.27860837078587664,-0.5986418720026959,-0.4429085502237192,-0.3294502699350106,-0.6767206148663679,-0.6705677253064408,-0.6328610556239099,-0.6444393289413712,-0.5043610575579347,-0.27271744226828354,-0.4094422661430035,-0.5759808429431669,-0.2439177376280306,-0.656566146837855,-0.4993057984499174,-0.6269043214087586,-0.7079119726827596,-0.66977614453842,-0.7412550508143545,-0.7260155069583167,-0.679902058633706,-0.39717254653701306,-0.8197071749604616,-0.7657296233761254,-0.4171248259214708,-0.21978238083013277,-0.499535122140348,-0.40514614147330547,train,1.8258664412510568,1
5,-0.09221064101737848,-0.5625756725442854,-0.5329986754047445,-0.34668603906182516,-0.10980738857026465,-0.2014473848406126,-0.42203978299340394,-0.3953319142951808,-0.21977091695194217,-0.7266038977463248,-0.8327699569128835,-0.6195143681547357,-0.6386494168914065,-0.4201377621987182,-0.7572236760984749,-0.9688971915269604,-0.5292279055670149,-0.5832664443118051,-0.3256813524359742,-0.4515250016424204,-0.31731294545399386,-0.613673861421,-0.4417797753773134,-0.33561111797475296,-0.667887578946593,-0.6542493640113918,-0.6534569435364892,-0.6558288043079155,-0.5004350572532966,-0.30894128086032746,-0.42827228372945314,-0.6258863116013735,-0.27703340036226143,-0.6609189242121292,-0.5022656659905471,-0.632456928148515,-0.7245744744320474,-0.6800656361543355,-0.7531359462314019,-0.7353249990781511,-0.687058064807908,-0.38774446014400443,-0.8254503366960374,-0.7952968820423026,-0.39242013036372303,-0.21309283155700853,-0.5150742157158523,-0.41626740467959583,train,2.2823330515638207,1
6,-0.10189772925596396,-0.5456082756576901,-0.5545953190266475,-0.33646757153744644,-0.12480110878646923,-0.1974988271971871,-0.4186310071496424,-0.40832670682386185,-0.24599296861664094,-0.6923325501666641,-0.7970457629176455,-0.6017171696851931,-0.6245865145223413,-0.4304966703573207,-0.7848724581130612,-1.0138335294349183,-0.5191749697747853,-0.5980172336157452,-0.2994745858817257,-0.4761585792500609,-0.3566089532886622,-0.6224129172006281,-0.4516903086120797,-0.355481417884546,-0.640701089805407,-0.634356036458721,-0.6691021600947481,-0.6467004955589069,-0.4997637400283419,-0.33743987316231655,-0.44250531064634246,-0.67077529596341,-0.2922218083787406,-0.6536011615876121,-0.49494949932678967,-0.6350833956888391,-0.7335604805179933,-0.6836550067030178,-0.7627545412158546,-0.7346040272401326,-0.6949717021544184,-0.36725915726171876,-0.8369675973083265,-0.8115413615578307,-0.37896613275001456,-0.21761145753027286,-0.5238078324627027,-0.4333623739709074,train,2.738799661876585,1
7,-0.08276578044794214,-0.5040596041779267,-0.5758092579122573,-0.3096852045673135,-0.13172894889346226,-0.18903329177121542,-0.4008409888684103,-0.4343878812409972,-0.25853272453815346,-0.6093514504128995,-0.7416303386572274,-0.5581363198125922,-0.5912779674891802,-0.4317167268161997,-0.785755306616608,-1.0329826307694583,-0.5003137017500681,-0.611483827761763,-0.27670217197627667,-0.5337307931340033,-0.41458037409590165,-0.6355903654612075,-0.4595091650970388,-0.3636853840800085,-0.5886552924561201,-0.572056652872355,-0.7053158438807013,-0.6611149604485743,-0.49382767510653636,-0.3872059809818388,-0.47247230192911605,-0.730023970256007,-0.3279051054898403,-0.6343488611422851,-0.49513534788148794,-0.6243550067265299,-0.7418240812696785,-0.6892921873144231,-0.7936509404403087,-0.7154832174711093,-0.7076186750583996,-0.3609034406747025,-0.8383338020834676,-0.8323039101093407,-0.37305897216878076,-0.2135107235595577,-0.5543298478735676,-0.4881150982886263,train,3.1952662721893494,1
8,-0.07943537539957868,-0.4691004145368292,-0.5987066515332178,-0.2939366240655986,-0.1343794758155618,-0.183887974719307,-0.38880358687428485,-0.4381774712933049,-0.29065870083363166,-0.5317078935833942,-0.6687917316119687,-0.5142873457434434,-0.5638290673135592,-0.42851138597188804,-0.8060312796635882,-1.042372506360955,-0.4750555123452622,-0.6337311738667115,-0.24853006777981126,-0.5805580982362802,-0.4703463386960488,-0.6509174469794589,-0.45526565449839923,-0.38665741888547517,-0.5512281732954416,-0.5254062076442834,-0.7280064153461296,-0.6667993642039581,-0.484671931353881,-0.4434042542660693,-0.4926670968415975,-0.7707617583028645,-0.3738062913263952,-0.6084621939163565,-0.4910764965284126,-0.6178833942618532,-0.7447937346805926,-0.7025504731805101,-0.8068466546539094,-0.7074163815368808,-0.7060960032745152,-0.32754855607852607,-0.818413381012765,-0.8595564246933846,-0.3447587563808586,-0.21240273021461745,-0.5640426476105627,-0.5223209869297754,train,3.6517328825021136,1
9,-0.055071887739552475,-0.4415160241168699,-0.6065508905002247,-0.29668529004679894,-0.12814627300763906,-0.1830761718051091,-0.38484004897608853,-0.4448622164239041,-0.2705524481698098,-0.47333870628837527,-0.6375441879646653,-0.4738384682462083,-0.5356861399942762,-0.41218201597246734,-0.8112942107183521,-1.058084944698429,-0.44966947370420246,-0.6653679336486931,-0.22883455901203878,-0.6342297164900838,-0.5004750021657174,-0.6759162387112825,-0.47493632607659986,-0.4126423439899048,-0.5181312563130628,-0.4746495172181117,-0.7657293007566968,-0.6834955133601894,-0.5025272602582072,-0.47467935306862197,-0.5302304839052041,-0.8051746243235087,-0.4147889354572809,-0.5817995060932633,-0.5030459392261263,-0.5904306891514867,-0.7534388000044049,-0.7128176477134454,-0.8244136617665903,-0.6864477914701439,-0.7076182349826345,-0.33463736024520196,-0.8308509725023526,-0.8829334384188754,-0.35267412770489537,-0.23205147480511398,-0.5956787908138497,-0.5724434427273035,train,4.108199492814878,1
10,-0.050335220349605046,-0.4055173665702889,-0.6126753079378551,-0.2920341823297211,-0.12797691157850338,-0.17978500460658392,-0.37275610820363636,-0.45560395354121097,-0.27907267491900506,-0.4248855671152044,-0.5928276954374017,-0.4496596803756025,-0.5116999137609439,-0.4011749608619358,-0.8271485095325797,-1.0499766519928766,-0.42966504962231533,-0.6582258815429973,-0.20948111263554028,-0.6495391856937544,-0.5238857580008649,-0.6827150432333065,-0.46022979700135197,-0.42228979293855823,-0.4878012077892634,-0.43670509770610866,-0.7762791206814991,-0.6858978676860132,-0.4876370491018174,-0.499109718379486,-0.5301250391246417,-0.8179356786787596,-0.42443859223525826,-0.5597864183167693,-0.5003564176206621,-0.587760532972057,-0.7457493842276287,-0.7084463696222731,-0.8204967025184959,-0.6698606546695438,-0.69599575917377,-0.30731277010833513,-0.8086051479834527,-0.8897682844892604,-0.34157038349653235,-0.23221448081637266,-0.5860231764268617,-0.5891428470953259,train,4.564666103127641,1
11,-0.040956901843825805,-0.36214323492640443,-0.6064501146267396,-0.28762589162729457,-0.1370365990117617,-0.1721808482174485,-0.3563424661068536,-0.4548952718996972,-0.2817880144973048,-0.3656445801024938,-0.5498921832404409,-0.4082433652597808,-0.4775069214999682,-0.3850755259244605,-0.8297290010398651,-1.0643188152295062,-0.40064490335435315,-0.6729090852309965,-0.18804963040849393,-0.6722987107909887,-0.5434446815058458,-0.6885567536990759,-0.4673853866555336,-0.42946656677707445,-0.44962705263380254,-0.3890021836308012,-0.7965981343362156,-0.6768484122918206,-0.49628148568638164,-0.5347222224017373,-0.5589937937814606,-0.8473374501046794,-0.45795594750687385,-0.5303271772690419,-0.4941766526258342,-0.5731357235936282,-0.7369573280325599,-0.7139429830549933,-0.8203335667550299,-0.649487358962734,-0.6801548047177206,-0.29829556906820565,-0.8049162912585947,-0.8959721933701494,-0.3286869438462006,-0.23306236757199292,-0.6012555939539697,-0.6089082784221299,train,5.021132713440406,1
12,-0.039719852646205346,-0.31555186964524545,-0.6013162397756376,-0.28136486079333267,-0.1374995279186015,-0.1671048190525476,-0.33193868917447844,-0.4692274859744948,-0.2860236106934242,-0.29204019032857287,-0.49607030093501936,-0.356111493808915,-0.4423793787453356,-0.3763583191731132,-0.8364596675846182,-1.0569546661753138,-0.36690779847718324,-0.6812419694161689,-0.16495412480476995,-0.6905338873495002,-0.5644884210804677,-0.6851726053904923,-0.4648443841550031,-0.4315619734766406,-0.39651203967710547,-0.33185383470471114,-0.8062806332434431,-0.6719062162153869,-0.49026462998748166,-0.567067577857512,-0.5739005748045233,-0.8673784100396359,-0.47850696192920206,-0.4958216176620449,-0.4804232790367123,-0.55259930052816,-0.7194235547881794,-0.7066734064319876,-0.8273756161785447,-0.6256097577529041,-0.6707563070600702,-0.2797016215389978,-0.7891195993984662,-0.8971976435040009,-0.3220934383581941,-0.22965169886423173,-0.6123518715388102,-0.6294303078331033,train,5.47759932375317,1
