,AIBL,AIBR,ALA,AS1,ASKL,AVAL,AVAR,AVBL,AVEL,AVER,AVFL,AVFR,AWCL,BAGL,BAGR,DB2,OLQDL,RIBL,RIBR,RID,RIFL,RIML,RIMR,RIS,RIVL,RMED,RMEL,RMER,RMEV,SABD,SABVL,SABVR,SIBDL,SIBVL,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVR,URXL,URXR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
0,-0.04326289180341531,-0.07000816299088464,-0.1094186108540148,-0.19178277330477078,-0.14164861277875715,-0.07958367381104409,-0.13571546032014237,-0.36813646987201826,-0.05128469383855301,-0.12969342942641685,-0.3288627995325028,-0.25289090172316203,-0.03944742783845185,-0.3292899079634733,-0.33748392289801543,-0.3209441079775537,-0.1577234545918795,-0.3162326512806206,-0.31012155262192076,-0.3759068591853751,-0.37819077568833465,-0.10646206283432755,-0.1714394053354461,-0.5162481844085911,-0.3049793713645779,-0.35370004595248966,-0.4097469849877091,-0.3298521430058035,-0.3500558718438618,-0.14252307005284076,-0.18702070958337444,-0.1862463353548734,-0.1432890009587459,-0.2838255686317288,-0.2703463324819563,-0.445504781655535,-0.4620035048334761,-0.34695276065315583,-0.2909661737541039,-0.23262943112967918,-0.24682836666333285,-0.18363833327165682,-0.3217731623072856,-0.39907505736511883,-0.1797657600556499,-0.1082376988916593,-0.21867208846181935,-0.3622543256060068,-0.42112230162851794,train,0.0,1
1,-0.0451885071524495,-0.013536691122522967,-0.1820988742639159,-0.23967944534515137,-0.11699960271502749,-0.03962166579868605,-0.11742186301011487,-0.5002177719870884,0.0068739887999948734,-0.11229599482475433,-0.4240273914532293,-0.3419322448728851,-0.07945933466012961,-0.4413246170793649,-0.4882235541329838,-0.407051151779003,-0.13324396721295165,-0.43498173123351347,-0.44652222039901357,-0.4891106213693718,-0.5031356221709693,-0.08776597246751237,-0.09609620292255741,-0.6360935022737588,-0.3424905414248076,-0.44308441166741364,-0.5377766458769497,-0.4917579108386235,-0.4711564618868245,-0.17119279056940817,-0.24605958787152202,-0.18117897810725428,-0.1618115218746224,-0.3658234304575979,-0.38290034824764074,-0.5532689846880161,-0.5345934844569449,-0.42233782575231626,-0.4037453203952424,-0.29939437009818437,-0.2946561193513255,-0.27168522393449346,-0.44344885850486626,-0.5107832857003101,-0.17090133804573895,-0.11689031963489752,-0.21669520738353137,-0.45269264751732086,-0.5780298594939628,train,0.43286573146292584,1
2,-0.06945711644481403,-0.008219998467035972,-0.2207641603288229,-0.25941077473248497,-0.09923029177620143,-0.0303487377744996,-0.11609131026354524,-0.5616686905124436,0.005590712116569169,-0.11786535419828471,-0.47053413653265586,-0.386161838625343,-0.11024710984436042,-0.5081036012696519,-0.5505692969068341,-0.46816402335087853,-0.11488278127293489,-0.5148709890321904,-0.5226835051251546,-0.5428501475477673,-0.5675711922042168,-0.08738059274610445,-0.0624390787023707,-0.6915057297840734,-0.36143419028552054,-0.49258270786392483,-0.5959644699295035,-0.5855740157282717,-0.5019576769693527,-0.1972279311548889,-0.27946158499494606,-0.2024349408522527,-0.17693930249025397,-0.40004952343406985,-0.4393621965815695,-0.6170346804229039,-0.5765271070333969,-0.4627139532350625,-0.45863108944426567,-0.3395425010187275,-0.33411182722068944,-0.32529262813251214,-0.5250578813784617,-0.580526609109382,-0.1688424301611213,-0.12987725497866265,-0.2178427899608345,-0.4871062714264361,-0.6578695301766275,train,0.8657314629258517,1
3,-0.0859445926732659,-0.006148675477235105,-0.24194477569752545,-0.2814628307596925,-0.0804091645154979,-0.02633401832262109,-0.11665608849522871,-0.5762787812399698,-0.00837963010329515,-0.1285283960737892,-0.4871587701776735,-0.39787269320008833,-0.1262714194939269,-0.5535761286620735,-0.5936423910817946,-0.4990600778046211,-0.10885680971612724,-0.5552326108680841,-0.5531725063384241,-0.555583483728985,-0.6044247008226035,-0.09815880313791789,-0.05194052606596433,-0.7276982395736329,-0.3761273019163821,-0.5250077305073761,-0.6297157944271873,-0.6410536718390504,-0.5129779449861026,-0.21739470665400062,-0.2955315911481809,-0.21718855497560616,-0.1749069329875597,-0.42180498390967247,-0.4724675683547022,-0.6413905763750065,-0.5997094732508969,-0.4730097883244244,-0.4806773101008334,-0.36511849013436815,-0.36800248964917687,-0.35445062466404326,-0.5573146024024159,-0.6263376605764598,-0.16033624376894748,-0.1347406702908717,-0.2111524391100365,-0.5081866825138976,-0.6858044267341592,train,1.2985971943887775,1
4,-0.11532136415234337,-0.03105138438066718,-0.2619592503705829,-0.28845638485382896,-0.08110838025005764,-0.05521849231625059,-0.1442946420041356,-0.5537916483412503,-0.04436879928404795,-0.14738793837969652,-0.4841470766289624,-0.39453019237986797,-0.13934517659451276,-0.5889064497350434,-0.6157902388140198,-0.5014540998115335,-0.10967676467228833,-0.5585565371168715,-0.5541549283860184,-0.5400464420086735,-0.6169185173750205,-0.13334841312873344,-0.07069179453806615,-0.7358421762711049,-0.379618725216233,-0.5353871898581077,-0.6264529487024598,-0.6610389574850151,-0.48233779843719526,-0.2326152300657279,-0.3079265945390474,-0.24290498406157252,-0.16619634193820654,-0.4096921866281059,-0.4657385795275937,-0.6475535239053023,-0.6036529018194652,-0.4741260728278799,-0.4892382766780798,-0.3903119075825613,-0.3858902363089133,-0.3714403675815533,-0.574928816860845,-0.6439417339586981,-0.15074231331214608,-0.13057188646672135,-0.215497044855707,-0.5072439423124988,-0.6753480875829625,train,1.7314629258517034,1
5,-0.15613639675009025,-0.0844588337309453,-0.2363109457975672,-0.27950170339172087,-0.08638802133909954,-0.11665633087316307,-0.1751327961291563,-0.48540038398329644,-0.11246618644119612,-0.19911657252459414,-0.4626098022727255,-0.36152598423322424,-0.13016412242237746,-0.5652232418794285,-0.5990812397953711,-0.47604536414762755,-0.11436596657574871,-0.5083671620175325,-0.5093105343263339,-0.4963352489333497,-0.5953334920343318,-0.1895178171743237,-0.11494564671915712,-0.7088991207056593,-0.3568996400364449,-0.5409396689816313,-0.5917570438471456,-0.635046278141711,-0.4214982894917392,-0.24426063286402422,-0.3058404576476639,-0.2691195235763311,-0.14651183351674388,-0.37364947776843094,-0.4287169179562666,-0.6341993533637429,-0.5966872965651311,-0.446572666832333,-0.4478462477850517,-0.4016244394468397,-0.386484702253146,-0.3488427776820975,-0.5591501041574157,-0.628565683441328,-0.15228651288695985,-0.1324014748068792,-0.21879749743988677,-0.4738970473143737,-0.6192503539527099,train,2.164328657314629,1
6,-0.23634903421331663,-0.15361071930479947,-0.20336506073947844,-0.28868684310981907,-0.09736594302872023,-0.2108500831584491,-0.2513385958776071,-0.3956780033089389,-0.19312164522176492,-0.2646307609142262,-0.44065499064520264,-0.31194395270334646,-0.14089962645540308,-0.5451046997266663,-0.5725106664222421,-0.4386335982398001,-0.13451466021246228,-0.45302752674761704,-0.44561975743499255,-0.43333554828924004,-0.568545136229229,-0.27442505324706873,-0.1990803849584764,-0.6791788555822309,-0.3234661101152245,-0.5170061614673511,-0.5549665015549622,-0.5904063161545114,-0.3355842184313482,-0.2753576987110637,-0.3106520749431641,-0.28585496633470114,-0.14520626873894835,-0.32518169231248384,-0.37929658011840733,-0.6306647331071773,-0.5856150438945928,-0.4171502056452095,-0.41755799858358106,-0.4167689297129423,-0.3982598610524,-0.33122115456543505,-0.544369331788494,-0.6174930603223411,-0.16816150907620814,-0.12699427529833895,-0.241249467084171,-0.4201730790507951,-0.5704176920434673,train,2.597194388777555,1
7,-0.3109656891042162,-0.19306748514035837,-0.18737549219913055,-0.29106192020065963,-0.10939600377759676,-0.30504410164741613,-0.32147344402752054,-0.3005340289284807,-0.2576047033120146,-0.3148400371338457,-0.4055658493644406,-0.26427174093563616,-0.1414771640151988,-0.532610303154054,-0.5484439879503266,-0.3906083157424462,-0.17371469344833626,-0.3897295826847546,-0.38262336426309435,-0.36935773836445707,-0.5216984896939533,-0.36059985008241735,-0.2669895763508484,-0.6373521889120182,-0.27379425512476663,-0.49000807638990135,-0.5210098378095978,-0.5526049176783333,-0.2413560606392331,-0.30082574921418437,-0.29851360119034687,-0.28916273407853454,-0.1289895075644274,-0.2758985229150286,-0.31982579670161443,-0.5985924505137875,-0.5601539425967283,-0.3759876598809837,-0.3684037175717543,-0.40734874475517924,-0.38191401170661604,-0.3136280445188865,-0.5257655545726015,-0.5803891967348599,-0.16678285350933825,-0.10142857555602852,-0.2533589421465289,-0.38692920403018555,-0.5158296638012794,train,3.030060120240481,1
8,-0.38822808621796157,-0.2599266148763834,-0.16914561803573608,-0.30152001239299775,-0.12544397519665532,-0.4048118675990525,-0.3874633224998958,-0.23810898867186048,-0.3252785609798622,-0.3700489594780747,-0.38471390945572903,-0.22385435879093293,-0.13607097766998047,-0.5156610555155855,-0.5046891066625264,-0.32849528829402375,-0.2200561778853709,-0.32964316066910754,-0.3018534173486187,-0.3195793530707147,-0.4733095305119218,-0.44379979007534354,-0.3394933333674365,-0.6047155128993673,-0.2495162407158065,-0.4338914613119644,-0.48723615064516,-0.4989176946943788,-0.16666793484307177,-0.34677400030971495,-0.29215722225810886,-0.3037220263532726,-0.11785644023101323,-0.2261818194562421,-0.26194381978996883,-0.5746596223869961,-0.5501992223011323,-0.33569146778300024,-0.3393097899537532,-0.40279777828973107,-0.37698863444694974,-0.2925475976416337,-0.5025243487208882,-0.5501349928472403,-0.17342207947454755,-0.08749397379845672,-0.2714261724804272,-0.3450631724859451,-0.4549304248241846,train,3.4629258517034067,1
9,-0.45718191725589336,-0.33962308525780105,-0.1441907919579432,-0.30961016309243905,-0.14031382030922626,-0.4892060271749935,-0.46250159255619083,-0.18661497951292755,-0.3975415665194604,-0.43167714034006993,-0.3548400053627494,-0.18611475585066078,-0.1289705305173639,-0.4839223009691216,-0.4424165327772589,-0.2623511390717142,-0.257483513083833,-0.2738527621889221,-0.21902259569723728,-0.27080190773508206,-0.4313985045408276,-0.515259788395215,-0.4018140997245059,-0.5672074424735805,-0.24608208308878243,-0.3643901023329307,-0.44658286524254065,-0.425857167082134,-0.0760823564941477,-0.37718811251572737,-0.2797429860359718,-0.31548551209015907,-0.10512756371462832,-0.1779797954783432,-0.2221328926993247,-0.5643706683157179,-0.5280323255703253,-0.3076793084826658,-0.3240296742021859,-0.39906538692529003,-0.3857319587517014,-0.2767453306937214,-0.47561901193217715,-0.5189327074222061,-0.20615813608307798,-0.09624853965982309,-0.2914385286204355,-0.293928330086377,-0.391107368578199,train,3.8957915831663326,1
