,AIBL,AIBR,ALA,ALNL,ALNR,AS10,ASKL,AVAL,AVAR,AVBL,AVBR,AVER,AVFL,AVFR,DA1,DA7,DB1,DB2,DB7,DVA,DVB,DVC,PDA,PHAL,PHAR,RID,RIML,RIMR,RIVR,RMED,RMEL,RMEV,SABVL,SABVR,SIADL,SIADR,SIAVR,SMDDL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB11,VD13,train_test_label,time_in_seconds,tau
0,-0.24189549265512517,-0.22547980266094236,-0.08660161405398994,0.07271013629708718,-0.085635324896734,-0.13746794279518887,-0.2879244013390121,-0.2935888493401583,-0.3069854483705987,-0.10457408707365459,-0.1491663117274282,-0.26769238009491403,-0.19976438470195,-0.20556922643607578,-0.2800237412541664,-0.17621427722200872,-0.3805904340822759,-0.21492402171314373,-0.2889481555201282,-0.1689909824731474,-0.11597886458099409,-0.11539756374749693,-0.16957088639499782,-0.21071607183177113,-0.0839788999564517,-0.20509220197429692,-0.32316043939046846,-0.34710519062718803,-0.15645016778043586,-0.167726193420984,-0.2192744629141669,-0.2376399486165376,-0.2526357383430743,-0.1908137098291421,-0.10014710107394224,-0.05608890872698142,-0.11432867343847855,-0.2869834933143762,-0.2782742812109489,-0.20514231582822184,-0.2568012333931512,-0.24396236662188714,-0.1658716039213735,-0.29256064698801354,-0.20487962296496698,-0.42811888591645886,-0.36915264029224404,-0.15390736526050286,-0.18378856347190034,train,0.0,1
1,-0.3976799802762851,-0.2908781846924735,-0.09759746376243608,0.06588954644600153,-0.09631192996103816,-0.22100820572278107,-0.35330792513454234,-0.3923223537008049,-0.4159609060073658,-0.07749870939524031,-0.12602168536905078,-0.3246783375538191,-0.19663829877036926,-0.24707141040926078,-0.30796078690227013,-0.23807611175027416,-0.4527889752255526,-0.2026432395955018,-0.37600414097891816,-0.24596576513915389,-0.17275679928888082,-0.16018287454597108,-0.2061758822363547,-0.21249243830318332,-0.12164659714165571,-0.20460179157573863,-0.4527933493149855,-0.3988184405994762,-0.1959515213049552,-0.1446860575508569,-0.23063141823540556,-0.27167094189476615,-0.34703392741218125,-0.20715495847052903,-0.10553744558983597,-0.056653076359394906,-0.1180412329358679,-0.31535782566312354,-0.3676818676649175,-0.22005058886806675,-0.33830543558758985,-0.2981897305264274,-0.2161077397258663,-0.33509135517214594,-0.25858014013105335,-0.5128729828744593,-0.427079402043269,-0.1906780857232251,-0.26378837934478894,train,0.32598853003320255,1
2,-0.48749183399432156,-0.3402072189572618,-0.10273461413060864,0.058065853154592145,-0.11241385452192922,-0.28320491889721416,-0.3812970137083661,-0.44760783531900417,-0.48763128432523223,-0.0541238066234048,-0.11591981120473663,-0.35280519392790877,-0.18174490894265397,-0.25335348015980985,-0.32199914930701473,-0.2908887135311766,-0.4874908231494722,-0.19243627857418089,-0.42132231521575314,-0.30614762054458583,-0.21729427758561015,-0.19550018660983196,-0.2226646571013709,-0.21403144652290024,-0.1557253530589567,-0.1915025169027548,-0.5321977914957512,-0.42942983560297376,-0.2322619856665637,-0.14344933521563136,-0.23405127698464961,-0.2694879230567301,-0.3988756239154337,-0.23049110238997172,-0.11040560729487597,-0.06646107089962457,-0.11262106378033358,-0.3419050694389653,-0.41929921570580114,-0.22330142637247805,-0.3793866320266819,-0.32738724051745516,-0.2319174981265609,-0.3529914469145911,-0.2865256738731533,-0.5498249057714277,-0.4557456381085973,-0.21608140287563699,-0.31533073680005813,train,0.6519770600664051,1
3,-0.5547688266007105,-0.3710320400756829,-0.11502408205912626,0.05353125548052397,-0.11433496485442923,-0.31753655026140265,-0.39678601022984433,-0.4734016835455357,-0.5409984482173703,-0.030603271797839282,-0.12056288590516445,-0.38580896624602457,-0.17600429296796183,-0.25909187483108936,-0.34039203828379616,-0.33417715942751075,-0.5199187399002816,-0.17602486278578625,-0.45129043393837165,-0.34012579414523136,-0.2382489424734128,-0.21668779425313237,-0.23624371458363017,-0.20108428825999097,-0.18228113672066368,-0.18483344453031408,-0.5904040664562242,-0.46375000338867634,-0.25948926698422736,-0.1230483210061316,-0.24118691754714405,-0.26876932032486955,-0.43214632087720756,-0.25333942093960965,-0.10825127470838708,-0.08424166415331795,-0.10077612743648566,-0.36306467023837086,-0.4567497739718862,-0.22572995338084195,-0.4028831704048008,-0.34129051866227894,-0.23274090798864433,-0.3708744400081775,-0.29954945648473474,-0.5793033309286297,-0.4554429324907445,-0.21837476156186086,-0.3575073555348429,train,0.9779655900996076,1
4,-0.6036235953265003,-0.399982779621891,-0.1347131221020636,0.06467509618327304,-0.132260637806931,-0.34609742860556314,-0.4132105975343712,-0.4877644478796985,-0.5672407869884444,-0.028599866068528587,-0.12740469088957504,-0.4074144978646053,-0.1843624130420895,-0.2689800381589473,-0.35180699603572735,-0.3591238259454283,-0.5215938715249316,-0.18166579149944836,-0.4716888645177609,-0.35742780915180533,-0.2574477924604339,-0.24210992695513803,-0.23911482884463156,-0.1962661919361693,-0.20466627015494385,-0.1883044485144783,-0.6234725705906495,-0.4826004692907695,-0.28259984885103323,-0.11307964328937956,-0.2347861152819149,-0.25589653410325297,-0.45304774506640777,-0.28139455190117246,-0.1102682579645689,-0.10506551813304443,-0.09433426069196069,-0.3750068199446883,-0.4854511702399223,-0.23821234040288547,-0.43814915177962177,-0.3723195562186482,-0.24626334214945297,-0.38270383064133096,-0.3196686308249961,-0.5839896610876509,-0.45769007235676046,-0.2344401626723659,-0.38753740920730945,train,1.3039541201328102,1
5,-0.632318521817585,-0.4207570402672497,-0.14067648075773315,0.0675037312365884,-0.13679051355887778,-0.35688629417510953,-0.41792464183990613,-0.5044214462791352,-0.5961569690953249,-0.01359899630723839,-0.12529459862081116,-0.41784573645911416,-0.18372815077731414,-0.2749938624007299,-0.3541526028801352,-0.3691817694311123,-0.5256509951578519,-0.17224409469585203,-0.4699618738194093,-0.36153846727420813,-0.2616234480467685,-0.24145140297818773,-0.24360752258385818,-0.19026355216252744,-0.21057304260994628,-0.1726671289865863,-0.6498869969110084,-0.49501919706799014,-0.29482495692406163,-0.09542454788725369,-0.22418757600328293,-0.2295514345722899,-0.461207338718022,-0.29278998616848956,-0.0965012096330668,-0.10523863403186322,-0.08028788769614573,-0.38071157781773796,-0.501424698236742,-0.23763347481525313,-0.44514901856804,-0.3828616197140691,-0.24048924091915444,-0.3867666937465716,-0.325105114513763,-0.5877953067890568,-0.4462229818365756,-0.23291820270490915,-0.404581776486979,train,1.6299426501660126,1
6,-0.6617449414845274,-0.44742879942445435,-0.14511081314992408,0.07647113914300824,-0.14093498745458372,-0.3527719608144778,-0.42555027248949473,-0.518472793223458,-0.6086495205426918,0.0009182268565004481,-0.11861128630174086,-0.42551834541777084,-0.18409881201061076,-0.2765680934977713,-0.35402987902188376,-0.3739737456579261,-0.516731635872235,-0.16011200426328334,-0.4551574134030201,-0.3466211692285702,-0.25982162706344275,-0.2476984927630395,-0.24048549502562644,-0.18436300688577031,-0.2148634108892264,-0.16737445114162636,-0.6677042119422734,-0.5075361377588065,-0.2906285788981895,-0.07716385906763845,-0.20505925444676862,-0.19602937921921065,-0.46042464560853485,-0.2996342707976297,-0.0763152977748377,-0.10261774622380862,-0.062471834560886834,-0.3837441424848459,-0.5092961208894946,-0.23457168672950013,-0.455490287941538,-0.3921978181477273,-0.23927543349065294,-0.39456028554441025,-0.3275182679128097,-0.5764803027715101,-0.4265107483651185,-0.23208199534481727,-0.4075798312820573,train,1.9559311801992152,1
7,-0.6850398145422729,-0.47212403547303605,-0.1471683546859183,0.08492600718287173,-0.1397576291707889,-0.3540183548692864,-0.426995241001804,-0.5393976879693929,-0.6260695352613737,0.018176435198259067,-0.10697580450461802,-0.4442571927676194,-0.17893161115247747,-0.27629048138956636,-0.35731860915609526,-0.3794609981936269,-0.5143141744220713,-0.1544191999388785,-0.450692184012984,-0.3332554776111981,-0.25827014396216713,-0.24823937180391295,-0.23941947601628868,-0.1807591348953983,-0.21384511519237348,-0.15909086392386138,-0.6841122758354328,-0.532094776622178,-0.29856429082703545,-0.05812696041216636,-0.18621076951629623,-0.16579370452253325,-0.4718676104408061,-0.30719263324440915,-0.06609083631550755,-0.10401698155798418,-0.05368838241098012,-0.3802405863716921,-0.5154241471344779,-0.24018362897043805,-0.4658580426118222,-0.40508662344188606,-0.23977303204700165,-0.3985567703124407,-0.32873750656807965,-0.5698523196933987,-0.4125016544081631,-0.2342543535860412,-0.42092708926229355,train,2.2819197102324176,1
8,-0.7018588951836343,-0.4953813385932134,-0.1506122518259099,0.08372182934145399,-0.13763245245520447,-0.3538843254800513,-0.42935095471755547,-0.5607868479162086,-0.6522501290742941,0.03348555174833984,-0.09193369996673943,-0.46187897838393616,-0.16939321433059795,-0.27160530861714044,-0.3637229717166958,-0.3872045636951335,-0.510166803846778,-0.14557953092793402,-0.4402117264052331,-0.32190975387197895,-0.26214283337216987,-0.24894915123413183,-0.2351849686524984,-0.17776523923561507,-0.20728828129393725,-0.14957125158554985,-0.7027044726367446,-0.5511528719370566,-0.3091705207466686,-0.044530709182457634,-0.17046146923749816,-0.1350739407849097,-0.4752109911999211,-0.31414699803165846,-0.05307387284872779,-0.09845988062119349,-0.03950387610834097,-0.389124359915224,-0.52402261394742,-0.24722018237706261,-0.4753818221219793,-0.4194444088380176,-0.24987986252517963,-0.4089671814722846,-0.32384135727711816,-0.5641952793048753,-0.3986243926696996,-0.2252508189121049,-0.4267464057247651,train,2.6079082402656204,1
9,-0.7097511599143513,-0.5081354227758795,-0.16171374504495137,0.08040387940870963,-0.13753498591883215,-0.3712630590350108,-0.4314179634102476,-0.5687988625605426,-0.6702911475365299,0.04111364972827364,-0.09455497172766422,-0.4591722438863551,-0.16587431515701842,-0.2667175419814834,-0.37367796577998247,-0.40049169106373034,-0.510437990090666,-0.14151411348311768,-0.43314819418019396,-0.32360043598852894,-0.2658927302839062,-0.24834992633966663,-0.22517789273386607,-0.16903389437077337,-0.21146664655744055,-0.1455039585959335,-0.7087869327047609,-0.5621746799975608,-0.3115637242043315,-0.032651477251087246,-0.17541409046505746,-0.11723981178079738,-0.4665311047427797,-0.3094403218835326,-0.04406929566410598,-0.09426233791682558,-0.028512408592180405,-0.39919421643582953,-0.5386730086671045,-0.24616182540981513,-0.46521986272429217,-0.4164919426577854,-0.24220446314815727,-0.4166938999383948,-0.3262801869983407,-0.5635723815235067,-0.39918678654622175,-0.22283776970349534,-0.4293327863379527,train,2.933896770298823,1
