,AIBL,AIBR,ALA,ALNR,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA9,DB1,DB2,DVA,DVC,PDA,PHAR,RIBL,RIBR,RID,RIMR,RIVL,RIVR,RMED,RMER,RMEV,SIADL,SIADR,SIAVL,SIAVR,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA11,VB1,VB2,VD13,train_test_label,time_in_seconds,tau
0,-0.1290193581910373,-0.2638704603151284,-0.025837825116612603,0.010090873118653414,-0.20843498465183052,-0.22595455378017906,-0.26815048125357216,-0.3136582672204551,-0.21308610526063693,-0.242477266913535,-0.22585296187364115,-0.29782567271214055,-0.19286691467199274,-0.13162774015537315,-0.2360813253412573,-0.020942994854512086,-0.32664554269764967,-0.23008959577095955,-0.07373813484598034,-0.13289396967098951,-0.14200370459656947,-0.05334971339335609,-0.17528457797841274,-0.16122058953979312,-0.2830560171552331,-0.36822635683433336,-0.34692063022538466,-0.1915723105715893,-0.17762337849813983,-0.12806225562074744,-0.25194428951616876,-0.08220197482353842,-0.07611217990194186,-0.005341193211402341,-0.15952225970280387,-0.32530305847212887,-0.38775389574308794,-0.3518434977340965,-0.310159664686996,-0.2075984138392008,-0.1824294705972958,-0.18888718685292222,-0.12458497340208408,-0.16415483206866668,-0.3390156140550704,-0.19232870233473381,-0.17123770598411744,train,0.0,1
1,-0.23430664954863187,-0.34579619117492844,-0.022840577482186607,0.03757007662494686,-0.2301039901857243,-0.25942875186971137,-0.39112951791935113,-0.4372213719011608,-0.28461340435177085,-0.27751807283804525,-0.31465797445811233,-0.3998268207619062,-0.2356055643385016,-0.13437374169418007,-0.2979126539115744,-0.07589459267590326,-0.3869744268663725,-0.2773257987145237,-0.10233523760372207,-0.21399113410759468,-0.15860072828576846,-0.08238739616778026,-0.20759568957931693,-0.21825131034916456,-0.3448646572941308,-0.4474681706464789,-0.416887727922025,-0.2699046570316236,-0.17179179390909563,-0.1772353326069298,-0.3124557224890943,-0.10088241424306832,-0.07985284622870228,-0.03771663180741908,-0.21120109520244934,-0.38576738290030266,-0.4457512108271768,-0.4483280558635312,-0.431193282564565,-0.24872382149367075,-0.23582045207253238,-0.24779830845906997,-0.18623261847918454,-0.24721539668014728,-0.40653685635908,-0.23377921989379152,-0.2447030848852849,train,0.32618544246451225,1
2,-0.3235695789731787,-0.43067879399342457,-0.06143912477421301,0.05931147887277135,-0.23295822073585892,-0.28209541047352166,-0.46973426940763996,-0.5155433250337244,-0.37117821077518953,-0.32254418314924954,-0.4019861023066915,-0.4852809327828079,-0.2871989014770736,-0.16738576531478142,-0.3472585250885993,-0.12779888110589852,-0.429949988105854,-0.3289447907239018,-0.1343748902945062,-0.28073413098687283,-0.18267118256970333,-0.1147241084867046,-0.23938930068042297,-0.2778197683096214,-0.4145324710318633,-0.5008354959785384,-0.5031623314538143,-0.3483240285583804,-0.17998132957501561,-0.21939262044119273,-0.35093154145629757,-0.14173303226192616,-0.10041017895607178,-0.101058754172512,-0.2610810032285775,-0.4589275339045793,-0.5124033214821118,-0.5366226008557516,-0.5501016931695075,-0.2947808261261872,-0.30288526407078276,-0.3174294860840251,-0.24430142020844964,-0.3296425701979999,-0.474273535372204,-0.28684490624485115,-0.32873396196973376,train,0.6523708849290245,1
3,-0.3825494830211506,-0.4858643944189387,-0.07282962528793895,0.0731341190430049,-0.23875810963937058,-0.29565507013265135,-0.507309406913492,-0.5588741822892078,-0.38343066943970316,-0.3184205109000905,-0.444932955891456,-0.5388782293270497,-0.29608157395823237,-0.18707306760737277,-0.3572251351273741,-0.16844150772602054,-0.4489914740721561,-0.3244431216465623,-0.15519246037367218,-0.31196032019076614,-0.19199169118556414,-0.1208440192166979,-0.22710518641217148,-0.27700311534743516,-0.42610585459552414,-0.521781314632755,-0.5510519343502692,-0.39328989674520676,-0.17155985882315122,-0.20671173990990277,-0.35247862654036344,-0.1286501995543977,-0.09630393175177064,-0.11530887658978478,-0.2578012821882796,-0.4830128575735261,-0.5360022714598578,-0.5833800217607001,-0.6063182777919446,-0.3195142298886493,-0.35257787707074195,-0.35469548966151326,-0.27883218358997736,-0.3526583162606657,-0.4808847895988535,-0.29058555918437484,-0.36490984968739604,train,0.9785563273935367,1
4,-0.44052992741696356,-0.5171476629692358,-0.1025844252565693,0.0673880413573017,-0.23412600549820622,-0.32339201592230316,-0.5219439362786151,-0.5792818519608569,-0.4263726747669059,-0.34592940470441036,-0.4871511916997745,-0.57258976285631,-0.3169972879463653,-0.21055910639888842,-0.39174540214523335,-0.19258685534448178,-0.4835365315483806,-0.37192654763147504,-0.166784888912743,-0.35256475915959834,-0.19885540544205665,-0.13088565457191692,-0.2685579727603936,-0.31839217877340487,-0.4577898494732928,-0.5539018551505869,-0.6116958105874906,-0.42780085298476134,-0.18359812802283526,-0.23856257770728279,-0.3760296683434934,-0.1614905758964516,-0.1217883104747425,-0.15023947483388614,-0.2754104242879192,-0.5211758695283746,-0.5734094344615677,-0.6166669023197556,-0.6690845606437096,-0.3714833166714104,-0.39715604636048485,-0.41453116642586646,-0.34372551968584597,-0.3936151625512213,-0.5148472312647759,-0.3275093325433428,-0.3845929641095236,train,1.304741769858049,1
5,-0.4862102745392909,-0.5512821985972359,-0.1260558116314677,0.07132524411407193,-0.23195359374113883,-0.3351046188227661,-0.5413140593244479,-0.6042663338677936,-0.4442108781342782,-0.35914550717453225,-0.5300852352796606,-0.6071704490054562,-0.32987647270039866,-0.22427819740734434,-0.4137714401017567,-0.21905088875785958,-0.494614031632689,-0.38611701257941544,-0.17922404872911782,-0.38150399542510777,-0.20490060686666964,-0.15107727129014176,-0.28061613639705424,-0.3324964257882304,-0.473365775052811,-0.5754639307961762,-0.6458041536178363,-0.45034034241198406,-0.1791332247061414,-0.24257362404734079,-0.3750823871265557,-0.17226953199421555,-0.13611956878238257,-0.16731057475434624,-0.2812656805158017,-0.5472288545859545,-0.5923764745008426,-0.6434002617257634,-0.7151156222911224,-0.3860126568993403,-0.4258204851904639,-0.44443067790329666,-0.3577969760201499,-0.4238849658170757,-0.5347368417284397,-0.3347397055556314,-0.41133761096582816,train,1.630927212322561,1
6,-0.5247503214372132,-0.5690643552208009,-0.13377866028404373,0.06800686301603268,-0.2361622567252898,-0.33739042971055655,-0.5563330837422403,-0.6227811978903961,-0.42700629787148703,-0.34803523032379147,-0.5462210826410706,-0.6181840506752894,-0.33179748244579776,-0.23037841281614524,-0.42246138955965884,-0.23518862852583336,-0.49924469420548323,-0.3783675630371219,-0.17524814807644318,-0.384239948548873,-0.2065507194522698,-0.1577223423166118,-0.27054528108950715,-0.3190234832975941,-0.4628181123806895,-0.5837246911295236,-0.6590625887510672,-0.46058506638973784,-0.1578394011145069,-0.22273999478323114,-0.3514723545740303,-0.15138275530891504,-0.1333209040399348,-0.16564703690652618,-0.2606061468755763,-0.5538311176029391,-0.5910499881277811,-0.6519515024298608,-0.7316132571769569,-0.3836539619070908,-0.43794791151106893,-0.4551326259871143,-0.36925182468363615,-0.4264806909933345,-0.5201808598135733,-0.32908315322134496,-0.4173728540675896,train,1.9571126547870734,1
7,-0.5629202315632018,-0.6035744331859227,-0.14500342958047915,0.07247616737837517,-0.23487815623280583,-0.33572314336975007,-0.5866861027984914,-0.6596300934300119,-0.4291081610160038,-0.3270766238052939,-0.5804873754880231,-0.6483583113508896,-0.32373123717660235,-0.23143783290247807,-0.44039584185189323,-0.25229821806745345,-0.49414349652027445,-0.35871889388153017,-0.17091763156642206,-0.38759921483334786,-0.20386458579778532,-0.16117020185809916,-0.25877640624297754,-0.30608808341438853,-0.4512726737350768,-0.5913174822339026,-0.6860587043348334,-0.47612190476129235,-0.13638379678360213,-0.20730126549613848,-0.32552498211502046,-0.1406962150340713,-0.12749442814953887,-0.16437083381131815,-0.25024295517977413,-0.5709324587259628,-0.5911933009016448,-0.6755061162943411,-0.7654971102116216,-0.39590113767986335,-0.45666607120039016,-0.48225171991653765,-0.40181800061253276,-0.4323983468964049,-0.5276324977543846,-0.32052570845621364,-0.4292013601543034,train,2.2832980972515857,1
8,-0.5886512789285866,-0.6187943872286366,-0.16684739687819455,0.0723151416673381,-0.24082463465124765,-0.34189401524440055,-0.5952636279601191,-0.6605805363475954,-0.4326030916383826,-0.33414470846933875,-0.5935556848084279,-0.6623221537676061,-0.33466226139481436,-0.23926387448802688,-0.4505617374670253,-0.26146802903954636,-0.5032927481984896,-0.3669757640416403,-0.16678185391713343,-0.3936022083730024,-0.20674354859284194,-0.1661204912564312,-0.26201252395684294,-0.3043590495163536,-0.4499337600600689,-0.6075838377080355,-0.7057731850228621,-0.48900268736693364,-0.12787059594105726,-0.20361701554614092,-0.33207449225008423,-0.14600709402054024,-0.13414597338397688,-0.1746958039174227,-0.2486050366490109,-0.5774411522594551,-0.6037924305952982,-0.6834717298231697,-0.7796281498631373,-0.4060274098100308,-0.46530399740884554,-0.4961301441778668,-0.40924286732368287,-0.4452655777710628,-0.5261092617427756,-0.32222570088095503,-0.4357209186558668,train,2.609483539716098,1
9,-0.6089602908363895,-0.637716648038228,-0.148840007315758,0.07930547264295432,-0.2531625138408306,-0.337312434621274,-0.6126669106247502,-0.6804809379160588,-0.4036494747104199,-0.3150310478507474,-0.6015216487353723,-0.6682834873770092,-0.31947742312885846,-0.2408159548296412,-0.44471052502897385,-0.27066572946691514,-0.4941903841966553,-0.33481189436543324,-0.15372649880586065,-0.3753898135243763,-0.20459714924672046,-0.16388646025531256,-0.23576771058068086,-0.2745833348063643,-0.4282699938255541,-0.610943127208152,-0.6981310280717788,-0.4776903844799084,-0.09840580519439072,-0.17768624349670237,-0.3054772990898644,-0.11020679225627006,-0.12456476339599387,-0.16566417371989056,-0.22800997610256107,-0.5761508591293018,-0.5970301628905978,-0.6934977853153784,-0.7800028834051758,-0.398668790486007,-0.46782563107416375,-0.4902030650869387,-0.40925736754370184,-0.431517809847516,-0.5080319957995759,-0.30259902226794766,-0.4385021922747278,train,2.9356689821806103,1
