,epochs,base_train_losses,base_test_losses,train_losses,test_losses,centered_train_losses,centered_test_losses
0,2,4198.312158202215,4152.275076326603,4152.401480714593,2875.683860585066,-45.9106774876218,-1276.5912157415369
1,4,2792.510453623277,2752.226378789791,2752.3524308956453,2750.220152538814,-40.15802272763176,-2.0062262509768516
2,6,2698.337644340084,2648.5732885017537,2648.699484008779,2646.6740379460225,-49.63816033130479,-1.8992505557312143
3,8,2598.6280072614272,2540.049091207541,2540.1743516062243,2555.3948266652606,-58.453655655202965,15.345735457719456
4,10,2511.408222510273,2439.367100855214,2439.491376475694,2472.5492701203516,-71.91684603457907,33.18216926513742
5,12,2437.2732266842604,2345.0902131421517,2345.213378896789,2408.919363280183,-92.05984778747143,63.82915013803131
6,14,2387.424943741322,2271.6938262055546,2271.816057353232,2367.7627974600496,-115.60888638809001,96.06897125449495
7,16,2343.0076657335003,2210.4602344211844,2210.581860113384,2312.863719068889,-132.42580562011608,102.40348464770477
8,18,2278.9400137923994,2143.736184289378,2143.85731222898,2245.69334066534,-135.0827015634195,101.95715637596231
9,20,2212.812576411784,2079.6238894160515,2079.7448523868525,2180.945262254579,-133.06772402493152,101.32137283852762
10,22,2137.0629881102445,2134.3031027367815,2134.4234514419977,2092.6158799136792,-2.6395366682468193,-41.687222823102275
11,24,2049.17402639181,2042.4516213510929,2042.5722296089834,2009.6491466289676,-6.601796782826568,-32.802474722125226
12,26,1972.2407989480066,1961.6189228011835,1961.7395562314764,1937.3624157154854,-10.501242716530214,-24.256507085698104
13,28,1902.851957136617,1887.0831397338577,1887.2037795855215,1870.9152460945184,-15.648177551095614,-16.167893639339354
14,30,1838.5961524281101,1815.722295442781,1815.842909775465,1809.1278326043057,-22.753242652645213,-6.594462838475238
15,32,1781.259464248493,1748.5767377123905,1748.6972803230606,1753.9498415350017,-32.562183925432464,5.373103822611256
16,34,1728.9346449830502,1687.424070321891,1687.54454070094,1704.6259455399834,-41.390104282110315,17.201875218092482
17,36,1680.7448344559125,1630.121091744744,1630.2415176437746,1655.3551079260055,-50.50331681213788,25.234016181261495
18,38,1627.8162822435695,1570.89182899699,1571.012256698596,1599.1658775467038,-56.804025544973456,28.274048549713825
19,40,1568.643424650208,1511.0014292268625,1511.1219533772119,1538.7729621040023,-57.52147127299622,27.77153287713986
20,42,1708.5325439139906,1663.084141472498,1663.207610779894,1641.6734922239345,-45.32493313409668,-21.41064924856346
21,44,1585.853086185332,1534.6952693575581,1534.8200653548067,1541.4613335675206,-51.033020830525174,6.766064209962451
22,46,1504.54079922868,1445.53184864297,1445.6568762984068,1474.291973285529,-58.88392293027323,28.76012464255882
23,48,1446.3839098213277,1376.2060296096533,1376.3309425881403,1422.622568297783,-70.05296723318747,46.41653868812955
24,50,1399.5653141900602,1318.4536584482933,1318.578446692223,1379.1308886965326,-80.98686749783724,60.67723024823931
25,52,1356.4106838140017,1263.337935341405,1263.4626188724333,1335.4796544070275,-92.94806494156842,72.14171906562251
26,54,1312.8556937980147,1209.1958585611442,1209.3204565389563,1289.710128448681,-103.53523725905848,80.51426988753678
27,56,1263.6006314878246,1154.098642877952,1154.2231704337978,1238.697773277807,-109.37746105402675,84.59913039985508
28,58,1211.0179910692807,1096.743152296191,1096.8676211912477,1184.563195285662,-114.15036987803296,87.82004298947095
29,60,1157.0956911717003,1043.823614868154,1043.9480344230128,1131.2042868620624,-113.1476567486875,87.38067199390844
30,62,1314.8834152938236,1240.964829180016,1241.0871290138139,1251.3298567012246,-73.79628628000978,10.365027521208503
31,64,1197.4772630250036,1080.289418241891,1080.411685890328,1160.1480671228721,-117.06557713467555,79.85864888098104
32,66,1140.6769334813412,971.9494336063608,972.0716727470808,1136.7718449238275,-168.60526073426036,164.82241131746673
33,68,1143.2471141231117,918.7191554217322,918.8413695556687,1153.1756158794524,-224.40574456744298,234.45646045772014
34,70,1150.4785049484944,890.8566611422611,890.9788531180471,1132.9453149704875,-259.4996518304473,242.08865382822637
35,72,1104.268816065927,838.7300938148453,838.8522659172179,1066.6724121120046,-265.4165501487091,227.94231829715932
36,74,1024.8437991903847,778.4509860226956,778.5731400948008,989.7353646874557,-246.27065909558394,211.28437866476008
37,76,958.6923693684614,726.6351813850076,726.7573189910253,931.9954532100479,-231.93505037743614,205.3602718250403
38,78,908.7871531346136,676.3158390269292,676.437961541668,888.9300310902833,-232.34919159294566,212.61419206335404
39,80,872.054813851239,624.9154667963985,625.0375753826088,857.4372457688171,-247.01723846863024,232.5217789724186
40,82,991.7290684270667,933.0888010977598,933.2100664109546,903.9698011803138,-58.519002016112154,-29.11899991744599
41,84,829.9317432118895,713.9448964263387,714.0661516658845,781.3282449544239,-115.86559154600502,67.38334852808521
42,86,762.3732814280714,573.1718885085565,573.29313360976,774.9876925495661,-189.0801478183114,201.81580404100953
43,88,807.9899260190338,537.1864462384457,537.3076812276552,846.5872199657891,-270.6822447913786,309.40077372734345
44,90,842.9319053386137,534.8016406301201,534.9228653892515,807.0504346022137,-308.0090399493622,272.2487939720936
45,92,746.5819063865418,457.5179214033773,457.63913570046594,686.3574246973903,-288.9427706860759,228.83950329401307
46,94,643.2588031933102,394.7308722921275,394.85207560042164,613.0909085969266,-248.40672759288856,218.3600363047991
47,96,591.5409346570108,354.90367759510787,355.02486845622497,574.0168302683913,-236.51606620078581,219.11315267328348
48,98,558.3785917831107,301.58292155181925,301.7040986432324,547.7854296194159,-256.6744931398783,246.20250806759668
49,100,538.4431697943039,245.27686513232547,245.39802874946525,533.0997107011681,-293.04514104483866,287.8228455688426
50,102,911.0401003162112,805.3015071164256,805.4240878698081,785.1027140635805,-105.61601244640315,-20.198793052845076
51,104,685.9771821525745,487.100026274082,487.2225955919988,628.0918716658229,-198.75458656057572,140.99184539174087
52,106,620.5451109026967,318.7216296093492,318.84418705054577,659.3547454481525,-301.70092385215094,340.6331158388033
53,108,708.3970182930289,322.3724782667354,322.4950237919464,736.6003585108443,-385.90199450108247,414.2278802441089
54,110,707.1351504562832,308.8373701020238,308.9599034387911,642.1976272262374,-398.1752470174921,333.3602571242136
55,112,580.5553528747308,229.49438883354216,229.61690966153265,536.1581602335193,-350.9384432131982,306.6637713999771
56,114,508.13023480516415,192.09607170505726,192.21858004967083,489.7754145782384,-315.9116547554933,297.6793428731811
57,116,478.86328179489664,152.22495027769529,152.34744652954595,467.7870130947596,-326.5158352653507,315.5620628170643
58,118,463.92519063972094,96.24916771805655,96.37165260688724,462.2112191936151,-367.55353803283367,365.9620514755585
59,120,462.3373818521677,49.982015775672345,50.104490325328,466.0893585229121,-412.2328915268397,416.1073427472398
