,epochs,test_losses,train_losses
0,0,0.013111909851431847,0.019466392695903778
1,1,0.012533970177173615,0.02068791724741459
2,2,0.01260342262685299,0.01934172213077545
3,3,0.012774127535521984,0.01928958110511303
4,4,0.012708007358014584,0.019572410732507706
5,5,0.012607374228537083,0.0194686371833086
6,6,0.012644205242395401,0.019238987937569618
7,7,0.012797730974853039,0.019166992977261543
8,8,0.012897790409624577,0.01927264966070652
9,9,0.012852020561695099,0.019368158653378487
10,10,0.012712501920759678,0.019332807511091232
11,11,0.012578350491821766,0.019219841808080673
12,12,0.012542253360152245,0.01913570985198021
13,13,0.012543599121272564,0.019174104556441307
14,14,0.012530176900327206,0.01922130398452282
15,15,0.012508879415690899,0.01921466551721096
16,16,0.01250432152301073,0.01917356811463833
17,17,0.01251900102943182,0.01914559304714203
18,18,0.012546898797154427,0.019139466807246208
19,19,0.01257277186959982,0.019151147454977036
