,epochs,test_losses,train_losses
0,0,0.010725872591137886,0.020884860306978226
1,1,0.00832506362348795,0.01622084714472294
2,2,0.006098113022744656,0.012420403771102428
3,3,0.004111338872462511,0.009148778393864632
4,4,0.002421989804133773,0.006289027631282806
5,5,0.0011274795979261398,0.0038351977709680796
6,6,0.00034054910065606236,0.001913050888106227
7,7,0.00010182517871726304,0.0006717658834531903
8,8,0.0004229920741636306,0.00019507657270878553
9,9,0.0010552293388172984,0.0005159968859516084
10,10,0.001578708179295063,0.0013009296962991357
11,11,0.0017616304103285074,0.0019666943699121475
12,12,0.001615114975720644,0.0021931733936071396
13,13,0.0012673769379034638,0.0019970766734331846
14,14,0.0008630237425677478,0.00155076221562922
15,15,0.0005121064023114741,0.0010437663877382874
16,16,0.0002734954177867621,0.0006164521910250187
17,17,0.00016214362403843552,0.0003400390560273081
18,18,0.00017068487068172544,0.00022614645422436297
19,19,0.00025070979609154165,0.0002647441579028964
