,epochs,test_losses,train_losses
0,0,0.013144557364284992,0.023558182641863823
1,1,0.009311393834650517,0.016260404139757156
2,2,0.005861380603164434,0.011337490752339363
3,3,0.00301114609465003,0.006962408311665058
4,4,0.0013100845972076058,0.0034597027115523815
5,5,0.001077165943570435,0.0014283923665061593
6,6,0.0016800296725705266,0.001179779996164143
7,7,0.0020638054702430964,0.0019265463342890143
8,8,0.001954437466338277,0.0023905402049422264
9,9,0.0016439274186268449,0.00223357230424881
10,10,0.001426852191798389,0.0018170715775340796
11,11,0.0013607136206701398,0.0015241263899952173
12,12,0.001339160604402423,0.0014531702036038041
13,13,0.0012235508766025305,0.0014797806506976485
14,14,0.0009709091973491013,0.0014158653793856502
15,15,0.0006532490951940417,0.001185899367555976
16,16,0.0003850315697491169,0.000858187850099057
17,17,0.0002544033632148057,0.0005595600232481956
18,18,0.000284917710814625,0.0003940053575206548
19,19,0.00043135808664374053,0.00039668314275331795
